SBR,Sabine Royalty Trust Common Stock,NASDAQ
41.20,41.30,41.63,41.18
40.97,41.74,41.74,40.65
41.90,42.15,42.49,41.74
42.74,42.79,42.86,42.03
42.79,43.18,43.23,42.31
43.54,42.94,43.54,42.68
43.00,42.85,43.23,42.85
42.52,43.40,43.57,42.52
43.61,43.57,43.61,43.10
43.75,43.38,43.75,43.15
43.15,43.86,43.88,43.11
43.52,43.92,44.90,43.31
44.17,44.49,44.65,44.00
44.00,43.48,44.31,43.27
43.50,43.99,44.21,43.15
44.21,43.93,44.38,43.72
43.90,42.85,43.90,42.67
42.96,42.69,43.06,42.50
42.10,42.25,43.40,41.97
42.95,42.97,43.00,42.31
43.00,43.35,43.45,42.69
43.38,43.77,43.87,42.95
43.46,43.02,43.47,42.57
42.19,42.39,42.42,41.50
42.81,43.66,43.96,42.24
43.88,43.34,44.97,43.31
43.55,44.10,44.17,43.53
44.14,44.17,44.77,43.95
44.47,44.30,44.53,43.41
44.41,45.17,45.49,44.41
45.49,45.31,45.50,45.02
45.50,45.39,45.54,45.06
45.00,45.55,45.70,44.76
46.90,46.59,47.70,46.13
47.29,46.65,47.53,46.60
47.64,47.10,47.64,46.60
47.10,47.76,47.89,46.25
48.02,47.88,48.81,47.73
47.49,48.66,49.00,47.49
50.00,49.44,50.00,48.85
49.89,49.03,50.12,49.02
48.96,48.29,48.96,47.68
49.00,48.79,49.00,48.02
48.94,48.82,49.14,48.46
48.45,48.79,49.21,48.37
49.40,49.23,49.68,48.56
49.48,49.02,49.90,48.65
49.90,48.85,49.90,48.65
48.92,48.10,48.92,47.81
48.45,47.28,48.45,46.76
47.19,45.74,47.25,45.66
46.00,44.83,46.18,44.01
43.23,43.23,44.55,42.52
43.25,43.02,43.61,42.53
43.05,44.63,44.66,43.05
44.77,45.52,45.74,44.77
45.59,44.03,45.59,44.01
44.41,44.12,44.60,43.81
44.51,45.39,45.56,44.30
45.76,45.05,45.95,45.05
45.46,45.62,45.97,45.14
46.06,45.93,46.06,45.65
46.28,47.68,47.95,45.77
46.96,48.53,49.32,46.96
48.53,48.50,49.12,48.09
48.82,49.33,49.89,48.50
49.33,50.47,50.47,49.33
50.47,51.71,53.39,50.31
51.44,50.20,51.77,49.67
50.20,50.27,50.78,50.05
51.00,50.40,51.00,50.37
50.39,50.26,50.88,49.75
50.01,50.57,50.71,49.85
50.95,51.79,52.20,50.67
51.99,52.00,52.23,51.71
52.15,51.81,52.15,51.50
51.81,52.26,52.70,51.81
53.00,52.73,53.00,52.52
52.90,52.16,52.99,52.06
52.00,52.60,52.78,52.00
52.75,52.80,52.91,52.66
52.81,53.00,53.34,52.51
53.33,54.60,54.82,53.31
54.60,54.21,55.00,54.01
53.67,50.12,53.67,49.69
52.50,47.59,52.50,42.58
47.07,49.05,49.95,45.01
50.07,50.85,51.53,49.75
53.28,52.24,53.97,51.50
52.01,52.35,52.50,51.37
52.00,51.25,52.35,50.67
50.55,49.70,50.55,48.36
49.70,48.60,49.70,48.00
48.90,47.48,49.40,47.10
47.04,46.84,47.20,45.00
46.05,45.09,46.30,44.17
44.50,46.81,46.82,43.56
46.82,46.54,46.87,46.15
45.66,45.87,46.09,45.00
45.64,46.60,47.22,45.64
47.73,49.21,49.65,47.39
50.97,49.87,50.97,49.13
49.63,47.91,49.97,47.75
47.50,50.02,50.02,47.30
50.00,50.40,50.67,48.00
50.23,49.87,51.28,49.30
49.46,49.44,49.80,49.00
49.80,48.71,49.80,47.50
49.60,49.09,49.60,48.68
49.66,49.68,50.40,49.42
49.39,48.53,49.50,47.26
