JKL,iShares Morningstar Small-Cap Value ETFnd,NASDAQ
68.00,68.47,68.62,67.60
68.41,68.84,68.86,68.21
68.64,68.91,69.03,68.64
68.92,69.60,69.70,68.57
69.32,69.95,69.95,69.32
70.22,69.72,70.22,69.47
69.15,68.71,69.37,68.48
68.77,69.79,69.79,68.55
69.55,69.93,70.12,69.52
70.03,69.03,70.14,68.73
69.27,70.03,70.08,67.68
69.49,69.67,69.67,68.69
70.09,68.61,70.11,68.33
68.43,66.90,68.54,66.90
67.20,67.13,67.31,66.53
66.95,66.59,67.42,66.41
66.26,67.17,67.17,65.95
67.20,66.28,67.20,65.59
66.48,65.52,67.14,65.49
65.87,66.52,66.54,65.87
66.64,67.44,67.46,66.36
67.04,66.76,67.30,66.27
66.09,64.42,66.09,64.42
64.50,64.57,64.62,63.00
64.42,64.18,65.04,64.06
64.80,65.09,65.54,64.35
64.95,64.99,65.44,64.32
65.03,66.05,66.05,65.03
65.39,66.40,66.49,65.29
67.32,67.84,67.84,66.76
68.21,68.18,68.26,67.97
68.47,68.85,68.85,68.37
68.73,69.33,69.42,68.73
69.60,69.49,69.71,69.33
69.27,68.47,69.46,68.42
68.65,69.08,69.24,68.48
68.47,69.23,69.23,67.97
69.18,69.03,69.23,68.45
69.40,70.30,70.32,69.39
70.57,70.53,70.85,70.40
70.96,70.87,71.38,70.62
70.86,71.12,71.12,70.72
71.57,72.39,72.46,71.57
72.43,72.48,72.64,72.35
72.27,72.89,73.33,72.27
72.77,73.57,73.80,72.77
73.15,73.88,73.88,72.95
74.19,73.75,74.25,73.46
73.90,73.73,73.90,73.07
74.08,74.45,74.48,73.84
74.96,75.28,75.63,74.93
75.43,75.11,75.49,75.05
74.24,74.24,75.35,74.03
73.59,75.20,75.27,73.50
75.35,75.91,75.92,74.91
75.57,75.39,75.88,75.38
75.81,74.68,76.14,74.68
74.91,74.55,75.38,74.41
74.94,74.93,75.04,74.56
75.03,74.83,75.35,74.50
74.59,74.36,75.21,74.33
75.13,74.96,75.21,74.60
75.19,76.35,76.35,75.12
76.06,77.12,77.21,76.06
76.99,76.55,77.07,76.14
76.29,76.58,76.77,75.75
76.63,77.04,77.04,76.24
77.12,77.18,77.40,76.94
77.18,77.46,77.54,76.86
77.96,79.03,79.04,77.96
79.01,78.97,79.27,78.84
78.75,77.70,78.86,77.03
77.06,77.15,77.72,76.36
77.86,78.47,78.47,77.53
78.52,79.21,79.26,78.52
78.41,80.32,80.38,78.20
80.44,81.35,81.35,80.10
81.45,81.08,82.02,81.04
80.77,78.65,81.15,78.59
79.18,78.77,79.48,78.45
79.48,80.45,80.57,79.22
80.40,78.17,80.64,78.17
78.64,79.83,79.83,78.64
78.60,77.12,78.60,76.67
77.34,76.30,77.34,75.48
75.82,73.97,76.63,66.00
72.67,71.43,73.69,70.50
72.43,75.60,75.87,72.43
74.84,76.18,77.06,74.29
76.40,77.98,78.04,76.40
77.81,77.21,78.24,76.86
76.46,75.39,76.46,74.77
75.78,75.46,76.42,73.68
76.47,74.05,76.52,73.78
73.79,73.41,74.19,72.08
72.41,69.63,72.41,69.61
68.29,70.68,71.07,67.50
70.65,69.87,71.18,69.82
67.81,69.79,69.80,66.94
70.69,70.05,71.44,69.80
71.69,73.23,73.26,71.27
73.19,72.77,73.19,72.00
71.32,70.08,72.14,70.08
70.08,71.47,71.63,69.85
71.90,72.39,72.53,71.50
71.39,68.79,71.39,68.68
68.88,67.28,69.24,67.28
67.93,67.86,67.93,66.30
68.48,67.67,69.59,67.67
69.50,70.39,70.39,69.17
70.25,71.05,71.05,70.11
72.30,71.50,72.89,71.50
72.37,73.55,73.57,72.31
72.91,73.29,73.85,72.77
73.72,73.19,73.72,72.44
73.23,73.13,73.45,73.00
74.13,72.49,74.38,72.34
72.79,70.71,73.05,70.71
70.53,70.25,70.87,69.50
69.52,69.23,70.20,69.02
69.46,70.19,70.37,68.72
70.40,69.94,70.40,69.56
68.90,67.13,68.90,66.91
67.27,66.23,67.91,66.23
66.22,65.67,66.59,64.15
65.76,64.99,66.09,64.69
65.91,64.15,66.61,63.73
64.41,66.59,66.65,64.35
67.43,67.72,67.74,66.76
67.73,68.68,68.68,67.73
68.63,68.13,68.76,67.43
69.11,70.28,70.46,69.09
70.06,69.93,70.41,69.36
69.75,69.56,69.80,68.63
69.18,67.12,69.18,67.07
67.45,67.29,67.55,66.27
66.47,68.55,68.55,66.30
69.36,67.43,69.36,67.43
68.18,69.81,69.93,68.18
69.28,70.99,70.99,69.17
71.29,72.42,72.42,71.02
73.32,72.43,73.42,72.25
72.23,71.28,72.23,71.13
72.06,71.27,72.43,70.23
70.27,71.29,71.61,70.27
72.54,72.71,72.91,72.17
72.51,71.98,72.91,71.63
72.52,72.69,72.77,72.04
72.23,71.96,72.56,71.81
71.07,71.72,71.94,70.42
72.08,72.65,72.81,72.08
71.92,71.44,72.07,70.86
70.03,68.62,70.03,68.60
67.05,68.11,68.51,66.95
68.15,67.75,68.36,67.67
67.20,67.98,68.46,67.20
68.69,69.03,69.66,68.46
68.53,69.27,69.79,68.34
69.08,67.60,69.08,67.31
67.22,67.32,67.46,66.37
67.74,66.57,68.13,66.53
66.31,65.79,66.40,64.95
65.20,66.59,66.81,65.00
66.86,66.03,67.28,65.91
66.60,67.62,67.62,65.46
67.31,66.23,67.61,66.23
66.11,66.36,66.98,65.69
67.44,68.90,68.97,67.33
69.01,69.73,69.89,68.72
70.98,70.94,71.08,70.26
70.71,69.63,70.71,69.58
69.81,69.83,70.55,69.74
70.93,70.11,70.95,69.68
70.34,70.32,70.69,70.08
71.15,71.97,72.10,71.15
71.81,71.71,72.25,71.47
71.51,71.88,72.03,71.00
71.67,71.42,71.78,70.98
71.74,71.44,71.78,70.73
71.50,72.99,73.12,71.36
73.10,72.57,73.34,72.55
72.36,71.75,72.86,71.42
71.27,70.82,71.79,70.77
71.36,72.59,72.59,71.36
72.50,72.42,72.72,72.21
72.71,73.05,73.05,71.44
72.93,73.12,73.38,72.66
73.63,73.05,74.17,72.64
73.52,73.39,73.74,72.93
73.11,72.49,73.34,72.21
73.16,74.20,74.36,72.97
74.15,74.09,74.40,73.81
74.36,74.05,74.49,73.48
74.10,74.83,75.01,73.83
74.83,74.91,75.28,74.74
