PRAA,PRA Group,NASDAQ
45.55,46.53,46.56,44.77
46.34,48.41,49.26,45.66
48.41,49.78,49.98,48.41
49.60,50.18,50.20,49.22
49.86,50.41,50.41,49.86
50.49,49.96,50.52,49.50
49.74,48.80,50.20,48.60
48.98,48.58,48.98,47.98
48.27,48.71,48.88,48.27
48.82,47.25,48.82,46.88
47.20,47.47,47.94,46.75
46.96,45.91,47.20,45.60
46.12,45.25,46.36,45.25
45.35,45.31,45.58,45.07
45.64,45.22,45.87,45.05
45.01,44.24,45.26,44.24
44.24,45.70,46.13,43.84
45.81,45.02,46.80,44.32
45.23,45.58,45.99,45.01
45.64,45.28,46.00,44.86
45.14,44.33,45.70,44.10
44.02,43.64,44.41,43.21
43.19,42.63,43.19,42.11
42.62,42.66,43.12,42.00
42.75,41.69,42.75,41.61
42.31,43.08,43.23,41.50
42.81,43.41,43.49,42.15
43.14,44.42,44.60,42.39
48.22,52.54,52.99,47.92
52.10,53.25,55.94,52.10
52.70,54.03,54.17,51.75
52.81,54.26,54.26,52.01
54.20,53.44,54.25,53.30
53.50,53.55,53.81,52.99
53.62,52.97,53.72,52.57
53.29,53.92,54.16,52.90
53.13,53.50,53.96,53.04
53.38,53.33,53.89,53.00
53.37,53.79,53.93,53.16
53.71,54.89,55.40,53.61
54.98,54.39,55.15,54.27
54.35,54.32,54.45,53.92
54.44,55.12,55.47,54.30
54.94,54.81,55.39,54.43
54.78,56.26,56.26,54.75
56.03,56.79,56.84,55.62
56.44,57.21,57.37,56.44
57.38,56.70,57.50,56.40
56.45,56.03,56.76,55.79
56.38,56.30,56.84,55.56
56.24,57.11,57.69,56.24
56.89,56.37,57.75,56.24
56.81,57.09,57.36,55.61
56.68,57.65,57.93,56.25
57.54,57.80,58.03,57.19
57.53,57.42,58.12,57.25
57.70,56.52,57.93,56.42
56.89,55.50,57.02,55.42
55.81,55.50,56.21,55.00
55.42,55.42,56.04,54.93
55.05,54.87,55.92,54.76
55.06,54.70,55.69,54.34
55.05,55.52,55.60,54.76
55.09,56.91,56.99,55.09
56.68,57.16,57.33,56.61
56.92,57.36,57.58,56.87
57.18,57.41,57.78,56.90
57.29,57.80,57.89,57.25
57.50,57.87,57.90,57.50
57.95,59.23,59.23,57.80
59.25,59.03,59.25,58.84
59.04,58.92,59.15,58.09
58.50,58.59,58.99,58.21
58.93,60.00,60.00,58.41
59.88,60.80,60.90,59.31
60.03,63.11,63.58,60.01
63.34,64.48,66.63,63.29
64.60,63.92,65.27,63.74
63.49,63.79,64.54,62.03
65.84,67.25,67.93,64.51
68.19,67.33,68.50,66.76
67.42,66.38,68.92,66.23
66.57,66.23,68.06,65.93
65.63,64.82,66.39,64.27
64.06,63.08,64.07,62.85
62.88,60.57,63.15,58.96
60.18,60.26,61.50,58.72
62.46,63.46,63.49,62.18
63.00,65.63,66.10,62.43
65.85,67.50,67.89,65.62
67.10,68.01,68.11,67.10
67.70,68.63,68.63,67.19
68.97,71.45,71.80,68.82
71.45,66.77,72.21,66.30
66.36,68.09,68.41,65.10
66.41,64.12,66.72,63.85
63.04,66.00,67.30,62.23
66.15,64.89,67.38,64.74
63.27,64.11,64.30,61.83
64.39,65.37,66.49,64.07
67.08,68.50,69.16,66.92
68.49,68.46,69.12,67.89
67.69,67.37,69.44,67.37
67.42,69.21,69.34,66.65
