SGOL,ETFS Physical Swiss Gold Shares,NASDAQ
112.02,111.93,112.25,111.48
112.03,111.84,112.46,111.43
112.83,113.72,113.94,112.63
113.20,113.02,113.44,112.82
113.69,113.53,113.72,112.45
115.49,115.03,115.73,114.75
114.59,112.62,115.19,112.45
113.09,113.69,113.72,111.76
113.68,114.21,114.47,112.96
113.44,113.00,113.44,112.54
113.14,113.77,113.88,112.98
112.08,110.97,112.11,110.53
110.56,109.41,110.82,108.70
109.02,109.24,109.73,108.10
109.46,109.55,109.77,109.16
108.90,109.56,110.10,108.87
109.62,108.64,109.79,108.23
109.23,108.52,109.25,107.27
107.90,108.03,108.30,107.32
108.69,110.47,110.55,108.45
111.28,111.25,111.67,110.79
111.27,110.76,111.55,110.53
108.88,106.40,108.88,105.77
105.71,106.66,106.67,104.32
106.43,106.11,107.10,106.02
107.26,107.51,108.15,106.98
107.19,107.13,107.48,106.17
107.66,109.26,109.61,107.36
108.16,109.07,109.18,107.63
111.61,111.72,111.94,111.29
111.83,111.35,112.14,110.97
111.75,112.09,112.22,111.33
110.60,111.58,112.43,110.60
112.03,111.18,112.04,110.83
110.97,109.99,110.98,109.77
109.44,109.47,110.15,109.24
108.74,110.40,110.71,108.74
111.02,111.53,111.73,110.60
111.62,111.56,111.99,111.11
112.03,113.18,113.60,112.02
113.65,113.81,114.30,113.38
113.42,113.02,113.51,112.47
113.31,112.97,113.87,112.97
113.40,111.99,113.40,111.70
111.28,111.83,112.24,111.19
112.08,110.57,112.46,110.19
110.28,110.71,110.76,110.00
110.65,110.09,110.86,109.59
110.27,110.42,110.58,109.94
112.11,112.53,112.68,112.00
112.50,111.71,112.61,111.69
112.19,112.46,112.73,111.65
110.41,110.41,112.40,109.95
109.41,109.85,110.06,109.09
109.44,110.37,110.55,109.44
108.99,108.44,109.12,108.33
109.02,108.87,109.26,108.61
109.25,110.70,110.70,108.93
110.99,110.84,111.23,110.53
110.70,110.09,110.70,110.00
111.47,111.09,111.55,111.00
112.06,112.37,112.58,112.06
112.72,112.80,113.11,112.48
113.08,113.27,113.68,113.02
114.04,114.64,115.07,113.97
114.64,114.84,115.14,114.51
115.31,115.94,116.25,114.93
115.88,115.23,116.27,115.19
115.29,114.89,115.33,114.28
115.42,115.25,115.83,114.99
115.03,115.83,115.91,115.03
114.69,113.39,115.23,112.76
113.04,113.30,113.51,112.83
113.89,113.62,114.36,113.55
114.02,114.51,114.80,113.67
113.97,113.94,114.12,112.98
113.44,115.37,115.51,113.29
115.07,114.99,115.38,114.84
114.58,116.83,117.00,114.58
116.25,116.52,117.17,115.91
116.08,116.52,116.71,116.08
117.56,117.60,117.93,117.50
118.17,117.99,118.50,117.86
118.64,117.12,118.64,116.43
115.75,117.37,117.42,115.55
117.92,120.74,120.83,117.91
119.91,120.56,121.15,119.03
119.76,119.88,120.13,119.16
121.81,123.05,123.19,121.31
123.65,123.80,124.61,123.13
123.69,122.98,124.06,122.50
124.29,122.74,124.36,121.50
122.90,121.65,123.44,121.64
121.19,121.80,122.62,120.82
120.49,118.91,120.60,118.40
118.43,118.05,119.21,117.51
117.30,117.44,118.46,116.78
118.62,119.11,119.39,118.32
119.41,119.59,119.76,119.10
120.90,120.80,121.38,120.68
120.48,121.00,121.31,120.47
120.76,121.10,121.17,119.96
122.21,122.22,122.51,121.97
121.70,122.03,122.17,121.05
121.49,120.24,121.68,119.79
120.25,121.41,121.68,119.47
121.03,123.78,124.13,120.96
123.95,123.36,124.79,123.06
122.80,122.92,123.30,121.90
121.67,121.29,122.33,121.17
122.22,122.38,122.72,121.67
121.96,121.95,122.42,121.30
122.04,123.29,123.33,121.86
123.00,122.74,123.14,122.37
123.94,124.21,124.77,123.87
125.45,125.20,125.87,125.20
125.47,122.80,125.47,122.70
123.47,123.78,123.88,123.25
123.19,123.32,123.35,122.11
123.05,123.59,124.49,122.97
125.11,125.06,125.40,124.86
125.16,123.45,125.90,123.18
123.41,123.56,124.15,122.42
123.41,123.97,124.42,123.26
123.27,119.34,123.27,119.22
120.54,120.73,120.77,119.74
119.96,118.81,119.98,118.54
118.84,120.02,120.02,118.77
119.65,119.47,119.65,118.34
120.43,120.65,120.98,120.43
120.12,119.62,120.42,119.30
121.29,120.66,121.35,120.66
120.48,120.55,121.40,119.88
120.93,120.53,120.96,120.06
118.96,118.89,119.02,118.24
117.81,118.01,118.01,117.36
117.95,118.79,119.00,117.80
119.03,118.11,119.24,117.97
118.29,119.09,119.72,118.29
119.41,118.32,119.70,118.04
118.61,117.74,118.70,117.54
117.11,115.68,117.18,115.41
115.66,115.93,116.10,115.28
115.75,116.48,116.51,115.60
116.57,117.70,117.90,116.32
118.37,117.77,118.58,117.47
118.13,118.28,118.60,118.13
119.72,118.96,119.89,118.91
119.29,119.25,119.36,118.63
120.28,120.11,120.68,119.89
120.06,119.73,120.09,119.55
118.85,120.02,120.36,118.70
119.97,119.60,120.22,118.83
120.88,121.00,121.13,120.74
121.13,121.05,121.14,120.66
122.01,122.00,122.13,121.77
122.08,122.05,122.27,121.91
121.56,122.55,122.83,121.33
122.98,122.72,123.29,122.48
122.24,122.32,122.39,121.77
122.24,122.12,122.38,121.77
121.05,122.69,123.11,121.00
123.47,123.70,123.70,123.02
123.45,123.31,123.56,122.95
123.57,123.36,123.79,122.75
123.23,123.28,123.39,122.95
124.13,124.48,124.53,123.83
124.54,124.07,124.54,123.84
124.79,124.67,124.83,124.29
123.77,124.24,124.58,123.53
125.31,125.05,125.43,125.04
125.25,125.15,125.69,125.00
124.81,123.95,125.20,123.80
123.81,124.11,124.65,123.81
124.01,123.98,124.40,123.80
125.29,126.42,126.98,125.27
126.39,126.31,126.68,125.91
126.98,127.04,127.18,126.62
127.46,126.97,127.46,126.70
127.50,127.28,127.88,127.24
