SVBI,Severn Bancorp Inc - Common Stock,NASDAQ
2.32,2.46,2.49,2.25
2.43,2.43,2.43,2.43
2.27,2.27,2.52,2.25
2.28,2.25,2.32,2.25
2.29,2.28,2.36,2.28
2.26,2.25,2.26,2.25
2.26,2.50,2.50,2.20
2.40,2.40,2.40,2.40
2.49,2.42,2.49,2.42
2.24,2.23,2.24,2.23
2.24,2.24,2.51,2.24
2.30,2.30,2.30,2.30
2.22,2.29,2.50,2.22
2.29,2.29,2.29,2.29
2.31,2.34,2.42,2.31
2.47,2.50,2.52,2.36
2.66,2.54,2.66,2.40
2.60,2.92,2.92,2.60
2.92,3.10,3.47,2.92
3.43,3.50,3.55,3.00
3.59,4.02,4.15,3.59
4.14,4.01,4.21,3.89
4.01,3.95,4.19,3.95
3.95,3.95,3.95,3.95
4.05,4.24,4.24,3.93
4.21,4.00,4.21,3.95
3.90,3.95,4.17,3.90
4.14,4.11,4.14,3.80
4.11,4.11,4.11,4.11
4.26,4.20,4.30,4.05
4.17,4.18,4.18,4.17
4.18,4.18,4.18,4.05
4.18,4.15,4.24,4.15
4.05,4.19,4.20,3.81
4.14,4.15,4.15,4.14
4.15,4.19,4.19,4.15
4.15,4.20,4.20,4.15
4.20,4.20,4.20,4.20
4.20,3.78,4.20,3.61
3.67,3.88,3.93,3.65
3.95,4.24,4.37,3.90
3.81,3.80,4.15,3.80
3.91,3.89,3.91,3.80
3.81,3.79,3.90,3.76
4.14,4.12,4.16,4.12
4.14,4.04,4.14,3.96
4.05,4.18,4.19,4.05
4.20,4.12,4.20,4.12
4.05,4.12,4.16,4.05
4.16,4.13,4.18,4.13
4.13,4.13,4.13,4.13
4.13,4.13,4.13,4.13
4.05,4.20,4.20,4.05
4.08,4.17,4.17,4.08
4.17,4.17,4.17,4.17
4.20,4.20,4.20,3.76
4.12,3.85,4.13,3.75
3.85,3.85,3.85,3.85
3.85,3.96,3.99,3.78
3.79,3.75,3.86,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
4.00,3.95,4.00,3.94
3.95,3.95,3.95,3.95
4.10,4.20,4.20,4.10
4.01,4.18,4.18,4.00
4.20,4.20,4.20,4.20
4.18,4.01,4.24,4.00
4.18,4.15,4.19,4.15
4.01,4.01,4.20,4.01
4.14,4.36,4.40,4.14
4.36,4.36,4.36,4.36
4.23,4.30,4.30,4.23
4.25,4.45,4.47,4.25
4.39,4.89,5.20,4.39
5.00,5.25,5.25,5.00
5.54,6.00,6.30,5.48
6.25,6.26,6.35,5.75
6.57,6.25,6.57,5.35
5.90,5.90,5.90,5.90
6.00,5.65,6.00,5.43
5.53,5.71,5.71,5.43
5.83,5.80,5.83,5.80
5.94,5.89,5.94,5.89
5.83,5.50,5.85,5.43
5.50,5.40,5.50,5.40
6.00,5.65,6.00,5.40
5.95,5.95,5.95,5.95
5.97,5.66,5.97,5.46
5.92,5.61,5.92,5.47
5.53,5.89,5.90,5.53
5.77,5.76,5.94,5.54
5.54,5.77,5.95,5.52
5.75,5.65,5.75,5.53
5.65,5.65,5.65,5.65
5.70,5.80,5.80,5.70
5.80,5.80,5.80,5.66
5.65,5.80,5.80,5.65
5.80,5.95,5.95,5.80
5.57,5.52,5.80,5.52
5.52,5.91,5.91,5.50
5.91,5.91,5.91,5.91
5.77,5.72,5.79,5.50
5.70,5.55,5.78,5.55
5.77,5.77,5.77,5.77
5.55,5.68,5.76,5.16
5.54,5.65,5.77,4.99
5.18,5.53,5.53,5.12
5.21,5.20,5.56,5.20
5.20,5.27,5.32,5.00
5.01,5.00,5.01,5.00
5.02,5.18,5.28,5.01
5.18,5.30,5.36,5.05
5.30,5.30,5.30,5.30
5.11,5.60,5.60,5.11
5.47,5.60,5.60,5.47
5.53,5.60,5.83,5.35
5.60,5.60,5.60,5.60
5.56,5.60,5.60,5.40
5.37,5.65,5.65,5.36
5.38,5.36,5.47,5.36
5.36,5.36,5.36,5.36
5.36,5.53,5.55,5.35
5.36,5.10,5.36,4.73
5.00,5.00,5.00,5.00
4.95,4.95,5.00,4.95
4.95,4.95,4.95,4.95
5.10,4.97,5.10,4.06
4.89,5.00,5.00,4.89
4.53,4.83,4.86,4.50
4.94,4.80,4.94,4.71
4.57,4.60,4.60,4.57
4.52,4.75,4.75,4.52
4.53,4.80,4.85,4.51
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.53,4.96,4.99,4.50
4.86,4.90,4.90,4.86
4.97,4.99,4.99,4.97
4.89,4.95,4.95,4.89
4.81,5.00,5.25,4.81
4.86,4.90,5.00,4.51
4.99,4.99,4.99,4.99
5.00,5.00,5.00,5.00
4.90,4.85,4.90,4.85
4.85,4.75,4.85,4.75
4.75,4.75,4.75,4.75
4.28,4.90,4.99,4.25
4.55,4.89,4.94,4.50
4.83,4.90,4.90,4.53
4.83,4.80,4.86,4.80
4.80,4.80,4.80,4.80
4.50,4.65,4.65,4.25
4.86,4.95,4.95,4.86
4.50,4.83,4.93,4.50
4.36,4.29,4.65,4.25
4.31,4.25,4.72,4.25
4.25,4.25,4.58,4.04
4.40,4.37,4.40,4.25
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
4.30,4.01,4.30,4.01
4.01,4.01,4.01,4.01
3.83,3.60,4.24,3.60
3.52,3.75,3.98,3.52
3.88,3.58,3.88,3.58
3.82,3.95,3.95,3.62
4.00,4.01,4.01,3.76
4.00,4.21,4.21,4.00
4.00,3.95,4.20,3.95
4.30,3.91,4.30,3.80
4.19,3.77,4.19,3.75
3.93,3.86,3.93,3.86
3.86,3.86,3.86,3.86
3.98,3.98,3.98,3.98
3.89,3.89,3.89,3.89
3.46,3.65,3.94,3.10
3.65,3.65,3.65,3.65
3.79,3.79,3.79,3.79
3.79,3.87,3.87,3.79
3.85,3.68,3.88,3.60
3.38,3.48,3.82,3.38
3.48,3.48,3.48,3.48
3.61,3.46,3.71,3.46
3.63,3.59,3.64,3.59
3.49,3.51,3.57,3.47
3.69,3.69,3.69,3.69
3.70,3.70,3.70,3.69
3.54,3.57,3.70,3.52
3.57,3.86,3.86,3.47
3.72,3.70,3.72,3.65
3.70,3.65,3.70,3.65
3.65,3.87,3.87,3.65
3.85,3.60,3.85,3.60
