MTX,Minerals Technologies Inc. Common Stock,NASDAQ
55.15,55.75,55.88,54.47
55.84,55.54,55.92,54.87
55.65,56.05,56.30,55.21
55.87,55.16,55.96,54.64
55.16,55.12,55.55,54.32
55.50,55.40,55.68,54.98
55.11,54.82,55.68,54.47
55.15,55.40,55.77,54.63
55.41,55.07,55.50,54.67
55.23,54.36,55.26,53.71
54.43,55.11,55.23,54.31
54.70,53.42,54.72,53.30
53.21,51.44,53.47,51.39
51.13,49.79,51.37,49.70
50.23,49.98,50.41,49.70
49.77,49.31,50.09,48.87
49.03,49.18,49.65,48.59
49.39,48.18,49.39,47.14
47.99,47.80,48.57,47.70
48.01,48.15,48.26,47.61
48.00,47.44,48.11,47.00
47.10,47.49,47.92,47.10
47.07,47.14,47.87,46.91
47.48,47.46,47.73,46.33
47.47,46.36,47.47,46.30
46.60,46.42,46.90,45.59
46.16,46.41,46.63,45.88
46.29,46.46,46.50,45.79
46.07,46.62,46.82,45.89
46.62,46.61,46.70,46.06
46.38,46.92,46.93,46.38
46.71,48.50,48.62,46.36
48.58,48.44,48.94,48.01
48.85,48.78,49.11,48.54
48.86,48.25,49.06,48.06
48.21,48.76,48.82,47.96
48.01,48.96,48.96,47.77
48.85,48.83,49.22,48.46
48.86,49.97,49.97,48.83
50.00,51.06,51.36,49.93
51.27,51.84,52.05,51.17
51.87,52.18,52.42,51.85
52.61,53.17,53.23,52.35
53.34,53.04,53.84,52.88
53.04,53.03,53.47,52.70
52.89,53.01,53.66,52.40
52.57,52.56,52.57,51.71
53.13,53.65,53.65,52.63
53.40,53.08,53.49,52.65
53.38,53.16,53.60,52.61
53.16,54.21,54.49,53.16
54.08,53.82,54.75,53.78
53.37,53.37,54.71,53.05
53.14,53.76,53.81,53.14
53.76,53.53,53.76,53.15
53.31,53.10,53.66,53.00
53.61,52.12,53.73,52.00
52.20,52.16,52.50,51.70
52.30,52.49,52.79,51.89
52.68,52.55,53.61,52.28
52.63,51.84,53.02,51.80
52.03,52.30,52.55,51.58
52.49,54.12,54.12,52.24
53.67,56.14,56.15,53.40
55.90,56.68,56.86,55.73
56.64,56.46,56.64,56.00
56.46,57.04,57.10,56.34
56.95,56.30,57.00,56.08
56.13,56.41,56.76,55.85
56.75,58.07,58.24,56.58
58.06,57.88,58.47,57.69
57.81,57.01,58.10,56.64
