NSYS,Nortech Systems Incorporated - Common Stock,NASDAQ
3.06,3.20,3.20,3.06
3.25,3.10,3.25,3.06
2.94,3.19,3.19,2.92
3.19,3.19,3.19,3.19
3.19,3.19,3.19,3.19
3.19,3.19,3.19,3.19
3.18,3.20,3.20,3.18
3.20,3.43,3.43,3.20
3.43,3.40,3.43,3.30
3.45,3.41,3.45,3.40
3.60,3.45,3.80,3.40
3.40,3.36,3.40,3.35
3.36,3.36,3.36,3.36
3.36,3.35,3.38,3.35
3.36,3.39,3.39,3.35
3.20,3.45,3.50,3.20
3.45,3.45,3.45,3.45
3.45,3.45,3.45,3.45
3.11,3.10,3.21,3.00
3.08,3.07,3.08,3.07
3.77,3.10,3.77,3.05
3.10,3.10,3.10,3.10
3.05,3.09,3.49,3.05
3.09,3.09,3.09,3.09
3.09,3.09,3.09,3.09
3.25,3.30,3.30,3.05
3.32,3.32,3.32,3.07
3.11,3.08,3.11,2.96
3.14,3.25,3.25,3.14
3.10,3.12,3.12,2.96
3.12,3.10,3.12,3.10
3.21,3.21,3.21,3.21
3.11,3.25,3.25,3.10
3.30,3.30,3.30,3.30
3.27,3.10,3.27,3.10
3.38,3.13,3.38,3.13
3.13,3.13,3.13,3.13
3.28,3.13,3.28,3.13
3.11,3.37,3.37,3.11
3.18,3.18,3.18,3.17
3.25,3.25,3.25,3.25
3.12,3.11,3.14,3.10
3.11,3.18,3.21,2.99
3.18,3.18,3.18,3.18
3.25,3.15,3.25,3.11
3.25,3.30,3.35,3.25
3.30,3.30,3.30,3.30
3.42,3.42,3.42,3.42
3.45,3.41,3.75,3.41
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.51,3.52,3.77,3.50
3.52,3.70,3.70,3.52
3.70,3.70,3.72,3.70
3.69,3.77,3.77,3.38
3.82,3.65,3.82,3.39
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.46,3.46,3.46,3.41
3.41,3.31,3.41,3.29
3.32,3.46,3.46,3.32
3.33,3.38,3.38,3.33
3.58,3.32,3.58,3.32
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.39,3.39,3.41,3.39
3.36,3.50,3.50,3.36
3.50,3.50,3.50,3.50
3.55,3.55,3.55,3.55
3.60,3.60,3.60,3.60
3.55,3.50,3.55,3.50
3.57,3.59,3.60,3.55
3.60,3.59,3.60,3.50
3.60,3.60,3.60,3.60
3.67,3.67,3.67,3.67
3.75,3.75,3.75,3.75
3.75,3.80,3.80,3.67
3.80,3.80,3.80,3.80
3.85,3.80,3.85,3.65
3.84,3.84,3.84,3.84
3.84,3.85,3.85,3.84
3.65,3.90,3.90,3.65
3.93,3.93,3.93,3.93
3.93,3.93,3.93,3.93
3.93,3.93,3.93,3.93
3.65,3.97,3.97,3.60
3.97,3.97,3.97,3.97
3.60,3.81,3.81,3.60
3.93,3.91,3.96,3.91
3.95,3.99,4.00,3.95
4.15,3.90,4.15,3.87
3.90,3.90,3.90,3.90
3.71,3.73,3.80,3.71
3.80,3.79,3.80,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.78,3.87,3.87,3.78
3.87,3.87,3.87,3.87
3.75,3.75,3.75,3.75
3.80,3.82,3.82,3.80
3.82,3.82,3.82,3.82
3.82,3.82,3.82,3.82
3.82,3.82,3.82,3.82
3.82,3.82,3.82,3.82
3.82,3.82,3.82,3.82
3.80,3.82,3.82,3.80
3.82,3.82,3.82,3.82
3.80,3.83,3.85,3.80
3.84,3.84,3.84,3.84
3.84,3.84,3.84,3.84
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.26,3.75,3.75,3.25
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.45,3.69,3.69,3.45
3.45,3.64,3.64,3.45
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.54,3.55,3.55,3.54
3.55,3.55,3.55,3.55
3.65,3.65,3.65,3.65
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.46,3.46,3.46,3.46
3.45,3.40,3.45,3.40
3.29,3.40,3.40,3.25
3.39,3.40,3.40,3.39
3.40,3.40,3.40,3.40
3.40,3.40,3.40,3.40
3.40,3.40,3.40,3.40
3.59,3.60,3.60,3.59
3.60,3.60,3.60,3.60
3.50,3.75,3.75,3.50
3.75,3.75,3.75,3.75
3.26,3.68,3.68,3.26
3.68,3.68,3.68,3.68
3.68,3.68,3.68,3.68
3.68,3.68,3.68,3.68
3.70,3.70,3.70,3.70
3.80,3.61,4.05,3.60
3.61,3.61,3.61,3.61
3.61,3.61,3.61,3.61
3.58,3.55,3.58,3.55
3.55,3.55,3.55,3.55
3.74,3.65,3.74,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.36,3.74,3.74,3.36
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.10,3.10,3.10,3.10
3.13,3.36,3.36,3.13
3.36,3.36,3.36,3.36
3.36,3.36,3.36,3.36
3.27,3.50,3.50,3.27
3.32,3.30,3.32,3.26
3.30,3.35,3.35,3.30
3.24,3.24,3.24,3.24
3.24,3.24,3.24,3.24
3.31,3.58,3.58,3.31
3.59,3.59,3.59,3.59
3.59,3.59,3.59,3.59
3.59,3.59,3.59,3.59
3.59,3.59,3.59,3.59
3.31,3.59,3.59,3.30
3.31,3.32,3.32,3.31
3.57,3.33,3.57,3.33
3.33,3.33,3.33,3.33
3.32,3.57,3.57,3.32
3.57,3.57,3.57,3.57
3.57,3.57,3.57,3.57
3.58,3.58,3.58,3.57
3.57,3.57,3.57,3.57
3.65,3.73,3.73,3.65
3.74,3.72,3.74,3.72
3.72,3.72,3.72,3.72
3.72,3.72,3.72,3.72
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.71,3.71,3.71,3.71
3.74,3.77,3.77,3.74
3.77,3.77,3.77,3.77
3.65,3.75,3.75,3.65
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.85,3.85,3.95,3.85
3.85,4.00,4.00,3.85
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
4.44,4.30,4.44,4.30
4.32,4.12,4.32,4.12
4.14,4.24,4.35,4.08
4.08,3.94,4.15,3.94
4.00,4.15,4.20,4.00
4.06,3.95,4.06,3.86
4.34,4.35,4.35,4.34
4.51,4.51,4.51,4.51
4.53,4.43,4.53,4.21
4.24,4.24,4.24,4.24
4.81,4.62,4.81,4.62
3.88,4.22,4.65,3.75
4.35,4.35,4.35,4.35
4.35,4.35,4.35,4.35
4.35,4.35,4.35,4.35
4.35,4.35,4.35,4.35
4.10,3.98,4.10,3.98
3.98,3.98,3.98,3.98
3.98,3.98,3.98,3.98
3.98,3.98,3.98,3.98
3.98,3.98,3.98,3.98
4.01,3.95,4.15,3.95
3.81,3.86,3.86,3.80
3.86,3.86,3.86,3.86
3.92,4.07,4.07,3.90
4.05,4.05,4.05,4.05
4.01,4.01,4.21,4.01
4.01,4.05,4.05,4.01
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.10,4.10,4.10,4.10
4.05,4.10,4.15,3.87
4.00,4.13,4.13,4.00
4.13,4.13,4.13,4.13
4.13,4.13,4.13,4.13
4.13,4.92,4.92,4.13
4.74,4.69,4.74,4.69
4.69,4.69,4.69,4.69
4.69,4.69,4.69,4.69
4.69,4.69,4.69,4.69
4.66,4.60,4.66,4.32
4.60,4.60,4.60,4.60
4.12,4.27,4.27,4.12
4.15,4.25,4.25,4.15
4.25,4.25,4.25,4.25
4.25,4.25,4.25,4.25
4.25,4.25,4.25,4.25
4.12,4.12,4.12,4.12
4.63,4.53,4.63,4.53
4.53,4.53,4.53,4.53
4.17,4.22,4.22,4.17
4.11,4.16,4.16,4.11
4.16,4.16,4.16,4.16
4.16,4.16,4.16,4.16
4.20,4.15,4.20,4.14
4.15,4.15,4.15,4.15
4.21,4.17,4.21,4.14
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.17,4.17,4.17
4.17,4.16,4.18,4.12
4.15,4.15,4.15,4.12
4.15,4.15,4.15,4.15
4.15,4.16,4.16,4.15
4.12,4.00,4.16,4.00
4.00,4.08,4.08,4.00
4.16,4.25,4.25,4.16
4.34,4.34,4.34,4.33
4.34,4.34,4.34,4.34
3.81,4.49,4.49,3.81
4.49,4.49,4.49,4.49
4.45,4.45,4.45,4.45
4.65,4.67,4.67,4.65
4.67,4.66,4.75,4.66
4.67,4.75,4.75,4.61
4.75,4.49,4.75,4.49
4.40,4.40,4.40,4.40
4.43,4.42,4.43,4.42
4.98,4.19,4.98,3.80
4.51,4.05,4.52,4.00
4.02,4.02,4.36,4.02
4.02,4.02,4.02,4.02
3.90,4.20,4.34,3.90
4.20,4.20,4.20,4.20
4.19,4.09,4.19,4.09
4.12,4.12,4.20,4.12
4.05,4.03,4.21,3.84
4.07,4.07,4.07,4.07
3.97,4.03,4.03,3.95
4.12,4.12,4.12,4.12
4.10,4.08,4.26,3.98
3.56,3.98,3.98,3.55
3.85,3.90,3.95,3.84
3.86,3.86,3.86,3.86
3.86,3.86,3.86,3.86
3.87,3.77,3.87,3.76
4.12,3.95,4.12,3.95
3.86,3.87,3.87,3.86
3.59,3.89,4.09,3.59
3.89,3.89,3.89,3.89
3.50,3.76,3.96,3.50
3.80,3.73,3.81,3.63
3.73,3.73,3.73,3.73
3.73,3.73,3.73,3.73
3.73,3.73,3.73,3.73
3.71,3.71,3.71,3.71
3.71,3.71,3.71,3.71
3.71,3.71,3.71,3.71
3.71,3.71,3.71,3.71
3.75,3.92,3.93,3.71
3.92,3.92,3.92,3.92
3.86,3.78,3.94,3.78
3.79,3.52,3.79,3.52
3.51,3.51,3.51,3.51
3.52,3.52,3.53,3.52
3.53,3.52,3.53,3.52
3.52,3.57,3.57,3.52
3.57,3.57,3.57,3.57
3.53,3.53,3.53,3.52
4.10,3.74,4.45,3.70
3.70,3.90,4.00,3.70
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
4.11,4.01,4.11,4.01
4.01,4.01,4.01,4.01
3.66,4.07,4.07,3.66
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.00,4.00,4.01,4.00
3.95,3.95,3.95,3.95
3.90,3.95,3.95,3.90
3.90,3.90,3.90,3.90
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.95,3.95,4.00,3.95
3.95,3.95,3.95,3.95
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
3.95,3.99,4.00,3.90
3.92,3.87,4.00,3.87
3.62,3.61,3.82,3.60
3.56,3.56,3.56,3.56
3.53,3.53,3.53,3.53
3.52,3.74,3.89,3.52
3.52,3.72,3.72,3.52
3.72,3.75,3.75,3.72
3.75,3.80,3.80,3.75
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.89,3.89,3.89,3.89
3.89,3.89,3.89,3.89
3.89,3.89,3.89,3.89
3.89,3.90,3.90,3.89
3.90,3.90,3.90,3.90
3.88,3.81,3.88,3.81
3.81,3.81,3.81,3.81
3.90,3.90,3.90,3.88
3.84,3.72,3.90,3.72
3.89,3.66,3.89,3.65
3.66,3.66,3.66,3.66
3.66,3.66,3.66,3.66
3.87,3.90,4.00,3.87
3.90,3.61,3.90,3.61
3.90,3.89,3.90,3.89
3.90,3.77,3.90,3.73
3.71,3.71,3.71,3.71
3.80,3.80,3.90,3.80
3.90,3.85,3.90,3.85
3.80,3.75,3.80,3.65
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.80,3.56,3.80,3.54
3.70,3.65,3.70,3.65
3.65,3.65,3.65,3.65
3.66,3.71,3.71,3.66
3.53,3.53,3.53,3.53
3.56,3.55,3.56,3.55
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.55,3.31,3.55,3.27
3.69,3.80,3.80,3.69
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.78,3.80,3.80,3.78
3.80,3.80,3.80,3.80
3.35,3.38,3.39,3.28
3.29,3.30,3.30,3.25
3.73,3.60,3.77,3.59
3.78,3.78,3.78,3.76
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.70,3.67,3.70,3.67
3.64,3.65,3.65,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.64,3.64,3.64,3.64
3.35,3.35,3.35,3.35
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.24,3.20,3.24,3.15
3.04,3.04,3.04,3.04
3.04,3.04,3.04,3.04
3.01,3.22,3.22,2.76
3.19,3.37,3.48,3.19
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.37,3.37,3.37,3.37
3.05,3.10,3.10,3.03
3.10,3.10,3.10,3.10
3.17,3.22,3.30,3.17
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
