ZIXI,Zix Corporation - Common Stock,NASDAQ
1.70,1.78,1.79,1.69
1.78,1.70,1.78,1.70
1.70,1.70,1.79,1.69
1.80,2.22,2.35,1.80
2.30,2.12,2.30,2.03
2.15,2.08,2.15,2.05
2.08,2.05,2.09,2.02
2.11,2.10,2.15,2.05
2.11,2.11,2.13,2.06
2.13,2.06,2.13,2.03
2.06,2.12,2.13,2.05
2.12,2.05,2.12,2.02
2.05,1.99,2.08,1.95
1.98,1.94,1.99,1.94
1.95,1.97,1.99,1.94
1.97,1.90,1.98,1.90
1.89,1.87,1.91,1.87
1.88,1.88,1.91,1.87
1.88,1.88,1.92,1.82
1.88,1.85,1.88,1.82
1.85,1.84,1.86,1.81
1.85,1.82,1.86,1.81
1.81,1.82,1.84,1.81
1.82,1.83,1.83,1.80
1.83,1.82,1.84,1.81
1.85,1.89,1.91,1.84
1.89,1.91,1.95,1.88
1.90,2.06,2.08,1.89
2.05,2.10,2.10,1.97
2.13,2.18,2.20,2.10
2.19,2.06,2.19,1.99
2.05,2.05,2.06,2.00
2.04,2.02,2.04,2.00
2.02,2.00,2.03,1.96
2.00,2.02,2.03,1.95
2.02,1.93,2.02,1.82
1.90,1.96,1.96,1.89
1.95,1.93,1.99,1.88
1.95,2.14,2.15,1.94
2.14,2.14,2.19,2.10
2.11,2.18,2.18,2.11
2.18,2.15,2.18,2.10
2.16,2.19,2.19,2.15
2.20,2.27,2.27,2.19
2.27,2.19,2.33,2.16
2.18,2.19,2.25,2.15
2.19,2.23,2.24,2.15
2.24,2.19,2.25,2.15
2.26,2.29,2.30,2.24
2.29,2.39,2.41,2.26
2.43,2.40,2.51,2.40
2.44,2.36,2.47,2.34
2.36,2.21,2.36,2.00
2.11,2.25,2.25,2.08
2.26,2.27,2.29,2.21
2.27,2.21,2.27,2.19
2.23,2.15,2.24,2.15
2.14,2.16,2.22,2.14
2.16,2.13,2.21,2.11
2.15,2.17,2.18,2.10
2.13,2.31,2.32,2.12
2.32,2.29,2.38,2.25
2.27,2.36,2.38,2.27
2.34,2.34,2.37,2.30
2.46,2.45,2.66,2.41
2.46,2.41,2.48,2.41
2.48,2.46,2.48,2.42
2.49,2.50,2.55,2.48
2.50,2.44,2.57,2.37
2.45,2.60,2.63,2.45
2.61,2.60,2.67,2.53
2.60,2.52,2.60,2.49
2.50,2.52,2.56,2.48
2.51,2.52,2.57,2.50
2.57,2.51,2.57,2.47
2.47,2.64,2.64,2.42
2.64,2.60,2.64,2.52
2.64,2.55,2.65,2.55
2.53,2.57,2.69,2.53
2.68,2.54,2.70,2.48
2.57,2.57,2.59,2.43
