IJK,iShares S&P Mid-Cap 400 Growth ETF,NASDAQ
78.57,78.89,79.14,78.38
78.90,79.20,79.28,78.48
79.25,79.73,79.84,79.13
79.60,79.89,79.96,79.11
79.74,80.38,80.38,79.54
80.78,80.16,80.86,79.92
79.70,79.10,79.79,78.76
79.37,80.20,80.23,78.88
80.04,80.30,80.53,79.87
80.15,79.20,80.53,79.00
79.27,80.17,80.19,79.27
79.49,79.55,79.64,78.86
79.57,78.30,80.02,78.22
78.17,76.63,78.31,76.54
77.29,76.79,77.37,76.45
76.59,76.64,77.30,76.18
76.42,76.68,76.92,75.78
77.00,75.86,77.01,75.17
76.04,74.70,76.76,74.62
74.77,75.83,75.85,74.77
76.05,77.07,77.21,75.76
76.78,76.71,77.13,76.34
76.10,73.97,76.10,73.96
73.92,74.05,74.18,72.40
74.12,73.64,74.62,73.46
74.43,74.53,75.00,73.83
74.42,74.52,74.97,73.79
74.39,75.71,75.72,73.95
74.91,76.22,76.22,74.66
77.08,77.47,77.47,76.65
77.75,78.04,78.04,77.47
78.00,78.55,78.55,77.89
78.30,78.72,78.87,78.14
78.98,78.66,79.15,78.46
78.39,77.57,78.55,77.48
77.85,78.44,78.56,77.85
77.43,78.65,78.72,77.11
78.69,78.75,78.96,78.18
79.27,80.40,80.40,79.14
80.82,81.23,81.41,80.71
81.53,81.43,82.00,81.27
81.60,81.66,81.88,81.24
82.16,82.83,82.85,82.02
82.94,83.04,83.15,82.83
82.73,83.01,83.52,82.71
83.06,83.70,83.71,83.04
83.35,84.10,84.17,83.09
84.50,84.36,84.50,83.72
84.37,84.17,84.50,83.43
84.48,84.90,84.94,84.14
85.22,85.57,85.86,85.20
85.46,85.13,85.67,85.00
84.17,84.17,85.52,84.05
83.74,85.36,85.46,83.52
85.52,86.12,86.13,85.16
85.79,85.34,85.87,85.23
85.93,84.63,86.01,84.60
84.78,84.45,85.17,84.07
84.91,85.25,85.26,84.82
85.39,85.39,85.81,84.94
85.18,84.84,85.66,84.84
85.46,85.78,86.10,85.15
86.19,87.24,87.24,86.07
86.80,87.56,87.66,86.80
87.47,86.91,87.47,86.45
86.58,86.80,86.91,85.90
86.90,87.55,87.56,86.47
87.67,87.59,87.76,87.33
87.43,88.00,88.03,87.16
88.43,89.16,89.17,88.22
89.15,89.15,89.55,88.99
88.81,88.19,89.21,87.54
87.76,87.69,88.39,86.74
88.18,88.80,88.80,87.90
88.88,89.06,89.09,88.36
88.19,90.11,90.19,87.92
90.26,91.05,91.06,89.87
91.03,90.69,91.42,90.62
90.12,88.64,90.80,88.46
88.98,88.67,89.27,88.18
89.29,89.90,90.06,88.92
90.02,88.16,90.33,88.16
88.47,89.53,89.65,88.47
88.24,87.15,88.26,86.76
86.35,86.19,87.49,85.46
85.77,83.30,86.54,46.00
82.61,81.06,83.53,80.00
84.53,85.31,85.34,83.98
84.37,85.51,86.51,84.26
85.81,87.70,87.79,85.81
87.54,86.99,88.36,86.75
86.30,84.95,86.39,84.24
85.35,85.10,85.95,82.96
86.14,83.83,86.36,83.53
83.30,82.93,84.13,81.70
81.00,79.57,81.36,79.42
78.68,80.92,81.41,77.60
80.69,80.14,81.45,80.05
78.02,80.06,80.18,76.90
80.26,80.18,81.95,79.89
81.78,83.22,83.22,81.65
83.14,82.19,83.26,81.77
81.55,80.11,82.49,80.07
80.60,82.26,82.26,79.99
82.58,83.02,83.12,82.07
81.06,79.68,82.04,79.42
79.92,77.87,80.17,77.81
78.02,78.22,78.42,76.59
78.80,78.60,80.37,78.24
80.05,81.07,81.10,79.89
80.23,82.00,82.03,80.23
83.13,82.38,83.68,82.20
82.98,84.28,84.38,82.74
83.85,84.06,84.58,83.48
84.42,83.70,84.45,83.08
84.01,83.57,84.14,83.31
84.57,83.00,84.82,82.54
83.10,81.24,83.72,81.19
81.12,81.15,81.78,80.04
80.70,79.61,80.76,79.50
79.80,80.46,80.81,79.26
80.53,80.20,81.04,79.80
78.83,77.40,79.08,76.96
77.26,76.88,78.47,76.77
76.75,76.55,77.09,74.79
76.92,76.03,77.08,75.76
77.18,75.86,77.89,75.38
75.92,78.39,78.46,75.89
79.15,79.21,79.54,78.29
79.22,80.03,80.03,79.00
79.69,79.64,80.37,79.05
80.77,81.49,81.77,80.40
81.15,81.47,81.90,80.88
81.54,81.53,81.70,80.40
81.03,79.01,81.23,78.94
79.34,79.46,79.60,78.42
78.21,80.60,80.68,77.96
81.01,79.38,81.03,79.22
80.33,81.66,81.76,80.33
81.21,82.78,82.86,81.15
82.88,84.19,84.19,82.74
84.79,83.52,84.87,83.21
83.24,82.37,83.59,82.03
83.07,81.87,83.10,80.94
80.56,82.12,82.44,80.56
83.56,83.59,83.79,82.98
83.35,83.18,83.70,82.56
83.43,84.16,84.18,83.32
83.65,83.74,84.08,83.48
82.89,83.75,83.86,82.49
84.21,84.52,84.64,83.89
83.62,83.56,84.09,82.93
81.97,80.77,82.09,80.59
79.19,80.35,80.61,79.18
80.01,79.86,80.42,79.77
79.15,79.88,80.20,78.89
80.60,81.18,81.84,80.41
81.08,81.46,81.98,80.57
80.94,80.25,81.40,79.92
79.92,80.18,80.24,79.23
80.57,79.49,80.92,79.48
78.44,78.15,78.94,77.55
77.33,78.66,78.87,76.96
78.86,78.23,79.34,78.02
78.89,79.89,79.96,77.51
79.58,78.63,80.00,78.62
78.36,78.51,79.07,77.86
79.61,81.08,81.17,79.61
81.07,82.30,82.42,81.07
83.30,83.48,83.86,82.99
83.16,82.43,83.25,82.36
82.67,83.08,83.44,82.60
84.01,83.14,84.19,82.79
83.30,83.35,83.59,83.01
84.34,84.86,85.03,84.24
84.69,85.04,85.56,84.49
84.89,85.51,85.64,84.47
85.24,85.46,85.70,85.10
85.87,85.71,85.93,85.08
86.00,87.20,87.21,85.74
87.22,86.74,87.32,86.48
86.41,86.08,87.08,85.62
85.36,85.58,86.66,85.22
86.64,87.53,87.57,86.46
87.62,87.54,87.95,87.10
87.86,88.13,88.26,86.55
87.71,88.08,88.41,87.65
88.64,88.05,89.20,87.59
88.73,88.18,88.89,87.67
87.90,87.20,88.38,86.68
88.19,89.07,89.31,88.09
88.97,88.12,89.05,87.71
88.45,88.14,88.64,87.47
88.21,88.73,89.05,87.69
88.84,89.04,89.47,88.72
88.69,89.37,89.62,88.00
89.95,90.23,90.65,89.70
90.16,89.78,90.38,89.27
90.39,89.89,90.63,89.13
89.91,90.24,90.24,89.70
89.21,88.47,89.67,87.93
88.53,89.46,89.89,88.53
89.80,89.43,90.43,88.67
89.84,90.35,90.43,89.56
90.93,91.12,91.87,90.93
90.60,91.25,91.72,90.23
90.63,91.30,91.40,90.34
