FXS,Guggenheim CurrencyShares Swedish Krona Trust,NASDAQ
141.87,141.27,141.91,141.21
140.76,140.18,140.94,140.02
140.74,141.16,141.28,140.60
140.43,140.01,140.43,139.92
140.20,140.82,140.82,139.56
142.00,141.86,142.21,141.86
141.15,141.06,141.67,141.06
141.56,141.88,141.88,141.24
141.63,142.17,142.17,141.63
141.22,140.77,141.22,140.77
140.41,140.41,140.41,140.41
138.62,138.45,138.70,138.45
138.74,137.78,138.84,137.78
137.66,137.66,137.79,137.55
137.79,137.96,138.03,137.70
136.36,137.20,137.20,136.36
136.51,136.41,136.60,136.41
135.78,135.81,135.95,135.61
135.20,134.99,135.20,134.71
135.99,137.32,137.32,135.99
137.41,137.53,137.75,137.39
137.50,137.06,137.50,137.00
134.93,134.14,134.93,133.99
133.55,133.47,133.81,132.91
134.11,134.15,134.80,134.11
135.36,135.93,136.10,135.36
136.00,136.27,136.56,135.96
137.80,137.83,137.83,137.80
136.93,137.39,137.39,136.92
139.02,139.02,139.02,139.02
139.36,138.21,139.36,138.12
138.54,138.54,138.54,138.54
136.25,138.04,138.04,136.25
138.59,138.58,138.59,138.14
137.30,137.04,137.30,137.04
138.62,138.05,138.78,138.05
137.90,138.83,138.85,137.68
140.34,139.73,140.34,139.73
138.31,138.78,138.83,137.88
138.70,138.95,139.18,138.31
139.00,139.81,139.93,139.00
139.57,139.26,139.57,139.14
139.90,140.05,140.17,139.87
140.69,140.24,140.69,140.18
139.15,139.76,139.76,139.14
139.97,139.97,139.97,139.97
139.69,140.31,140.31,139.69
141.15,141.30,141.50,141.15
140.72,140.35,140.72,139.67
140.45,141.06,141.06,140.45
140.88,140.99,140.99,140.88
140.22,139.96,140.22,139.75
138.98,138.98,139.52,138.90
138.34,138.46,138.51,138.32
138.55,138.55,138.55,138.55
137.17,137.17,137.63,137.02
137.90,136.97,137.94,136.97
137.46,137.29,137.73,137.19
136.98,137.13,137.26,136.94
137.35,137.35,137.35,137.35
138.19,138.00,138.26,138.00
139.06,139.11,139.13,139.06
139.00,138.91,139.00,138.88
138.00,138.38,138.38,137.79
137.75,137.54,137.86,137.54
137.22,137.53,137.53,137.22
137.40,138.37,138.37,137.40
139.00,138.68,139.08,138.59
138.84,139.20,139.35,138.84
139.61,139.87,139.90,139.61
139.33,139.35,139.35,139.32
138.29,138.81,138.81,138.29
138.50,138.86,138.86,138.50
139.21,139.43,139.43,139.09
139.05,138.66,139.05,138.66
137.51,137.97,137.97,137.48
137.82,138.86,138.86,137.82
139.00,139.21,139.21,138.99
137.99,136.95,137.99,136.95
136.81,136.47,136.95,136.16
137.12,137.52,137.52,137.12
137.32,137.32,137.32,137.32
137.00,137.00,137.00,137.00
135.60,134.45,135.60,134.45
