ERX,Direxion Energy Bull 3X Shares,NASDAQ
41.50,43.20,43.23,41.47
43.31,44.20,44.40,42.83
44.00,45.80,46.11,43.88
45.14,45.50,45.71,44.28
44.99,46.22,46.28,44.57
47.33,46.15,47.55,45.23
44.52,44.20,45.07,43.66
44.28,44.71,45.14,42.53
44.59,45.11,45.40,44.25
nan,43.87,nan,nan
43.57,45.03,45.15,43.25
43.50,42.97,43.60,41.90
43.00,40.17,43.26,40.00
39.69,37.41,40.47,37.32
38.50,38.25,39.34,37.89
37.40,37.67,39.48,36.84
37.53,37.12,38.30,35.51
37.72,35.89,38.18,34.68
36.85,34.14,37.75,33.64
35.45,37.34,37.40,35.14
38.00,38.98,39.09,37.04
38.65,38.00,39.45,37.68
37.00,33.56,37.10,33.35
33.53,33.36,33.81,30.66
33.54,32.65,34.65,32.59
33.87,34.51,35.72,33.50
34.52,34.08,34.68,32.52
34.23,35.83,35.93,33.48
nan,35.64,nan,nan
37.00,38.10,38.48,36.82
38.62,37.90,38.70,37.24
37.74,38.45,38.75,37.21
37.90,38.67,39.14,37.55
38.96,37.12,39.03,36.94
36.54,35.36,36.88,34.92
35.50,36.01,36.44,35.09
34.63,35.99,36.08,33.71
36.35,36.22,36.63,35.41
36.85,37.19,37.49,36.65
37.82,38.13,38.90,37.70
38.63,38.44,39.48,38.44
38.57,37.93,39.00,37.46
39.00,40.01,40.13,38.87
40.22,39.84,40.57,39.32
39.24,39.95,40.60,39.12
40.09,40.79,41.06,39.54
40.48,40.76,40.97,40.17
41.43,40.79,41.46,40.25
40.30,39.60,40.30,38.43
39.95,40.58,40.70,39.30
41.25,41.92,42.62,41.00
41.83,40.13,42.11,39.56
40.38,38.84,40.54,37.78
37.63,38.60,38.99,37.03
38.48,38.68,38.78,37.75
37.99,38.13,38.95,37.71
38.76,36.31,39.05,36.12
36.74,36.37,37.03,35.64
37.01,38.26,38.49,36.90
38.41,38.40,38.65,37.75
38.55,38.89,39.33,38.05
nan,40.81,nan,nan
41.70,42.86,43.11,41.15
42.77,42.99,43.38,42.37
42.90,41.88,42.90,41.13
40.81,42.42,42.76,40.41
43.16,43.80,43.94,43.00
43.65,44.13,44.90,43.57
44.00,43.68,44.29,42.38
44.32,44.78,44.90,43.26
44.75,44.93,45.40,44.46
44.08,43.05,44.87,42.06
41.77,43.05,43.08,41.43
43.72,45.32,45.82,43.72
45.57,45.08,46.16,44.27
44.00,45.27,45.45,43.20
45.39,48.36,48.40,45.30
48.60,47.98,48.93,47.77
47.17,43.93,48.25,43.65
45.17,45.40,45.71,43.64
45.93,45.61,47.07,44.83
45.96,44.02,46.05,43.32
44.71,45.34,46.33,43.12
43.88,41.73,43.98,40.47
39.85,39.76,41.53,38.86
39.16,35.50,40.05,29.37
35.89,33.82,36.73,32.54
37.94,38.05,38.30,36.50
36.96,37.31,38.92,36.64
37.80,38.71,39.04,37.59
38.31,37.93,39.38,37.50
37.06,35.62,37.30,34.10
35.67,34.64,36.28,32.42
36.00,33.65,36.75,33.23
33.32,32.59,33.94,31.07
30.76,28.42,30.76,28.22
27.10,29.76,29.95,26.63
29.84,27.83,29.87,27.79
26.00,28.06,28.06,25.15
28.94,27.71,29.62,27.48
29.86,31.19,31.37,29.48
nan,29.51,nan,nan
28.49,25.79,29.07,25.70
26.51,29.05,29.10,26.15
29.74,30.15,30.24,28.03
28.50,27.01,29.97,26.33
27.35,26.17,28.13,26.12
26.52,27.61,27.93,25.80
28.57,26.82,29.62,26.40
28.72,30.62,30.75,28.56
29.58,31.03,31.15,29.49
32.30,30.74,32.88,30.59
31.58,33.09,33.30,31.28
32.44,33.11,33.70,32.06
33.38,33.04,33.47,32.01
33.00,33.68,33.78,32.40
35.02,33.48,35.63,32.68
33.17,30.61,33.38,30.27
30.46,29.70,30.52,29.26
29.46,27.86,29.77,27.51
28.19,27.94,28.70,26.96
28.18,26.78,28.33,26.75
25.76,24.33,25.76,23.72
24.30,23.63,25.17,23.59
23.92,23.43,24.30,22.18
nan,23.25,nan,nan
24.40,23.94,25.14,23.20
24.27,26.41,26.44,24.20
27.27,27.34,27.61,26.09
27.32,27.82,27.94,27.03
27.37,27.55,28.17,26.82
28.55,28.53,29.00,28.19
28.18,28.41,28.91,27.62
28.48,28.44,28.73,27.04
27.82,26.19,27.96,25.83
26.71,26.87,27.26,26.05
25.93,28.56,28.71,25.60
29.01,27.33,29.07,26.66
28.29,29.21,29.82,28.21
29.00,29.46,29.52,28.03
29.62,30.42,30.46,29.33
30.90,29.92,30.90,29.25
29.71,29.78,30.33,29.51
30.50,29.73,31.19,29.01
28.99,29.60,29.99,28.70
31.04,32.66,32.87,31.04
32.30,32.75,33.30,31.88
33.17,33.39,33.63,32.47
32.90,33.53,33.54,32.33
32.49,32.50,33.00,31.11
33.13,32.89,33.28,32.42
