EZJ,ProShares Ultra MSCI Japan,NASDAQ
64.56,65.97,65.99,64.56
66.81,67.16,67.16,66.75
66.78,67.50,67.50,66.78
66.52,66.50,66.79,66.50
67.17,67.17,67.17,67.17
67.17,67.17,67.17,67.17
70.25,70.08,70.39,70.08
70.81,70.81,70.81,70.81
71.87,72.94,73.12,71.87
73.04,71.84,73.40,71.61
71.66,72.60,72.60,71.66
69.21,69.37,69.37,68.39
70.56,69.74,70.56,69.21
69.48,70.04,70.57,69.45
69.90,69.80,69.90,69.80
67.72,69.00,69.19,67.72
66.88,67.15,67.60,66.65
67.42,66.04,67.42,66.04
65.20,64.59,65.80,64.26
65.02,65.30,65.30,64.78
67.01,67.74,67.74,67.01
66.44,66.68,66.68,66.38
64.17,63.80,64.17,63.80
63.00,62.49,63.65,62.25
63.15,62.49,63.90,62.49
62.89,64.20,64.42,62.89
63.92,63.41,63.92,63.39
63.38,63.28,63.38,63.28
62.99,63.05,63.05,62.99
63.24,64.71,64.71,63.24
64.71,64.71,64.71,64.71
64.71,64.71,64.71,64.71
62.84,62.84,62.84,62.84
64.16,64.16,64.16,64.16
64.04,63.75,64.16,63.75
64.41,64.37,64.65,64.37
63.60,64.13,64.13,63.45
65.41,65.41,65.41,65.41
65.41,65.41,65.41,65.41
67.56,67.02,67.56,66.87
67.80,68.00,68.47,67.69
67.00,66.58,67.00,66.05
66.88,67.10,67.10,66.88
68.99,68.87,68.99,68.87
68.76,68.55,68.76,68.45
67.54,67.54,67.54,67.54
67.54,67.54,67.54,67.54
69.64,69.45,69.82,69.13
68.95,69.00,69.10,68.73
70.76,70.90,70.90,70.76
70.52,70.67,70.89,70.52
70.48,70.34,70.48,70.34
70.15,70.15,70.28,69.66
69.94,70.61,70.61,69.93
70.61,70.61,70.61,70.61
69.63,69.66,69.66,69.63
69.09,69.09,69.09,69.09
70.29,70.30,70.30,70.29
72.20,72.34,72.34,72.19
73.45,73.00,73.45,73.00
73.00,73.00,73.00,73.00
73.16,72.95,73.16,72.95
73.50,74.10,74.10,73.50
73.56,73.95,73.95,73.43
73.83,74.00,74.00,73.53
73.14,72.85,73.14,72.85
73.85,74.11,74.11,73.85
74.06,74.36,74.60,74.06
74.44,73.68,74.44,73.68
74.39,74.64,74.78,74.05
74.65,75.48,75.48,74.65
72.23,72.50,72.68,72.23
72.05,71.83,72.05,71.72
71.83,72.17,72.17,71.83
72.22,72.00,72.22,71.92
70.24,70.80,70.80,70.00
70.71,72.20,72.21,70.71
72.98,73.16,73.37,72.98
70.70,70.70,70.70,70.70
69.94,69.94,70.07,69.59
70.98,71.57,71.84,70.98
71.67,70.99,71.67,70.71
70.67,71.67,71.72,70.67
69.37,66.99,69.37,66.38
66.44,66.85,66.85,66.44
66.25,64.08,67.80,59.59
66.59,64.53,66.59,64.37
69.05,68.20,69.29,68.20
65.87,65.95,67.16,65.27
66.20,66.81,67.22,66.20
66.14,66.07,66.52,66.00
64.98,63.35,64.98,63.35
64.35,64.60,64.63,63.32
64.26,62.06,64.50,62.02
62.91,62.98,63.09,62.56
61.78,61.54,61.78,61.26
59.32,62.27,62.27,59.32
61.52,60.74,61.52,60.74
57.82,59.87,59.87,57.48
59.08,58.87,59.23,58.87
60.73,61.30,61.30,60.52
60.23,59.67,60.48,59.67
59.20,58.97,60.42,58.97
58.03,59.43,59.43,56.44
59.95,59.00,60.00,58.96
57.62,56.59,58.06,56.59
55.69,54.84,56.29,54.84
55.45,56.28,56.28,54.44
56.18,56.14,56.99,55.94
57.83,58.00,58.02,57.75
57.00,57.84,57.84,56.85
58.41,58.47,59.26,58.41
59.86,60.75,60.84,59.86
60.89,60.89,60.89,60.89
61.13,60.92,61.13,60.92
60.51,60.50,60.51,60.50
62.63,61.69,62.71,61.69
62.22,60.68,62.22,60.42
60.59,60.41,60.59,59.64
60.53,59.56,60.53,59.44
59.77,59.50,60.13,59.50
59.39,59.38,59.39,59.12
57.34,56.38,57.34,55.97
56.50,56.12,56.88,56.12
56.51,56.64,56.64,55.78
57.53,56.31,57.63,56.31
60.28,59.60,61.08,59.60
59.86,60.98,60.98,59.86
60.88,60.72,61.23,60.60
60.06,60.47,60.47,60.06
60.08,60.09,60.34,59.74
60.86,60.89,60.89,60.86
61.32,61.22,61.32,61.22
60.45,60.07,60.45,60.05
58.50,58.50,58.50,58.50
58.50,58.50,58.50,58.50
57.14,57.44,57.44,56.08
57.76,57.63,57.76,57.63
58.83,58.83,58.83,58.83
59.67,59.67,59.67,59.67
59.16,59.16,59.16,59.16
60.20,60.12,60.20,60.09
61.42,61.07,61.44,61.07
61.63,62.13,62.13,61.63
60.73,61.06,61.24,60.67
62.30,63.71,63.71,62.30
63.00,63.00,63.00,63.00
62.22,62.92,62.92,62.22
62.92,62.92,62.92,62.92
63.78,63.11,63.89,62.79
63.53,64.07,64.15,63.53
62.04,63.16,63.16,62.04
59.91,58.91,59.94,58.71
58.20,58.27,58.27,58.20
58.27,58.27,58.27,58.27
59.18,58.96,59.68,58.96
60.55,60.07,60.82,60.07
60.07,60.07,60.07,60.07
60.07,60.07,60.07,60.07
60.07,60.07,60.07,60.07
59.25,58.74,59.25,58.74
58.39,58.59,58.77,58.39
57.32,58.11,58.11,57.28
58.20,57.94,58.60,57.74
59.36,59.46,59.50,59.36
59.33,59.11,59.33,59.11
57.38,58.23,58.23,57.38
59.20,60.56,60.56,59.20
59.94,59.84,60.06,59.69
61.10,61.44,61.44,61.06
62.32,62.05,62.32,61.77
61.53,61.66,61.85,61.52
62.55,62.55,62.55,62.55
62.21,62.54,62.55,62.21
63.60,63.50,63.60,63.50
63.51,63.51,63.51,63.51
62.55,63.96,63.96,62.55
62.27,62.27,62.27,62.27
62.12,62.29,62.29,62.12
63.73,63.80,63.80,63.73
63.80,63.80,63.80,63.80
62.76,62.76,62.76,62.76
62.08,62.08,62.08,62.08
63.80,64.04,64.04,63.77
64.06,64.50,64.68,64.06
64.50,64.50,64.50,64.50
