SLG,SL Green Realty Corporation Common Stock,NASDAQ
50.68,48.93,51.25,48.58
48.71,48.02,48.81,47.24
48.19,47.70,48.79,47.37
47.86,48.91,48.96,46.69
48.43,48.56,48.86,47.27
49.89,49.43,50.49,49.12
48.70,49.62,50.82,48.70
49.67,50.81,51.00,49.02
50.52,50.59,51.66,50.00
50.40,50.05,50.91,50.00
50.06,51.72,52.21,50.04
51.08,50.98,51.27,50.16
51.26,47.71,51.62,47.67
46.98,46.00,48.12,45.05
46.56,45.92,46.56,44.12
45.43,45.72,46.56,44.47
45.61,45.93,46.32,44.43
45.97,45.64,46.10,45.32
46.03,45.49,46.36,44.81
46.69,47.55,47.66,46.13
47.78,47.99,48.03,47.13
47.64,47.76,47.86,46.77
47.18,45.10,47.18,44.94
45.17,45.54,46.49,43.81
45.84,44.18,46.41,44.06
45.08,44.26,45.08,43.33
44.16,44.75,45.30,43.49
44.48,45.33,45.50,44.23
44.57,45.96,46.07,44.25
46.69,47.94,48.02,46.29
48.14,47.90,48.58,47.45
47.52,48.11,48.55,47.24
47.64,48.12,48.37,47.50
48.35,49.57,50.00,48.17
49.39,48.79,49.57,48.59
48.93,49.96,49.98,48.47
49.02,50.49,50.58,48.87
50.54,51.06,51.50,50.07
51.50,51.50,51.75,51.03
51.69,52.41,52.66,51.63
52.47,52.07,52.92,51.88
52.35,52.83,53.00,52.16
53.16,55.40,55.74,52.97
55.36,57.45,57.87,55.36
56.99,57.00,58.58,56.70
57.21,57.11,58.16,56.45
56.03,57.37,57.59,55.82
57.60,56.41,57.64,55.90
56.34,55.67,56.50,54.80
55.67,57.08,57.40,55.67
57.47,57.60,58.25,57.24
57.66,56.74,58.07,56.70
55.18,55.18,56.96,55.12
54.83,55.51,55.90,54.33
55.53,54.90,55.78,54.71
54.48,54.78,55.24,54.35
55.24,55.93,57.09,55.21
56.05,54.55,56.33,54.13
54.78,56.12,56.49,54.42
56.22,57.06,57.44,56.02
56.71,57.27,59.16,56.60
57.78,57.80,58.68,57.15
58.05,60.39,60.75,57.99
60.26,63.49,64.48,60.23
63.09,59.85,63.56,59.39
59.47,60.50,60.71,59.16
60.92,61.80,62.00,60.48
61.75,60.53,61.78,60.38
60.47,62.05,62.63,60.47
62.62,61.66,62.96,61.50
61.29,59.82,62.19,59.79
59.66,58.36,61.00,58.32
58.03,59.39,59.76,57.88
60.02,60.86,60.91,58.97
61.21,62.28,62.57,60.66
61.53,63.82,64.25,61.10
63.62,64.52,65.16,62.86
64.30,64.33,66.11,64.19
60.81,61.42,63.55,59.90
62.23,62.35,63.16,61.60
63.21,64.80,64.99,62.97
64.80,62.17,65.28,61.80
62.90,64.71,65.19,62.60
63.21,65.12,65.74,62.73
64.03,65.00,66.44,63.03
64.36,62.90,64.68,59.26
62.67,59.25,64.88,58.35
62.32,64.85,64.87,62.32
63.73,65.40,65.84,63.19
65.63,67.69,67.99,65.25
67.34,67.48,68.08,66.67
