RWR,SPDR DJ Wilshire REIT ETF,NASDAQ
49.71,48.99,50.00,48.67
49.04,49.03,49.06,48.34
49.02,49.00,49.36,48.80
48.95,49.45,49.70,48.44
49.33,48.99,49.33,48.61
49.27,49.27,49.59,49.03
48.85,48.44,49.25,48.22
48.55,49.46,49.60,48.55
49.49,49.36,49.55,49.05
49.29,48.92,49.34,48.80
49.01,49.98,50.16,48.98
49.51,49.40,49.68,48.96
49.48,47.97,49.76,47.90
47.90,46.83,48.32,46.60
47.41,46.98,47.41,46.19
46.62,46.63,47.37,46.57
46.71,47.08,47.14,45.92
47.34,46.61,47.34,46.21
47.03,46.32,47.41,46.07
46.77,47.23,47.34,46.59
47.39,47.92,48.17,46.86
47.75,47.12,47.75,46.86
46.78,45.39,46.85,45.38
45.59,46.33,46.45,44.91
46.34,45.17,46.58,45.16
45.74,45.09,45.92,44.71
45.22,45.13,45.74,44.33
45.10,45.55,45.59,44.59
44.98,45.99,46.03,44.86
46.48,47.36,47.44,46.48
47.38,47.87,48.04,47.38
47.67,48.48,48.65,47.47
48.35,48.47,48.81,48.14
48.66,48.75,49.02,48.43
48.49,48.41,48.83,48.20
48.48,48.79,48.81,48.33
48.29,48.97,49.09,47.98
49.03,48.95,49.52,48.75
49.21,49.42,49.62,49.09
49.59,49.45,49.71,49.30
49.47,49.26,49.64,49.23
49.39,49.59,49.66,49.27
49.79,50.94,51.09,49.67
51.00,51.50,51.69,50.91
51.32,51.76,52.40,51.19
51.77,52.04,52.30,51.59
51.79,52.42,52.42,51.67
52.79,52.81,53.12,52.39
52.63,52.72,53.05,52.16
52.86,53.95,54.15,52.75
54.20,54.68,54.90,54.00
54.70,54.50,54.99,54.40
53.60,53.60,54.43,53.57
53.23,54.23,54.41,53.08
54.26,54.12,54.26,53.59
53.96,54.37,54.74,53.90
54.77,54.63,55.56,54.58
54.77,54.25,55.05,54.09
54.58,54.34,54.58,54.05
54.49,54.30,54.60,54.09
54.08,53.76,54.36,53.68
54.10,53.93,54.12,53.48
54.23,55.19,55.27,54.05
55.06,56.41,56.54,54.86
56.25,55.14,56.45,54.90
54.92,55.13,55.26,54.80
55.35,56.09,56.13,55.10
56.23,55.60,56.23,55.60
55.68,57.07,57.25,55.63
57.53,57.07,57.54,56.75
56.77,55.54,56.94,55.46
55.38,54.19,55.83,54.09
53.77,54.42,54.87,53.65
54.77,55.37,55.37,54.20
55.29,56.33,56.71,55.29
55.96,57.30,57.50,55.63
57.44,57.99,58.07,56.87
58.19,58.49,58.91,57.96
58.11,56.65,58.51,56.57
57.27,56.76,57.32,56.55
57.55,59.34,59.44,57.05
59.17,57.45,59.75,57.41
58.14,59.44,59.83,58.02
58.65,58.16,58.93,57.61
57.31,57.32,58.40,56.48
56.93,54.93,60.25,48.50
55.23,54.11,56.32,53.21
56.91,57.78,57.81,56.50
56.88,57.91,58.56,56.72
58.18,58.86,59.12,57.86
59.06,58.08,59.09,57.88
57.49,56.18,57.63,55.50
56.35,56.15,57.24,54.53
56.90,54.69,57.09,54.39
54.30,54.17,55.41,52.76
52.77,51.48,53.27,51.35
50.58,53.22,53.28,50.31
53.15,51.88,53.50,51.87
50.32,52.42,52.50,49.86
53.13,52.24,53.90,51.94
53.48,55.14,55.23,52.99
55.08,54.34,55.51,54.12
53.77,53.27,54.69,53.22
53.80,54.41,54.48,52.77
54.45,54.30,54.74,53.79
53.28,51.12,53.59,50.90
51.23,50.91,52.30,50.82
51.06,51.77,51.88,49.75
52.26,52.13,53.66,51.89
53.19,54.46,54.62,52.84
54.00,55.05,55.22,53.76
55.78,55.81,56.35,55.22
56.10,57.04,57.14,55.71
56.60,56.49,56.93,56.19
56.66,56.63,56.86,55.99
56.30,55.89,56.34,55.67
56.70,55.57,56.93,55.34
55.60,53.72,55.85,53.68
53.66,54.01,54.59,52.95
53.75,52.71,53.81,52.62
52.99,54.13,54.38,52.71
54.31,53.42,54.33,53.27
52.62,51.63,52.68,51.27
51.78,51.01,52.47,50.94
50.97,51.00,51.37,49.67
51.15,49.91,51.33,49.67
50.77,48.78,51.13,48.30
48.88,51.20,51.28,48.86
51.83,51.88,52.29,50.93
51.77,52.60,52.66,51.77
52.44,52.72,52.90,51.90
53.47,53.96,54.23,53.27
53.77,53.71,54.20,52.98
53.67,53.46,53.77,52.47
53.10,51.75,53.18,51.36
51.88,52.45,52.69,50.99
51.47,53.43,53.59,51.38
53.73,52.22,53.81,52.01
52.90,54.33,54.72,52.83
54.24,54.92,54.98,53.31
55.04,56.43,56.46,54.63
56.84,56.35,57.04,55.68
56.07,56.25,56.94,55.92
56.84,55.77,56.85,55.24
55.08,56.07,56.38,54.98
56.98,58.00,58.18,56.82
57.90,57.47,57.90,57.07
57.56,57.86,57.86,57.16
57.38,57.17,57.84,57.02
56.49,56.88,57.04,55.95
57.16,57.56,57.70,56.80
57.00,56.87,57.49,56.35
55.90,55.50,56.22,55.05
54.90,54.69,55.32,54.50
54.71,54.73,55.17,54.64
54.50,54.72,55.21,54.22
55.25,55.98,56.41,54.96
56.02,56.03,56.43,55.63
55.77,54.61,55.86,54.30
54.30,54.37,54.50,53.88
54.62,54.14,54.83,54.13
53.41,53.86,54.23,52.94
53.52,54.77,55.02,53.45
55.16,54.52,55.46,54.38
54.84,55.31,55.39,53.66
55.19,54.89,55.71,54.83
54.72,55.36,55.51,54.44
56.10,57.12,57.29,55.95
57.17,57.91,57.94,57.08
58.66,58.72,58.78,58.16
58.39,57.77,58.43,57.72
57.95,57.86,58.33,57.73
58.60,57.36,58.60,57.12
57.38,57.66,57.83,57.16
58.15,58.45,58.59,57.97
58.33,58.34,58.75,58.07
58.12,58.91,59.07,58.01
58.77,58.56,58.92,58.33
58.36,58.20,58.36,57.74
58.47,59.67,59.89,58.35
59.77,58.73,59.77,58.62
58.64,58.00,58.82,57.84
57.53,56.45,57.62,56.32
57.19,58.04,58.16,57.19
58.31,57.37,58.31,57.11
57.50,57.65,57.71,56.51
57.57,57.13,57.57,56.91
57.58,57.34,58.08,56.89
57.69,57.63,57.80,56.84
57.47,58.07,58.07,57.35
58.59,59.07,59.23,58.14
58.82,58.70,58.94,58.38
59.02,58.79,59.24,58.56
58.89,58.96,59.13,58.53
59.08,58.99,59.20,58.84
58.81,59.41,59.58,58.56
59.69,59.98,60.56,59.54
59.89,59.82,60.26,59.50
60.02,59.80,60.36,59.69
59.72,60.59,60.59,59.72
59.79,59.82,60.70,59.59
59.89,61.14,61.65,59.89
61.47,61.01,61.74,60.65
61.15,61.05,61.43,60.66
61.44,61.15,61.54,61.05
60.61,60.71,60.90,60.40
60.40,60.23,60.67,59.84
60.53,59.83,60.79,59.32
59.69,59.86,60.13,59.69
60.05,60.43,61.00,60.05
60.90,60.83,61.00,60.51
60.99,60.74,61.02,60.38
61.40,62.29,62.35,61.22
62.39,62.93,63.32,62.03
62.68,62.56,62.92,62.06
62.79,60.06,62.79,59.57
60.18,60.77,60.81,60.07
60.42,60.27,60.85,60.10
59.90,59.68,60.41,59.42
59.88,59.06,60.17,59.06
58.79,57.10,58.79,56.67
57.28,57.61,57.90,57.03
58.39,58.14,58.62,58.00
57.95,58.47,58.57,57.46
58.18,58.59,58.75,58.18
57.87,58.06,58.21,57.79
58.57,59.22,59.32,58.57
58.95,59.10,59.33,58.87
