PNC,PNC Financial Services Group,NASDAQ
53.74,53.51,54.10,53.20
53.27,54.05,54.07,53.03
54.03,54.05,54.85,53.67
53.85,56.98,57.21,53.75
56.81,57.13,57.52,56.10
57.18,57.29,58.00,56.93
56.84,56.70,57.76,55.92
56.58,57.04,57.49,56.29
56.93,57.84,57.98,56.44
57.51,56.68,58.00,56.43
56.54,57.83,58.20,55.72
57.71,58.79,58.94,57.30
57.64,55.70,58.05,55.01
56.18,53.62,56.64,53.31
54.37,54.01,54.91,53.07
53.87,52.66,54.81,52.60
52.48,54.36,54.66,52.44
54.87,54.14,55.00,53.20
55.37,55.43,56.89,55.20
55.82,55.86,56.22,55.01
55.89,54.65,56.25,53.80
54.17,53.71,54.60,53.67
53.57,51.03,53.65,51.00
51.72,51.79,51.89,50.46
51.66,50.75,52.20,50.61
51.49,51.06,52.08,50.46
51.18,51.28,52.03,50.91
51.31,51.40,51.70,50.74
51.41,51.52,51.61,50.60
51.74,52.44,52.50,51.27
52.80,51.85,52.80,51.40
51.47,51.87,52.22,51.44
51.65,51.70,52.14,51.31
52.38,53.17,53.61,52.37
53.07,52.56,53.39,52.09
52.82,53.78,53.82,52.29
53.49,53.64,53.65,52.60
53.60,53.76,54.06,53.13
53.89,53.81,54.00,53.28
53.53,53.51,54.23,53.11
53.59,53.75,54.34,53.41
53.94,54.20,54.30,53.69
54.65,55.57,55.68,54.32
56.27,55.53,56.29,55.50
55.44,56.19,56.50,55.05
56.49,57.40,57.60,56.12
57.26,58.44,58.45,56.93
58.77,57.86,58.92,57.67
57.42,57.30,57.58,56.35
57.43,58.62,58.62,57.33
58.85,59.96,60.10,58.59
59.91,59.20,59.98,58.43
59.61,59.61,60.14,58.84
58.96,59.85,60.09,58.84
59.81,59.81,59.98,58.80
59.62,59.87,60.56,59.36
60.21,59.93,61.80,59.84
59.98,59.57,60.96,59.18
60.00,59.47,60.16,58.96
59.47,58.69,59.58,58.12
58.43,59.70,60.00,58.28
60.17,60.24,60.73,59.89
60.50,61.66,61.70,60.34
61.38,62.58,62.65,61.37
62.69,62.50,63.35,62.12
62.36,64.10,64.77,62.19
64.36,64.80,64.80,63.49
64.83,65.27,65.75,64.83
64.78,63.62,65.00,63.36
63.86,65.16,65.67,63.86
64.97,64.16,65.35,64.01
64.02,63.02,64.02,60.79
62.59,63.50,63.88,62.17
64.07,64.92,64.94,63.24
64.88,65.30,66.49,64.12
66.85,68.82,69.24,66.39
69.49,69.64,70.45,68.87
69.89,66.77,69.89,66.70
66.68,66.09,68.45,66.02
66.10,65.47,66.98,64.71
66.23,66.06,67.31,65.79
65.90,67.21,67.70,65.89
