TPX,Tempur Sealy International,NASDAQ
23.99,24.43,24.45,23.99
25.02,25.55,26.00,24.99
27.50,26.90,27.90,26.33
26.94,26.70,27.44,26.12
26.73,26.84,26.91,26.40
26.98,26.72,27.17,26.52
26.34,25.83,26.42,25.72
26.06,26.34,26.60,25.59
26.13,25.84,26.37,25.71
25.92,25.35,25.92,25.20
25.35,25.19,25.61,24.83
25.00,24.93,25.21,24.73
24.91,24.48,25.27,24.47
24.42,24.60,25.00,24.07
25.00,25.15,25.34,24.37
24.99,25.36,25.75,24.64
24.34,24.53,24.72,23.50
24.69,25.61,26.06,24.43
25.67,24.89,25.96,24.76
25.00,25.55,25.75,25.00
25.66,27.32,27.57,25.50
27.10,27.11,27.62,26.65
26.81,26.57,27.01,26.47
26.58,26.91,27.10,25.99
26.97,26.56,27.32,26.50
26.85,27.28,27.34,26.44
27.20,26.36,27.92,26.25
26.23,27.00,27.14,26.06
26.69,27.15,27.30,26.67
27.58,28.34,28.38,27.50
28.52,28.65,28.71,27.99
28.64,28.60,28.66,28.28
28.39,28.55,28.80,27.50
28.95,28.39,28.96,28.27
28.37,27.69,28.53,27.42
27.77,27.48,27.92,26.90
27.03,28.28,28.34,26.90
28.30,28.40,28.68,28.13
28.42,29.31,29.49,28.33
29.44,29.13,29.61,29.00
29.12,29.52,29.87,28.98
29.53,29.41,29.88,29.11
29.56,30.00,30.03,29.08
30.19,30.03,30.50,29.87
29.86,30.35,30.45,29.77
30.28,30.64,30.92,30.20
30.82,31.05,31.13,30.45
31.14,30.90,31.28,30.77
30.79,30.68,30.99,30.05
30.89,30.61,31.01,30.53
30.64,29.97,30.64,29.75
29.94,30.14,30.32,29.78
28.94,28.94,30.30,28.86
28.70,29.68,29.83,28.26
29.79,30.21,30.38,29.70
30.11,29.79,30.40,29.51
30.00,29.76,30.51,29.68
29.84,30.21,30.27,29.84
30.42,31.15,31.25,30.42
31.28,30.75,31.41,30.40
30.52,30.16,30.92,30.11
30.30,30.60,30.62,30.00
30.79,31.09,31.26,30.79
31.10,30.96,31.19,30.79
30.90,30.30,30.95,29.90
30.20,30.58,30.96,29.50
30.60,30.74,30.82,30.04
30.78,31.22,31.36,30.56
31.21,30.77,31.34,30.43
30.90,31.31,31.35,30.82
31.29,31.21,31.72,30.87
31.03,30.58,31.24,29.89
30.38,30.62,30.93,30.00
30.71,31.24,31.63,30.65
33.48,34.78,34.89,32.37
34.37,35.66,35.80,34.03
35.79,34.79,36.15,34.36
34.98,34.27,35.21,34.08
34.10,33.45,34.32,33.02
33.79,34.15,34.19,33.26
34.51,34.97,35.10,34.32
35.13,33.70,35.20,33.70
33.93,34.59,34.70,33.93
34.02,33.33,34.12,33.03
33.04,32.35,33.04,30.69
31.99,31.28,32.89,28.44
31.14,30.38,32.02,30.07
32.48,33.53,33.55,32.17
32.91,33.78,34.27,32.39
34.05,35.06,35.35,33.95
35.02,34.50,36.29,34.13
34.04,33.68,34.63,33.20
33.87,33.88,34.03,32.25
34.47,32.75,34.60,32.51
32.49,32.37,33.30,31.80
31.37,30.82,32.11,30.63
30.02,31.47,31.80,29.77
31.52,31.15,32.57,31.11
30.13,31.50,31.59,29.41
31.89,31.69,33.14,31.34
32.59,33.22,33.23,32.20
33.19,33.20,34.32,32.88
32.93,31.77,33.06,31.72
31.88,32.64,32.65,31.42
33.07,32.55,33.13,31.80
31.80,30.47,32.18,30.25
30.76,29.72,30.83,29.18
29.90,29.65,30.16,28.24
30.03,31.30,32.25,30.00
32.05,32.56,32.62,31.49
31.88,32.87,33.04,31.70
33.25,33.44,33.86,33.04
33.61,33.78,33.85,32.89
33.47,34.84,34.97,33.22
34.84,34.81,35.31,34.42
35.05,35.01,35.43,34.53
35.57,35.79,36.36,35.49
36.06,34.46,36.17,34.41
34.31,33.76,34.39,33.21
33.54,32.26,33.61,32.16
32.15,32.18,32.98,31.76
32.04,32.66,33.07,31.91
31.87,31.20,32.14,30.82
31.05,30.75,31.22,30.54
30.74,29.91,31.03,28.74
30.14,29.33,30.55,28.99
30.00,28.41,30.38,28.32
28.70,30.35,30.43,28.49
30.73,31.03,31.37,30.45
31.05,32.16,32.28,30.79
31.90,31.93,32.37,31.28
32.32,32.76,33.05,32.13
32.64,32.06,32.64,31.50
32.05,31.79,32.14,31.40
31.55,31.24,31.74,31.20
31.25,31.34,31.48,30.65
30.84,31.98,32.29,30.73
33.55,30.79,33.90,30.26
31.40,31.61,31.93,31.27
31.29,31.93,32.06,31.12
32.21,32.61,32.67,31.73
33.00,32.15,33.10,32.07
32.12,31.32,32.24,31.17
31.46,31.20,31.63,30.25
30.71,30.67,30.90,29.97
31.29,30.71,31.35,30.58
30.65,29.59,30.70,29.40
29.64,30.36,30.39,29.21
29.96,30.12,30.18,29.49
29.57,30.23,30.30,29.39
30.29,30.99,31.10,30.15
30.62,30.52,30.75,30.16
29.84,29.65,30.06,29.51
29.00,29.34,29.71,28.91
29.24,28.65,29.29,28.48
28.96,28.49,29.33,28.42
28.76,28.93,29.68,28.76
28.93,29.69,30.08,28.93
29.53,28.78,29.70,28.72
28.54,29.09,29.22,28.40
29.25,28.03,29.36,27.95
27.53,27.01,27.61,26.95
26.98,27.45,27.64,26.41
27.57,26.01,27.61,25.84
26.22,26.93,26.99,25.56
26.72,26.66,27.36,26.58
26.43,26.80,27.40,26.07
27.17,28.23,28.30,27.17
28.18,28.79,29.28,28.10
29.20,29.36,29.40,28.73
29.09,27.95,29.24,27.86
27.96,28.03,28.46,27.71
28.76,28.68,29.27,28.54
28.78,28.82,29.09,28.53
29.04,28.86,29.20,28.63
28.72,27.70,28.77,27.55
27.47,27.21,27.51,26.58
27.15,26.88,27.21,26.40
27.00,27.38,27.56,27.00
27.48,29.14,29.46,27.42
29.27,29.28,29.94,29.19
29.18,28.73,29.45,28.40
28.42,28.52,29.55,28.16
29.12,29.62,29.70,28.95
29.75,29.76,29.86,28.99
29.83,31.12,31.44,29.81
30.83,31.10,31.30,30.62
31.20,31.00,31.57,30.63
31.49,31.36,31.55,30.31
31.35,30.98,31.55,30.68
31.40,31.27,31.48,30.75
31.20,30.96,31.28,30.39
31.10,31.02,31.20,30.41
31.03,32.39,32.67,30.91
32.29,31.86,32.64,31.71
31.84,32.26,32.38,31.37
32.58,32.32,32.82,32.25
32.34,32.84,32.97,32.23
