TLH,iShares 10-20 Year Treasury Bond ETF,NASDAQ
106.78,106.58,106.94,106.51
106.92,107.16,107.31,106.89
107.17,106.48,107.17,106.39
106.56,106.58,106.92,106.56
107.30,106.78,107.30,106.48
106.62,106.66,106.90,106.55
107.84,107.98,108.01,107.56
107.60,107.27,107.87,107.08
107.43,107.94,108.12,107.40
108.35,108.42,108.71,108.35
108.05,108.14,108.39,107.93
108.73,108.76,108.92,108.66
108.78,109.45,109.45,108.78
109.24,109.63,109.63,109.17
109.15,109.06,109.29,109.03
109.46,109.25,109.47,109.08
109.36,109.11,109.70,109.06
108.74,109.01,109.01,108.74
108.90,109.48,109.55,108.79
109.08,108.54,109.08,108.50
108.72,108.73,108.83,108.57
108.37,108.11,108.40,107.99
108.57,109.24,109.35,108.57
109.07,109.63,109.82,108.96
109.40,109.55,109.58,109.24
109.23,108.83,109.53,108.77
108.93,108.25,109.11,108.16
108.08,107.90,108.08,107.74
108.41,108.26,108.49,108.15
107.93,108.53,108.53,107.79
108.08,107.60,108.27,107.51
107.74,107.17,107.74,106.84
107.33,107.50,107.53,107.13
107.28,107.16,107.43,107.13
107.50,108.38,108.46,107.36
108.49,108.50,108.69,108.30
108.95,108.84,108.96,108.74
109.17,109.25,109.60,109.10
109.07,109.06,109.21,108.85
108.75,109.05,109.05,108.59
108.85,108.78,108.88,108.57
108.74,109.28,109.44,108.74
108.80,108.32,108.82,108.21
108.01,108.02,108.18,107.93
108.25,108.09,108.29,107.89
107.90,108.03,108.04,107.63
107.85,108.09,108.10,107.74
107.83,108.43,108.63,107.83
108.37,108.43,108.50,108.19
108.66,109.13,109.13,108.55
109.32,109.37,109.37,109.08
109.24,109.05,109.38,108.97
109.23,109.23,109.47,108.88
109.28,109.37,109.41,109.22
109.22,108.96,109.28,108.96
108.13,107.62,108.33,107.50
107.41,107.01,107.41,106.79
106.85,107.31,107.35,106.85
107.27,107.17,107.30,107.08
107.01,107.36,107.40,106.90
107.59,107.70,107.83,107.49
107.02,107.15,107.20,106.90
106.37,105.99,106.42,105.82
106.23,106.05,106.38,106.00
106.14,107.09,107.17,106.00
107.09,106.87,107.25,106.83
106.81,107.05,107.14,106.59
107.41,107.51,107.63,107.31
107.76,107.72,107.90,107.57
107.70,107.28,107.81,107.25
106.98,107.54,107.68,106.98
107.74,108.22,108.23,107.66
108.14,107.85,108.21,107.85
108.04,108.04,108.04,107.85
108.33,108.60,108.77,108.24
108.68,108.41,108.95,108.41
108.13,108.03,108.26,107.96
108.46,108.09,108.54,107.93
108.69,109.36,109.54,108.65
108.91,108.57,109.02,108.55
108.85,109.02,109.02,108.59
109.16,109.79,109.83,109.16
109.04,109.29,109.31,109.04
110.21,110.25,110.25,109.85
110.90,110.63,111.37,110.36
110.82,112.65,113.37,110.49
112.04,111.99,113.54,111.78
110.44,110.88,111.20,110.32
111.14,110.87,111.14,110.47
110.74,110.34,110.84,110.34
110.95,110.86,110.98,110.19
111.48,111.86,112.26,111.48
111.74,111.49,112.24,111.44
111.80,112.60,112.70,111.66
112.60,112.79,113.29,112.56
113.72,114.15,114.49,113.60
115.22,114.21,115.31,113.96
114.50,114.13,114.60,113.99
115.22,114.59,115.41,114.51
114.16,114.34,114.36,113.70
113.18,112.70,113.19,112.50
113.04,113.00,113.39,112.76
113.37,113.08,113.48,112.66
113.10,112.47,113.25,112.32
111.69,112.03,112.36,111.64
113.27,113.96,113.96,113.27
113.88,114.59,114.64,113.79
114.18,114.20,114.49,114.09
113.68,114.20,114.28,113.53
113.53,112.77,113.53,112.70
113.45,113.71,113.96,113.12
112.94,113.37,113.38,112.80
113.53,112.96,113.60,112.85
113.43,113.45,113.52,112.97
113.60,114.14,114.32,113.60
114.10,113.93,114.16,113.87
112.91,113.75,113.79,112.90
113.95,114.69,114.69,113.75
114.76,115.18,115.35,114.76
115.40,114.90,115.58,114.68
114.65,115.21,115.40,114.65
115.71,116.06,116.06,115.62
116.24,116.75,116.76,116.24
116.89,116.98,117.02,116.48
116.84,116.71,117.46,116.67
116.50,116.32,116.70,116.29
116.29,116.83,116.99,116.28
116.86,116.24,116.89,116.23
