CYRX,CryoPort,NASDAQ
4.92,5.28,5.28,4.92
5.28,6.36,6.84,5.28
6.24,6.60,6.72,6.00
6.82,6.84,7.20,6.82
6.96,8.04,8.04,6.61
8.40,9.36,11.88,6.84
9.36,8.88,9.36,7.80
9.36,9.84,11.64,8.88
9.84,10.32,11.88,9.84
11.76,11.04,12.60,11.04
10.92,9.96,12.48,9.60
10.20,11.40,11.40,10.08
11.88,11.40,12.00,11.40
11.40,9.60,11.52,9.00
10.20,9.60,10.20,9.60
9.60,9.60,10.20,9.60
9.72,9.72,10.20,9.72
9.72,9.60,9.96,9.00
9.96,9.96,9.96,9.36
9.12,10.20,10.20,9.12
9.72,11.04,11.40,9.72
10.80,10.20,10.80,10.20
9.96,11.16,11.16,9.60
nan,11.16,nan,nan
102.00,96.00,102.00,24.00
83.40,87.96,88.20,61.20
88.20,102.00,102.00,88.20
114.00,111.00,114.00,96.00
nan,94.80,nan,nan
89.88,89.28,89.88,89.28
72.00,72.00,72.12,66.00
69.00,66.00,69.60,66.00
66.00,67.56,69.60,66.00
67.80,61.20,67.92,61.20
63.60,63.60,63.60,60.60
63.60,60.00,63.60,60.00
47.28,30.24,47.28,30.00
30.60,31.80,31.80,30.60
31.80,30.24,31.80,30.24
30.60,27.00,30.60,22.80
27.60,26.40,27.60,26.40
27.12,27.12,27.12,27.12
27.60,24.24,27.60,24.24
24.24,25.20,25.20,24.00
25.20,26.40,27.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,23.40,24.00,21.60
24.00,24.00,24.84,24.00
24.12,24.12,24.12,23.40
24.12,24.12,24.12,24.12
23.40,23.40,24.00,23.40
23.40,23.52,23.52,23.40
23.52,22.92,23.52,22.92
22.92,22.92,22.92,21.00
21.00,21.72,22.80,21.00
21.00,19.80,21.00,18.00
19.80,21.60,21.60,19.80
22.20,22.80,22.80,22.20
24.00,23.40,24.00,23.40
N/A,N/A,N/A,N/A
23.88,23.04,24.00,23.04
23.04,23.64,24.00,23.04
23.04,22.80,23.40,22.80
22.80,22.20,22.80,22.20
nan,23.40,nan,nan
N/A,N/A,N/A,N/A
22.20,19.80,24.00,19.80
22.80,19.80,22.80,19.80
21.48,23.16,24.00,21.48
24.00,22.80,26.40,22.56
23.40,23.52,23.88,23.40
24.48,24.00,24.60,24.00
24.00,23.40,24.00,22.20
23.76,23.88,23.88,23.76
23.88,22.80,23.88,22.20
22.32,22.32,22.68,22.32
22.68,22.92,22.92,22.68
22.92,21.84,22.92,21.60
21.60,21.12,23.40,21.00
21.12,21.60,21.60,21.12
22.80,21.60,22.80,21.60
21.60,21.60,21.60,21.00
22.20,21.60,22.20,20.88
20.40,20.40,21.60,20.40
21.00,19.80,21.00,19.80
20.40,19.32,20.40,19.21
19.68,22.68,22.68,19.68
22.68,22.80,22.80,22.68
21.60,22.80,22.80,21.60
nan,21.72,nan,nan
N/A,N/A,N/A,N/A
22.80,22.80,22.80,22.80
22.80,22.80,22.80,22.80
21.72,21.72,21.72,21.72
22.68,22.68,22.68,22.68
19.92,21.60,22.08,19.92
20.64,19.92,20.64,19.92
20.40,20.40,21.36,20.40
20.16,20.16,20.16,20.16
nan,20.40,nan,nan
20.04,20.16,20.16,20.04
20.04,16.80,20.04,16.80
16.80,18.24,19.20,16.80
18.24,18.00,18.24,18.00
17.04,17.04,17.04,17.04
18.00,16.80,18.00,16.80
16.80,16.20,16.80,16.20
16.80,17.40,17.40,16.80
16.80,17.40,17.40,16.80
18.00,18.00,18.00,18.00
17.40,16.80,17.40,16.80
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
nan,16.44,nan,nan
N/A,N/A,N/A,N/A
nan,16.44,nan,nan
N/A,N/A,N/A,N/A
16.68,16.20,16.68,16.20
16.20,16.80,16.80,16.20
16.80,16.20,18.00,15.72
16.20,16.20,16.20,16.20
15.72,15.72,15.72,15.72
nan,15.84,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
nan,16.20,nan,nan
N/A,N/A,N/A,N/A
nan,16.20,nan,nan
N/A,N/A,N/A,N/A
15.96,15.96,15.96,15.96
15.96,15.96,15.96,15.96
15.24,12.12,15.24,11.04
10.92,11.04,11.04,10.92
nan,13.80,nan,nan
N/A,N/A,N/A,N/A
10.92,10.92,10.92,10.92
12.00,10.92,12.00,10.56
10.92,10.92,10.92,10.92
11.76,11.76,12.36,11.76
12.12,12.36,12.36,12.12
12.96,13.80,13.80,12.60
15.60,16.08,16.20,14.64
16.20,16.20,18.00,16.20
16.44,16.80,16.80,16.44
17.52,18.00,18.00,17.52
18.00,16.44,18.00,16.44
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
15.60,9.00,15.60,8.94
9.60,8.88,10.32,8.88
9.00,8.16,9.60,8.16
8.40,8.88,9.60,8.16
8.64,8.64,9.00,8.52
8.64,9.00,10.86,8.64
9.00,10.20,10.20,8.88
10.56,9.60,10.56,9.60
9.60,8.64,9.60,8.64
9.00,9.00,9.00,8.64
8.40,8.40,8.40,8.40
8.52,8.52,8.52,8.52
8.52,8.28,8.52,7.98
8.40,8.40,8.40,8.40
9.00,9.00,9.00,8.64
8.88,8.64,8.88,8.52
8.40,8.34,8.40,8.04
8.34,8.64,8.88,8.34
nan,9.24,nan,nan
9.00,9.24,9.24,9.00
9.24,9.48,10.20,9.24
9.48,9.60,9.60,9.48
9.60,9.36,9.60,9.36
9.36,9.60,10.56,9.36
9.36,8.40,9.60,8.40
8.40,7.92,8.88,7.92
8.40,8.40,8.40,8.28
8.40,8.40,8.40,8.40
8.28,8.40,8.40,8.28
8.88,8.76,9.00,8.52
8.76,9.00,9.00,8.76
9.00,9.48,9.60,9.00
10.20,9.60,10.20,9.60
10.20,9.36,10.20,9.36
9.60,9.00,9.60,9.00
8.76,9.60,9.60,8.76
9.00,9.12,9.60,9.00
9.60,9.60,9.60,9.36
9.60,9.60,9.60,9.12
9.60,8.64,9.60,8.52
7.80,8.05,9.12,7.80
8.04,8.04,8.04,8.04
nan,8.16,nan,nan
N/A,N/A,N/A,N/A
9.00,9.00,11.40,9.00
9.00,8.88,9.00,8.88
9.12,9.24,9.48,9.12
9.24,9.48,9.48,8.52
9.42,9.00,9.42,8.64
8.52,9.00,9.00,8.52
9.00,8.88,9.00,8.88
8.88,8.64,8.88,8.64
8.52,8.88,9.00,8.52
8.88,9.12,9.12,8.88
9.00,9.00,9.00,9.00
9.12,9.00,9.12,8.52
8.52,8.64,8.88,8.52
8.88,8.88,8.88,8.88
8.88,8.88,8.88,8.88
8.88,8.88,8.88,8.64
8.88,8.88,8.88,8.88
8.64,8.88,8.88,8.64
8.69,8.76,8.88,8.69
8.64,8.88,9.00,8.64
8.64,9.00,9.00,8.64
8.64,9.00,9.00,8.64
8.64,8.64,8.64,8.64
8.64,8.64,8.88,8.64
8.76,8.64,8.88,8.64
8.64,8.76,8.76,8.64
8.52,8.52,8.64,8.52
8.52,8.76,8.76,8.52
8.76,8.76,8.76,8.40
7.92,8.04,8.40,7.92
8.04,8.40,8.40,8.04
nan,8.40,nan,nan
8.04,8.04,8.04,8.04
8.04,8.28,8.40,7.92
8.28,8.04,8.40,7.45
7.80,8.16,8.16,7.80
8.16,8.16,8.16,8.16
8.88,8.40,8.88,7.45
8.16,8.28,8.40,7.80
8.28,8.28,8.40,7.82
8.16,7.80,8.28,7.80
7.92,8.04,8.16,7.92
8.04,7.32,8.04,6.96
7.32,7.32,7.92,7.32
7.80,7.80,7.80,7.32
7.92,7.80,7.92,7.80
7.80,8.40,8.40,7.80
8.40,8.04,8.40,7.80
7.80,7.20,7.80,6.36
7.43,6.36,7.44,5.16
5.16,6.24,6.60,5.16
