RVSB,Riverview Bancorp Inc - Common Stock,NASDAQ
2.33,2.22,2.42,2.13
2.25,2.21,2.26,2.18
2.29,2.25,2.35,2.25
2.20,2.44,2.44,2.19
2.45,2.61,2.74,2.44
2.78,2.94,2.94,2.70
2.94,2.61,2.94,2.59
2.63,2.62,2.70,2.62
2.67,2.73,2.76,2.65
2.65,2.69,2.70,2.65
2.62,2.74,2.75,2.60
2.66,2.66,2.74,2.66
2.67,2.61,2.69,2.55
2.58,2.71,2.74,2.58
2.77,2.59,2.77,2.58
2.58,2.32,2.58,2.22
2.35,2.36,2.42,2.35
2.36,2.39,2.50,2.36
2.37,2.40,2.41,2.36
2.45,2.69,2.90,2.44
2.70,2.56,2.73,2.51
2.50,2.60,2.67,2.50
2.58,2.50,2.58,2.50
2.51,2.49,2.51,2.49
2.51,2.51,2.51,2.51
2.49,2.42,2.49,2.39
2.38,2.39,2.42,2.38
2.32,2.33,2.35,2.32
2.26,2.43,2.46,2.26
2.39,2.51,2.71,2.38
2.46,2.71,2.75,2.46
2.72,2.71,2.79,2.65
2.65,2.59,2.68,2.55
2.66,2.51,2.66,2.51
2.45,2.57,2.57,2.45
2.53,2.51,2.53,2.51
2.56,2.50,2.56,2.50
2.50,2.45,2.52,2.39
2.40,2.42,2.45,2.32
2.41,2.45,2.63,2.40
2.44,2.48,2.54,2.44
2.46,2.47,2.53,2.46
2.50,2.45,2.50,2.45
2.50,2.50,2.50,2.47
2.50,2.47,2.50,2.44
2.49,2.40,2.49,2.40
2.39,2.40,2.45,2.39
2.36,2.36,2.40,2.36
2.36,2.38,2.42,2.36
2.38,2.40,2.40,2.38
2.43,2.40,2.43,2.40
2.39,2.40,2.41,2.36
2.39,2.40,2.41,2.39
2.45,2.38,2.45,2.36
2.40,2.40,2.41,2.38
2.38,2.40,2.42,2.38
2.43,2.36,2.43,2.36
2.36,2.32,2.36,2.32
2.35,2.27,2.35,2.27
2.28,2.31,2.33,2.28
2.31,2.30,2.31,2.25
2.30,2.30,2.30,2.26
2.32,2.25,2.32,2.25
2.28,2.28,2.28,2.28
2.31,2.31,2.32,2.26
2.27,2.30,2.30,2.27
2.33,2.30,2.33,2.30
2.27,2.31,2.31,2.18
2.30,2.30,2.31,2.30
2.30,2.24,2.30,2.20
2.28,2.29,2.32,2.25
2.30,2.31,2.32,2.26
2.33,2.30,2.35,2.25
2.32,2.30,2.33,2.30
2.33,2.59,2.72,2.31
2.61,3.47,3.49,2.61
3.40,3.66,3.75,3.39
3.70,3.81,4.23,3.45
3.84,3.53,3.99,3.36
3.57,3.77,3.87,3.53
3.87,3.80,3.99,3.73
3.75,3.55,3.80,3.55
3.51,3.22,3.52,3.22
3.20,2.87,3.27,2.57
2.82,2.84,2.95,2.82
2.83,2.79,2.85,2.79
2.98,3.13,3.21,2.65
3.21,3.15,3.21,3.05
3.20,3.11,3.21,3.11
3.19,3.13,3.43,3.12
3.19,3.47,3.47,3.19
3.44,3.35,3.50,3.34
3.30,3.33,3.41,3.29
3.40,3.28,3.42,3.26
3.28,3.18,3.31,3.01
3.10,2.90,3.16,2.89
2.95,2.98,3.01,2.95
2.94,2.95,2.95,2.94
2.90,2.77,2.91,2.77
2.77,2.94,2.95,2.77
2.98,3.08,3.17,2.98
3.13,3.00,3.13,3.00
3.00,3.00,3.00,3.00
3.28,2.85,3.28,2.83
2.89,2.90,3.15,2.87
2.81,2.87,2.91,2.81
2.85,2.77,2.85,2.75
2.80,2.63,2.82,2.60
2.60,2.59,2.60,2.57
2.59,2.60,2.84,2.59
2.63,2.56,2.64,2.52
2.51,2.58,2.60,2.50
2.59,2.64,2.69,2.59
2.64,2.64,2.64,2.64
2.61,2.53,2.61,2.52
2.52,2.59,2.63,2.51
2.52,2.50,2.52,2.50
2.59,2.50,2.60,2.50
2.45,2.44,2.45,2.41
2.38,2.27,2.40,2.27
2.48,2.49,2.49,2.26
2.47,2.37,2.55,2.37
2.47,2.28,2.49,2.28
2.39,2.43,2.45,2.34
2.35,2.49,2.49,2.35
2.36,2.39,2.45,2.36
2.25,2.34,2.34,2.22
2.31,2.29,2.34,2.19
2.25,2.25,2.31,2.24
2.30,2.38,2.38,2.30
2.26,2.40,2.47,2.26
2.26,2.39,2.40,2.26
2.44,2.30,2.44,2.30
2.30,2.35,2.42,2.30
2.45,2.30,2.59,2.30
2.37,2.37,2.37,2.34
2.32,2.33,2.35,2.32
2.33,2.18,2.33,2.07
2.26,2.15,2.27,2.10
2.19,2.15,2.19,2.10
2.15,2.05,2.15,2.00
2.10,2.01,2.10,1.95
2.05,2.08,2.13,1.96
2.06,2.00,2.11,1.95
2.00,2.00,2.24,1.92
2.20,2.02,2.20,2.00
2.08,2.06,2.12,2.02
2.10,2.09,2.16,2.05
2.14,2.06,2.15,2.04
2.06,2.00,2.07,1.98
2.09,2.12,2.13,2.01
2.10,2.10,2.14,2.05
2.11,2.12,2.12,2.00
2.10,2.09,2.12,2.02
2.11,2.00,2.11,2.00
2.05,1.98,2.08,1.97
2.06,1.99,2.06,1.97
2.05,1.96,2.05,1.96
1.95,1.96,1.96,1.94
1.96,1.98,2.03,1.90
2.00,1.97,2.00,1.93
1.95,1.92,1.98,1.90
1.92,1.91,1.93,1.90
1.91,1.83,1.95,1.76
1.95,1.83,2.00,1.82
1.87,1.92,1.98,1.87
1.91,1.81,1.95,1.81
1.80,1.86,1.88,1.80
1.86,1.80,1.96,1.79
1.85,1.73,1.89,1.71
1.76,1.79,1.90,1.76
1.85,1.84,1.85,1.80
1.77,1.80,1.80,1.77
1.79,1.84,1.86,1.77
1.84,1.90,1.91,1.84
1.86,1.92,1.92,1.84
1.95,1.98,1.98,1.91
1.99,1.96,1.99,1.91
1.95,1.85,1.95,1.85
1.92,1.97,1.98,1.90
1.94,1.98,1.99,1.94
1.98,1.98,1.98,1.95
1.95,1.92,2.03,1.90
1.95,2.00,2.05,1.94
1.99,1.99,2.04,1.99
2.00,2.00,2.00,1.93
1.99,1.96,2.02,1.95
1.99,1.98,2.05,1.90
1.97,2.02,2.06,1.90
2.04,2.02,2.06,2.02
2.09,2.00,2.09,1.90
2.00,2.07,2.09,2.00
2.04,2.06,2.06,1.98
2.06,2.05,2.08,2.00
2.08,2.05,2.08,2.02
2.07,2.04,2.07,2.01
2.05,2.05,2.10,1.99
2.07,2.08,2.10,2.04
2.05,2.01,2.09,2.01
1.99,2.05,2.09,1.99
2.05,2.04,2.05,2.03
2.01,2.06,2.06,2.01
2.04,2.08,2.09,2.04
2.08,2.09,2.10,2.01
2.09,2.06,2.09,2.01
2.03,2.07,2.07,2.02
2.08,2.10,2.10,2.05
2.10,2.10,2.15,2.10
2.10,2.17,2.28,2.10
2.20,2.25,2.25,2.20
2.18,2.25,2.25,2.18
2.25,2.24,2.28,2.21
2.25,2.19,2.25,2.19
2.16,2.23,2.27,2.16
2.26,2.51,2.51,2.16
2.52,2.46,2.52,2.45
2.48,2.54,2.54,2.36
2.52,2.49,2.52,2.49
2.49,2.53,2.72,2.38
2.49,2.44,2.59,2.35
2.43,2.51,2.63,2.42
2.56,2.65,2.79,2.56
2.76,2.68,2.80,2.66
2.60,2.61,2.70,2.56
2.65,2.50,2.65,2.30
2.46,2.31,2.46,2.28
2.32,2.32,2.45,2.32
2.33,2.35,2.35,2.33
2.37,2.37,2.38,2.32
2.32,2.31,2.32,2.30
2.30,2.29,2.36,2.28
2.30,2.36,2.42,2.30
2.35,2.36,2.40,2.30
2.38,2.41,2.42,2.38
2.42,2.36,2.45,2.32
2.36,2.35,2.36,2.30
2.38,2.35,2.39,2.20
2.33,2.33,2.35,2.33
2.30,2.45,2.45,2.30
2.45,2.61,2.75,2.45
2.61,2.60,2.61,2.60
2.60,2.55,2.60,2.44
2.55,2.65,2.65,2.55
2.60,2.62,2.65,2.59
2.65,2.62,2.69,2.57
2.59,2.58,2.65,2.55
2.61,2.63,2.63,2.43
2.63,2.68,2.76,2.44
2.70,2.80,2.80,2.49
2.76,2.68,2.76,2.68
2.70,2.70,2.72,2.67
2.71,2.72,2.75,2.70
2.75,2.75,2.75,2.74
2.70,2.74,2.75,2.70
2.78,2.70,2.78,2.70
2.70,2.74,2.75,2.70
2.73,2.69,2.75,2.69
2.71,2.73,2.75,2.69
2.75,2.71,2.75,2.69
2.74,2.71,2.75,2.70
2.75,2.70,2.75,2.70
2.70,2.72,2.73,2.70
2.86,2.82,2.86,2.49
2.82,2.78,2.82,2.76
2.72,2.74,2.75,2.70
2.67,2.70,2.73,2.67
2.70,2.87,2.90,2.69
2.82,2.85,2.87,2.79
2.83,2.87,2.88,2.83
2.88,2.85,2.88,2.83
2.92,2.99,3.15,2.90
3.00,3.00,3.05,2.96
3.01,3.17,3.17,2.99
3.24,3.19,3.34,3.18
3.22,3.15,3.23,3.14
3.15,3.13,3.24,3.13
3.16,3.21,3.22,3.16
3.18,3.18,3.19,3.00
3.18,3.18,3.23,3.00
3.18,3.18,3.22,3.17
3.18,3.08,3.21,3.08
3.13,3.17,3.19,3.13
3.17,3.08,3.17,3.08
3.10,3.09,3.14,3.08
3.12,3.10,3.15,3.05
3.10,3.12,3.17,3.09
3.13,3.17,3.18,3.12
3.15,3.07,3.15,3.07
3.09,3.03,3.15,3.01
3.01,3.08,3.15,3.01
3.08,3.01,3.16,3.01
3.00,3.03,3.05,3.00
3.02,3.10,3.12,3.02
3.07,3.07,3.07,3.07
3.07,3.04,3.07,3.01
3.02,3.05,3.07,2.98
3.06,3.04,3.10,3.04
3.05,3.07,3.09,3.05
3.12,3.05,3.12,3.05
3.06,3.07,3.07,3.06
3.08,3.10,3.10,3.06
3.10,3.06,3.10,3.04
3.10,3.08,3.10,3.04
3.08,3.02,3.08,3.01
3.01,3.00,3.07,3.00
3.02,3.06,3.07,3.01
3.02,3.04,3.07,3.02
3.05,3.01,3.05,3.01
3.07,3.07,3.07,3.02
3.06,3.04,3.07,3.04
3.01,3.01,3.01,3.01
3.01,3.02,3.02,2.99
3.07,3.05,3.07,2.92
3.01,3.04,3.05,3.01
3.05,3.03,3.07,3.01
3.03,3.04,3.04,2.95
3.02,3.01,3.05,2.97
3.01,3.02,3.06,3.01
3.05,3.02,3.06,3.02
3.05,3.02,3.05,3.01
3.06,3.01,3.06,3.01
3.08,3.08,3.08,3.08
3.02,3.06,3.07,2.99
3.00,3.08,3.13,3.00
3.04,3.03,3.06,3.02
3.05,3.08,3.08,3.02
3.08,3.10,3.10,3.07
3.17,3.14,3.18,3.14
3.18,3.18,3.20,3.12
3.16,3.15,3.18,3.11
3.13,3.14,3.19,3.13
3.11,3.13,3.16,3.11
3.15,3.18,3.18,3.11
3.11,3.13,3.20,3.07
3.09,3.17,3.17,3.08
3.16,3.11,3.19,3.11
3.08,2.92,3.08,2.92
2.92,3.00,3.01,2.82
3.00,3.14,3.20,2.97
3.20,3.16,3.20,3.09
3.11,3.13,3.13,3.08
3.12,3.11,3.12,3.09
3.13,3.14,3.16,3.13
3.10,3.09,3.14,3.08
3.11,3.10,3.11,3.06
3.07,3.15,3.19,3.05
3.08,3.07,3.11,3.07
3.10,3.02,3.10,3.02
3.04,3.03,3.05,3.00
3.07,3.02,3.07,3.02
3.02,3.04,3.06,3.00
3.07,3.05,3.09,3.05
3.07,3.07,3.07,3.03
3.07,3.04,3.07,3.03
3.04,2.94,3.05,2.93
2.98,3.10,3.12,2.88
3.04,3.04,3.07,3.02
3.04,3.06,3.06,3.02
3.07,3.06,3.09,3.01
3.03,3.02,3.09,2.98
3.02,3.02,3.10,3.02
3.02,3.04,3.04,3.02
3.05,3.10,3.10,2.88
3.10,2.90,3.10,2.85
2.94,2.89,3.05,2.64
2.88,2.80,2.88,2.78
2.75,2.92,3.00,2.75
2.91,3.00,3.08,2.90
2.95,2.92,3.00,2.88
2.93,3.00,3.00,2.92
3.01,3.00,3.03,3.00
2.94,3.04,3.08,2.93
3.01,3.18,3.18,3.01
3.18,3.05,3.18,3.05
3.05,3.10,3.10,2.99
3.04,3.05,3.08,3.02
3.07,3.07,3.07,3.07
3.05,3.06,3.06,3.01
3.00,3.09,3.09,3.00
3.09,3.04,3.09,3.04
3.05,3.05,3.05,3.05
3.05,3.01,3.09,3.01
3.08,3.12,3.12,2.94
3.07,3.12,3.12,3.03
3.05,3.04,3.09,2.96
3.02,2.95,3.02,2.85
3.04,3.00,3.09,3.00
2.90,2.96,3.01,2.88
2.95,3.02,3.03,2.95
3.03,3.02,3.05,3.02
3.04,3.04,3.04,3.01
3.01,3.04,3.09,2.92
3.02,3.01,3.02,3.01
3.01,3.00,3.06,3.00
3.00,3.00,3.00,3.00
3.00,3.02,3.02,3.00
3.00,3.00,3.02,3.00
3.00,3.01,3.05,3.00
3.03,3.01,3.05,3.00
3.02,3.00,3.02,2.95
2.99,2.90,3.00,2.86
2.91,2.91,2.98,2.90
2.85,2.85,2.90,2.49
2.83,2.88,2.88,2.61
2.73,2.78,2.78,2.66
2.68,2.70,2.90,2.66
2.74,2.74,2.90,2.74
2.73,2.76,2.90,2.73
2.76,2.67,2.76,2.67
2.70,2.70,2.75,2.66
2.69,2.65,2.75,2.61
2.65,2.70,2.75,2.65
2.69,2.60,2.69,2.53
2.53,2.54,2.64,2.53
2.62,2.62,2.62,2.62
2.66,2.70,2.70,2.50
2.63,2.70,2.71,2.56
2.70,2.70,2.70,2.60
2.70,2.74,2.75,2.59
2.74,2.74,2.74,2.68
2.70,2.73,2.75,2.70
2.71,2.61,2.71,2.61
2.58,2.55,2.61,2.50
2.56,2.55,2.61,2.55
2.58,2.47,2.58,2.47
2.41,2.45,2.50,2.41
2.43,2.50,2.50,2.40
2.50,2.60,2.60,2.45
2.62,2.54,2.62,2.50
2.59,2.60,2.60,2.56
2.60,2.60,2.60,2.50
2.49,2.46,2.57,2.12
2.41,2.46,2.46,2.40
2.40,2.40,2.44,2.40
2.37,2.40,2.41,2.30
2.31,2.20,2.38,2.20
2.25,2.30,2.32,2.25
2.37,2.28,2.37,2.20
2.26,2.25,2.29,2.25
2.28,2.27,2.28,2.20
2.26,2.40,2.41,2.26
2.44,2.50,2.50,2.36
2.47,2.40,2.47,2.40
2.44,2.33,2.45,2.25
2.35,2.35,2.35,2.35
2.35,2.44,2.44,2.35
2.49,2.41,2.49,2.40
2.44,2.42,2.45,2.41
2.42,2.42,2.42,2.42
2.40,2.35,2.40,2.35
2.37,2.40,2.45,2.33
2.41,2.35,2.41,2.35
2.35,2.35,2.43,2.35
2.40,2.40,2.40,2.40
2.35,2.35,2.50,2.35
2.38,2.46,2.49,2.38
2.38,2.40,2.45,2.38
2.40,2.35,2.48,2.35
2.40,2.40,2.40,2.38
2.45,2.45,2.45,2.44
2.42,2.39,2.42,2.34
2.35,2.27,2.35,2.25
2.16,2.12,2.22,2.12
2.15,2.39,2.39,2.15
2.39,2.30,2.39,2.05
2.28,2.29,2.29,2.28
2.23,2.25,2.27,2.13
2.20,2.28,2.28,2.15
2.14,2.24,2.26,2.13
2.24,2.20,2.24,2.20
2.20,2.22,2.30,2.20
2.16,2.23,2.26,2.12
2.25,2.25,2.25,2.25
2.23,2.23,2.25,2.12
2.23,2.11,2.23,2.10
2.19,2.18,2.19,2.15
2.16,2.18,2.18,2.15
2.18,2.22,2.23,2.18
2.16,2.20,2.20,2.16
2.20,2.20,2.20,2.20
2.17,2.15,2.30,2.10
2.11,2.11,2.12,2.11
2.15,2.18,2.20,2.00
2.10,2.16,2.16,2.10
2.13,2.15,2.15,2.11
2.06,2.15,2.19,2.06
2.16,2.27,2.27,2.10
2.15,2.24,2.30,2.15
2.29,2.15,2.30,2.15
2.17,2.15,2.27,2.15
2.22,2.35,2.35,2.22
2.36,2.31,2.36,2.22
2.35,2.25,2.35,2.24
2.22,2.20,2.25,2.20
2.24,2.25,2.28,2.23
2.27,2.25,2.27,2.25
2.26,2.27,2.30,2.26
2.30,2.26,2.30,2.26
2.30,2.35,2.35,2.30
2.32,2.34,2.36,2.28
2.32,2.31,2.34,2.30
2.30,2.31,2.34,2.30
2.30,2.30,2.31,2.30
2.30,2.37,2.40,2.24
2.40,2.38,2.40,2.31
2.31,2.24,2.31,2.24
2.22,2.22,2.22,2.22
2.24,2.35,2.35,2.24
2.29,2.39,2.39,2.29
2.35,2.40,2.40,2.35
2.40,2.45,2.45,2.40
2.45,2.46,2.46,2.45
2.41,2.44,2.44,2.41
2.35,2.24,2.35,2.20
2.25,2.15,2.25,2.15
2.17,2.20,2.23,2.17
2.21,2.24,2.24,2.09
2.25,2.23,2.26,2.17
2.23,2.24,2.25,2.21
2.21,2.21,2.21,2.21
2.21,2.17,2.25,2.17
2.17,2.04,2.24,2.01
2.01,2.11,2.18,2.01
2.10,2.07,2.10,2.04
2.05,2.03,2.07,2.01
2.06,2.09,2.19,2.03
2.09,2.16,2.25,2.09
2.12,2.15,2.15,2.12
2.15,2.15,2.17,2.15
2.19,2.19,2.20,2.15
2.17,2.27,2.35,2.14
2.28,2.24,2.30,2.24
2.24,2.30,2.30,2.16
2.26,2.26,2.26,2.26
2.29,2.30,2.30,2.29
2.26,2.26,2.26,2.26
2.29,2.30,2.30,2.29
2.25,2.30,2.30,2.18
2.20,2.26,2.26,2.19
2.21,2.26,2.30,2.21
2.26,2.26,2.28,2.25
2.25,2.25,2.25,2.25
2.26,2.25,2.26,2.21
2.28,2.26,2.28,2.26
2.27,2.24,2.27,2.24
2.24,2.25,2.25,2.20
2.25,2.25,2.25,2.25
2.25,2.22,2.25,2.22
2.22,2.25,2.25,2.21
2.23,2.25,2.25,2.16
2.21,2.25,2.26,2.21
2.23,2.28,2.28,2.20
2.23,2.25,2.25,2.22
2.25,2.25,2.28,2.25
2.25,2.25,2.25,2.21
2.25,2.30,2.30,2.25
2.30,2.25,2.35,2.20
2.19,2.19,2.20,2.18
2.21,2.20,2.28,2.16
2.21,2.14,2.21,2.13
2.16,2.35,2.35,2.15
2.35,2.26,2.35,2.24
2.16,2.30,2.30,2.15
2.30,2.30,2.30,2.30
2.29,2.30,2.30,2.23
2.29,2.26,2.29,2.24
2.26,2.25,2.27,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.24
2.22,2.29,2.29,2.15
2.26,2.21,2.26,2.21
2.23,2.25,2.25,2.19
2.25,2.25,2.25,2.21
2.21,2.21,2.21,2.21
2.16,2.20,2.20,2.11
2.20,2.23,2.23,2.18
2.21,2.17,2.21,2.17
2.16,2.16,2.16,2.15
2.25,2.07,2.25,2.07
2.10,2.06,2.12,2.06
2.04,1.90,2.04,1.85
1.85,1.88,1.90,1.85
1.89,1.87,1.90,1.81
1.83,1.78,1.85,1.78
1.79,1.80,1.84,1.79
1.80,1.75,1.80,1.75
1.77,1.65,1.77,1.63
1.65,1.64,1.66,1.63
1.63,1.64,1.64,1.61
1.60,1.57,1.61,1.57
1.57,1.63,1.67,1.57
1.58,1.59,1.64,1.45
1.56,1.58,1.58,1.56
1.49,1.56,1.58,1.49
1.60,1.61,1.62,1.60
1.60,1.58,1.60,1.58
1.59,1.56,1.59,1.51
1.56,1.56,1.56,1.56
1.54,1.55,1.56,1.47
1.53,1.42,1.54,1.40
1.44,1.37,1.45,1.37
1.37,1.33,1.38,1.27
1.34,1.40,1.40,1.34
1.40,1.40,1.40,1.35
1.40,1.40,1.40,1.38
1.40,1.38,1.40,1.38
1.39,1.31,1.39,1.30
1.31,1.32,1.40,1.31
1.28,1.35,1.40,1.28
1.36,1.31,1.36,1.25
1.29,1.40,1.40,1.29
1.31,1.36,1.40,1.31
1.39,1.39,1.39,1.39
1.38,1.32,1.40,1.27
1.31,1.30,1.31,1.29
1.34,1.36,1.40,1.30
1.36,1.35,1.36,1.35
1.33,1.27,1.33,1.27
1.28,1.33,1.33,1.28
1.30,1.30,1.30,1.27
1.27,1.26,1.33,1.26
1.26,1.30,1.30,1.26
1.30,1.30,1.30,1.29
1.30,1.11,1.30,1.11
1.11,1.08,1.20,1.07
1.11,1.12,1.23,1.11
1.20,1.17,1.20,1.16
1.25,1.21,1.28,1.21
1.24,1.25,1.25,1.24
1.26,1.25,1.29,1.25
1.28,1.34,1.40,1.25
1.30,1.28,1.30,1.25
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.34,1.34,1.39,1.34
1.32,1.33,1.33,1.32
1.36,1.32,1.36,1.31
1.34,1.35,1.42,1.30
1.36,1.37,1.41,1.35
1.36,1.44,1.49,1.36
1.41,1.40,1.42,1.40
1.40,1.40,1.40,1.40
1.43,1.48,1.48,1.43
1.47,1.39,1.47,1.39
1.39,1.33,1.39,1.33
1.48,1.36,1.48,1.36
1.38,1.42,1.42,1.36
1.42,1.38,1.56,1.37
1.43,1.38,1.43,1.38
1.40,1.40,1.40,1.40
1.41,1.43,1.43,1.41
1.43,1.43,1.43,1.43
1.44,1.44,1.44,1.38
1.40,1.44,1.44,1.40
1.40,1.33,1.40,1.33
1.36,1.37,1.44,1.36
1.38,1.49,1.50,1.37
1.49,1.49,1.49,1.49
1.49,1.38,1.49,1.32
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.34,1.35,1.40,1.31
1.36,1.38,1.38,1.36
1.38,1.38,1.38,1.38
1.36,1.36,1.36,1.35
1.35,1.30,1.35,1.30
1.31,1.30,1.32,1.30
1.31,1.31,1.32,1.30
1.33,1.24,1.34,1.24
1.27,1.28,1.28,1.26
1.32,1.33,1.33,1.32
1.33,1.28,1.34,1.28
1.28,1.29,1.29,1.28
1.20,1.28,1.32,1.20
1.25,1.29,1.29,1.25
1.32,1.31,1.32,1.31
1.31,1.35,1.35,1.31
1.29,1.32,1.32,1.29
1.35,1.28,1.35,1.28
1.22,1.34,1.34,1.22
1.33,1.32,1.37,1.22
1.30,1.36,1.38,1.20
1.30,1.40,1.40,1.30
1.38,1.34,1.38,1.33
1.34,1.33,1.40,1.33
1.36,1.41,1.47,1.27
1.42,1.47,1.47,1.42
1.43,1.35,1.43,1.30
1.34,1.37,1.37,1.33
1.36,1.33,1.36,1.29
1.35,1.35,1.35,1.35
1.30,1.37,1.43,1.28
1.38,1.44,1.44,1.28
1.43,1.43,1.44,1.36
1.39,1.44,1.44,1.36
1.41,1.43,1.44,1.36
1.42,1.47,1.50,1.42
1.53,1.52,1.61,1.51
1.46,1.41,1.51,1.41
1.46,1.48,1.50,1.43
1.50,1.48,1.50,1.48
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.48,1.49,1.52,1.48
1.50,1.48,1.50,1.48
1.52,1.50,1.52,1.48
1.48,1.53,1.53,1.48
1.56,1.69,1.69,1.51
1.68,1.64,1.68,1.57
1.61,1.56,1.61,1.48
1.52,1.52,1.55,1.51
1.58,1.60,1.60,1.55
1.70,1.80,1.99,1.60
1.80,1.83,1.90,1.70
1.80,1.84,1.95,1.80
1.88,1.99,1.99,1.88
1.91,1.89,1.99,1.85
1.71,1.97,1.97,1.71
1.97,1.95,1.97,1.85
1.93,1.77,1.94,1.77
1.73,1.74,1.95,1.71
1.80,1.94,1.94,1.80
1.85,1.82,1.95,1.82
1.82,1.80,1.95,1.72
