MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,NASDAQ
100.12,100.06,100.12,98.89
100.03,100.03,100.06,100.03
100.03,100.09,100.09,100.03
100.23,100.12,100.23,100.07
100.16,100.16,100.16,100.15
100.21,100.20,100.21,100.13
100.20,100.23,100.25,100.18
100.22,100.16,100.22,100.11
100.15,100.22,100.23,100.15
100.23,100.22,100.23,100.18
100.18,100.17,100.18,100.10
100.20,100.20,100.21,100.18
100.17,100.21,100.23,100.16
100.19,100.24,100.25,100.17
100.14,100.38,100.38,100.14
100.32,100.31,100.37,100.27
100.31,100.27,100.32,100.25
100.31,100.29,100.50,100.23
100.21,100.25,100.25,100.21
100.24,100.21,100.24,100.18
100.23,100.22,100.23,100.20
100.24,100.20,100.24,100.20
100.25,100.26,100.26,100.21
100.27,100.25,100.28,100.22
100.26,100.28,100.29,100.22
100.28,100.28,100.31,100.25
100.25,100.19,100.25,100.15
100.20,100.23,100.23,100.16
100.23,100.19,100.23,100.17
100.16,100.24,100.25,100.16
100.31,100.25,100.31,100.21
100.24,100.22,100.24,100.19
100.26,100.22,100.26,100.17
100.26,100.23,100.27,100.22
100.26,100.29,100.29,100.24
100.28,100.29,100.30,100.24
100.21,100.28,100.29,100.19
100.25,100.26,100.30,100.25
100.27,100.26,100.27,100.20
100.22,100.27,100.27,100.22
100.23,100.21,100.25,100.20
100.24,100.23,100.25,100.20
100.23,100.25,100.26,100.23
100.24,100.26,100.26,100.22
100.27,100.26,100.28,100.15
100.28,100.24,100.28,100.20
100.16,100.23,100.23,100.16
100.18,100.24,100.29,100.18
100.25,100.24,100.25,100.20
100.24,100.25,100.25,100.18
100.20,100.25,100.25,100.20
100.28,100.24,100.30,100.23
100.26,100.26,100.27,100.23
100.20,100.26,100.27,100.20
100.28,100.27,100.28,100.25
100.25,100.24,100.26,100.23
100.25,100.24,100.25,100.22
100.24,100.25,100.25,100.22
100.25,100.26,100.26,100.22
100.27,100.23,100.27,100.22
100.21,100.24,100.26,100.21
100.20,100.23,100.23,100.20
100.24,100.25,100.25,100.20
100.19,100.23,100.23,100.19
100.24,100.23,100.25,100.20
100.22,100.25,100.27,100.22
100.26,100.26,100.29,100.24
100.24,100.25,100.28,100.24
100.31,100.28,100.31,100.25
