HON,Honeywell International Inc. Common Stock,NASDAQ
39.61,40.35,40.38,39.48
40.16,40.43,40.46,40.09
40.44,40.43,40.54,40.23
40.44,41.21,41.36,40.08
40.92,42.12,42.20,40.79
42.31,42.65,43.13,42.30
42.39,42.17,42.51,41.86
42.16,42.32,42.50,41.84
42.24,42.57,42.73,42.12
42.54,42.63,42.81,42.21
42.72,42.85,43.21,42.48
42.57,42.36,42.67,41.90
42.36,40.73,42.51,40.68
40.57,39.88,41.08,39.85
40.29,40.22,40.67,40.08
40.05,39.97,40.46,39.71
40.15,40.26,40.38,39.44
40.53,39.82,40.59,39.26
38.50,38.64,39.17,37.58
38.92,39.37,39.42,38.86
39.43,39.52,39.60,39.06
39.36,39.21,39.54,38.93
39.16,37.73,39.16,37.68
37.73,37.47,37.91,36.68
37.54,36.87,37.54,36.80
37.37,37.82,38.24,37.25
37.72,37.72,38.00,37.37
37.61,38.23,38.35,37.29
37.80,37.86,38.00,37.33
38.13,38.92,38.97,38.08
38.91,39.09,39.22,38.74
39.07,39.85,39.95,38.98
39.78,40.22,40.47,39.54
40.42,40.15,40.50,40.00
40.15,39.93,40.47,39.79
40.11,40.58,40.85,40.05
40.00,40.19,40.23,39.49
40.18,40.16,40.43,39.91
40.25,40.57,40.84,40.25
40.71,40.68,40.99,40.53
40.70,40.92,41.18,40.70
40.97,41.18,41.22,40.75
41.34,41.91,41.92,41.23
41.90,41.49,41.99,41.45
41.48,42.27,42.50,41.41
42.17,42.34,42.50,42.10
42.23,42.62,42.62,41.96
42.80,42.93,43.13,42.46
42.91,42.97,43.03,42.60
43.14,43.03,43.18,42.65
43.22,42.91,43.37,42.64
42.92,43.43,43.53,42.79
43.82,43.82,44.29,43.60
43.54,43.56,43.99,43.41
43.67,44.19,44.33,43.59
44.23,44.48,45.05,44.05
44.75,44.34,45.28,44.30
44.43,44.60,44.99,44.35
44.91,44.87,45.13,44.75
45.01,44.95,45.28,44.55
45.63,45.27,45.78,45.10
45.51,45.03,45.85,44.72
45.28,45.45,45.64,45.08
45.45,45.46,45.75,45.35
45.50,45.25,45.76,45.08
45.21,45.49,45.61,45.01
45.67,45.77,45.98,45.37
45.86,45.99,46.17,45.79
45.97,45.66,46.07,45.52
45.80,46.33,46.37,45.77
46.30,46.47,46.53,46.10
46.44,45.82,46.51,45.32
45.45,45.75,45.86,45.18
46.06,46.38,46.43,45.72
46.49,46.69,46.73,46.14
46.32,47.44,47.46,45.87
47.72,47.72,47.78,46.70
47.82,48.27,48.43,47.78
48.23,46.94,48.23,46.83
47.26,47.05,47.38,46.51
47.48,48.52,48.55,47.34
48.48,47.47,48.63,47.47
47.81,48.51,48.53,47.75
47.86,46.86,47.96,46.48
46.02,45.88,46.31,45.40
45.50,44.30,46.22,39.98
43.69,43.52,44.62,42.86
45.69,46.07,46.41,45.35
45.64,45.85,46.61,45.57
46.17,46.87,47.00,46.06
46.83,46.19,46.94,46.13
45.79,45.48,45.90,44.73
45.52,45.44,45.81,44.64
45.50,44.72,46.10,44.53
44.27,43.86,44.58,43.30
42.48,41.79,42.89,41.50
40.90,42.07,42.55,40.77
42.15,41.84,42.67,41.74
40.58,41.79,41.83,40.10
42.15,42.11,42.99,41.94
43.16,43.42,43.50,42.65
43.36,42.77,43.53,42.41
42.24,41.90,46.56,41.83
42.21,42.93,42.96,41.95
43.00,43.26,43.43,42.85
42.05,41.07,42.40,40.88
41.13,40.00,41.20,39.98
39.97,40.43,40.50,39.31
40.62,40.01,41.43,39.94
40.79,41.26,41.47,40.63
40.75,41.32,41.38,40.47
41.35,41.53,42.19,41.35
41.96,43.04,43.05,41.80
42.58,42.75,43.00,42.51
42.87,42.65,42.91,42.06
42.77,42.92,42.96,42.50
43.42,42.93,43.77,42.65
43.11,42.20,43.28,42.12
42.17,41.84,42.33,41.50
41.61,41.00,41.78,40.90
41.12,41.60,41.84,40.94
41.82,41.20,41.87,41.11
40.48,39.33,40.54,39.07
38.59,39.03,39.91,38.54
38.99,38.55,38.99,37.89
38.59,38.53,39.03,38.18
39.14,38.71,39.35,38.37
38.74,40.19,40.19,38.71
40.67,40.73,40.85,40.16
40.84,41.27,41.35,40.60
41.13,40.82,41.37,40.67
41.42,41.85,42.10,41.31
41.65,41.69,42.03,41.39
41.75,41.79,42.06,40.72
41.43,40.19,41.55,40.08
40.43,40.35,40.55,40.03
39.75,41.20,41.27,39.60
41.46,41.13,41.93,40.86
41.64,42.66,42.78,41.60
43.32,43.50,43.87,42.50
43.45,43.89,44.23,43.36
44.24,43.43,44.30,43.36
43.50,43.24,43.50,43.00
43.45,42.72,43.62,42.24
42.53,42.86,43.05,41.81
43.66,43.73,43.92,43.33
43.58,43.14,43.60,43.02
43.37,43.98,44.16,43.25
43.66,44.12,44.17,43.61
43.50,43.77,44.05,43.05
44.07,43.89,44.10,43.66
43.54,43.42,43.69,42.97
