CHNR,China Natural Resources,NASDAQ
11.95,11.91,11.98,11.90
11.98,13.09,13.30,11.92
13.20,13.00,13.30,13.00
13.00,12.90,13.19,12.90
12.95,13.06,13.25,12.91
13.06,14.93,14.98,13.06
14.82,13.75,14.82,13.50
13.97,14.09,14.30,13.65
14.11,14.54,14.82,14.09
14.40,13.90,14.80,13.90
13.70,13.11,13.85,12.97
13.19,12.20,13.19,11.85
12.06,11.52,12.20,11.50
11.31,11.95,12.41,11.31
12.20,11.98,12.63,11.98
11.69,12.27,12.73,11.33
12.07,12.54,12.93,12.07
12.46,12.36,12.76,12.18
12.70,12.00,12.72,12.00
12.00,11.81,12.00,11.30
11.65,11.80,11.97,11.41
11.72,11.66,11.72,11.61
11.51,11.07,11.60,11.07
11.07,11.15,11.20,10.95
10.96,10.91,10.99,10.62
11.02,10.93,11.16,10.93
11.13,11.53,11.68,10.95
11.75,11.69,11.77,11.61
11.46,11.97,12.15,11.46
12.27,12.25,12.28,12.04
12.25,11.98,12.25,11.98
11.86,11.98,11.98,11.65
11.75,11.80,12.00,11.74
11.89,12.05,12.19,11.88
12.00,11.98,12.00,11.78
12.00,12.14,12.33,12.00
12.00,12.06,12.30,11.89
12.30,12.11,12.30,12.11
12.28,12.17,12.33,12.00
12.34,11.99,12.34,11.99
12.09,12.20,12.25,12.07
12.19,12.00,12.19,12.00
12.00,13.06,13.28,12.00
13.10,12.38,13.42,12.38
12.32,12.35,12.65,12.22
12.21,12.03,12.44,12.03
12.01,12.12,12.35,12.00
12.12,12.00,12.20,12.00
12.01,11.92,12.01,11.80
11.90,11.91,12.15,11.90
11.97,12.07,12.21,11.95
12.07,12.16,12.20,12.07
12.20,12.04,12.20,11.95
11.90,11.91,12.22,11.90
12.12,11.99,12.17,11.99
12.09,12.30,12.30,12.05
12.19,12.05,12.19,12.04
12.04,11.93,12.19,11.90
12.30,12.02,12.30,11.95
11.95,12.24,12.24,11.90
12.07,12.14,12.21,12.07
N/A,N/A,N/A,N/A
11.87,12.12,12.20,11.84
12.06,12.10,12.10,12.01
12.18,12.36,12.66,12.08
12.36,12.10,12.36,12.10
12.10,12.17,12.20,12.08
12.04,12.19,12.45,12.00
11.98,11.89,12.01,11.89
11.97,11.70,12.08,11.58
11.74,11.55,11.74,11.55
11.51,11.31,11.59,11.15
11.20,11.15,11.24,11.01
11.10,11.29,11.45,11.10
11.30,11.14,11.30,11.10
11.12,11.34,11.47,11.11
11.10,11.31,11.31,11.10
11.21,11.43,11.61,11.20
11.17,11.30,11.30,11.17
11.30,11.40,11.42,11.20
11.39,11.57,11.74,11.39
11.60,11.56,11.61,11.50
11.95,11.44,11.95,11.22
11.20,11.46,11.49,11.20
11.50,11.50,11.60,11.25
11.45,11.08,11.45,10.75
11.06,10.95,11.15,10.82
11.33,11.10,11.33,10.76
11.53,11.57,11.83,11.24
11.53,11.55,11.61,11.50
11.60,11.54,11.65,11.40
11.39,11.41,11.52,11.38
11.01,10.80,11.62,10.70
10.76,10.60,11.37,10.60
10.60,10.58,10.72,10.27
10.08,10.40,10.40,10.00
10.00,10.00,10.46,10.00
10.21,10.30,10.30,10.20
9.79,10.31,10.31,9.75
10.50,9.65,10.78,9.60
9.70,9.97,9.97,9.70
10.17,10.05,10.30,10.04
10.29,9.80,10.29,9.80
nan,9.80,nan,nan
9.73,9.86,9.86,9.70
9.72,9.75,9.82,9.51
9.52,9.51,9.82,9.50
9.74,9.65,9.75,9.65
9.52,9.64,9.70,9.52
9.81,9.42,9.92,9.26
9.25,9.03,9.25,8.89
8.94,9.11,9.31,8.94
9.02,9.34,9.46,9.00
9.52,9.69,9.69,9.52
9.74,9.41,9.94,9.41
9.18,9.33,9.33,9.18
9.33,9.50,9.55,9.30
9.50,9.64,9.66,9.44
9.17,9.69,9.69,9.16
9.31,9.21,9.31,9.17
9.22,9.02,9.22,8.90
9.18,9.19,9.37,8.98
9.16,8.87,9.30,8.87
9.06,9.07,9.13,8.92
9.24,9.24,9.24,9.24
9.11,9.12,9.15,9.11
9.31,9.13,9.35,9.11
9.00,9.03,9.05,8.85
9.10,9.06,9.10,8.85
9.04,8.98,9.09,8.96
8.94,8.90,8.94,8.90
9.13,8.90,9.13,8.89
8.73,8.71,8.75,8.70
8.61,8.53,8.65,8.53
8.51,8.37,8.51,8.37
8.28,8.44,8.50,8.28
8.57,8.27,8.57,8.25
8.32,8.51,8.51,8.32
8.53,8.56,8.64,8.53
8.50,8.68,8.69,8.50
8.70,8.71,8.89,8.51
8.72,8.71,8.72,8.69
8.84,9.82,9.88,8.77
9.94,10.59,10.60,9.91
10.59,10.75,11.00,10.45
10.75,10.01,11.00,9.96
10.15,11.08,11.61,9.62
11.15,10.59,11.15,10.50
10.59,10.71,10.87,10.35
11.00,10.06,11.03,9.91
10.19,10.01,10.19,9.98
10.02,10.02,10.14,10.00
10.00,10.00,10.10,10.00
10.00,10.16,10.16,10.00
10.01,10.00,10.01,10.00
10.00,10.01,10.02,10.00
10.29,10.10,10.29,10.01
10.30,10.14,10.30,10.14
10.22,10.38,10.60,10.22
10.42,10.55,10.55,10.40
10.70,10.70,10.87,10.70
10.75,10.35,10.75,10.30
10.50,10.49,10.51,10.49
10.33,9.95,10.33,9.95
10.71,10.22,10.71,10.22
10.18,9.73,10.18,9.73
9.31,9.70,9.86,9.31
9.85,9.78,9.89,9.67
9.68,9.67,9.68,9.67
9.80,9.95,9.95,9.80
9.81,9.97,10.08,9.81
9.89,9.89,9.92,9.89
9.89,10.00,10.00,9.89
10.03,10.44,10.67,10.03
10.50,10.66,10.85,10.50
10.83,10.72,10.90,10.63
10.72,10.72,10.72,10.72
10.70,10.78,10.80,10.70
10.80,10.87,10.87,10.65
10.78,10.79,10.79,10.74
10.89,10.87,10.89,10.71
10.60,10.75,10.75,10.50
10.66,10.61,10.66,10.58
9.98,10.72,10.72,9.98
10.70,10.90,11.10,10.70
10.79,11.13,11.15,10.67
10.26,10.43,11.25,9.99
11.18,10.90,11.18,10.50
10.89,10.16,10.89,10.01
10.20,10.60,10.97,10.16
10.86,10.58,10.90,10.41
10.94,10.80,10.94,10.50
10.80,10.90,10.90,10.70
10.88,10.90,10.90,10.88
10.68,10.94,10.97,10.64
10.55,10.84,10.90,10.55
10.90,11.50,11.55,10.90
11.54,11.30,11.55,11.11
11.35,10.73,11.35,10.61
11.16,10.73,11.16,10.66
10.67,10.31,10.67,10.12
10.88,11.90,13.35,10.88
12.01,11.05,12.14,10.95
11.05,10.93,11.05,10.73
11.33,10.93,11.50,10.75
11.00,10.79,11.30,10.67
10.82,11.75,11.75,10.82
11.76,12.28,12.60,11.75
12.47,12.17,12.50,12.11
13.00,12.13,13.00,12.06
12.81,12.50,12.81,12.40
12.77,12.36,12.94,12.26
12.60,12.31,13.67,12.01
12.47,13.30,13.86,12.47
14.87,15.57,15.99,14.01
16.29,15.40,17.39,15.30
15.40,15.74,16.00,15.25
16.32,15.27,16.32,15.19
15.51,14.65,15.76,14.60
14.65,14.95,15.47,14.65
15.00,13.62,15.10,13.62
13.97,13.86,14.53,13.86
14.02,14.70,14.99,13.87
15.50,15.11,15.50,14.91
15.50,15.06,16.38,14.30
14.90,14.83,14.90,14.05
16.35,15.22,16.35,15.21
14.50,15.23,15.54,14.50
15.48,15.75,16.25,15.45
15.70,15.71,16.14,15.70
15.75,15.51,16.10,15.50
15.50,15.48,15.85,15.30
15.66,15.30,15.87,15.25
15.50,16.10,16.25,15.45
16.35,15.72,16.47,15.49
15.46,15.92,16.29,15.30
16.00,15.56,16.00,15.50
15.46,16.10,16.10,15.40
16.20,15.83,16.26,15.72
15.90,15.70,15.90,15.50
15.88,15.62,15.88,15.45
15.50,15.24,15.50,15.15
15.58,15.53,15.78,15.35
15.50,15.29,15.81,15.29
15.30,15.34,15.47,15.30
15.48,15.31,15.58,15.31
15.40,15.39,15.46,15.30
15.48,15.49,15.51,15.34
15.81,15.99,15.99,15.40
16.00,16.50,17.00,15.76
17.39,17.87,19.09,17.25
16.65,17.41,17.80,16.59
17.50,17.05,17.50,16.68
17.05,16.83,17.07,16.37
16.94,16.96,17.00,16.39
16.92,15.96,16.92,15.89
15.89,15.07,15.93,14.50
14.90,15.51,15.73,14.60
15.60,16.06,16.42,15.50
16.41,15.92,16.42,15.74
15.81,15.86,16.09,15.81
15.51,14.79,15.51,14.79
14.66,14.96,15.40,14.66
14.94,14.26,14.94,14.12
14.07,14.01,14.21,13.85
14.09,13.97,14.09,13.96
14.64,13.61,14.64,13.50
13.50,12.90,13.75,12.90
12.42,12.50,12.79,11.82
12.50,12.51,12.68,12.34
12.70,12.22,12.80,12.18
12.43,12.36,12.52,12.20
12.51,13.16,13.42,12.51
13.47,13.18,13.50,12.95
14.00,13.36,14.00,12.81
13.56,13.43,13.56,13.40
13.50,13.78,13.89,13.49
14.00,13.70,14.08,13.70
13.71,13.61,13.99,13.42
13.73,13.63,13.75,13.55
13.56,14.07,14.07,13.56
13.90,14.12,14.12,13.90
14.12,14.05,14.12,13.86
