CVX,Chevron Corporation Common Stock,NASDAQ
78.20,79.06,79.20,78.16
79.22,79.62,79.62,78.72
79.44,79.63,80.00,79.19
79.36,79.33,79.70,78.97
79.12,79.47,79.47,78.89
80.17,80.88,81.09,80.06
79.52,80.41,80.45,79.47
80.27,79.80,80.41,79.09
79.63,79.55,79.80,79.15
79.54,79.23,79.69,78.28
78.96,79.68,79.75,78.57
78.71,78.15,78.93,77.65
78.15,76.24,78.18,76.06
75.98,74.59,76.59,74.43
75.15,74.55,75.27,74.09
74.08,74.15,74.88,73.70
73.94,73.70,74.36,73.13
73.97,73.24,74.18,72.32
73.53,72.12,74.07,71.75
72.70,73.58,73.74,72.14
73.74,74.45,74.58,73.00
74.18,73.21,74.36,73.05
72.56,71.37,72.83,71.06
71.00,71.18,71.24,69.55
71.24,70.13,71.45,70.13
70.89,71.31,72.03,70.82
71.02,70.75,71.23,70.00
70.72,71.73,72.11,70.31
70.54,71.01,71.30,70.17
71.99,72.99,73.32,71.93
73.22,72.84,73.43,72.46
72.69,73.62,73.72,72.34
73.44,74.05,74.38,73.21
74.17,72.96,74.22,72.79
72.60,72.04,72.93,71.77
72.12,72.34,72.45,71.61
71.19,72.11,72.19,70.78
72.19,72.30,72.69,71.82
72.63,72.81,73.18,72.39
73.18,73.32,73.91,73.01
73.63,73.13,73.85,73.06
73.07,73.08,73.50,72.71
73.55,74.30,74.47,73.51
74.49,74.64,74.88,74.15
74.30,74.30,74.91,74.00
74.14,73.96,74.33,73.25
74.07,73.99,74.09,73.55
74.17,73.72,74.24,73.51
73.51,73.57,73.63,72.85
73.90,73.98,74.12,73.41
74.18,74.67,75.06,74.16
74.85,74.76,75.07,74.24
75.03,74.98,75.16,73.89
74.17,74.46,74.88,74.00
74.43,74.77,74.79,74.03
74.27,73.93,74.50,73.78
74.40,73.80,74.62,73.69
74.00,74.43,74.88,73.82
74.61,75.23,75.44,74.49
75.27,75.30,75.50,74.96
75.47,75.83,76.14,75.08
76.40,76.69,77.13,76.34
76.97,77.66,77.75,76.73
