ULTI,The Ultimate Software Group,NASDAQ
40.75,40.30,40.75,40.04
40.27,40.53,40.65,40.09
40.05,39.34,40.19,39.09
39.42,39.77,40.10,39.34
39.89,39.87,40.59,39.20
40.09,40.95,41.01,40.09
41.10,41.26,41.64,41.03
40.92,41.37,41.72,40.29
40.02,42.21,42.52,40.02
42.00,41.01,42.00,40.58
40.63,41.38,41.74,40.63
41.69,40.76,41.69,40.49
41.26,41.08,41.27,40.32
41.21,41.38,41.71,40.92
41.75,41.79,42.20,41.45
41.90,42.03,42.25,41.53
41.77,42.62,42.94,41.74
42.77,42.41,42.97,42.23
42.57,43.03,43.03,42.12
42.35,42.78,43.15,41.62
42.36,42.03,42.67,41.58
42.23,42.02,42.56,41.58
41.57,41.19,42.29,41.06
41.29,41.38,41.76,41.08
41.94,42.51,42.85,41.54
42.40,42.58,42.86,42.38
42.08,43.13,43.22,42.08
42.73,42.88,43.02,42.15
43.17,44.72,44.98,43.17
44.50,44.50,44.95,44.15
44.10,44.06,44.37,43.47
43.60,43.87,44.30,42.77
44.70,45.86,46.09,43.96
46.02,46.58,46.71,45.70
46.25,47.36,47.50,46.24
47.15,47.33,47.94,47.10
47.89,47.93,48.39,47.49
47.93,47.66,48.19,47.53
48.11,47.55,48.11,47.37
47.75,49.28,50.28,47.47
49.60,47.52,49.62,47.49
47.79,47.03,48.23,46.21
46.89,46.15,47.15,45.75
46.30,46.95,47.03,45.97
46.90,47.46,47.53,46.68
47.62,47.64,48.23,47.22
48.03,48.59,48.62,47.85
48.67,48.70,48.75,47.85
48.67,48.36,49.23,48.13
48.18,48.60,48.94,47.93
48.60,48.53,48.60,48.14
48.54,48.80,49.00,48.23
48.87,49.49,49.85,48.00
49.25,48.63,49.82,48.59
49.25,49.50,50.62,49.24
49.50,48.19,49.97,47.51
48.00,49.11,49.11,47.82
49.22,49.20,49.54,48.68
49.39,49.34,49.92,48.48
49.60,51.62,51.89,48.85
53.35,52.80,56.27,52.47
52.93,53.29,57.23,52.54
53.55,51.39,55.29,50.12
51.20,50.89,51.35,50.66
50.00,50.05,50.74,49.02
50.09,49.01,50.54,48.88
48.43,48.31,48.63,47.20
48.51,49.19,49.90,48.02
49.10,48.80,49.14,48.41
48.41,48.98,49.10,48.01
49.02,49.80,50.28,48.90
49.90,49.96,50.04,49.24
50.02,48.22,50.38,47.95
48.39,48.60,49.16,47.46
48.98,50.97,51.11,48.41
50.74,51.14,52.07,49.75
51.02,50.98,51.96,50.25
51.01,51.25,51.26,50.22
51.55,51.79,52.08,51.10
51.64,51.13,51.91,50.73
48.55,49.30,50.67,47.59
48.52,49.20,49.73,48.30
49.00,51.06,51.44,48.36
50.79,51.16,51.70,50.25
50.90,51.10,51.29,50.75
51.02,52.17,52.23,51.02
51.39,51.79,51.82,51.34
52.07,53.33,53.56,51.87
51.80,52.17,52.85,51.40
52.30,50.43,52.30,50.36
50.77,52.05,52.24,50.74
52.05,53.64,53.85,51.59
52.95,53.44,53.72,52.70
53.49,52.45,53.78,52.01
52.47,53.32,53.40,52.02
53.88,55.77,55.77,53.84
55.55,56.96,57.14,54.97
57.54,56.77,57.62,56.38
57.14,56.83,57.84,56.21
57.00,57.32,58.80,56.31
56.71,54.40,57.12,53.96
54.80,54.21,55.97,53.45
53.86,54.00,54.37,53.38
52.50,53.44,54.17,51.55
53.36,52.70,54.74,52.70
53.95,53.27,53.99,52.80
54.00,53.27,54.36,52.96
53.97,55.55,55.55,53.29
55.56,55.88,56.13,55.43
55.87,56.24,56.52,55.42
57.13,57.35,57.94,55.58
57.52,58.39,59.82,57.05
58.34,58.01,58.91,57.76
57.88,58.05,58.31,57.11
58.42,60.37,60.43,58.18
60.00,58.75,60.40,58.54
59.30,58.72,59.86,58.31
58.82,58.50,59.45,58.47
58.15,57.15,58.50,56.51
57.57,56.47,58.58,56.22
56.58,56.15,57.92,55.98
56.62,55.76,56.89,55.44
55.75,55.04,55.85,54.72
54.48,54.50,55.27,54.02
54.88,55.26,55.40,54.51
54.61,55.25,55.48,54.60
54.95,56.79,57.36,54.95
55.72,55.51,56.08,54.99
55.79,55.32,55.99,54.78
56.33,56.85,57.00,55.94
57.56,57.78,58.36,56.87
57.66,57.53,58.80,56.95
58.27,56.62,58.68,56.61
55.97,56.68,57.24,55.01
56.43,55.68,56.65,55.36
55.90,56.00,56.38,55.03
56.12,55.81,57.21,55.79
55.68,54.98,56.11,53.88
55.75,53.79,55.75,53.24
53.44,53.37,54.59,52.92
54.11,53.57,54.93,53.09
53.59,54.06,54.26,52.99
54.41,55.26,55.49,53.29
55.00,55.55,55.62,54.65
55.18,56.72,57.28,54.73
56.63,55.83,56.89,55.53
55.40,54.06,56.48,54.02
53.61,53.20,54.08,52.87
53.14,54.61,55.29,52.72
55.14,54.31,55.31,53.90
53.85,54.01,54.57,53.68
53.20,52.50,53.20,52.15
52.80,53.36,54.05,52.00
53.16,54.13,54.29,52.85
53.85,55.06,55.41,53.44
55.26,55.70,56.00,55.03
55.80,56.38,56.44,55.02
56.14,54.23,56.43,54.01
54.18,54.10,55.35,51.43
53.01,52.44,53.68,52.22
52.37,51.14,52.85,50.96
51.43,51.88,52.30,50.77
51.59,51.66,51.92,51.26
51.96,51.74,52.38,51.57
51.26,50.85,52.01,50.55
51.16,50.00,51.34,49.95
50.61,51.69,51.93,50.61
51.03,50.92,52.47,50.66
50.92,50.74,51.35,49.55
51.05,49.30,51.05,48.87
49.30,50.23,50.35,49.30
50.71,52.20,52.39,50.44
51.78,52.84,53.98,51.48
52.16,52.88,52.99,52.16
52.93,52.54,53.45,51.90
52.28,52.59,52.87,51.66
52.92,53.45,53.58,52.55
53.70,53.75,54.55,52.93
54.02,54.43,55.07,54.02
54.61,54.43,55.33,54.00
54.70,55.32,55.78,54.61
55.12,55.88,55.99,55.07
56.28,57.13,57.71,55.74
56.19,56.88,57.04,55.64
56.23,55.97,56.60,55.79
55.97,55.53,56.19,55.29
55.85,56.66,57.15,55.52
56.67,55.92,57.15,55.63
56.18,56.38,56.38,55.19
56.35,55.67,56.35,54.88
56.36,57.37,57.81,56.36
58.25,57.25,58.89,56.98
57.60,56.13,57.91,55.80
56.37,56.81,57.06,55.88
56.10,56.12,57.04,55.91
56.26,56.49,56.59,55.11
54.00,54.85,55.46,52.83
54.83,54.49,55.36,53.12
53.80,54.38,55.04,53.18
55.22,55.54,56.24,54.19
55.21,53.98,56.53,53.94
54.26,55.05,55.11,51.93
54.24,51.77,54.69,51.29
52.56,50.75,53.06,49.67
48.82,47.37,50.25,47.26
48.66,48.27,49.27,43.28
46.81,46.67,49.00,44.24
46.82,48.01,48.91,46.75
48.41,48.67,50.27,47.12
49.26,50.48,50.66,48.88
49.97,49.89,50.46,49.19
50.00,49.73,50.94,49.03
47.99,46.00,48.35,45.54
45.37,46.64,47.59,45.37
47.94,46.84,48.14,46.44
46.88,48.15,48.61,46.68
48.05,47.85,49.06,47.30
48.25,45.37,48.47,45.27
45.04,47.50,47.91,44.90
48.04,49.33,49.43,47.70
49.08,49.43,49.76,48.30
49.90,50.59,51.40,49.63
50.84,49.28,50.90,49.13
48.21,47.00,49.16,46.51
45.42,47.58,47.68,45.23
48.39,49.23,49.32,48.19
48.98,48.73,49.94,48.44
48.23,47.57,48.50,47.10
46.83,48.81,48.90,46.83
48.99,49.80,50.35,48.43
50.26,51.23,51.78,49.24
51.33,50.72,51.42,49.50
51.15,51.49,51.84,50.87
50.55,51.59,52.15,50.55
51.95,50.50,52.28,50.11
50.61,50.22,51.98,50.05
46.96,47.01,48.61,46.28
47.21,47.25,47.62,46.91
47.58,48.83,48.92,46.21
49.92,50.16,50.49,48.95
50.26,48.47,50.60,48.33
49.65,48.85,49.79,47.47
48.07,46.72,49.21,46.70
46.18,45.55,47.57,45.53
44.96,48.18,48.48,44.96
48.28,48.73,49.22,47.30
48.78,49.74,49.84,48.56
49.88,48.79,50.25,48.32
49.76,50.26,50.34,49.08
49.98,51.81,51.94,49.98
52.08,52.63,53.12,51.68
52.39,52.48,52.55,51.06
53.02,53.81,54.00,52.62
53.78,52.09,53.78,51.76
52.32,53.65,54.09,51.06
53.41,52.51,53.87,52.17
52.37,52.23,52.56,50.79
53.21,53.65,53.72,51.54
54.13,55.59,56.50,53.94
55.08,51.76,55.65,51.54
54.26,60.25,61.39,53.45
60.01,60.82,61.23,57.50
60.21,60.62,61.40,60.05
59.59,60.18,61.00,59.59
57.93,57.84,59.36,57.42
58.79,60.46,60.67,58.00
60.97,62.86,63.03,59.89
62.40,63.57,64.27,61.69
63.17,63.15,64.05,62.38
62.65,65.76,66.00,62.58
63.86,63.96,64.71,63.34
64.85,63.64,65.48,63.51
64.33,65.17,65.77,64.33
64.58,64.12,65.54,63.65
63.46,66.26,66.42,63.46
65.57,66.20,67.54,64.41
65.86,65.06,66.40,64.27
64.97,64.68,65.37,64.06
63.25,63.97,64.59,63.17
63.34,62.91,65.00,62.70
62.45,60.84,62.45,60.69
60.59,59.95,61.45,59.93
62.11,63.75,64.05,61.64
63.69,63.28,64.24,63.07
65.80,66.32,66.51,64.91
66.05,66.03,67.05,65.81
65.47,64.65,65.80,63.92
67.12,68.69,71.97,66.72
68.43,67.94,68.65,66.58
67.82,68.53,69.30,67.11
68.20,67.94,69.00,67.86
67.98,70.16,70.75,67.85
69.21,69.56,69.98,68.24
69.96,68.46,70.51,68.01
67.72,66.84,68.41,66.37
67.73,66.59,68.24,65.82
67.26,67.28,68.10,66.61
67.61,65.93,67.68,65.77
67.41,69.99,70.23,67.41
