COO,Cooper Companies,NASDAQ
38.26,37.75,38.48,37.61
37.52,38.19,38.21,37.48
37.94,38.17,38.48,37.86
37.90,38.57,38.70,37.78
38.25,37.95,38.43,37.79
38.00,38.00,38.15,37.70
37.62,37.63,38.22,37.54
37.76,38.66,38.66,37.74
38.36,38.52,38.90,38.11
38.26,37.69,38.31,37.58
37.81,38.25,38.59,37.71
38.06,38.07,38.34,37.97
38.26,37.04,38.26,36.51
37.02,36.67,37.29,36.53
36.82,36.44,37.06,36.12
36.35,36.16,36.76,35.91
36.01,35.83,36.26,35.43
36.05,35.43,36.06,35.36
35.67,35.32,35.85,35.32
35.66,35.15,35.68,34.90
35.15,35.80,35.95,35.15
35.77,35.26,35.80,35.26
35.10,36.45,36.59,34.85
36.42,36.17,36.49,35.80
36.26,36.20,36.73,36.06
36.30,36.65,36.75,35.87
36.69,36.97,37.05,36.35
36.85,37.66,37.67,36.75
37.55,38.33,38.40,37.26
38.39,38.14,38.47,37.61
38.11,38.73,38.80,38.11
38.51,38.42,38.61,38.09
38.23,38.44,38.60,38.08
38.57,39.18,39.23,38.03
39.17,39.18,39.46,38.76
39.14,40.08,40.19,39.08
39.75,40.20,40.24,39.65
40.11,40.06,40.41,39.84
40.28,40.71,40.98,40.02
40.70,40.96,41.00,40.49
41.18,39.77,41.24,39.71
40.00,40.20,40.29,39.80
39.41,38.51,40.14,38.15
38.64,39.25,39.33,38.50
39.25,39.08,39.25,38.73
39.01,39.75,39.92,38.81
39.81,39.47,39.81,39.09
39.47,38.87,39.67,38.71
38.90,38.99,39.13,38.54
38.81,39.04,39.10,38.24
39.19,39.64,39.66,39.05
39.80,39.88,40.00,39.58
39.97,40.07,40.59,39.62
39.79,41.01,41.55,39.79
41.03,40.68,41.03,40.09
40.70,40.25,40.78,40.09
40.38,39.69,40.44,39.65
39.79,38.02,39.79,37.26
38.15,38.51,38.70,37.96
38.55,38.72,38.94,38.29
38.61,38.88,39.10,38.44
38.99,38.97,39.39,38.67
