SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value Index--symbol--CVK,NASDAQ
57.30,57.55,57.77,57.30
57.75,57.66,57.77,57.47
57.89,57.71,57.92,57.65
57.60,58.41,58.41,57.39
58.36,58.59,58.59,58.24
58.77,58.66,58.77,58.36
58.22,57.79,58.35,57.69
57.79,58.62,58.62,57.77
58.87,58.94,58.94,58.60
58.86,58.18,58.86,57.84
58.26,59.07,59.07,57.26
58.51,58.48,58.51,57.85
58.44,57.72,58.44,57.54
57.25,56.42,57.56,56.42
56.75,56.57,56.84,56.08
56.39,56.60,56.79,56.14
55.95,56.60,56.67,55.67
56.18,56.00,56.45,55.60
56.35,55.50,56.61,55.50
55.93,56.03,56.03,55.69
55.99,56.72,56.72,55.99
56.40,56.24,56.40,56.00
55.78,54.55,55.78,54.50
54.47,54.56,54.67,53.65
54.52,53.98,54.92,53.98
54.51,54.69,54.93,54.09
54.59,54.67,54.96,54.00
55.13,55.27,55.27,54.96
54.99,55.27,55.27,54.99
56.26,56.83,56.83,55.97
57.08,57.24,57.24,57.00
57.15,57.66,57.66,57.15
57.73,57.95,58.12,57.72
58.22,58.12,58.22,57.97
58.09,57.50,58.09,57.47
57.81,58.01,58.19,57.73
57.28,57.87,57.97,57.27
57.95,58.08,58.24,57.69
58.69,58.73,59.00,58.69
59.18,59.32,59.47,59.18
59.64,59.45,59.86,59.32
59.61,59.53,59.79,59.40
60.00,60.85,60.86,60.00
60.86,61.12,61.18,60.85
60.91,61.27,61.60,60.91
61.29,61.74,61.98,61.29
61.43,61.92,61.92,61.32
62.26,61.76,62.26,61.72
62.00,61.87,62.00,61.44
61.91,62.56,62.56,61.88
62.87,63.13,63.31,62.64
63.24,62.84,63.33,62.74
62.02,62.02,62.87,61.88
61.62,62.76,62.79,61.62
62.93,63.29,63.29,62.55
63.15,62.84,63.22,62.80
63.39,63.15,63.58,63.04
62.83,62.48,63.03,62.33
62.76,62.60,62.76,62.55
62.90,62.89,63.08,62.53
62.99,62.36,63.09,62.36
63.11,63.06,63.11,62.51
63.39,64.28,64.28,63.10
64.15,64.77,64.83,63.88
64.71,64.60,64.95,64.21
64.41,64.52,64.72,63.93
64.71,65.09,65.09,64.34
65.25,65.37,65.43,65.00
65.37,65.58,65.61,65.00
65.98,66.90,66.90,65.98
66.86,66.89,67.15,66.75
66.69,65.88,66.78,65.50
65.62,65.76,66.10,64.84
66.18,66.71,66.71,65.85
66.74,67.42,67.46,66.65
66.95,68.29,68.30,66.66
68.37,68.97,68.97,68.23
68.97,68.64,69.32,68.62
68.41,66.90,68.85,66.75
67.31,66.97,67.49,66.81
67.53,68.48,68.48,67.22
68.43,66.46,68.43,66.40
66.83,67.54,67.76,66.83
66.85,65.66,66.85,65.33
65.17,64.77,65.72,64.25
64.46,62.67,64.96,60.61
62.34,60.83,62.67,60.04
63.59,64.21,69.95,63.12
63.88,64.62,65.41,63.04
64.96,66.23,66.29,64.84
66.13,65.46,66.49,65.38
65.08,63.97,65.08,63.45
64.29,64.28,64.88,62.90
65.03,62.87,65.13,62.87
62.52,62.22,63.30,61.40
60.67,59.17,60.90,59.17
58.18,60.09,60.40,56.65
60.01,59.15,60.37,59.15
57.84,59.17,59.29,56.98
59.50,59.34,60.71,59.30
60.34,61.82,61.82,60.34
61.44,61.22,62.01,61.19
60.85,59.38,61.09,59.38
59.54,60.90,60.90,59.26
61.29,61.34,61.43,60.68
60.23,58.26,60.23,58.19
58.55,56.95,58.55,56.95
56.98,57.18,57.54,55.99
57.56,57.11,58.27,57.09
58.33,59.19,59.19,58.28
58.76,60.03,60.03,58.69
61.00,60.32,61.28,60.22
60.64,61.85,61.85,60.62
61.69,61.51,61.83,61.23
61.74,61.46,61.74,61.05
61.36,61.14,61.36,60.86
62.00,60.60,62.02,60.53
60.64,59.43,61.02,59.43
59.26,59.14,59.64,58.50
58.76,58.07,58.76,58.07
58.19,58.92,59.09,58.00
59.06,59.04,59.35,58.68
57.86,56.46,58.09,56.45
56.74,55.74,57.21,55.74
55.93,55.43,56.00,54.22
55.74,55.29,55.86,54.59
55.83,54.15,56.08,53.90
54.15,56.25,56.25,54.15
57.00,56.95,57.18,56.26
56.98,57.61,57.64,56.98
57.67,57.40,57.67,56.93
58.16,59.29,59.29,58.16
59.05,58.79,59.20,58.46
58.98,58.21,58.98,57.84
57.32,56.35,57.32,56.33
56.50,56.64,56.67,55.70
55.79,57.55,57.55,55.71
57.58,57.61,57.61,57.58
57.39,58.61,58.78,57.39
58.84,59.65,59.74,58.74
59.87,61.03,61.03,59.87
61.61,60.84,61.61,60.60
60.60,59.83,60.73,59.80
