LLL,L3 Technologies,NASDAQ
87.90,87.97,88.90,87.12
88.00,87.37,88.24,87.14
88.10,87.57,88.68,87.26
87.88,87.60,87.90,87.08
87.63,87.75,87.92,87.16
88.00,88.64,88.75,87.89
88.27,88.18,88.30,87.47
88.23,88.94,89.17,88.23
88.94,90.07,90.20,88.54
90.13,89.45,90.36,88.96
89.51,89.54,90.31,88.69
89.11,88.16,89.12,87.24
88.10,86.61,89.05,86.51
86.35,84.94,86.75,84.83
85.45,85.57,85.97,85.07
85.21,84.99,85.38,84.58
84.71,85.51,85.64,83.65
85.65,84.36,85.94,83.50
84.84,83.34,84.90,83.04
83.63,84.64,84.84,83.48
84.80,87.09,87.38,84.63
86.55,86.95,87.41,86.55
86.69,84.52,86.69,84.49
84.35,84.24,84.76,82.80
84.24,84.60,85.55,84.01
85.24,86.01,86.62,84.58
85.96,85.99,86.23,85.42
85.52,87.08,87.08,85.10
86.10,87.01,87.16,85.70
87.37,87.60,88.10,87.24
88.09,88.11,88.33,86.56
88.12,89.85,90.00,87.83
89.68,90.34,90.73,89.39
90.37,91.32,91.80,90.37
91.10,90.18,91.53,90.08
90.54,91.33,92.12,90.39
89.97,91.05,91.11,89.45
90.84,91.42,91.79,90.42
91.40,91.92,92.00,91.05
92.26,92.42,92.62,91.47
92.43,92.59,92.94,92.34
92.68,92.47,92.91,91.52
92.51,93.16,93.42,92.51
93.25,92.54,93.30,92.10
92.35,92.28,92.87,91.83
92.21,92.56,92.79,91.85
92.44,92.44,92.48,91.27
92.50,92.32,92.50,91.42
92.05,92.44,92.58,91.83
92.56,92.95,93.11,92.41
92.96,94.01,94.26,92.77
93.88,94.18,94.32,93.53
94.17,94.17,94.87,93.74
93.62,94.17,94.22,93.21
94.09,94.62,94.71,93.87
94.51,93.52,94.61,93.25
94.16,92.96,94.25,92.86
93.23,93.26,93.67,92.69
93.75,93.59,93.86,93.11
93.62,92.94,93.82,92.76
92.81,91.63,92.81,91.44
91.81,92.53,92.80,91.81
92.73,92.83,93.38,92.55
92.69,93.10,93.12,92.05
92.68,92.67,93.04,92.09
