NDSN,Nordson Corporation - Common Stock,NASDAQ
61.96,63.06,64.95,61.88
63.03,62.98,63.43,62.27
63.00,62.28,63.07,62.04
61.99,63.03,63.12,61.51
62.69,63.75,63.95,62.69
64.00,63.45,64.00,62.72
62.77,62.04,63.42,61.54
62.47,62.41,62.84,61.68
62.36,62.48,62.65,61.79
62.74,61.39,63.26,61.18
61.30,62.68,62.74,61.30
61.94,61.85,62.10,61.08
62.09,59.36,62.13,59.06
59.48,58.19,59.90,57.94
58.82,58.35,58.87,57.58
58.34,57.88,59.29,57.25
57.33,58.00,58.21,56.51
58.01,56.85,58.01,55.21
56.98,56.54,58.09,56.23
56.66,56.99,57.36,55.88
57.27,58.00,58.15,56.83
57.53,57.85,58.38,57.50
57.37,55.28,57.37,55.28
55.38,54.90,55.38,53.84
54.84,54.22,54.90,53.47
55.06,55.06,55.66,54.50
54.71,54.55,55.22,53.64
54.27,56.30,56.37,53.52
55.66,56.73,56.75,54.96
57.26,57.95,58.03,56.61
58.29,58.09,58.69,57.66
58.20,58.43,58.68,57.55
58.37,58.89,59.41,56.99
59.06,59.43,59.76,58.29
66.02,64.65,66.44,62.92
65.03,67.07,67.23,63.97
66.07,66.56,66.82,65.51
66.41,65.80,66.68,65.48
66.26,67.04,67.45,66.14
67.01,67.09,67.89,66.05
67.44,67.30,68.44,67.07
67.49,67.55,68.91,67.05
67.81,68.29,68.95,67.81
68.07,68.22,68.68,67.82
67.98,68.82,69.34,67.98
68.62,70.11,70.13,68.62
69.44,70.00,70.00,68.89
70.00,70.00,70.38,69.27
69.65,69.52,70.18,69.07
69.88,69.67,69.95,68.98
70.09,70.32,71.05,69.65
70.06,71.13,71.44,70.06
71.65,67.59,71.65,67.42
67.07,68.93,69.40,66.04
68.80,70.59,70.76,68.67
69.92,68.62,70.40,68.47
69.54,69.01,70.68,68.39
69.38,68.78,69.87,68.20
68.88,69.24,69.75,68.21
69.47,69.46,70.15,68.64
68.90,67.92,69.96,67.75
68.24,68.85,69.33,67.50
68.86,69.93,70.09,68.57
69.23,70.51,70.60,68.77
70.09,71.09,71.72,69.91
70.66,70.51,71.28,69.94
70.71,70.97,71.15,69.55
71.24,71.13,71.42,70.73
71.00,70.94,71.31,70.18
71.20,72.79,72.79,70.74
72.20,72.96,73.49,72.20
72.94,72.48,73.74,71.61
71.92,71.52,72.63,70.21
71.69,71.96,72.77,71.48
71.75,73.01,73.23,71.75
72.40,75.58,75.94,71.86
75.41,75.84,76.00,75.10
75.57,75.91,77.40,75.21
75.64,74.13,76.56,73.77
74.75,73.56,75.04,73.45
73.95,74.76,74.89,73.51
74.71,71.82,74.91,71.80
72.38,73.74,74.26,72.16
72.37,71.29,73.22,70.83
70.84,70.50,71.32,69.19
70.15,67.93,71.34,64.73
67.66,65.94,68.34,65.00
69.32,70.32,70.58,67.21
69.61,70.51,71.79,69.15
70.92,73.73,74.44,70.92
73.33,72.49,73.66,72.16
71.88,70.91,71.88,69.72
71.48,69.75,72.40,67.84
70.72,68.52,71.60,68.12
68.38,66.69,68.82,65.90
65.30,62.83,66.45,62.38
64.90,68.10,68.25,64.03
67.49,66.20,67.75,65.90
65.04,65.54,65.83,63.15
66.18,64.88,67.77,64.41
66.20,67.86,67.92,65.51
67.48,66.63,68.16,65.96
66.31,64.20,67.31,64.20
65.06,66.18,66.34,63.84
66.13,66.46,66.82,65.14
64.51,62.98,66.16,62.74
63.04,60.53,63.27,60.39
60.70,60.56,61.58,59.12
60.91,59.88,61.86,59.52
61.09,61.75,62.55,61.00
60.71,62.18,62.38,60.71
62.78,61.98,63.50,61.70
62.17,63.83,63.95,61.40
63.08,63.25,64.32,62.82
63.82,62.91,63.82,61.91
63.16,63.04,64.00,60.01
64.14,62.71,64.39,62.11
63.04,61.15,64.22,60.98
61.23,61.09,62.12,60.06
60.39,57.25,60.86,56.88
57.50,57.94,59.35,56.26
58.01,59.10,60.08,57.98
58.02,56.73,58.41,56.24
56.74,56.08,57.82,55.95
56.07,54.77,56.48,53.95
55.13,54.81,55.49,54.36
55.93,54.83,56.47,54.48
55.13,56.98,57.04,54.99
57.57,57.89,57.99,56.44
57.75,58.15,58.47,57.26
57.71,56.77,58.13,56.12
57.53,59.05,59.29,57.12
58.62,59.45,59.57,57.99
59.65,59.48,60.01,58.51
59.01,57.57,59.43,57.38
57.71,58.27,58.32,57.06
57.36,59.51,59.64,57.22
60.00,59.51,60.56,59.14
60.48,61.12,61.90,59.08
60.68,62.40,62.80,60.68
62.82,63.94,64.00,62.30
64.45,63.66,65.03,63.37
63.38,62.63,64.15,62.39
63.07,62.76,63.53,61.78
61.75,63.05,63.33,61.36
65.13,66.65,66.92,65.13
66.23,65.78,67.29,65.51
65.94,67.32,67.41,65.87
66.79,67.79,67.97,66.55
66.79,68.23,68.36,66.29
68.42,68.45,69.20,68.08
67.50,67.85,68.75,67.27
66.16,64.38,66.64,64.02
63.20,64.17,64.67,62.54
64.10,63.91,65.00,63.40
63.03,64.47,65.02,62.74
65.24,66.39,67.17,65.02
65.93,66.22,67.55,64.99
65.59,64.59,66.75,64.30
67.93,64.96,68.01,64.10
65.52,63.78,65.80,63.75
63.02,63.58,64.32,61.76
63.00,64.41,64.65,62.45
64.59,63.92,65.60,63.41
64.61,65.75,65.97,63.53
65.24,63.27,65.49,63.26
63.01,64.17,64.90,62.78
65.99,66.65,67.30,65.13
66.67,68.09,68.18,66.12
69.05,69.32,69.82,68.78
69.93,68.00,69.93,67.79
68.29,68.18,68.91,67.93
68.90,68.12,69.10,67.64
68.40,68.22,68.74,67.93
69.09,69.97,70.28,68.07
69.87,69.99,70.41,69.42
69.72,69.96,70.53,69.07
69.69,69.91,70.81,69.64
70.78,70.45,70.81,69.19
70.57,72.80,72.87,70.14
72.77,72.50,73.52,72.42
72.01,71.65,73.35,71.13
70.80,69.42,71.85,69.30
70.45,72.07,72.24,70.19
72.01,71.45,72.13,70.71
71.96,73.15,73.23,70.42
72.72,73.15,73.97,72.49
73.90,73.69,75.34,73.50
74.66,73.78,74.66,72.47
73.49,71.69,73.89,71.17
72.71,74.96,75.23,71.81
74.51,74.61,74.90,74.19
75.33,74.93,75.41,74.19
74.97,75.28,75.74,73.36
75.26,74.80,75.50,74.38
74.40,74.46,74.86,73.15
75.04,75.27,75.62,74.46
75.26,75.64,76.30,74.79
76.64,76.00,76.72,75.05
76.25,77.25,77.26,75.88
75.83,75.79,77.29,74.72
76.34,77.66,78.63,76.34
78.17,77.99,78.83,77.02
78.18,78.37,78.52,78.07
78.95,79.76,80.17,78.69
79.47,79.40,80.08,78.91
79.05,78.51,79.20,77.93
78.98,78.28,79.37,77.66
77.92,78.02,78.58,77.86
78.02,78.29,79.81,77.51
78.88,80.12,80.22,78.88
78.40,79.30,79.77,78.02
80.25,82.08,82.16,79.77
82.00,82.25,82.25,81.48
81.72,81.99,82.35,81.17
81.95,82.25,82.48,81.48
82.50,83.01,83.20,81.64
82.21,81.94,83.48,81.28
79.76,77.61,80.24,77.58
77.80,78.13,79.50,77.62
77.07,76.12,77.47,75.45
76.42,76.83,76.95,75.55
77.81,78.50,79.04,77.81
78.43,79.01,79.84,77.60
78.46,79.65,79.91,77.80
78.56,78.84,79.19,76.69
79.62,80.85,80.85,79.21
79.88,80.65,81.32,79.88
80.00,80.30,80.52,78.34
79.29,79.43,80.46,78.21
81.04,82.24,82.62,79.89
82.19,84.35,84.45,81.78
83.91,85.65,85.96,83.91
84.79,86.95,87.09,84.68
87.74,86.63,89.18,86.23
86.47,86.45,87.54,86.26
87.33,85.77,87.85,85.63
85.85,88.02,88.16,85.74
88.31,87.47,88.65,87.26
87.85,87.63,88.11,87.30
87.50,87.17,88.79,87.16
90.50,90.60,91.00,89.25
90.00,91.22,92.12,89.48
91.39,92.46,92.99,91.09
92.98,94.21,94.27,92.46
94.15,94.11,94.52,93.77
94.00,93.55,94.62,93.14
93.35,94.11,94.46,93.03
94.11,93.45,94.61,92.49
93.75,93.14,93.75,92.77
92.89,92.78,94.00,92.27
92.67,91.88,93.30,91.88
93.09,95.16,95.62,93.09
95.82,93.30,95.82,92.25
93.00,93.68,94.13,92.19
93.56,92.17,93.83,91.53
92.60,91.62,93.38,89.85
90.89,93.54,93.70,90.09
93.78,93.86,94.36,93.11
95.00,94.10,95.00,93.63
93.84,93.83,94.71,93.10
93.61,93.55,94.27,92.80
93.08,93.58,93.63,92.09
93.40,91.30,93.40,90.76
90.58,90.24,91.65,89.24
90.89,89.46,91.25,89.37
89.61,91.40,91.88,89.51
90.69,91.17,91.17,89.48
91.72,93.50,93.69,91.07
93.68,93.41,94.19,92.55
93.17,92.07,94.00,91.24
92.47,92.31,93.74,91.36
93.02,95.12,95.42,92.11
94.72,95.70,96.70,94.72
95.68,95.93,96.31,94.58
95.97,96.06,96.71,95.28
96.08,97.38,97.96,96.08
97.37,97.18,97.87,96.80
96.56,96.16,96.97,95.30
95.65,96.81,97.46,95.35
96.50,98.04,98.20,96.50
97.86,97.94,98.62,97.16
97.64,97.90,98.50,97.45
98.39,98.51,98.75,97.72
98.24,99.37,99.80,98.01
100.00,100.07,100.25,99.09
98.96,96.50,100.20,96.21
110.10,108.46,113.79,105.65
108.15,109.82,111.99,107.75
109.78,109.84,111.05,108.74
110.59,108.91,111.97,108.08
109.45,106.56,110.00,106.15
106.64,107.49,109.40,106.58
108.19,110.39,111.00,108.15
