ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,NASDAQ
90.41,90.94,91.00,90.41
91.60,91.02,91.60,90.54
91.05,90.57,91.12,90.55
90.82,90.60,90.82,90.23
90.60,91.30,91.30,90.36
91.69,90.91,92.06,90.70
90.77,89.80,90.77,89.60
90.00,90.91,90.97,89.79
90.91,91.38,91.45,90.86
91.50,90.20,91.50,89.96
90.42,91.35,91.35,90.42
91.06,90.12,91.06,89.45
90.66,89.39,90.95,88.96
89.18,86.86,89.18,86.66
87.10,87.15,87.47,86.68
86.80,86.83,87.70,86.35
86.47,87.31,87.48,86.42
87.23,85.75,87.55,85.27
86.40,84.73,86.69,84.38
84.85,85.47,85.47,84.74
85.63,86.27,86.29,85.26
85.71,86.29,86.44,85.71
85.57,83.73,85.65,83.73
83.87,84.48,84.48,82.87
84.43,83.90,84.70,83.90
84.47,84.60,85.12,84.02
84.65,84.52,84.89,84.14
84.79,85.87,85.91,84.23
85.03,85.92,86.13,84.92
86.83,87.31,87.45,86.25
87.76,87.68,88.37,87.29
87.70,88.27,88.32,87.70
88.03,88.44,88.75,87.96
89.00,88.34,89.00,88.33
88.53,87.30,88.53,87.10
87.49,88.06,88.21,87.49
87.20,87.49,87.70,86.51
88.18,88.25,88.41,87.60
88.73,89.52,89.59,88.73
90.01,89.84,90.35,89.79
90.03,90.03,90.45,89.90
90.23,90.46,90.46,89.73
91.10,91.75,91.82,90.72
91.93,92.10,92.19,91.76
91.97,92.31,92.87,91.87
92.72,93.12,93.22,92.57
93.16,93.41,93.41,92.40
93.90,93.49,94.07,93.11
93.48,93.24,93.48,92.62
93.68,93.80,93.87,93.27
94.11,94.39,94.68,94.00
94.83,94.45,94.83,94.24
93.44,93.44,94.54,93.21
93.04,94.40,94.57,92.97
94.63,95.27,95.27,94.43
95.20,94.63,95.20,94.56
95.35,94.61,95.89,94.57
94.94,94.36,95.06,94.04
94.92,94.82,95.04,94.60
95.06,94.98,95.33,94.53
94.93,94.53,95.25,94.50
95.08,94.47,95.39,94.29
95.09,95.64,95.81,94.87
95.48,96.14,96.31,95.39
96.22,95.75,96.32,95.26
95.45,96.17,96.18,95.10
96.39,96.83,96.83,95.99
97.00,96.95,97.22,96.79
97.31,97.35,97.40,96.51
98.35,98.70,98.83,97.95
99.26,99.19,99.37,98.82
98.79,98.01,99.03,97.40
97.49,97.50,98.08,96.74
98.36,98.53,98.66,97.89
99.84,98.78,99.84,98.36
98.49,99.35,99.44,97.34
99.25,99.59,99.61,99.00
100.00,99.48,100.00,99.42
99.48,97.47,99.48,97.21
97.83,97.47,97.83,96.97
98.10,98.99,99.08,98.03
99.29,97.12,99.63,97.12
97.61,98.56,98.70,97.50
97.54,95.60,97.54,95.00
94.46,94.62,95.36,92.94
94.33,91.75,94.66,55.49
91.22,89.16,91.82,88.12
93.38,93.52,93.95,92.78
93.33,93.81,94.93,92.86
94.25,95.68,95.68,94.08
95.45,94.73,95.97,94.29
93.53,92.57,93.53,91.70
92.78,92.87,93.04,90.75
93.53,91.45,93.57,91.01
91.01,90.81,91.50,89.73
88.73,87.09,88.73,86.96
85.57,87.82,88.25,81.71
87.60,87.46,88.42,87.46
85.25,87.05,87.19,84.55
87.77,86.59,89.00,86.30
88.45,89.82,89.84,88.31
89.71,89.02,89.90,88.71
89.14,87.69,89.61,87.67
88.04,89.62,89.62,87.84
90.11,90.97,91.05,89.92
89.72,87.53,91.79,87.39
87.62,85.69,87.91,85.69
86.01,85.68,86.01,84.51
86.32,85.00,86.90,85.00
86.35,87.33,87.46,86.33
86.58,88.50,88.50,86.58
89.39,88.54,90.00,88.54
89.23,91.03,91.03,89.08
90.87,91.00,91.50,90.37
90.94,91.06,91.30,90.34
90.94,90.99,91.40,90.87
92.15,90.23,92.23,89.83
90.12,89.08,91.20,89.08
89.10,88.89,89.10,88.03
88.26,87.33,88.46,87.27
87.89,87.82,88.15,86.40
88.18,87.52,88.18,86.96
86.15,83.92,86.15,83.60
83.66,83.06,84.80,83.00
82.89,82.79,82.91,81.10
82.87,82.31,82.87,81.87
83.03,82.22,83.99,81.93
82.46,85.04,85.04,82.46
85.89,85.71,85.90,84.75
85.50,86.40,86.40,85.50
86.59,86.61,87.23,86.20
87.52,88.43,88.47,87.19
88.82,88.60,89.11,88.22
88.83,88.70,88.83,87.37
87.99,85.88,88.06,85.80
86.11,86.53,86.53,85.47
85.25,87.43,87.54,85.22
88.18,86.27,88.32,86.26
87.55,88.38,88.61,87.55
88.15,89.29,89.29,87.95
89.56,90.35,90.35,89.56
91.00,90.26,91.00,89.90
90.19,89.29,90.19,88.98
89.88,89.36,89.88,87.89
88.50,88.93,89.19,87.47
90.10,90.43,90.59,89.47
90.33,89.88,90.45,89.64
90.18,90.80,90.80,90.18
90.45,90.33,90.62,90.24
89.73,90.23,90.34,89.00
90.88,91.00,91.00,90.29
89.20,89.83,90.33,89.20
88.03,87.12,88.09,86.92
85.77,86.44,86.54,85.00
86.04,85.67,86.14,85.67
85.31,85.92,86.28,85.15
86.70,87.05,87.57,86.55
86.89,87.40,87.77,86.89
86.82,85.88,86.82,85.59
85.60,85.93,86.02,85.13
86.44,85.10,86.65,85.10
84.50,83.71,84.83,83.35
83.14,84.70,84.70,82.62
84.50,83.63,84.95,83.45
84.23,84.96,84.98,83.00
84.72,83.66,84.77,83.66
83.27,83.30,83.89,82.95
84.39,85.74,85.91,84.39
85.98,86.77,86.77,85.80
87.71,88.02,88.18,87.37
87.43,87.09,87.90,87.05
87.47,87.81,88.02,87.47
88.68,88.43,88.75,88.09
88.44,88.41,88.48,87.89
88.90,90.26,90.31,88.90
90.11,90.39,90.74,89.79
90.20,90.76,90.88,89.87
90.76,90.76,90.89,90.27
91.36,91.14,91.36,90.79
91.27,92.83,92.85,91.27
92.90,92.69,93.16,92.50
92.67,91.91,92.67,91.55
91.40,91.59,92.76,91.18
92.78,93.77,93.79,92.78
93.69,93.32,94.02,93.32
93.74,93.86,93.86,92.21
93.45,93.66,93.89,93.29
93.84,93.43,94.40,92.76
94.00,93.59,94.22,93.23
93.31,92.32,93.51,92.00
93.56,94.66,94.74,93.40
94.47,93.80,94.59,93.50
94.19,94.05,94.25,93.42
94.05,94.84,94.84,93.84
94.87,94.74,95.05,94.51
94.71,95.27,95.36,93.87
96.36,96.29,96.67,95.70
96.26,95.96,96.47,95.65
97.22,97.12,97.22,96.66
97.42,97.80,97.80,97.24
96.87,96.09,96.90,95.57
96.53,96.78,97.39,96.32
97.25,96.91,97.84,96.22
97.37,97.64,97.72,97.36
98.29,98.19,98.80,98.19
97.79,98.62,98.62,97.79
98.39,98.78,98.78,97.80
99.32,98.90,99.33,98.23
98.83,98.93,99.20,98.83
99.39,98.38,99.49,98.38
99.11,99.83,99.83,99.11
99.84,100.00,100.27,99.29
101.37,101.58,101.61,101.13
102.01,101.69,102.01,101.29
101.39,101.67,101.83,101.15
102.36,101.03,102.36,100.72
100.70,101.55,101.55,100.49
100.33,100.79,100.96,99.50
100.25,99.35,100.46,98.90
99.89,99.31,99.89,99.31
98.49,97.51,98.72,97.11
97.37,97.43,98.08,97.37
98.23,99.44,99.58,98.23
99.07,99.27,99.44,98.83
99.05,99.75,99.85,98.83
99.09,98.53,99.09,98.00
99.41,100.30,100.42,99.41
99.48,100.21,100.21,99.48
99.94,99.79,99.94,98.75
98.50,98.62,98.92,98.25
100.15,100.72,100.89,100.15
100.71,101.83,101.84,100.71
101.51,102.08,102.08,101.51
102.33,102.50,102.60,102.09
103.82,102.71,103.95,102.71
