EOG,EOG Resources,NASDAQ
49.68,50.19,50.22,49.62
49.50,49.58,50.00,48.90
49.42,49.74,49.84,48.84
49.44,49.28,49.52,48.72
48.86,49.52,49.64,48.14
49.79,49.07,49.90,48.51
47.88,47.71,48.55,47.58
47.59,48.88,49.08,47.02
48.84,49.00,49.36,48.72
49.00,48.44,49.44,48.34
48.16,48.68,48.80,48.04
47.91,48.16,48.26,47.62
48.28,48.30,48.78,47.65
48.14,47.02,48.60,46.88
47.43,47.48,48.07,47.31
46.98,46.57,47.54,46.22
46.12,46.20,46.91,45.05
46.50,45.76,46.67,44.78
45.88,45.21,47.02,44.68
45.63,47.78,47.83,45.62
47.92,48.52,48.61,47.13
48.08,48.60,49.11,48.03
47.88,46.45,48.02,46.39
46.45,46.43,46.69,45.01
46.27,45.79,46.88,45.44
46.52,47.27,47.65,46.19
45.32,44.12,45.50,43.39
43.96,45.53,45.58,43.88
44.74,45.49,45.62,44.30
46.32,46.41,46.94,46.14
46.55,46.43,46.64,46.10
46.21,47.17,47.41,46.05
46.94,47.32,47.52,46.50
47.61,46.06,47.61,45.90
45.70,44.96,45.98,44.80
45.70,46.34,46.49,45.41
45.33,46.61,46.66,44.98
46.77,47.02,47.19,46.20
47.24,47.32,47.78,47.12
47.58,47.42,48.04,47.26
47.73,47.91,48.16,47.39
48.02,47.60,48.47,47.42
47.98,48.69,48.74,47.63
48.57,48.68,49.11,48.50
48.26,49.02,49.64,48.26
48.94,49.42,49.69,48.71
49.31,48.89,49.60,48.69
49.42,48.79,49.46,48.54
48.66,48.44,48.74,47.68
48.74,48.24,48.74,47.98
48.38,47.90,48.77,47.62
48.02,46.64,48.20,46.18
46.91,45.85,47.18,45.17
45.38,45.75,46.32,44.80
45.86,47.07,47.12,45.76
46.58,46.28,47.22,46.05
46.64,44.71,46.96,44.56
44.84,44.80,44.84,43.76
45.80,46.48,46.54,45.78
46.46,46.67,46.84,46.11
46.75,46.47,47.00,46.34
47.02,47.79,47.80,47.00
48.08,48.88,49.06,47.80
48.80,48.69,49.30,48.55
50.21,51.87,52.62,49.94
