CMI,Cummins Inc. Common Stock,NASDAQ
46.35,46.94,47.11,46.26
47.25,48.05,48.18,46.96
47.85,48.49,48.62,47.78
48.26,50.95,51.05,48.25
50.35,53.67,54.42,50.10
53.61,55.00,55.41,53.50
53.66,53.35,53.95,52.84
52.18,52.78,53.25,51.36
51.79,52.89,53.21,51.27
51.98,51.73,52.48,51.38
50.84,52.94,52.94,50.59
52.41,51.47,52.41,50.62
51.31,49.47,51.64,48.98
49.24,47.77,49.24,47.74
48.70,47.63,49.19,47.28
47.43,47.29,48.40,46.82
47.06,46.41,47.21,44.84
46.85,45.55,46.94,45.13
46.08,45.16,46.77,44.98
45.73,46.94,46.98,45.55
50.15,51.09,52.26,49.12
51.11,51.84,53.05,51.02
51.01,50.10,51.21,49.82
49.93,50.48,50.57,48.89
50.26,50.11,51.52,49.93
51.17,52.24,52.89,51.00
52.01,51.98,52.48,51.46
51.89,54.86,55.84,51.89
53.75,54.95,56.44,53.08
56.14,57.11,57.45,55.95
57.50,56.46,57.50,55.96
56.12,57.49,57.60,55.84
57.11,57.93,58.63,56.89
58.47,57.18,58.47,56.96
57.03,55.64,57.64,55.27
56.18,55.95,56.79,55.52
54.48,56.03,56.21,53.86
55.99,56.78,57.01,55.17
57.20,58.96,59.03,57.20
59.49,59.24,59.52,58.73
59.58,59.18,60.47,58.88
59.35,59.73,60.36,59.10
60.03,60.70,60.99,59.75
60.71,60.02,60.93,59.72
59.75,61.13,61.47,59.50
61.37,60.23,61.37,59.54
59.88,59.44,59.93,58.56
60.24,60.37,60.50,59.65
59.89,60.22,60.24,58.94
60.41,60.70,61.02,58.99
61.65,60.17,61.65,59.96
59.89,59.33,60.45,58.86
59.46,58.16,60.18,58.06
57.90,59.95,60.27,57.65
60.09,62.35,62.69,60.09
62.32,61.81,63.20,61.76
62.54,61.56,63.44,61.52
61.83,62.36,63.40,61.63
62.90,63.08,63.18,62.43
63.22,62.15,63.23,61.58
61.93,61.95,62.49,61.61
62.47,62.34,63.63,61.96
62.82,65.63,65.98,62.82
65.37,65.12,65.46,64.90
64.74,64.71,65.35,64.21
64.36,65.03,65.59,63.75
66.73,66.07,66.73,65.61
66.45,65.13,66.45,64.92
65.16,66.06,66.12,65.03
66.16,67.72,67.79,66.10
67.54,67.01,67.98,66.44
66.70,65.91,67.17,65.00
65.77,65.93,66.63,64.56
