JKJ,iShares Morningstar Small-Cap ETF,NASDAQ
71.50,72.18,72.26,71.50
72.20,72.49,72.63,71.85
72.41,72.51,72.71,72.41
72.67,73.04,73.07,72.25
72.76,73.34,73.34,72.75
73.71,73.13,73.71,72.79
72.50,72.25,72.73,71.84
72.51,72.83,72.99,72.18
72.84,73.32,73.41,72.84
73.51,72.61,73.51,72.13
72.82,73.65,73.66,72.82
73.00,72.82,73.00,72.00
72.87,71.79,72.97,71.50
71.51,70.10,71.71,69.91
70.66,70.45,70.77,70.10
70.07,70.14,70.71,69.91
69.78,70.03,70.09,69.35
70.00,69.42,70.00,68.39
69.62,68.39,70.19,68.00
68.52,69.29,69.29,68.52
69.40,70.34,70.42,69.32
70.04,69.90,70.39,69.57
69.30,67.44,69.30,67.36
67.52,67.73,67.73,66.16
67.58,67.00,67.99,67.00
67.95,67.96,68.43,67.33
67.79,67.96,68.36,67.40
67.64,68.90,68.90,67.36
68.13,69.46,69.46,68.00
70.24,70.64,70.64,69.85
71.18,71.21,71.31,70.78
71.17,71.80,71.81,71.17
71.64,72.10,72.25,71.55
72.42,72.11,72.42,71.96
72.09,71.14,72.09,71.05
71.50,71.57,71.98,71.32
70.57,71.75,71.75,70.43
71.95,71.67,71.95,71.18
72.03,73.09,73.15,72.03
73.48,73.75,74.02,73.44
73.79,73.91,74.43,73.60
73.99,74.07,74.21,73.72
74.59,75.36,75.49,74.52
75.55,75.61,75.75,75.38
75.95,75.83,76.41,75.52
75.86,76.54,76.77,75.86
76.01,76.75,76.76,75.59
77.15,76.79,77.15,76.33
76.78,76.46,76.78,75.96
76.78,77.24,77.24,76.47
77.48,77.82,78.23,77.48
77.76,77.51,77.99,77.36
76.52,76.52,77.74,76.30
75.92,77.42,77.54,75.74
77.51,78.20,78.31,77.25
77.85,77.46,78.04,77.46
78.00,76.61,78.28,76.61
76.85,76.61,77.51,76.38
77.05,77.13,77.30,76.93
77.42,77.29,77.64,76.76
77.33,76.66,77.50,76.56
77.12,77.30,77.60,76.78
77.77,78.87,78.87,77.77
78.71,79.40,79.56,78.71
79.42,79.08,79.50,78.70
78.67,79.20,79.37,78.67
79.43,79.90,79.90,78.99
80.21,80.31,80.55,80.16
80.10,80.63,80.63,80.03
81.19,82.28,82.28,81.09
82.48,82.68,82.86,82.31
82.34,81.51,82.63,80.90
80.87,81.01,81.63,79.98
81.65,82.16,82.16,81.53
82.47,82.90,82.90,82.19
82.18,83.97,83.97,81.66
84.18,84.74,84.79,83.76
