CORT,Corcept Therapeutics Incorporated - Common Stock,NASDAQ
2.85,2.78,2.85,2.78
2.77,2.86,2.90,2.61
2.99,2.81,3.13,2.81
2.85,2.87,2.92,2.83
2.98,2.88,2.98,2.84
2.99,3.13,3.22,2.88
3.19,3.01,3.20,2.98
3.03,3.04,3.19,3.01
3.00,3.00,3.15,2.97
3.00,3.02,3.05,2.90
3.09,2.95,3.09,2.94
2.94,2.80,2.95,2.61
2.85,2.70,2.85,2.68
2.63,2.68,2.77,2.63
2.65,2.79,2.80,2.65
2.79,2.91,2.96,2.68
2.80,2.70,2.82,2.69
2.70,2.73,2.75,2.60
2.55,2.56,2.63,2.55
2.55,2.51,2.59,2.50
2.51,2.57,2.59,2.51
2.78,2.58,2.78,2.54
2.65,2.64,2.69,2.51
2.64,2.56,2.64,2.50
2.56,2.58,2.59,2.56
2.62,2.64,2.64,2.57
2.61,2.58,2.73,2.58
2.60,2.55,2.69,2.51
2.60,2.58,2.66,2.57
2.68,2.69,2.75,2.62
2.74,2.59,2.75,2.50
2.61,2.55,2.69,2.54
2.68,2.65,2.68,2.55
2.64,2.67,2.67,2.64
2.81,2.75,2.81,2.67
2.75,2.87,2.87,2.75
2.80,2.81,2.86,2.74
2.85,2.80,2.90,2.80
2.84,2.82,2.85,2.77
2.85,2.85,2.89,2.79
2.80,2.78,2.90,2.70
2.61,2.82,2.84,2.61
2.80,2.74,2.82,2.71
2.75,2.80,2.80,2.75
2.79,2.77,2.80,2.73
2.82,2.78,2.84,2.77
2.80,2.79,2.80,2.77
2.77,2.75,2.77,2.74
2.79,2.76,2.89,2.74
2.74,2.75,2.77,2.73
2.75,2.76,2.76,2.72
2.79,2.98,2.99,2.75
2.90,2.66,3.00,2.60
2.61,2.74,2.79,2.55
2.81,2.95,2.95,2.81
2.93,2.72,2.93,2.70
2.71,2.70,2.72,2.52
2.70,2.81,2.81,2.70
2.85,2.75,2.85,2.70
2.74,2.70,2.75,2.64
2.70,2.85,2.85,2.70
N/A,N/A,N/A,N/A
2.75,2.66,2.75,2.61
2.63,2.78,2.85,2.63
2.75,2.56,2.75,2.56
2.64,2.70,2.72,2.62
2.66,2.69,2.77,2.63
2.66,2.75,2.78,2.65
2.77,2.76,2.79,2.66
2.78,2.82,2.85,2.69
2.77,2.94,3.01,2.77
2.97,2.94,2.97,2.91
2.91,3.05,3.05,2.91
3.05,2.99,3.06,2.92
3.03,3.00,3.04,2.91
2.92,3.06,3.06,2.92
3.08,3.00,3.15,2.91
3.15,3.06,3.25,2.96
3.00,3.22,3.25,2.83
3.22,3.19,3.28,3.07
3.17,3.47,3.50,3.16
3.30,3.38,3.43,3.02
3.32,3.60,3.73,3.32
3.67,3.69,3.72,3.58
3.69,3.80,3.93,3.50
3.80,3.65,3.81,3.50
3.62,3.66,3.80,3.62
3.80,3.72,3.80,3.66
3.72,3.80,3.80,3.50
3.74,3.72,3.80,3.61
3.70,3.72,3.75,3.58
3.66,3.63,3.66,3.51
3.59,3.72,3.76,3.52
3.70,3.72,3.76,3.66
3.74,3.53,3.74,3.39
3.53,3.25,3.56,3.07
3.28,3.00,3.28,2.89
2.94,3.12,3.20,2.76
3.02,3.01,3.03,2.88
3.00,2.92,3.16,2.90
2.94,3.09,3.15,2.94
3.03,3.23,3.23,3.00
3.21,3.24,3.26,3.17
3.17,3.41,3.41,3.16
3.32,3.38,3.40,3.10
3.32,3.32,3.41,3.24
3.31,3.50,3.54,3.06
3.47,3.42,3.49,3.28
3.25,3.30,3.42,3.25
3.37,3.40,3.48,3.25
3.44,3.47,3.50,3.34
3.40,3.44,3.49,3.20
3.50,3.50,3.50,3.34
3.49,3.42,3.49,3.31
3.44,3.29,3.44,3.29
3.42,3.50,3.53,3.38
3.50,3.44,3.50,3.36
3.37,3.43,3.51,3.37
3.43,3.47,3.50,3.36
3.48,3.53,3.65,3.47
3.62,3.25,3.62,3.05
3.28,3.24,3.28,3.19
3.23,3.22,3.26,3.05
3.22,3.12,3.22,3.06
3.09,3.24,3.32,3.09
3.27,3.16,3.33,3.16
3.23,2.95,3.28,2.94
2.97,3.23,3.26,2.97
3.26,3.33,3.35,3.25
3.26,3.27,3.32,3.24
3.34,3.14,3.34,3.13
3.22,3.37,3.40,3.22
3.35,3.27,3.43,3.25
3.26,3.24,3.30,3.11
3.22,3.20,3.29,3.16
3.21,3.14,3.29,3.08
3.12,3.01,3.19,2.97
3.02,2.97,3.13,2.97
3.00,3.04,3.10,2.99
3.03,3.16,3.18,2.98
3.18,3.26,3.28,3.16
3.30,3.43,3.44,3.11
3.41,3.41,3.44,3.35
3.43,3.40,3.50,3.28
3.39,3.25,3.50,3.23
3.29,3.34,3.39,3.25
3.32,3.28,3.43,3.25
3.30,3.43,3.48,3.23
3.40,3.30,3.46,3.29
3.28,3.23,3.34,3.16
3.26,3.30,3.35,3.25
3.30,3.22,3.36,3.22
3.17,3.12,3.32,3.10
3.12,3.00,3.28,2.92
3.00,3.00,3.25,2.99
2.99,3.09,3.37,2.99
3.09,3.10,3.12,3.05
3.09,2.99,3.11,2.80
2.97,2.95,2.97,2.90
2.95,2.89,2.98,2.85
2.91,2.93,2.99,2.90
2.89,2.88,2.96,2.85
2.88,2.97,2.99,2.76
2.97,2.94,3.00,2.92
2.97,3.12,3.17,2.93
3.10,2.95,3.11,2.95
2.83,2.79,2.94,2.78
2.81,3.06,3.08,2.80
3.04,3.06,3.06,2.97
3.08,3.04,3.08,3.00
2.99,2.90,2.99,2.90
2.92,2.96,2.98,2.86
3.06,3.19,3.21,2.96
3.19,3.27,3.28,3.12
3.29,3.40,3.41,3.22
3.41,3.41,3.48,3.38
3.41,3.50,3.50,3.41
3.49,3.27,3.49,2.97
3.31,3.37,3.49,3.30
3.36,3.58,3.58,3.27
3.55,3.55,3.65,3.48
3.52,3.36,3.55,3.31
3.34,3.42,3.50,3.32
3.45,3.51,3.51,3.40
3.50,3.63,3.64,3.47
3.65,4.10,4.10,3.60
4.07,3.85,4.33,3.80
3.85,3.89,3.96,3.63
3.92,3.95,3.96,3.85
3.93,3.82,3.97,3.77
3.84,3.93,3.93,3.80
3.93,3.82,3.95,3.78
3.85,3.80,3.85,3.73
3.79,3.84,3.85,3.72
3.83,3.84,3.89,3.80
3.83,3.83,3.84,3.76
3.83,3.82,3.84,3.69
3.82,3.65,3.82,3.41
3.70,3.73,3.76,3.55
3.74,3.80,3.81,3.58
3.75,3.64,3.79,3.59
3.65,3.55,3.66,3.51
3.57,3.46,3.57,3.34
3.46,3.55,3.60,3.40
3.58,3.55,3.62,3.52
3.54,3.51,3.55,3.50
3.48,3.48,3.50,3.40
3.52,3.44,3.52,3.37
3.41,3.57,3.65,3.41
3.59,3.50,3.59,3.46
3.53,3.50,3.56,3.40
3.51,3.53,3.54,3.41
3.58,3.74,3.75,3.51
3.72,3.72,3.72,3.59
3.69,3.66,3.77,3.62
3.66,3.61,3.70,3.58
3.61,3.58,3.66,3.45
3.54,3.48,3.65,3.42
3.44,3.51,3.59,3.41
3.50,3.43,3.52,3.35
3.40,3.35,3.45,3.35
3.37,3.50,3.50,3.37
3.53,3.49,3.53,3.44
3.50,3.52,3.53,3.46
3.52,3.51,3.52,3.45
3.40,3.39,3.50,3.35
3.43,3.73,3.74,3.39
3.72,3.83,3.90,3.71
3.86,4.03,4.10,3.86
4.02,3.90,4.10,3.90
4.05,4.12,4.17,3.98
4.29,4.20,4.29,4.13
4.18,4.09,4.20,4.00
4.10,4.06,4.14,4.00
4.10,4.03,4.10,3.99
4.08,4.31,4.40,4.01
4.36,4.14,4.45,4.11
4.17,4.24,4.30,4.13
4.24,4.07,4.36,4.04
4.07,4.17,4.25,3.99
4.12,4.20,4.23,4.00
4.19,4.28,4.30,4.19
4.30,4.46,4.48,4.21
4.45,4.40,4.70,4.34
4.40,4.19,4.50,4.13
4.65,3.90,4.68,3.73
3.92,3.75,3.96,3.67
3.77,3.87,4.08,3.76
3.86,3.91,3.96,3.85
3.92,4.02,4.02,3.92
4.00,3.92,4.00,3.80
3.87,3.86,3.92,3.85
3.88,3.96,3.97,3.76
3.99,3.85,3.99,3.83
3.83,3.96,3.97,3.83
3.96,3.88,3.96,3.87
3.89,3.86,3.90,3.81
3.85,3.89,3.89,3.69
3.92,4.29,4.32,3.90
4.30,4.38,4.42,4.15
4.40,4.36,4.51,4.22
4.36,4.33,4.37,4.25
4.33,4.44,4.44,4.24
4.44,4.14,4.44,4.13
4.10,3.95,4.10,3.93
4.09,4.12,4.50,4.09
4.09,4.15,4.24,4.06
4.14,4.14,4.18,4.04
4.19,4.28,4.32,4.18
4.29,4.16,4.38,4.15
4.19,4.09,4.25,3.97
4.13,4.05,4.15,4.02
4.07,4.08,4.16,4.02
4.05,4.00,4.08,4.00
4.00,4.08,4.09,4.00
4.06,4.17,4.20,4.00
4.15,4.07,4.16,3.98
4.05,4.01,4.05,3.98
3.99,4.00,4.00,3.93
3.98,4.02,4.05,3.91
4.02,4.13,4.14,3.97
4.11,4.10,4.13,4.02
4.08,4.05,4.17,4.04
4.08,4.07,4.08,4.01
4.08,4.14,4.16,4.04
4.15,4.05,4.15,4.02
4.01,3.94,4.04,3.93
3.93,3.74,4.00,3.66
3.74,3.77,3.77,3.57
3.78,3.79,3.91,3.75
3.80,3.74,3.83,3.68
3.75,3.72,3.79,3.70
3.71,3.83,3.84,3.54
3.88,4.01,4.02,3.84
4.03,3.97,4.07,3.88
3.99,3.92,3.99,3.84
3.91,3.95,4.00,3.86
3.96,3.89,3.96,3.87
3.83,3.70,3.87,3.70
3.66,3.76,3.77,3.65
3.70,3.72,3.80,3.68
3.52,3.66,3.68,3.43
3.69,3.72,3.78,3.67
3.76,3.78,3.90,3.60
3.81,3.99,3.99,3.80
4.04,4.07,4.07,3.98
4.09,4.05,4.11,3.93
4.03,4.13,4.15,3.93
4.18,4.23,4.25,4.13
4.24,4.22,4.27,4.20
4.25,4.22,4.25,4.16
4.22,4.30,4.33,4.16
4.30,4.21,4.31,4.18
4.18,4.25,4.25,4.17
4.30,4.23,4.30,4.20
4.25,4.25,4.30,4.19
4.20,4.25,4.25,4.16
4.26,4.26,4.35,4.25
4.27,4.25,4.30,4.24
4.25,4.25,4.28,4.21
4.26,4.24,4.28,4.21
4.22,4.22,4.25,4.18
4.27,4.24,4.27,4.22
4.20,4.28,4.30,4.18
4.27,4.32,4.34,4.23
4.32,4.45,4.49,4.15
4.49,4.31,4.50,4.27
4.31,4.41,4.45,4.29
4.55,4.42,4.55,4.35
4.40,4.38,4.41,4.35
4.38,4.37,4.45,4.33
4.36,4.37,4.39,4.30
4.34,4.41,4.43,4.30
4.40,4.40,4.48,4.34
4.43,4.36,4.44,4.29
4.33,4.29,4.35,4.26
4.32,4.08,4.32,3.96
4.03,4.07,4.11,3.96
4.13,4.18,4.18,4.06
4.14,4.22,4.22,4.14
4.23,4.30,4.31,4.19
4.27,4.29,4.35,4.26
4.26,4.40,4.42,4.25
4.40,4.31,4.41,4.30
4.27,4.23,4.37,4.12
4.19,4.30,4.32,4.17
4.31,4.38,4.40,4.25
4.41,4.42,4.45,4.34
4.38,4.38,4.49,4.38
4.30,4.35,4.39,4.28
4.35,4.31,4.37,4.30
4.31,4.46,4.53,4.31
4.45,4.63,4.63,4.44
4.63,4.79,4.79,4.58
4.84,4.94,4.96,4.81
4.94,4.86,4.96,4.84
4.88,4.94,4.95,4.80
4.83,4.99,5.07,4.80
4.62,4.42,4.75,4.39
4.45,4.40,4.61,4.20
4.36,4.32,4.39,4.25
4.33,4.40,4.49,4.31
4.36,4.31,4.38,4.26
4.33,4.31,4.41,4.21
4.38,4.44,4.50,4.35
4.42,4.41,4.45,4.29
4.41,4.50,4.50,4.37
4.52,4.44,4.52,4.31
4.42,4.42,4.46,4.41
4.45,4.47,4.48,4.38
4.43,4.44,4.54,4.32
4.38,4.48,4.50,4.31
4.50,4.62,4.63,4.42
4.60,4.52,4.62,4.43
4.55,4.45,4.61,4.43
4.49,4.25,4.49,4.21
4.25,3.99,4.25,3.67
4.00,3.91,4.00,3.87
3.92,3.99,4.00,3.82
3.97,3.99,4.00,3.92
4.00,3.98,4.02,3.93
3.93,3.89,3.99,3.84
3.86,3.87,3.90,3.85
3.87,3.86,3.97,3.86
3.86,3.89,3.95,3.86
3.89,3.82,3.91,3.81
3.82,3.81,3.88,3.76
3.81,3.67,3.83,3.65
3.71,3.82,3.85,3.70
3.82,3.81,3.85,3.76
3.84,3.88,3.88,3.79
3.90,3.89,3.94,3.86
3.84,3.81,3.84,3.68
3.78,3.80,3.85,3.71
3.77,3.58,3.84,3.57
3.57,3.60,3.70,3.51
3.55,3.58,3.63,3.53
3.61,3.48,3.63,3.35
3.45,3.29,3.38,3.14
3.29,3.26,3.38,3.14
3.22,2.97,3.22,2.95
3.03,3.01,3.35,2.54
2.83,2.78,3.01,2.68
2.85,2.89,2.89,2.58
2.82,2.67,2.89,2.66
2.67,2.92,3.00,2.65
2.95,2.75,2.95,2.75
2.78,2.96,2.97,2.76
2.90,2.75,2.90,2.75
2.80,2.86,2.91,2.80
2.76,2.75,2.83,2.67
2.70,2.84,2.84,2.65
2.90,2.78,2.90,2.77
2.81,2.87,2.91,2.73
2.86,2.97,2.97,2.80
3.00,2.71,3.00,2.71
2.70,2.76,2.82,2.70
2.81,2.89,2.90,2.78
2.87,2.85,2.96,2.81
2.86,2.83,2.96,2.77
2.83,2.70,2.84,2.67
2.63,2.60,2.79,2.60
2.53,2.77,2.80,2.53
2.84,3.02,3.05,2.84
2.99,2.86,3.05,2.86
2.85,2.90,2.98,2.84
2.84,2.92,2.93,2.79
2.94,3.02,3.06,2.81
3.05,3.04,3.07,2.88
3.07,3.02,3.07,2.96
3.05,3.18,3.21,3.01
3.12,3.06,3.15,3.05
3.08,2.92,3.13,2.92
2.93,2.73,3.05,2.71
2.62,2.57,2.74,2.51
2.59,2.79,2.89,2.59
2.82,2.90,2.93,2.76
3.00,2.98,3.02,2.87
2.99,3.02,3.11,2.94
3.13,3.20,3.20,3.00
3.14,3.10,3.20,3.04
3.03,2.81,3.07,2.81
2.78,2.99,3.06,2.70
2.99,3.03,3.10,2.95
3.03,3.10,3.10,2.93
3.10,2.93,3.10,2.91
3.00,3.10,3.11,2.94
3.05,3.19,3.20,3.05
3.20,3.20,3.25,3.11
3.18,3.20,3.21,3.17
3.23,3.20,3.23,3.14
3.16,3.15,3.22,3.11
3.14,3.21,3.25,3.05
3.21,3.07,3.21,3.06
3.07,3.02,3.10,2.92
3.10,3.11,3.14,3.02
3.12,3.17,3.17,3.09
3.14,3.09,3.14,3.05
3.13,3.14,3.15,3.02
3.19,3.49,3.56,3.16
3.45,3.24,3.45,3.23
3.17,3.17,3.26,3.11
3.06,3.15,3.22,3.01
3.20,3.18,3.24,3.13
3.24,3.28,3.29,3.15
3.23,3.16,3.26,3.15
3.16,3.11,3.16,3.03
3.15,3.25,3.29,3.15
3.16,3.23,3.49,3.11
3.28,3.32,3.38,3.20
3.35,3.43,3.46,3.30
3.40,3.34,3.46,3.29
3.31,3.45,3.48,3.22
3.40,3.35,3.53,3.35
3.37,3.45,3.48,3.35
3.46,3.39,3.46,3.34
3.31,3.21,3.32,3.16
3.21,3.27,3.32,3.17
3.25,3.07,3.34,3.07
3.07,2.94,3.09,2.93
3.03,3.13,3.16,2.97
3.11,3.07,3.11,3.02
3.21,3.16,3.21,3.10
3.16,3.11,3.23,3.05
3.16,3.20,3.22,3.16
3.25,3.23,3.25,3.16
3.23,3.33,3.33,3.22
3.30,3.25,3.32,3.19
3.22,3.10,3.24,3.10
3.12,3.28,3.32,3.11
3.24,3.33,3.36,3.21
3.36,3.39,3.49,3.34
3.34,3.49,3.49,3.32
3.55,3.45,3.58,3.37
3.48,3.40,3.48,3.34
3.47,3.37,3.50,3.37
3.45,3.54,3.56,3.40
3.57,3.54,3.57,3.47
3.54,3.48,3.57,3.45
3.50,3.49,3.50,3.40
3.47,3.39,3.50,3.30
3.39,3.38,3.46,3.35
3.39,3.44,3.48,3.37
3.45,3.42,3.47,3.38
3.51,3.50,3.58,3.45
3.49,3.44,3.52,3.43
3.38,3.44,3.47,3.37
3.45,3.47,3.48,3.43
3.44,3.20,3.52,3.17
3.24,2.98,3.24,2.82
2.93,3.00,3.01,2.72
3.00,3.04,3.04,2.92
3.00,3.14,3.17,3.00
3.15,3.12,3.17,3.05
3.24,3.40,3.40,3.14
3.39,3.34,3.42,3.29
3.33,3.32,3.36,3.29
3.32,3.40,3.40,3.25
3.38,3.48,3.50,3.25
3.48,3.49,3.55,3.41
3.49,3.53,3.55,3.47
3.51,3.43,3.55,3.29
3.41,3.40,3.43,3.21
3.41,3.43,3.47,3.28
3.46,3.25,3.67,3.16
3.28,3.32,3.42,3.23
3.41,3.29,3.45,3.25
3.28,3.33,3.39,3.26
3.36,3.45,3.47,3.28
3.46,3.27,3.47,3.25
3.26,3.08,3.31,3.06
3.05,2.76,3.05,2.50
2.80,2.83,2.84,2.70
2.82,2.76,2.84,2.74
2.75,2.67,2.81,2.66
2.70,2.88,3.26,2.70
2.90,3.03,3.10,2.83
4.50,4.45,4.90,4.31
4.41,4.08,4.52,4.00
4.06,4.17,4.23,4.00
4.16,4.35,4.41,4.02
4.30,4.15,4.35,4.13
4.19,4.00,4.19,3.90
4.00,3.93,4.05,3.88
3.96,4.03,4.07,3.80
4.03,4.03,4.10,3.95
3.98,4.02,4.07,3.93
3.98,3.95,4.01,3.87
3.99,3.95,4.04,3.95
4.00,4.00,4.00,3.95
4.03,4.00,4.05,3.97
4.00,4.00,4.01,3.95
4.02,4.10,4.17,4.00
4.08,4.11,4.13,4.05
4.11,4.11,4.12,4.05
4.10,4.03,4.11,3.98
4.03,3.99,4.05,3.96
3.97,3.94,4.01,3.94
3.95,3.91,4.03,3.90
3.88,4.04,4.06,3.83
4.03,4.05,4.05,3.92
3.77,3.96,4.00,3.73
3.96,3.98,4.01,3.85
4.02,3.99,4.02,3.92
3.97,3.94,4.00,3.86
3.96,3.93,4.00,3.91
3.93,4.05,4.05,3.88
4.04,3.98,4.10,3.98
3.96,3.94,3.97,3.90
3.93,3.96,3.98,3.92
3.94,3.96,4.10,3.91
3.97,3.72,3.98,3.66
3.75,3.73,3.82,3.71
3.73,3.73,3.79,3.71
3.70,3.69,3.79,3.63
3.73,3.63,3.77,3.63
3.66,3.77,3.87,3.63
3.74,3.65,3.78,3.64
3.66,3.68,3.71,3.62
3.73,3.77,3.85,3.66
3.70,3.66,3.74,3.54
3.67,3.72,3.72,3.62
3.77,3.70,3.80,3.68
3.69,3.60,3.69,3.57
3.59,3.74,3.83,3.59
3.74,3.74,3.80,3.71
3.73,3.65,3.75,3.65
3.64,3.60,3.74,3.57
3.58,3.68,3.73,3.58
3.65,3.60,3.70,3.54
3.59,3.60,3.65,3.49
3.57,3.67,3.72,3.56
3.64,3.80,3.82,3.63
3.83,3.97,4.00,3.74
3.95,4.15,4.16,3.92
4.11,3.95,4.12,3.87
3.95,3.99,4.02,3.89
4.02,3.95,4.11,3.95
3.96,3.93,4.00,3.90
3.94,3.88,3.99,3.85
3.89,4.05,4.05,3.87
4.04,4.18,4.21,3.91
4.14,4.10,4.16,3.98
4.12,4.05,4.14,3.99
4.04,4.04,4.16,3.98
4.10,4.00,4.16,3.96
3.96,4.02,4.06,3.95
4.02,4.09,4.11,3.96
4.00,4.08,4.10,4.00
4.10,4.21,4.22,4.07
4.19,4.10,4.23,4.09
4.12,4.02,4.18,3.97
4.06,4.06,4.09,4.00
4.17,4.26,4.39,4.13
4.34,4.05,4.34,4.04
4.07,4.20,4.21,4.06
4.24,4.05,4.25,4.02
4.05,4.18,4.19,3.96
4.17,4.22,4.22,4.08
4.17,4.16,4.18,4.13
4.17,4.25,4.31,4.16
4.21,4.26,4.30,4.19
4.27,4.10,4.27,4.08
4.14,4.42,4.44,4.12
4.33,4.40,4.50,4.32
4.41,4.48,4.54,4.38
4.51,4.45,4.53,4.40
4.42,4.29,4.45,4.26
4.45,4.49,4.55,4.42
4.24,4.28,4.30,4.15
4.26,4.30,4.30,4.24
4.30,4.31,4.35,4.24
4.28,4.40,4.44,4.18
4.41,4.44,4.51,4.33
