CRMD,CorMedix Inc Common Stock,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.20,3.00,4.00,2.90
2.95,2.46,2.95,2.36
2.50,2.84,2.84,2.50
2.88,2.84,3.04,2.74
2.89,3.04,3.04,2.69
3.00,2.89,3.00,2.89
2.93,2.60,2.95,2.60
2.70,2.50,2.75,2.43
2.45,2.35,2.45,2.30
2.40,2.60,2.60,2.40
2.65,2.77,2.81,2.65
2.82,2.71,2.82,2.42
nan,2.71,nan,nan
2.66,2.60,2.66,2.56
2.85,2.84,2.94,2.69
2.74,2.69,2.74,2.49
2.64,2.60,2.70,2.60
2.55,2.36,2.55,2.36
2.45,2.45,2.46,2.45
2.50,2.42,2.52,2.42
2.40,2.45,2.45,2.40
2.40,2.35,2.50,2.35
2.35,2.35,2.35,2.25
2.30,2.30,2.30,2.25
2.34,2.35,2.35,2.34
2.35,2.34,2.35,2.30
2.30,2.29,2.40,2.29
2.34,2.25,2.48,2.25
2.20,2.00,2.20,1.87
2.00,2.40,2.50,2.00
2.35,2.32,2.40,2.25
2.30,2.20,2.35,2.20
2.20,2.05,2.20,2.02
2.10,2.20,2.20,2.10
2.25,2.06,2.25,2.06
2.05,2.07,2.07,2.05
2.10,2.10,2.10,2.10
2.05,2.00,2.05,1.95
2.00,1.91,2.00,1.90
1.87,1.86,1.87,1.82
1.82,1.75,1.82,1.57
1.80,1.79,1.95,1.67
1.85,1.80,1.85,1.80
1.75,1.65,1.77,1.65
1.75,1.75,1.85,1.75
1.50,1.50,1.50,1.50
1.72,1.72,1.72,1.72
1.67,1.60,1.67,1.60
1.57,1.56,1.57,1.37
1.53,1.48,1.53,1.48
1.46,1.41,1.46,1.22
1.38,1.46,1.46,1.38
1.46,1.46,1.46,1.46
1.50,1.51,1.51,1.40
1.45,1.45,1.45,1.45
1.40,1.45,1.45,1.35
1.50,1.86,2.02,1.50
1.92,1.66,2.01,1.66
1.71,1.70,1.71,1.70
1.22,1.22,1.22,1.22
1.67,1.57,1.72,1.57
1.52,1.50,1.52,1.50
1.50,1.40,1.50,1.40
1.45,1.50,1.55,1.40
1.50,1.50,1.50,1.50
1.50,1.54,1.54,1.50
1.11,1.11,1.11,1.11
1.53,1.50,1.75,1.50
1.11,1.11,1.11,1.11
1.11,1.11,1.11,1.11
1.50,1.45,1.50,1.30
1.45,1.45,1.45,1.45
1.49,1.40,1.65,1.40
1.46,1.66,1.70,1.46
1.75,1.79,1.79,1.75
1.80,1.75,1.80,1.75
1.75,1.75,1.75,1.75
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.70,1.70,1.70,1.70
1.66,1.60,1.66,1.60
1.57,1.49,1.60,1.49
1.50,1.50,1.50,1.45
1.54,1.59,1.59,1.54
1.41,1.41,1.41,1.41
1.55,1.56,1.60,1.55
1.60,1.60,1.60,1.56
1.73,1.60,1.73,1.58
1.63,1.63,1.64,1.63
1.62,1.57,1.62,1.57
1.57,1.37,1.57,1.22
1.33,1.38,1.38,1.33
1.35,1.29,1.35,1.18
1.31,1.47,1.51,1.31
1.31,1.30,1.45,1.08
1.35,1.34,1.35,1.10
1.35,1.64,1.65,1.35
1.74,1.58,1.74,1.30
1.61,1.66,1.75,1.61
1.61,1.60,1.64,1.32
1.64,1.56,1.64,1.56
1.37,1.58,1.60,1.37
1.54,1.44,1.54,1.26
1.48,1.41,1.60,1.41
1.47,1.49,1.49,1.47
1.49,1.35,1.53,1.35
1.50,1.48,1.52,1.36
1.46,1.40,1.46,1.25
1.58,1.44,1.58,1.40
1.42,1.41,1.56,1.41
1.46,1.43,1.47,1.39
1.42,1.38,1.52,1.32
1.42,1.28,1.44,1.25
1.28,1.40,1.56,1.22
1.50,1.49,1.60,1.32
1.45,1.51,1.58,1.36
1.52,1.40,1.56,1.35
1.48,1.38,1.48,1.38
1.43,1.40,1.43,1.40
1.30,1.34,1.40,1.30
1.41,1.40,1.41,1.38
1.40,1.40,1.40,1.40
1.36,1.34,1.40,1.32
1.36,1.36,1.40,1.35
1.40,1.40,1.40,1.39
1.40,1.39,1.40,1.39
1.40,1.45,1.50,1.40
1.50,1.50,1.50,1.43
1.42,1.50,1.55,1.42
1.40,1.55,1.55,1.40
1.51,1.46,1.51,1.35
1.48,1.40,1.48,1.40
1.46,1.38,1.60,1.27
1.38,1.30,1.38,1.25
1.30,1.34,1.35,1.30
1.34,1.20,1.34,1.15
1.34,1.23,1.34,1.15
1.27,1.20,1.30,1.20
1.24,1.24,1.24,1.24
1.28,1.25,1.28,1.21
1.29,1.16,1.29,1.12
1.16,1.19,1.19,1.16
1.15,1.23,1.23,1.15
1.19,1.20,1.22,1.10
1.21,1.26,1.29,1.21
1.25,1.25,1.25,1.25
1.24,1.14,1.28,1.12
1.14,1.42,1.45,1.14
1.44,1.74,1.74,1.44
1.75,1.81,1.95,1.60
1.83,1.85,2.00,1.80
1.84,1.80,1.85,1.80
1.83,1.89,1.89,1.80
1.90,1.84,1.90,1.80
1.99,1.81,2.08,1.81
1.81,1.88,1.88,1.63
1.90,1.80,1.90,1.70
1.78,1.77,1.90,1.73
1.85,1.80,1.97,1.73
1.85,1.83,1.85,1.80
1.83,1.76,1.86,1.76
1.77,1.82,1.85,1.67
1.85,1.79,1.85,1.78
1.98,1.85,1.98,1.80
1.85,1.85,1.85,1.84
1.87,1.78,1.87,1.75
1.75,1.84,1.84,1.75
1.84,1.80,1.91,1.78
1.80,1.78,1.80,1.65
1.97,2.04,2.49,1.90
2.20,2.07,2.20,2.07
2.10,2.10,2.14,2.07
2.50,2.13,2.50,2.10
2.20,2.15,2.22,2.13
2.30,2.18,2.30,2.10
2.17,2.22,2.24,2.17
2.25,2.10,2.30,2.03
2.15,1.97,2.15,1.97
1.99,1.98,2.03,1.94
2.00,1.98,2.00,1.97
1.95,1.94,1.95,1.85
1.90,1.83,1.96,1.80
1.80,1.76,1.88,1.75
1.78,1.75,1.85,1.66
1.79,1.75,1.80,1.70
1.75,1.76,1.76,1.72
1.73,1.70,1.73,1.70
1.70,1.76,1.76,1.70
1.70,1.70,1.76,1.70
1.70,1.70,1.71,1.70
1.67,1.61,1.71,1.57
1.61,1.55,1.61,1.55
1.58,1.58,1.60,1.58
1.63,1.55,1.70,1.50
1.58,1.52,1.63,1.51
1.53,1.50,1.53,1.44
1.50,1.52,1.53,1.47
1.51,1.50,1.53,1.50
1.50,1.50,1.53,1.50
1.52,1.55,1.78,1.51
1.65,1.66,1.71,1.65
1.70,1.61,1.70,1.57
1.57,1.70,1.70,1.53
1.73,1.72,1.73,1.70
1.71,1.67,1.75,1.66
1.66,1.66,1.66,1.65
1.64,1.59,1.64,1.55
1.57,1.66,1.72,1.55
1.70,1.65,1.70,1.65
1.65,1.69,1.70,1.65
1.75,1.68,1.75,1.65
2.00,1.75,2.00,1.68
1.75,1.80,1.80,1.75
1.78,1.84,1.84,1.77
1.85,1.99,2.04,1.85
2.00,2.03,2.10,2.00
2.01,2.04,2.04,2.00
2.01,1.86,2.01,1.81
1.85,1.90,1.91,1.80
1.92,1.94,1.94,1.91
1.93,1.86,1.93,1.80
1.82,1.80,1.82,1.75
1.79,1.75,1.84,1.75
1.75,1.79,1.79,1.75
1.83,1.75,1.87,1.71
1.75,1.67,1.75,1.67
1.65,1.72,1.80,1.65
1.80,1.82,1.88,1.75
1.84,1.75,1.84,1.75
1.74,1.70,1.86,1.65
1.70,1.63,1.70,1.62
1.66,1.75,1.78,1.62
2.00,1.79,2.00,1.78
1.99,1.85,1.99,1.83
1.85,1.84,1.90,1.84
1.75,1.79,1.79,1.75
1.79,1.84,1.85,1.79
1.91,1.83,1.91,1.83
1.79,1.76,1.79,1.76
1.75,1.76,1.79,1.75
1.83,1.91,1.91,1.83
1.90,1.85,1.90,1.84
1.85,1.85,1.88,1.85
1.86,1.87,1.89,1.81
1.87,1.94,1.94,1.87
1.95,1.98,1.99,1.95
2.00,2.04,2.04,1.96
2.01,1.91,2.04,1.86
1.90,1.94,1.94,1.88
1.88,1.96,1.98,1.88
1.92,1.92,1.93,1.81
1.89,1.85,1.89,1.80
1.81,1.74,1.85,1.74
1.74,1.70,1.74,1.70
1.80,1.72,1.80,1.68
1.69,1.72,1.72,1.69
1.70,1.68,1.70,1.50
1.68,1.70,1.70,1.68
1.68,1.68,1.72,1.68
1.70,1.70,1.70,1.70
1.73,1.72,1.74,1.70
1.72,1.76,1.76,1.72
1.76,1.76,1.78,1.76
1.75,1.71,1.75,1.68
1.71,1.71,1.71,1.71
1.40,1.40,1.40,1.40
1.74,1.66,1.74,1.62
1.62,1.58,1.62,1.58
1.60,1.63,1.63,1.56
1.64,1.70,1.70,1.64
