MAN,ManpowerGroup Common Stock,NASDAQ
54.94,56.41,56.58,54.78
56.20,57.13,57.40,55.88
58.44,58.20,59.52,57.92
58.14,59.92,60.30,58.14
59.54,59.65,60.25,58.90
60.00,59.11,60.00,58.58
58.59,57.86,59.82,57.54
57.95,58.07,58.25,57.37
58.11,58.94,58.94,57.46
58.65,57.06,59.26,56.99
57.29,57.86,57.98,56.86
57.09,56.57,57.48,55.81
56.78,54.46,57.54,54.23
54.31,52.54,54.31,52.38
53.19,52.16,53.27,51.11
51.94,52.03,52.39,51.02
51.81,52.48,52.50,51.23
52.51,50.63,52.61,50.49
54.46,51.79,54.46,51.62
52.12,53.16,53.16,51.72
53.76,55.17,55.84,53.39
54.94,54.89,55.54,54.03
54.33,52.21,54.33,51.77
51.90,51.49,52.51,50.53
51.40,50.82,51.62,50.12
51.55,51.45,51.94,50.59
51.45,51.11,51.89,50.88
51.12,51.95,52.12,50.62
51.16,51.97,52.01,50.87
52.34,52.60,52.73,51.74
52.91,53.25,53.57,52.77
53.10,53.01,53.41,52.81
52.76,53.95,54.22,52.71
54.01,53.13,54.05,53.03
52.87,51.31,53.06,51.16
51.37,52.03,52.15,50.87
50.67,51.83,51.95,50.67
51.83,51.52,51.84,50.81
51.84,53.02,53.12,51.32
53.43,53.35,53.56,52.46
53.45,53.56,54.40,53.04
53.91,53.70,53.99,53.36
54.16,55.73,55.87,54.07
55.68,55.33,56.23,55.25
55.19,55.76,56.10,55.05
55.65,56.63,56.71,55.38
56.14,57.07,57.32,56.09
57.39,56.92,57.39,56.26
56.63,57.48,57.65,56.38
57.51,58.10,58.17,57.26
58.35,58.36,59.10,58.29
58.49,58.04,59.00,57.92
57.87,57.87,58.85,57.24
57.50,58.67,58.97,57.17
58.80,59.19,59.45,58.31
58.87,57.61,59.02,57.36
58.00,57.49,58.74,57.48
57.54,57.74,58.27,57.30
58.00,58.19,58.65,57.67
58.20,57.85,58.34,57.41
57.51,57.12,57.87,57.08
57.59,57.54,59.51,57.05
57.76,58.94,59.04,57.15
58.62,58.88,59.43,58.30
58.88,58.44,59.04,58.08
58.22,58.49,58.73,57.05
58.78,58.72,59.24,58.21
59.04,58.28,59.04,58.15
58.34,58.94,59.25,57.92
59.25,59.79,60.67,59.03
59.46,58.49,59.75,58.45
58.23,57.35,58.83,57.24
56.95,57.75,57.93,56.54
58.17,58.76,59.56,58.17
60.27,61.61,61.71,58.76
61.42,62.18,62.48,60.46
62.08,61.69,62.40,61.05
61.38,60.13,61.65,59.78
59.58,58.86,60.86,58.83
57.68,57.13,58.16,56.78
58.00,57.63,58.00,56.77
57.61,56.10,57.70,55.66
56.52,55.96,56.62,55.63
54.88,52.71,54.89,51.75
52.37,52.80,53.18,51.57
52.31,50.84,53.52,49.37
50.82,49.10,51.74,48.91
51.06,52.36,53.48,50.57
51.49,51.94,52.63,51.13
52.24,53.68,54.04,52.24
53.41,52.35,54.08,52.19
51.80,49.44,51.80,49.10
49.77,48.99,50.33,48.09
49.72,49.36,50.29,49.13
48.88,48.18,49.37,47.79
46.48,44.03,47.09,43.98
43.05,46.31,46.52,43.01
46.20,46.09,47.08,45.86
44.50,44.75,45.01,43.47
46.09,46.44,47.66,46.00
47.63,47.32,47.70,46.58
47.12,45.71,47.20,45.38
45.16,43.78,45.16,43.75
44.23,44.21,44.68,43.29
44.87,43.61,44.87,43.19
42.11,41.94,42.75,41.67
42.09,40.58,42.11,40.44
40.59,40.76,41.17,39.94
41.12,41.96,42.51,41.04
42.57,43.52,43.57,42.28
42.86,43.91,44.25,42.84
44.33,43.77,45.01,43.51
44.23,45.21,45.32,44.00
44.68,44.71,44.87,43.80
44.71,45.41,45.54,44.60
45.57,45.18,45.59,45.04
46.02,45.50,46.36,45.24
45.45,43.72,45.49,43.52
43.56,44.00,44.20,42.50
43.57,43.57,44.25,42.89
43.67,44.46,44.89,43.14
44.58,44.53,45.17,43.89
43.57,43.38,43.68,42.47
43.22,43.18,44.23,43.03
43.09,43.09,43.60,42.10
43.32,42.76,43.37,42.34
43.97,43.22,44.31,42.63
43.44,46.03,46.08,43.20
46.74,46.44,46.74,45.79
46.33,47.02,47.02,45.90
46.89,46.66,47.40,46.24
47.58,47.57,47.74,46.86
47.26,47.18,47.62,46.57
47.03,46.83,47.22,46.05
46.44,44.86,46.53,44.80
44.96,45.33,45.78,44.62
44.62,46.44,46.57,44.28
49.20,47.15,51.39,46.54
47.86,48.00,48.40,47.60
47.90,48.75,48.94,47.87
48.76,49.76,49.80,48.33
50.83,48.29,50.83,47.99
48.18,47.87,48.60,47.50
48.31,47.10,48.66,46.71
46.24,47.98,48.10,46.02
48.98,48.73,49.14,48.43
48.32,47.85,48.69,47.74
48.06,48.69,48.76,47.94
48.13,47.93,48.71,47.85
47.12,47.36,47.44,46.29
47.79,48.59,48.63,47.67
47.93,47.47,48.17,46.80
46.44,45.35,46.55,45.19
44.47,44.87,45.04,44.25
44.74,44.38,44.75,44.15
44.21,44.56,45.02,43.82
45.06,45.72,46.20,44.68
45.72,46.01,46.46,45.36
45.60,44.98,45.80,44.86
44.69,44.89,45.04,44.14
45.11,43.92,45.21,43.90
43.09,43.38,43.83,42.71
42.95,44.46,44.66,42.72
44.64,43.68,45.13,43.63
44.17,44.36,44.51,42.87
44.23,43.29,44.49,43.29
43.29,42.50,43.55,42.41
43.34,44.92,45.00,43.12
44.60,46.81,47.01,44.60
47.74,48.72,48.73,47.60
48.45,47.05,48.45,46.94
47.08,47.05,47.89,46.99
47.84,47.44,47.90,47.09
47.47,46.99,47.62,46.62
47.52,48.50,48.69,47.46
48.50,48.20,48.62,47.97
47.96,48.10,48.18,47.47
47.93,48.38,48.79,47.76
48.69,48.50,49.00,48.32
48.83,49.60,49.75,48.58
49.69,49.13,49.80,48.75
49.05,48.37,49.56,47.66
47.82,47.68,48.44,47.40
48.62,49.44,49.62,48.48
49.28,48.89,49.28,48.33
49.00,49.70,49.80,48.17
49.54,49.33,49.75,49.01
49.84,52.20,52.80,49.84
52.92,51.82,52.92,51.37
51.74,50.39,52.13,50.07
51.10,51.97,52.23,50.76
51.70,51.79,52.03,51.39
52.19,52.13,52.52,51.68
52.23,53.50,53.61,52.10
53.50,54.46,54.59,53.06
54.41,54.84,55.04,54.04
55.17,55.27,55.79,54.57
55.00,54.42,55.00,54.04
54.81,54.66,54.95,53.74
54.87,56.57,56.63,54.73
55.81,54.86,56.47,54.47
56.12,56.76,57.99,55.59
57.12,56.15,57.39,55.40
56.43,55.98,56.86,55.65
56.31,56.46,57.28,56.14
56.09,55.30,56.29,55.17
54.70,54.84,55.79,54.41
55.26,55.16,55.66,54.88
55.18,54.73,55.60,54.66
55.18,55.16,55.86,54.80
55.58,56.78,56.84,55.53
56.79,56.27,56.90,54.80
57.22,57.51,57.79,56.88
57.61,57.50,57.94,56.82
57.23,57.00,57.45,56.51
57.38,56.75,57.59,56.50
56.87,57.58,57.69,56.19
56.94,58.16,58.29,56.56
57.86,56.21,57.99,55.89
56.25,55.79,56.47,55.77
55.18,53.87,55.18,53.56
54.13,53.76,54.23,53.52
54.15,55.82,56.01,54.15
55.65,55.64,56.02,55.28
55.30,56.36,56.61,55.30
55.49,55.74,55.96,55.09
56.23,57.42,57.65,56.16
56.82,57.11,57.34,56.54
56.50,57.00,57.09,56.11
56.17,56.32,57.07,55.84
57.49,57.27,57.64,56.98
57.33,58.80,59.33,57.30
58.68,59.56,59.74,57.97
59.61,59.95,60.28,59.53
60.89,61.05,61.39,60.56
61.27,61.50,61.64,60.95
61.89,62.88,62.94,61.55
62.87,63.21,63.31,62.01
63.01,62.77,63.49,62.60
62.80,62.89,63.84,62.65
62.62,62.72,63.67,62.62
