VXF,Vanguard Extended Market ETF - DNQ,NASDAQ
43.50,43.94,44.01,43.50
44.00,44.10,44.15,43.74
44.05,44.25,44.35,44.05
44.11,44.47,44.48,43.92
44.41,44.70,44.70,44.27
44.92,44.63,44.94,44.49
44.37,44.08,44.37,43.90
44.15,44.63,44.67,43.86
44.52,44.69,44.77,44.48
44.70,44.19,44.82,43.97
44.29,44.75,44.77,44.22
44.38,44.35,44.43,43.87
44.39,43.72,44.54,43.57
43.52,42.73,43.65,42.66
43.03,42.89,43.14,42.67
42.78,42.65,43.10,42.54
42.47,42.83,42.85,42.17
42.91,42.22,42.91,41.83
42.35,41.63,42.76,41.54
41.70,42.24,42.26,41.70
42.30,42.79,42.83,42.16
42.55,42.47,42.78,42.25
42.08,41.03,42.21,41.00
41.03,41.09,41.14,40.18
41.10,40.85,41.39,40.80
41.30,41.34,41.58,40.98
41.22,41.38,41.66,40.87
41.33,42.07,42.08,41.12
41.68,42.37,42.37,41.53
42.83,43.10,43.12,42.55
43.29,43.42,43.45,43.15
43.40,43.66,43.66,43.34
43.62,43.84,43.96,43.49
44.00,43.84,44.03,43.76
43.77,43.23,43.80,43.20
43.43,43.58,43.74,43.41
42.98,43.67,43.68,42.90
43.71,43.67,43.72,43.35
43.85,44.46,44.47,43.79
44.71,44.82,44.99,44.54
44.95,44.92,45.26,44.84
45.00,45.02,45.10,44.87
45.34,45.78,45.82,45.23
45.89,45.93,45.97,45.78
45.72,46.02,46.30,45.72
46.02,46.41,46.53,46.02
46.15,46.55,46.56,46.05
46.75,46.61,46.76,46.36
46.65,46.47,46.65,46.09
46.69,46.87,46.91,46.48
47.02,47.23,47.44,47.02
47.23,47.04,47.28,46.96
46.52,46.52,47.14,46.33
46.12,47.04,47.12,46.08
47.13,47.57,47.58,46.96
47.36,47.16,47.47,47.16
47.57,46.81,47.69,46.81
46.95,46.80,47.17,46.63
46.99,47.13,47.14,46.93
47.15,47.20,47.38,46.93
47.04,46.92,47.40,46.91
47.23,47.35,47.47,46.96
47.56,48.14,48.16,47.53
47.98,48.42,48.50,47.98
48.36,48.16,48.42,47.87
48.04,48.17,48.28,47.69
48.24,48.53,48.54,48.09
48.65,48.68,48.77,48.50
48.60,48.82,48.83,48.35
49.05,49.64,49.64,48.99
49.62,49.70,49.85,49.54
49.50,49.04,49.69,48.71
48.80,48.81,49.04,48.24
49.10,49.47,49.48,48.95
49.45,49.65,49.69,49.30
49.28,50.21,50.24,48.98
50.30,50.75,50.75,50.06
50.77,50.59,51.00,50.53
50.40,49.34,50.68,49.26
