UNP,Union Pacific Corporation Common Stock,NASDAQ
64.58,65.39,65.42,64.47
65.56,66.30,66.80,65.34
66.27,66.40,67.28,66.12
66.07,65.81,66.44,65.10
65.77,68.04,68.35,65.60
68.50,67.59,68.66,67.19
67.00,67.39,67.53,66.76
67.70,67.47,67.88,66.55
67.12,66.38,67.63,65.95
66.28,65.57,66.39,65.09
65.72,65.52,65.78,64.75
64.03,63.73,64.04,61.92
63.75,65.45,67.48,63.15
65.56,63.85,66.24,63.51
64.58,63.75,64.72,63.44
63.45,64.20,64.50,62.90
64.05,63.81,64.05,63.00
63.91,61.54,64.14,61.44
62.01,60.50,62.60,60.41
60.83,62.31,62.40,60.81
62.49,62.93,63.24,62.04
63.17,62.98,63.89,62.73
62.26,60.98,62.76,60.91
61.13,62.10,62.15,60.75
62.18,60.97,62.45,60.97
61.84,61.74,62.55,61.38
61.76,61.71,62.32,60.64
61.43,63.61,63.85,61.41
63.01,63.41,63.46,62.44
64.00,65.16,65.26,63.48
65.56,64.98,65.66,64.06
64.78,65.31,65.42,64.60
65.24,66.57,66.75,65.24
66.60,66.85,67.09,66.44
66.87,66.39,66.97,65.86
66.32,66.88,66.96,66.11
65.96,68.46,68.52,65.47
68.37,67.37,68.57,67.35
67.74,67.70,68.08,67.02
67.90,67.27,68.10,66.93
67.33,67.21,68.08,67.10
67.58,68.06,68.40,67.05
68.57,69.13,69.32,68.39
69.31,69.49,69.76,69.06
69.26,70.84,71.35,69.10
70.75,71.60,72.03,70.50
71.38,72.50,72.52,71.33
72.80,73.00,73.06,72.01
72.80,72.91,73.18,72.25
72.88,73.45,73.49,72.75
73.66,73.21,74.03,72.84
72.77,73.65,73.96,72.77
73.24,73.24,74.35,72.79
72.83,74.00,74.14,72.62
74.17,73.70,74.24,73.00
73.49,72.91,73.49,72.35
73.55,72.67,74.27,72.55
72.74,72.66,72.98,72.08
72.99,73.58,73.92,72.77
73.81,73.61,74.25,73.28
73.36,73.30,73.61,72.54
73.65,73.65,74.23,73.04
73.77,73.81,74.26,73.16
73.34,73.64,73.85,73.30
73.52,73.68,73.99,72.27
73.34,75.55,75.70,73.23
75.75,75.75,75.98,75.17
75.81,75.38,75.88,74.53
75.14,76.20,76.46,74.87
76.62,77.06,77.55,76.29
77.08,77.11,77.60,76.82
76.98,75.95,77.15,74.39
75.75,75.39,75.91,74.75
75.99,76.71,76.97,75.86
76.73,77.03,77.34,76.32
76.09,76.25,78.03,75.77
76.72,77.10,77.24,76.42
77.04,77.11,77.16,76.36
76.85,76.07,77.58,75.95
76.32,75.94,76.79,75.51
76.87,77.65,78.09,76.37
77.87,75.66,78.61,75.50
75.90,77.33,77.56,75.90
76.44,75.06,76.44,74.33
74.05,74.29,75.58,73.71
73.78,72.20,74.51,67.61
71.95,71.07,72.94,69.78
73.20,74.94,75.30,73.20
74.02,74.79,75.73,74.02
75.32,76.72,77.03,74.96
76.67,75.83,76.79,75.62
75.01,74.18,75.22,73.54
74.56,74.30,75.06,72.36
74.32,72.94,75.00,72.47
72.54,71.58,73.57,70.22
69.92,67.94,70.27,67.76
65.99,69.75,70.33,65.99
69.42,69.33,70.66,69.07
67.17,68.57,68.59,67.17
69.21,70.12,71.33,68.67
70.20,71.55,71.55,70.20
71.45,71.43,72.13,70.56
70.56,70.31,72.41,70.27
70.34,72.58,72.67,70.33
72.97,73.22,74.16,72.50
71.83,69.33,71.84,69.00
69.94,68.10,69.94,67.98
68.36,69.33,69.45,67.98
69.92,69.38,71.94,69.10
70.54,72.69,72.80,70.54
72.07,73.55,73.68,71.62
74.30,72.74,74.50,72.59
73.55,75.15,75.22,73.27
74.61,75.12,76.49,74.61
75.85,76.22,76.37,74.39
76.28,76.37,76.52,75.81
77.26,76.83,78.35,76.36
76.76,73.83,76.87,73.63
74.07,73.96,74.25,72.39
73.65,72.03,73.65,71.74
72.32,72.72,73.11,71.71
73.10,72.67,73.62,72.38
71.77,70.13,71.77,69.47
70.15,69.51,71.12,69.35
69.86,69.51,70.38,67.83
69.91,68.37,70.53,67.97
69.96,67.43,69.96,66.91
67.71,70.24,70.31,67.13
70.73,70.89,71.67,70.10
70.89,71.71,72.11,70.88
71.27,72.69,72.92,71.02
73.64,72.44,74.10,71.69
72.05,72.59,73.02,71.42
72.65,72.18,72.74,71.33
71.78,68.81,71.92,68.46
69.19,68.37,69.26,67.50
67.39,69.63,69.68,66.84
70.68,69.12,70.68,68.29
71.48,72.40,73.84,70.55
72.66,73.90,74.33,72.55
74.56,75.46,76.49,73.91
76.00,74.63,76.00,74.36
74.12,74.71,74.92,73.49
75.27,74.35,75.81,73.96
73.34,74.67,75.13,72.81
75.81,76.26,76.44,74.82
75.87,76.54,76.88,75.20
76.57,76.97,77.25,76.34
76.49,77.53,77.79,76.24
76.29,77.04,77.50,75.50
77.59,78.13,78.23,76.98
77.36,77.66,77.91,76.42
