UHS,Universal Health Services,NASDAQ
30.66,31.15,31.15,30.66
31.14,30.90,31.42,30.71
30.93,30.75,31.23,30.65
30.85,31.21,31.30,30.64
31.25,32.62,32.68,31.21
32.87,32.28,33.12,32.24
32.07,31.31,32.19,31.18
31.51,32.76,32.79,31.51
32.53,33.36,33.42,32.42
33.34,32.36,33.36,32.22
31.99,32.17,32.18,30.78
31.94,30.32,31.94,29.60
30.29,29.23,30.55,29.06
29.21,28.75,29.90,28.67
29.00,29.54,29.77,28.72
29.42,30.85,30.96,29.30
30.86,30.23,30.86,29.71
30.28,29.39,30.39,29.13
29.43,29.16,29.87,29.02
29.22,29.36,29.36,28.80
29.41,30.34,30.42,29.18
30.30,29.88,30.30,29.73
29.75,29.17,29.75,29.02
29.20,28.83,29.25,28.40
28.77,28.94,29.13,28.40
29.27,30.24,30.35,29.05
30.05,30.87,31.21,30.05
30.73,31.38,31.45,30.45
31.05,32.02,32.02,30.88
32.21,32.01,32.29,31.70
32.00,31.84,32.30,31.73
31.74,31.91,31.95,31.16
31.78,32.28,32.29,31.78
32.27,31.45,32.50,31.37
31.25,30.56,31.39,30.51
30.57,30.40,30.70,30.19
30.02,31.01,31.17,29.52
30.52,31.02,31.83,29.65
31.18,31.69,31.75,31.12
31.85,32.04,32.22,31.67
32.20,31.65,32.38,31.57
31.60,33.03,33.09,31.57
33.23,33.10,33.30,32.81
33.16,33.06,33.20,32.97
32.92,32.54,33.11,32.54
32.63,33.51,33.64,31.87
33.31,33.66,33.70,32.98
33.60,33.03,33.75,32.41
33.01,33.86,33.94,32.67
33.97,34.15,34.17,33.79
34.35,34.63,34.99,34.00
34.77,34.17,34.96,34.10
34.46,34.46,34.54,33.84
34.75,36.59,36.71,34.75
36.73,35.95,36.74,35.78
35.91,35.17,35.97,35.02
35.28,35.18,35.46,34.98
35.23,35.63,35.75,35.18
35.81,36.07,36.17,35.66
36.16,35.80,36.25,35.69
35.72,35.09,35.75,34.91
35.36,36.71,36.88,35.27
36.71,36.63,37.08,36.51
36.57,36.69,36.97,36.46
36.54,36.78,36.82,35.81
36.72,36.99,37.02,36.22
37.05,36.32,37.10,36.29
36.34,36.50,37.18,36.28
36.55,36.06,36.80,35.96
36.28,35.45,36.30,35.43
35.45,35.38,35.57,35.13
35.29,34.86,35.52,33.71
35.24,35.76,35.93,34.64
36.15,37.00,37.12,35.43
36.93,35.99,37.25,35.82
35.69,35.87,36.30,35.41
35.97,36.51,37.07,35.97
36.58,35.97,36.64,35.86
35.93,36.89,38.21,35.93
36.98,36.75,37.19,36.55
36.87,38.18,38.28,36.75
38.20,37.12,38.68,37.10
37.32,37.85,38.16,36.92
37.67,36.46,37.67,36.40
36.29,36.01,36.86,35.88
35.80,35.03,36.45,33.42
35.10,35.47,35.90,34.81
36.75,36.65,36.97,36.17
36.32,37.48,37.69,36.06
37.69,37.94,38.10,37.38
37.81,37.70,38.54,37.66
37.48,39.04,40.81,36.90
43.20,42.14,43.47,41.00
41.98,41.75,42.50,41.46
41.53,42.10,42.21,41.36
41.24,41.81,42.59,41.16
41.49,41.99,42.36,40.76
41.79,41.48,42.31,41.40
40.90,41.84,41.96,40.71
42.07,42.34,43.12,41.76
43.17,43.06,43.63,42.86
42.96,42.38,43.17,42.21
42.09,41.90,42.76,41.76
42.04,43.10,43.11,42.04
43.46,43.36,43.80,42.63
42.64,41.57,43.24,41.35
41.64,41.24,42.24,41.03
41.24,40.32,41.49,39.73
40.61,40.88,41.64,40.53
41.56,41.90,41.93,40.88
41.46,42.14,42.14,41.38
42.30,42.28,42.70,42.15
42.68,43.23,43.27,42.58
42.91,42.76,43.34,42.44
42.90,42.46,43.09,42.19
42.46,41.33,42.51,41.25
41.57,40.26,41.82,40.02
40.34,39.23,40.84,39.21
39.11,39.78,40.29,38.73
40.38,40.25,40.63,39.87
40.24,40.07,40.56,39.94
40.07,39.48,40.08,39.22
38.94,38.67,39.04,38.08
38.53,38.15,38.85,38.12
38.36,37.16,38.36,36.43
37.29,36.59,37.29,36.33
37.12,36.43,37.26,36.26
36.39,36.74,36.77,36.08
36.98,36.74,37.87,36.66
36.72,36.49,36.90,36.13
36.45,36.40,36.81,36.14
36.65,36.87,37.04,36.48
36.88,37.59,37.85,36.55
37.51,37.65,37.77,36.99
37.49,36.81,37.49,36.69
36.80,36.64,37.15,36.50
36.30,36.20,36.43,35.87
36.39,34.95,36.39,34.79
35.34,34.90,35.60,34.88
34.73,35.02,35.22,34.60
35.36,36.31,36.56,34.95
35.25,35.43,36.27,35.00
35.55,34.56,35.86,34.51
34.70,34.28,35.09,34.00
34.03,35.97,36.04,33.90
36.97,34.92,37.51,34.77
34.71,36.20,36.29,34.65
36.40,37.73,38.76,36.17
38.59,38.00,39.22,37.73
37.62,37.84,38.14,37.17
38.13,38.00,38.24,37.79
37.65,37.72,38.14,37.54
37.32,36.18,37.32,36.11
35.71,36.00,36.28,35.40
35.95,36.31,36.49,35.56
36.05,36.00,36.19,35.65
36.16,35.91,36.35,35.78
35.97,35.88,36.02,35.24
35.76,35.14,35.92,35.09
35.12,34.86,35.12,34.41
34.95,34.21,35.18,34.17
33.96,32.56,33.96,32.37
32.24,32.80,33.14,32.24
32.89,31.41,33.07,31.30
31.55,31.63,31.72,30.51
31.40,31.06,31.63,31.05
31.01,31.40,31.61,30.92
31.84,32.06,32.52,31.58
32.08,32.94,32.95,31.68
33.18,33.40,33.78,33.04
33.23,33.28,33.45,32.95
33.27,33.13,33.62,33.02
33.46,34.03,34.41,33.19
33.96,34.00,34.12,33.65
34.37,34.05,34.37,33.87
33.93,34.39,34.77,32.89
34.26,35.30,35.41,34.24
35.09,35.56,35.63,34.82
35.63,35.77,36.20,35.51
36.13,36.90,37.33,36.04
36.80,36.73,37.06,36.53
36.55,37.58,37.68,36.55
37.27,37.20,37.58,36.92
37.56,38.06,38.25,37.26
38.06,38.74,38.86,37.56
38.88,38.82,39.00,38.27
38.59,39.15,39.46,38.37
39.42,38.86,40.29,38.01
39.03,38.69,39.26,38.09
38.49,38.11,39.08,37.86
38.52,37.82,38.71,37.62
37.86,37.62,38.00,37.44
37.84,37.42,37.94,37.22
37.49,38.54,38.73,37.10
38.63,38.75,39.25,38.27
38.71,38.92,38.99,38.27
39.05,38.46,39.05,38.25
38.48,37.70,38.66,37.44
38.05,37.97,38.41,37.43
37.99,38.56,38.75,37.99
38.25,37.21,38.35,36.94
37.42,38.45,39.11,37.42
38.55,38.15,38.56,37.67
38.35,38.94,39.15,38.23
39.01,39.21,39.50,38.52
38.96,39.49,39.61,38.95
39.11,38.77,39.68,38.02
38.86,40.57,41.69,38.86
40.34,41.27,41.37,40.33
41.34,40.95,41.99,40.42
41.11,41.20,41.37,40.89
41.28,41.35,41.82,40.51
41.74,41.95,42.06,41.44
41.95,41.93,42.20,41.67
42.24,41.95,42.68,41.81
42.04,41.40,42.20,41.26
41.31,41.71,41.82,41.00
41.33,41.57,41.72,41.23
41.45,40.74,41.71,40.48
40.98,40.89,41.20,40.82
40.76,40.85,41.65,40.50
41.04,40.75,41.17,40.62
40.99,40.77,41.39,40.71
40.80,40.23,41.00,40.22
40.22,40.11,40.47,39.86
39.70,40.30,40.35,39.24
40.48,41.01,41.17,40.18
40.70,40.95,41.06,40.42
40.68,41.30,41.50,40.38
40.90,41.12,41.44,40.68
41.51,41.14,42.16,41.04
41.09,42.06,42.07,41.09
42.03,41.73,42.03,41.32
41.58,41.12,41.62,40.91
41.15,41.30,41.74,41.13
41.28,40.98,41.45,40.96
41.10,41.20,41.31,40.71
41.46,41.74,42.90,41.29
41.88,40.32,41.90,40.29
40.49,41.86,41.87,40.41
41.87,42.25,42.73,41.58
42.33,43.17,43.22,42.07
43.25,43.31,43.35,42.88
43.25,43.15,43.31,42.93
43.25,43.37,43.65,43.06
43.35,43.55,43.76,43.24
43.44,43.09,44.04,42.89
42.96,42.88,43.01,42.46
42.78,42.65,42.96,42.43
42.65,42.85,42.90,42.37
42.75,43.74,43.97,42.71
43.63,43.42,43.95,43.30
43.57,43.43,44.28,43.18
43.97,44.16,45.00,43.86
44.15,44.01,44.83,44.00
44.19,44.40,44.58,44.06
44.50,44.28,44.60,43.87
43.85,44.03,44.28,43.62
44.39,44.79,45.12,44.12
45.08,44.74,45.08,44.21
44.71,46.00,46.58,44.66
45.84,45.97,46.00,45.43
45.94,46.26,46.31,45.62
45.74,43.67,45.75,42.85
43.35,43.48,44.29,42.88
43.69,42.33,44.00,42.03
42.48,42.30,42.61,41.77
42.33,42.88,43.39,42.00
43.03,43.50,43.59,42.42
43.45,42.97,43.69,42.89
42.98,42.09,43.12,41.95
42.17,42.10,42.37,41.57
42.36,42.60,43.00,42.18
42.38,42.60,43.03,42.38
42.50,42.81,43.29,41.83
42.89,42.62,43.36,42.50
42.83,43.11,43.51,42.47
43.23,44.14,44.50,43.23
43.93,43.37,44.01,43.20
43.27,42.06,43.53,41.75
42.09,42.79,43.23,41.43
42.83,43.90,44.00,42.59
43.74,43.85,44.66,43.73
44.00,44.18,44.42,43.69
44.20,43.64,44.27,43.46
43.68,42.92,43.76,42.64
42.51,42.26,42.77,41.70
42.22,43.57,43.76,41.99
43.45,43.73,44.18,42.98
43.71,45.22,45.25,43.55
45.25,45.71,46.72,45.25
47.00,47.48,48.24,47.00
47.30,48.03,48.09,47.05
