SRNE,Sorrento Therapeutics,NASDAQ
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.94,1.94,1.92
2.00,1.75,2.00,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
0.50,2.08,2.08,0.50
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.99,2.99,2.99,2.99
2.99,2.99,2.99,2.99
3.00,3.00,3.00,3.00
