VIS,Vanguard Industrials ETF - DNQ,NASDAQ
60.22,59.59,60.25,59.30
59.56,59.72,59.78,59.48
59.45,58.79,59.45,58.41
59.35,59.72,59.94,59.05
59.89,60.13,60.52,59.68
60.42,60.17,60.42,59.86
60.81,60.39,61.00,60.38
60.27,60.22,60.51,59.80
59.94,59.85,59.94,59.22
60.37,59.69,60.37,59.26
59.45,59.82,59.88,59.40
60.07,59.77,60.57,59.41
60.37,60.36,60.41,60.10
60.45,60.51,60.57,59.76
61.38,61.83,61.90,61.16
62.07,62.22,62.41,61.81
62.06,61.99,62.06,61.70
62.24,61.42,62.24,61.16
61.46,61.46,61.53,60.86
61.18,61.19,61.24,60.81
60.78,60.36,61.01,60.13
60.81,60.62,61.13,60.57
60.45,59.67,60.45,59.34
59.78,59.71,59.83,59.57
60.33,60.80,61.03,60.33
60.84,61.09,61.09,60.50
60.84,60.95,61.03,60.28
60.34,60.19,60.38,59.91
60.85,61.53,61.57,60.85
61.10,61.16,61.35,61.05
60.91,61.13,61.16,60.24
60.56,60.89,61.14,60.33
61.93,62.45,62.52,61.82
62.77,63.39,63.45,62.56
63.18,63.63,63.70,63.00
63.63,63.65,63.80,63.31
64.36,63.90,64.44,63.87
64.09,63.77,64.14,63.55
64.08,63.91,64.12,63.72
64.30,64.60,64.67,63.93
65.13,64.55,65.13,64.55
64.56,64.78,65.01,64.56
64.86,64.49,65.12,64.39
64.78,65.15,65.15,64.44
65.19,65.00,65.19,64.79
65.42,65.04,65.42,64.73
65.27,65.58,65.68,65.26
65.00,64.90,65.00,64.72
64.92,64.72,64.92,64.61
64.70,64.82,64.89,64.23
65.00,64.88,65.00,64.57
65.16,64.84,65.16,64.80
64.82,64.83,64.99,64.75
64.87,64.82,64.96,64.61
65.34,65.37,65.72,65.26
65.69,65.11,65.69,64.52
65.05,65.54,65.67,64.85
65.64,65.41,65.74,65.22
65.81,65.49,65.90,64.95
65.11,65.59,65.70,64.97
65.80,65.80,66.12,65.53
66.21,66.37,66.52,66.18
66.97,66.46,66.97,66.28
66.45,66.76,66.79,66.29
66.99,67.10,67.12,66.80
67.15,66.25,67.15,66.08
66.20,65.89,66.20,65.48
66.94,66.38,66.94,66.27
66.61,67.11,67.15,66.41
67.00,66.99,67.08,66.45
67.24,67.56,67.75,67.06
67.70,67.87,68.02,67.50
67.93,66.50,68.19,66.40
66.72,67.14,67.29,66.72
67.83,68.23,68.96,67.54
68.37,68.01,68.38,67.96
67.75,68.03,68.12,67.51
68.47,68.27,68.80,67.80
68.72,68.98,69.20,68.51
69.26,69.49,69.49,68.97
69.56,69.40,69.56,69.09
69.27,69.69,69.78,69.00
69.64,70.30,70.40,69.42
70.61,70.37,70.63,70.15
70.32,70.11,70.32,69.79
70.57,70.47,70.66,70.13
70.29,70.69,70.76,70.23
71.01,70.85,71.01,70.56
70.15,68.74,70.15,68.50
68.71,67.41,68.71,66.71
67.21,67.79,68.17,67.08
68.57,68.59,68.61,68.10
68.87,68.92,69.37,68.56
69.36,67.39,69.36,67.25
67.13,67.73,68.17,67.13
68.37,69.36,69.59,68.37
69.51,68.61,69.51,68.07
68.81,67.95,69.11,67.40
68.06,69.14,69.40,67.81
68.89,68.97,69.22,68.42
68.20,67.50,68.26,67.44
67.18,68.17,68.48,67.09
67.71,67.63,67.93,66.86
65.47,66.91,67.35,65.00
66.99,65.72,67.00,65.30
66.70,66.59,67.33,66.30
67.83,67.16,67.83,66.95
68.39,68.62,68.80,68.19
68.76,68.13,68.76,68.01
68.08,68.34,68.51,67.57
68.80,69.02,69.08,68.30
69.29,69.33,69.70,68.97
69.67,69.20,69.72,69.20
69.20,69.65,69.67,68.75
70.28,70.15,70.31,69.88
70.19,70.37,70.51,70.06
70.93,71.02,71.38,70.81
71.45,71.13,71.45,70.93
70.93,70.95,71.39,70.85
71.51,71.04,71.51,70.69
70.92,70.55,71.13,70.37
70.90,69.84,70.90,69.49
69.95,69.70,70.22,69.53
69.11,69.13,69.59,68.90
69.67,68.99,69.67,68.63
68.65,69.05,69.09,68.09
69.08,69.35,69.54,69.02
68.58,68.33,68.58,67.76
68.55,68.91,68.94,68.54
70.00,69.94,70.25,69.72
70.50,70.23,70.50,69.94
70.13,69.98,70.24,69.80
70.34,71.21,71.44,70.34
71.36,71.62,71.70,70.88
71.46,71.83,71.96,71.46
71.95,72.17,72.37,71.94
72.49,71.94,72.60,71.85
71.79,71.56,72.00,71.24
71.61,70.54,71.61,70.32
70.16,70.25,71.12,69.93
71.09,70.77,71.58,70.50
70.87,71.15,71.40,70.64
71.49,71.81,71.91,71.49
71.80,70.97,71.80,70.74
70.78,71.05,71.25,70.18
70.98,70.14,71.22,70.01
69.88,69.79,70.48,69.71
69.53,68.90,69.53,68.64
69.01,69.83,69.90,68.78
70.11,70.30,70.63,69.96
70.08,69.62,70.09,69.34
68.38,68.49,68.75,68.17
