DCTH,Delcath Systems,NASDAQ
5.20,5.28,5.30,5.12
5.29,5.23,5.38,5.20
5.25,5.32,5.43,5.15
5.40,5.37,5.48,5.30
5.41,5.45,5.51,5.30
5.47,5.79,5.85,5.38
5.82,5.70,5.90,5.66
5.81,5.69,5.82,5.50
5.69,5.78,5.82,5.46
5.80,5.58,5.88,5.52
5.60,5.52,5.65,5.46
5.51,5.36,5.53,5.30
5.47,5.19,5.54,5.19
5.16,4.61,5.19,4.61
4.65,4.71,4.79,4.55
4.72,4.66,4.86,4.60
4.68,4.60,4.86,4.50
4.63,4.34,4.69,4.27
4.37,4.31,4.44,4.26
4.34,4.37,4.50,4.05
4.35,4.40,4.43,4.31
4.38,4.40,4.49,4.35
4.39,4.72,5.33,4.31
4.77,4.78,4.91,4.60
4.78,4.82,5.30,4.75
5.20,5.00,5.20,4.95
5.10,4.91,5.15,4.89
4.90,4.98,5.00,4.74
4.96,5.32,5.35,4.92
5.62,5.37,5.62,5.14
5.39,5.34,5.51,5.25
5.35,5.31,5.43,5.20
5.28,5.30,5.33,5.11
5.31,5.27,5.35,5.24
5.28,5.26,5.31,5.15
5.24,5.33,5.43,5.14
5.29,5.26,5.36,5.19
5.25,5.32,5.43,5.25
5.31,5.42,5.46,5.30
5.40,5.61,5.70,5.36
5.63,5.50,5.69,5.48
5.52,5.39,5.54,5.36
5.39,5.55,5.59,5.39
5.56,5.72,5.80,5.53
5.70,5.59,5.80,5.48
5.56,5.67,5.71,5.56
5.66,6.05,6.06,5.63
5.81,5.85,5.92,5.60
5.86,6.09,6.25,5.80
6.18,6.18,6.19,6.00
6.24,6.20,6.40,6.14
6.17,6.20,6.48,6.11
6.24,5.88,6.39,5.84
5.99,6.18,6.19,5.79
6.24,6.44,6.50,6.17
6.42,6.51,6.73,6.42
6.42,6.77,6.94,6.42
6.93,7.26,7.48,6.85
7.45,7.62,7.81,7.34
7.67,8.41,8.49,7.63
8.50,8.10,9.38,7.85
8.32,8.50,8.66,8.16
8.65,8.47,8.71,8.34
8.56,8.40,8.56,8.35
8.50,8.75,8.99,8.40
8.75,9.47,9.48,8.75
9.63,9.51,10.00,9.27
9.76,9.45,9.83,9.30
9.91,9.58,9.95,9.22
9.77,9.94,10.20,9.60
9.94,9.70,10.06,9.61
9.73,9.50,9.88,9.43
9.60,9.89,10.35,9.43
10.00,10.60,10.74,9.90
10.70,10.85,11.00,10.50
14.25,12.93,14.47,12.63
13.00,13.12,13.22,12.51
13.68,14.34,15.38,13.20
14.51,14.80,15.38,13.97
15.38,15.85,16.35,15.25
16.19,16.18,16.45,15.26
16.25,15.31,16.29,15.21
15.75,15.32,15.89,14.09
14.97,14.51,15.20,14.30
13.71,13.20,14.07,12.07
13.13,12.34,13.55,11.00
12.30,11.95,13.01,11.75
12.87,13.24,13.34,12.55
12.88,13.12,13.49,12.80
13.13,13.43,13.48,13.03
13.50,14.02,14.50,13.50
14.15,13.53,14.17,13.22
13.70,14.69,14.80,13.27
15.16,15.15,15.65,14.80
14.81,14.30,14.84,13.64
13.66,13.19,13.75,13.09
12.88,13.46,13.88,12.50
13.46,14.57,14.90,13.46
13.84,15.13,15.62,13.75
15.93,14.52,16.10,14.35
15.04,14.85,15.20,14.61
14.95,15.54,15.58,14.86
15.75,15.54,16.33,15.46
15.98,15.95,16.18,15.61
16.17,15.54,16.33,15.44
15.15,14.65,15.59,14.51
13.41,10.83,13.42,10.67
