CFBK,Central Federal Corporation - Common Stock,NASDAQ
7.60,7.00,7.60,7.00
7.30,8.00,8.00,7.30
8.05,8.00,8.05,8.00
7.85,7.85,7.85,7.85
8.00,8.00,8.25,8.00
8.20,8.25,8.25,8.20
9.30,8.00,9.32,8.00
8.85,8.60,8.85,8.15
nan,8.60,nan,nan
9.00,8.60,9.00,8.60
8.65,8.60,8.65,8.60
8.10,7.55,8.10,7.05
8.30,7.50,8.30,7.25
7.00,6.95,7.00,6.75
6.55,6.40,6.55,6.35
7.05,6.75,7.05,6.75
6.75,6.75,6.75,6.75
7.25,7.25,7.25,7.20
nan,7.25,nan,nan
6.80,7.40,7.40,6.80
6.90,6.90,6.90,6.90
nan,6.90,nan,nan
6.75,6.75,6.90,6.75
6.75,6.95,7.00,6.75
6.75,6.75,6.75,6.75
6.70,6.40,6.75,6.40
6.75,6.40,6.75,6.40
nan,6.40,nan,nan
6.45,6.40,6.45,6.40
6.40,6.00,6.40,6.00
5.60,6.20,6.20,5.55
5.80,5.85,6.20,5.80
5.75,5.75,5.75,5.75
5.55,5.80,5.80,5.50
nan,5.80,nan,nan
nan,5.80,nan,nan
5.55,5.55,5.55,5.55
nan,5.55,nan,nan
5.50,5.20,5.64,5.20
5.49,5.49,5.49,5.49
5.55,5.35,5.60,5.30
nan,5.35,nan,nan
5.00,4.80,5.10,4.15
4.80,4.84,4.84,4.75
5.00,5.00,5.00,5.00
5.10,5.15,5.15,5.05
5.20,5.20,5.20,5.20
5.05,4.85,5.62,4.75
5.00,5.00,5.00,5.00
4.80,5.75,6.00,4.80
5.50,6.00,6.00,5.50
6.00,5.92,6.00,5.92
nan,5.92,nan,nan
5.15,5.15,5.55,5.15
5.90,5.55,5.90,5.55
5.55,5.50,5.55,5.30
nan,5.50,nan,nan
5.50,6.05,6.05,5.50
6.50,5.82,6.50,5.82
6.00,5.97,6.00,5.97
nan,5.97,nan,nan
N/A,N/A,N/A,N/A
nan,5.97,nan,nan
nan,5.97,nan,nan
6.25,6.25,6.25,6.25
nan,6.25,nan,nan
6.25,7.10,7.35,6.25
8.15,6.25,8.15,6.25
6.50,6.40,7.54,6.25
nan,6.40,nan,nan
nan,6.40,nan,nan
7.40,7.45,7.45,7.05
7.45,7.25,7.45,7.25
7.25,6.69,7.45,6.69
7.00,7.25,7.26,7.00
7.25,6.50,7.25,6.50
7.45,7.45,8.15,7.45
7.70,9.35,10.00,7.70
8.90,8.75,9.80,8.00
7.90,8.72,8.80,7.90
8.70,8.00,8.75,7.75
8.00,8.00,8.00,8.00
8.25,8.25,8.70,8.25
8.40,8.10,8.60,8.10
8.50,8.50,8.50,8.50
nan,8.50,nan,nan
7.80,7.50,7.80,7.50
7.90,7.90,7.90,7.90
8.15,8.15,8.50,8.15
8.00,8.00,8.50,8.00
8.00,8.00,8.00,8.00
8.25,8.00,8.25,8.00
8.05,8.00,8.05,8.00
nan,8.00,nan,nan
8.25,8.25,8.25,8.25
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
nan,8.00,nan,nan
8.05,8.50,8.50,8.05
nan,8.50,nan,nan
8.00,7.40,8.00,7.40
7.60,8.00,8.65,7.60
nan,8.00,nan,nan
7.50,7.35,7.50,7.10
nan,7.35,nan,nan
nan,7.35,nan,nan
6.65,6.60,6.65,6.60
nan,6.60,nan,nan
7.25,9.00,9.00,7.25
9.00,8.85,9.00,8.75
7.22,7.22,7.22,7.22
7.56,7.52,7.56,7.52
nan,7.52,nan,nan
nan,7.52,nan,nan
8.00,8.50,8.50,7.95
8.50,8.91,9.00,8.50
7.70,7.70,7.70,7.70
