KEX,Kirby Corporation Common Stock,NASDAQ
35.09,34.94,35.51,34.46
34.71,35.91,36.02,34.71
35.69,35.00,35.72,34.96
34.90,34.70,35.12,34.39
34.51,35.15,35.25,34.31
35.27,35.31,35.45,35.04
35.24,34.81,35.34,34.44
34.87,35.35,35.44,34.87
35.13,35.44,35.50,35.09
35.27,34.96,35.38,34.76
35.05,34.95,35.20,34.62
34.61,34.76,34.86,34.28
34.95,34.40,35.15,34.07
34.42,34.00,35.00,33.83
34.34,34.84,34.99,34.18
34.94,35.02,35.29,34.50
34.85,35.98,36.04,34.84
32.18,33.55,34.73,32.18
33.45,32.44,33.60,32.42
32.47,32.56,32.88,32.40
32.71,32.74,32.82,32.51
32.64,32.54,32.81,32.50
32.37,31.81,32.73,31.75
31.84,31.55,32.09,30.83
31.54,31.35,31.81,31.00
31.75,32.13,32.24,31.53
31.97,31.69,32.12,31.30
31.69,32.20,32.61,31.69
31.90,32.26,32.26,31.76
32.70,32.88,32.89,32.26
33.00,33.05,33.24,32.94
33.08,32.40,33.08,32.19
32.33,32.60,32.63,32.09
32.62,32.76,32.92,32.54
32.73,32.27,32.86,32.18
32.30,32.34,32.46,31.99
31.80,32.36,32.45,31.80
32.30,33.01,33.09,32.08
33.02,33.50,33.53,32.99
33.76,34.01,34.04,33.56
34.01,34.41,34.54,33.98
34.38,34.54,34.77,34.10
34.75,35.09,35.09,34.65
34.98,35.48,35.58,34.93
35.39,35.64,35.70,35.24
35.78,36.04,36.37,35.53
36.50,35.97,37.05,35.78
36.01,36.18,36.18,35.62
36.19,36.35,36.82,36.13
36.37,36.17,36.45,35.88
36.19,36.49,36.71,36.19
36.60,36.51,36.77,36.10
36.33,36.33,36.73,35.97
36.08,36.75,36.78,35.90
36.88,37.44,37.47,36.72
37.43,37.70,38.30,37.38
38.01,37.94,38.56,37.73
37.99,37.97,38.25,37.62
38.17,38.30,38.37,37.95
38.41,38.54,38.77,38.36
38.43,38.15,38.64,38.13
38.31,38.10,38.45,37.92
38.12,38.91,38.91,38.08
38.80,38.87,39.15,38.61
38.92,38.26,39.03,37.99
37.98,38.52,38.53,37.98
38.51,39.16,39.18,38.42
39.27,39.20,39.60,39.04
39.09,39.56,39.59,38.68
39.87,39.89,39.95,39.60
39.82,39.83,40.10,39.73
39.69,39.52,40.11,39.12
39.28,39.32,39.71,38.92
39.64,40.47,40.51,39.27
40.47,40.36,40.64,40.16
39.94,40.44,40.46,39.78
40.44,40.81,40.81,40.09
40.74,41.40,41.49,40.68
41.21,41.24,41.77,40.89
41.36,41.38,41.92,41.05
42.50,43.24,43.96,42.28
43.40,42.08,43.88,42.06
42.19,42.94,43.10,41.56
42.33,41.51,42.38,41.14
41.30,40.68,41.34,40.43
40.59,39.50,40.99,37.96
39.28,39.27,40.56,38.96
41.05,41.07,41.67,40.54
40.70,40.93,41.49,40.51
41.13,41.91,42.07,41.09
41.74,41.33,42.11,41.15
41.13,40.54,41.17,40.18
40.74,40.18,40.77,38.92
40.67,40.27,41.10,39.98
40.19,39.81,40.78,39.15
38.85,37.81,38.97,37.79
37.27,38.61,38.79,37.03
38.54,38.10,38.94,38.10
37.17,38.49,38.58,36.60
39.70,39.11,39.95,39.04
40.08,40.69,40.69,39.61
40.70,39.43,40.70,39.23
39.07,38.51,39.80,38.48
38.68,40.23,40.23,38.61
40.31,40.23,40.98,39.99
39.30,38.59,39.63,38.46
38.62,37.49,38.66,37.42
37.50,37.63,37.88,36.80
37.84,37.71,38.52,37.46
38.23,39.16,39.28,38.00
38.77,39.87,39.94,38.53
40.00,40.06,40.47,39.92
40.14,41.13,41.15,39.89
40.97,41.12,41.69,40.85
41.16,40.71,41.41,40.48
40.72,41.25,41.38,40.54
42.09,41.05,42.22,40.73
41.26,40.62,41.40,40.45
40.62,40.50,40.90,40.17
40.28,40.39,40.65,39.98
40.47,40.63,41.17,40.16
40.61,41.55,41.96,40.58
40.79,39.15,40.86,38.92
38.98,38.25,39.41,38.16
38.38,37.51,38.39,36.73
37.76,36.96,37.87,36.76
37.49,37.26,37.86,36.94
37.43,38.71,38.75,37.43
39.21,38.69,39.58,38.30
38.69,39.11,39.11,38.53
38.89,38.84,39.30,38.66
39.37,39.88,39.99,39.34
39.68,40.05,40.28,39.49
40.03,39.88,40.21,39.24
39.64,38.94,39.75,38.87
39.06,39.42,39.48,38.90
38.87,40.10,40.13,38.61
40.34,39.57,40.70,39.36
40.12,40.97,41.00,40.12
40.82,41.67,41.71,40.75
41.93,42.79,43.00,41.70
43.00,42.38,43.33,42.12
42.38,41.90,42.57,41.55
37.13,38.52,39.22,37.04
37.86,38.44,38.72,37.27
38.87,39.56,39.79,38.72
39.50,39.03,39.52,38.69
39.03,39.03,39.44,38.93
38.66,39.01,39.31,38.66
38.50,38.53,38.99,37.96
38.84,38.95,39.10,38.57
38.47,37.72,38.58,37.45
36.99,37.65,37.67,36.87
36.97,37.82,37.93,36.90
37.63,37.64,37.95,37.52
37.43,37.61,38.01,37.33
38.10,38.51,38.80,38.10
38.51,38.50,38.92,38.01
38.33,37.50,38.34,37.26
37.40,37.45,37.51,36.80
37.56,36.84,37.86,36.84
36.30,36.45,36.88,35.78
36.17,36.43,36.58,35.78
36.66,36.71,37.08,36.55
36.95,37.10,37.17,36.53
37.01,36.57,37.17,36.57
36.45,36.83,37.08,36.17
37.42,38.05,38.09,36.85
38.06,38.00,38.74,37.83
38.36,37.96,38.84,37.70
37.85,37.27,37.90,37.19
37.39,37.08,37.43,37.01
37.61,37.22,37.61,37.12
37.35,37.15,37.55,36.87
37.62,37.67,37.88,37.31
37.55,38.31,38.78,37.55
38.16,38.25,38.66,38.13
38.10,38.19,38.35,37.95
38.44,38.38,38.83,38.09
38.55,38.76,38.94,38.40
38.80,38.86,38.97,38.54
38.62,38.41,39.01,38.19
38.06,37.86,38.59,37.80
38.39,39.10,39.20,38.26
39.19,39.51,39.63,38.98
39.61,40.07,40.14,38.93
39.95,39.55,40.14,39.44
39.80,40.06,40.76,39.54
40.30,40.27,40.44,40.00
40.14,39.50,40.56,39.35
39.86,40.73,41.00,39.86
40.62,40.59,40.93,40.30
40.79,40.42,40.79,40.18
40.51,40.00,40.51,39.83
39.98,39.99,40.30,39.70
39.90,40.19,40.34,39.25
40.38,41.26,41.76,40.38
41.07,40.15,41.08,40.12
40.58,39.92,40.69,39.46
40.14,40.29,40.70,40.01
39.80,39.96,40.38,39.63
40.16,40.64,40.84,40.13
40.76,40.93,41.22,40.57
40.88,41.19,41.30,40.51
41.52,40.87,42.16,40.85
40.59,40.62,41.12,40.37
40.18,40.41,40.57,39.82
40.79,42.58,44.18,40.79
42.89,42.99,43.31,42.16
43.22,42.78,43.42,42.60
43.09,43.48,43.62,42.95
43.53,43.07,43.72,42.56
43.63,43.68,44.27,43.56
43.70,44.61,44.65,43.65
44.48,44.97,45.00,44.43
45.00,44.47,45.00,44.32
44.46,44.50,44.68,44.15
44.08,44.37,44.55,43.83
44.11,44.03,44.36,43.67
44.12,44.62,44.75,43.95
44.27,43.81,44.40,43.40
43.89,43.78,43.93,43.49
44.27,44.41,44.90,44.26
44.37,44.49,44.65,44.27
43.84,44.72,44.92,43.70
44.37,44.29,44.37,43.86
44.66,45.46,45.56,44.66
45.13,45.35,45.55,45.13
44.92,44.54,45.32,44.23
44.08,44.67,44.71,44.06
45.41,44.88,45.78,44.78
44.96,45.03,45.33,44.91
44.95,45.39,45.69,44.95
45.28,44.99,45.34,44.92
45.38,44.84,45.48,44.74
44.90,44.78,45.03,44.67
45.02,45.13,45.15,44.78
45.27,44.97,45.42,44.86
45.04,44.63,45.13,44.57
44.63,44.02,44.68,43.69
43.92,43.88,44.12,43.68
44.01,44.66,44.93,43.99
44.70,44.01,44.81,44.01
44.21,44.38,44.51,43.59
44.50,44.70,44.87,44.22
44.83,44.63,44.93,44.43
44.67,44.48,44.79,44.45
44.42,44.54,44.61,44.07
44.57,44.23,44.61,44.09
44.38,44.12,44.44,43.97
44.03,44.12,44.38,43.85
44.01,44.05,44.46,43.88
44.33,44.39,44.55,44.13
44.53,44.33,44.65,43.63
44.14,44.69,44.90,44.13
44.77,44.72,44.90,44.50
44.71,44.65,44.95,44.07
44.44,44.85,44.95,44.30
44.94,44.94,45.52,44.76
45.27,45.49,45.59,44.96
45.41,45.29,45.44,45.03
45.18,45.65,45.67,45.14
45.54,45.62,45.80,45.44
45.52,44.61,45.60,44.44
44.37,44.04,44.69,43.92
44.37,43.75,44.62,43.72
43.82,43.83,44.06,43.47
43.60,43.96,43.96,43.29
44.11,44.32,44.48,43.70
45.76,46.34,47.95,45.76
46.36,47.24,48.88,46.36
47.44,46.74,47.82,46.64
47.22,47.25,47.71,47.08
47.43,47.56,47.77,46.89
47.37,48.35,48.71,47.26
48.31,48.71,49.08,48.26
48.77,49.05,49.18,48.50
49.02,49.16,49.30,48.63
49.02,49.06,49.38,48.76
48.93,49.16,49.44,48.67
49.08,49.79,49.83,49.07
49.84,50.16,50.18,49.63
49.97,50.49,50.61,49.97
50.57,51.50,51.61,50.57
51.12,51.46,51.85,50.86
51.46,52.05,52.07,51.16
53.61,54.21,55.18,53.61
54.00,53.36,54.34,53.24
53.47,53.26,54.08,52.67
53.40,53.84,54.06,53.34
54.07,55.34,55.39,54.03
55.27,54.99,55.98,54.70
54.84,55.52,55.61,54.84
55.79,56.34,56.72,55.79
56.44,56.17,56.74,55.55
56.51,55.21,56.76,54.81
55.44,56.37,57.43,55.25
56.54,56.43,57.15,55.87
55.94,54.83,55.94,54.64
54.97,55.33,55.60,54.36
55.43,56.33,60.00,55.12
55.56,54.82,55.71,54.59
54.90,53.96,55.35,53.78
54.57,54.64,55.20,54.52
55.08,54.36,55.74,54.21
55.05,56.25,56.60,55.05
56.21,55.69,56.37,55.65
55.55,56.22,56.43,55.29
56.36,56.43,56.44,55.65
56.66,56.78,57.02,56.36
56.82,56.38,57.01,56.38
56.25,56.27,56.43,55.96
56.65,56.42,56.99,56.32
56.39,57.29,57.32,56.29
57.44,57.10,57.71,56.71
57.14,57.43,57.52,57.09
57.30,57.39,57.68,57.27
57.68,57.11,57.87,56.79
56.94,56.66,57.32,56.48
56.69,56.06,56.69,55.71
56.06,55.85,56.43,55.64
55.56,55.19,55.90,54.96
55.40,55.08,55.64,54.73
54.71,54.87,55.41,54.51
55.04,55.50,55.56,54.80
55.06,54.11,55.06,53.74
54.26,54.15,54.39,53.82
54.88,54.98,55.09,54.30
55.26,55.80,55.91,54.90
55.85,56.22,56.45,55.51
56.41,56.45,57.27,56.31
56.49,56.61,56.87,55.60
56.79,56.70,58.25,56.01
56.64,56.78,57.21,56.49
57.00,56.74,57.22,56.67
56.66,55.80,57.02,55.60
55.85,54.67,55.85,54.61
54.54,54.32,55.21,54.25
54.73,54.59,55.15,54.25
54.75,55.17,55.25,54.30
55.51,55.19,55.85,55.14
54.93,52.90,55.18,52.53
52.17,54.81,55.00,52.02
54.66,54.58,55.00,54.42
54.18,53.48,54.27,53.44
53.03,52.46,53.21,51.90
52.32,53.42,53.43,51.82
53.68,53.48,54.09,53.20
53.28,54.37,54.40,52.71
53.40,54.92,55.02,53.35
54.97,54.51,55.14,54.22
54.14,55.07,55.26,54.12
54.75,55.48,55.56,54.51
55.63,56.26,56.45,55.59
56.59,57.47,57.47,55.91
57.40,55.82,57.45,55.77
55.99,55.20,56.51,55.07
54.61,54.49,54.91,54.41
54.43,53.54,54.43,53.35
53.70,53.74,53.93,53.26
53.53,52.86,53.55,52.85
53.04,52.84,53.10,52.79
52.56,51.64,52.98,51.38
51.51,51.21,52.03,50.97
51.71,52.30,52.58,51.70
51.78,51.76,52.41,51.66
53.36,55.53,55.60,52.94
55.97,55.31,56.03,55.12
55.38,55.61,55.67,55.17
55.98,56.34,56.37,55.54
56.21,56.17,56.50,55.89
55.44,55.55,55.74,54.94
55.68,55.61,55.88,55.20
55.55,55.52,55.90,55.41
55.75,55.93,55.95,55.52
56.21,56.64,56.78,55.59
56.84,56.67,57.34,56.66
56.99,58.28,58.48,56.67
58.48,58.12,58.54,58.02
57.98,58.16,58.78,57.73
58.87,58.50,58.95,57.81
57.88,58.50,58.50,57.71
57.78,57.90,58.06,57.66
57.57,57.91,58.25,57.57
57.93,57.90,58.48,57.80
59.71,58.17,59.87,58.08
58.41,58.36,58.47,57.91
58.40,57.80,58.40,57.68
58.12,58.26,58.46,57.66
58.42,58.21,58.50,58.01
58.40,58.72,59.02,58.34
58.69,58.89,59.05,58.25
58.22,59.03,59.49,58.09
59.13,57.96,59.17,57.34
57.65,56.83,57.85,56.48
57.51,58.58,59.50,57.15
57.45,58.32,58.88,56.38
58.81,59.39,60.00,58.81
58.93,57.08,59.12,56.94
56.85,56.82,57.02,55.44
55.89,53.48,56.17,53.24
54.03,52.87,54.41,51.46
51.07,47.67,51.07,47.48
48.66,51.90,52.01,47.23
50.57,51.23,52.45,50.18
51.18,52.16,52.97,50.48
52.53,52.42,52.88,51.33
52.79,53.65,53.69,52.36
53.08,54.07,54.40,52.83
54.09,53.51,54.72,52.99
52.04,50.22,52.29,49.75
49.59,49.67,51.58,49.47
50.89,49.87,51.02,49.41
50.02,51.88,51.89,49.36
51.70,52.46,53.06,51.37
52.84,51.33,53.10,51.08
50.92,52.82,52.84,49.80
53.32,55.07,55.18,53.07
54.86,54.96,55.85,54.26
55.73,55.04,56.50,54.69
55.00,54.58,55.21,54.26
52.98,52.50,53.99,52.20
50.96,51.55,51.64,50.37
52.41,54.99,55.06,52.41
54.49,54.64,55.17,54.15
54.24,53.44,54.91,53.33
52.59,54.80,54.80,52.55
56.40,55.80,56.68,55.24
56.51,56.67,57.48,55.53
57.66,57.29,57.69,56.41
57.38,57.13,57.79,56.60
56.12,57.50,58.00,55.91
59.66,56.34,59.67,56.30
56.35,53.61,56.58,53.54
51.93,52.15,53.36,50.88
51.92,52.89,53.15,51.67
53.30,53.84,54.03,51.47
55.21,55.25,55.87,54.60
55.33,53.88,56.04,53.74
54.87,53.91,55.25,52.44
53.04,52.64,54.03,52.53
52.26,50.18,52.50,50.04
49.74,52.51,52.60,49.00
52.87,53.95,54.50,51.85
53.95,55.49,56.00,53.55
55.64,53.28,55.64,53.11
54.31,55.33,55.48,54.25
54.73,55.75,56.71,54.71
56.22,56.56,57.19,56.13
56.28,57.54,57.86,56.07
58.00,57.54,58.01,57.22
57.50,56.67,57.68,56.26
56.84,57.80,58.17,55.75
57.60,57.58,58.70,57.45
57.53,57.79,57.95,56.61
58.29,58.74,59.02,58.20
58.77,59.38,59.58,57.52
58.71,58.43,59.03,57.69
58.57,58.90,59.26,57.38
63.70,63.24,65.20,62.00
62.74,63.07,63.51,62.52
62.72,61.54,63.33,61.53
59.12,60.46,60.83,59.12
61.39,61.61,62.15,60.68
62.02,63.20,63.98,61.56
62.63,63.56,63.76,61.73
63.36,63.04,64.00,61.87
63.90,64.03,64.95,62.89
62.26,62.26,63.01,61.80
63.46,62.82,63.52,62.31
63.34,63.57,64.04,63.17
63.68,63.22,64.04,62.77
63.31,65.09,65.46,62.93
63.99,63.72,65.09,63.63
63.75,62.87,64.01,61.86
63.28,63.07,63.77,62.51
62.21,61.75,62.41,60.71
61.39,61.65,62.38,60.94
61.05,60.41,61.42,60.13
60.06,60.45,61.21,60.06
62.40,62.26,62.70,61.76
62.44,62.66,63.45,62.17
64.40,64.28,64.42,63.34
64.32,63.26,64.35,63.14
63.72,63.00,64.13,62.51
64.15,64.31,64.88,63.71
64.29,65.00,65.23,64.03
64.50,64.89,65.46,64.14
64.55,64.34,65.20,63.59
64.37,64.75,65.05,63.27
64.49,64.19,64.49,63.40
64.80,63.62,65.28,63.38
63.14,61.84,63.42,61.34
62.93,62.34,62.97,61.68
63.06,64.01,64.56,63.04
64.39,62.80,64.99,62.57
63.93,64.60,65.22,63.73
64.77,65.35,65.44,63.99
65.50,65.33,66.28,64.89
65.68,65.64,66.12,65.17
65.57,65.74,66.27,65.35
65.98,65.24,66.10,65.08
65.27,65.99,66.26,65.27
66.10,65.84,66.36,65.71
68.04,64.93,69.29,64.57
64.75,67.02,67.06,64.42
66.62,66.71,66.95,65.82
66.84,66.94,67.47,66.30
67.33,66.78,67.33,66.25
67.52,66.92,68.06,66.75
66.75,66.65,66.90,65.82
66.73,66.63,67.00,66.32
66.15,66.86,67.04,65.87
67.43,67.71,68.04,67.25
67.65,68.33,68.49,67.27
68.35,69.85,70.00,68.35
69.70,70.00,70.22,69.53
69.68,68.60,70.06,68.00
68.35,67.50,68.70,67.44
67.33,67.98,68.11,67.31
68.48,68.43,68.77,68.18
68.09,67.67,68.49,67.60
67.06,67.38,67.53,66.88
67.84,66.77,67.86,65.85
67.25,67.57,68.00,67.17
67.76,66.85,68.06,66.74
67.50,67.58,68.64,61.20
66.87,66.72,67.25,65.86
66.53,67.00,67.36,65.81
67.00,66.45,67.18,66.00
66.57,67.21,67.73,66.07
66.37,65.54,66.47,65.26
65.85,65.75,66.80,65.49
65.58,65.86,66.58,65.34
65.89,65.28,66.25,64.85
65.21,66.28,66.56,65.21
66.66,67.49,67.77,66.66
67.69,67.40,67.82,66.93
67.27,67.74,67.79,67.07
67.66,68.16,68.27,66.85
68.07,68.25,69.20,67.43
67.76,68.57,68.74,67.30
68.40,68.01,68.63,67.41
68.03,68.62,68.91,67.78
68.70,69.51,69.81,68.20
69.30,68.57,69.61,68.37
68.37,68.11,68.47,67.90
67.63,67.22,67.71,66.85
67.42,67.96,68.49,67.29
68.48,68.57,68.90,67.63
68.60,68.73,69.28,68.25
68.89,68.88,69.03,68.37
69.15,69.99,70.61,68.53
70.16,69.77,70.38,69.22
69.71,69.28,70.05,69.27
69.41,68.77,69.85,68.65
68.64,69.22,69.82,68.55
68.71,68.33,68.76,68.01
68.33,68.18,68.33,67.34
67.55,66.90,67.86,66.67
66.78,66.89,67.11,65.58
67.48,66.67,67.68,66.58
66.71,66.04,66.95,66.00
66.18,66.17,66.75,65.67
65.71,65.94,66.25,64.87
66.31,65.79,66.34,65.40
65.36,66.29,66.98,65.28
66.27,66.31,66.34,65.42
65.59,65.39,66.00,65.00
65.30,64.99,65.53,64.96
64.23,64.37,64.62,63.35
64.22,62.65,64.36,62.49
63.07,63.06,63.35,62.73
63.06,64.22,65.26,63.06
63.92,63.61,64.10,63.41
63.79,63.92,64.29,63.46
64.19,64.35,64.94,64.05
64.17,64.62,64.87,63.91
64.51,64.54,64.81,64.12
64.54,63.52,64.69,63.50
62.82,63.05,63.10,61.70
63.09,62.48,63.66,62.31
62.91,63.78,63.87,62.42
63.80,66.33,67.36,63.39
66.52,66.80,67.11,66.38
66.62,66.37,66.79,65.53
66.24,66.33,67.05,65.75
65.93,66.70,66.85,65.48
66.83,65.39,66.91,65.02
65.00,64.64,65.10,64.09
64.40,64.66,64.93,63.99
64.53,64.28,64.59,63.02
63.63,63.35,63.96,62.58
63.88,62.21,63.98,62.02
61.76,62.00,62.52,61.19
61.19,61.00,61.67,60.69
61.00,60.72,61.81,60.43
60.86,61.04,61.60,60.77
61.33,56.09,61.50,53.58
55.48,55.18,56.55,54.56
55.43,55.35,56.01,54.68
55.29,55.95,56.04,55.08
55.84,56.38,56.72,54.65
56.38,55.95,56.71,55.48
55.98,55.30,56.31,55.18
55.69,55.90,56.29,55.35
55.48,54.10,55.48,54.08
54.05,52.78,54.47,52.41
51.47,51.32,52.51,51.17
51.27,50.64,51.47,50.29
50.50,50.86,50.99,50.05
51.11,51.67,52.14,50.99
52.26,50.44,52.27,50.37
50.41,51.03,51.14,50.00
51.43,50.13,51.69,50.03
50.23,50.27,50.55,49.76
50.06,50.09,50.38,49.66
50.20,50.22,50.56,49.65
50.46,51.40,52.15,50.28
51.12,51.44,51.73,50.62
51.56,52.05,52.38,51.45
51.58,51.86,51.86,50.75
51.75,51.53,51.94,51.32
51.60,51.10,51.74,51.00
44.93,45.45,45.90,42.78
45.38,45.39,45.90,44.77
45.39,45.85,46.00,45.05
43.84,46.43,46.45,43.84
47.27,47.08,47.56,46.65
48.98,46.96,48.98,46.36
47.02,47.92,48.34,46.86
47.83,47.44,47.91,47.04
46.96,47.00,47.27,46.30
47.02,46.97,47.22,46.66
47.19,46.24,47.38,45.72
46.22,46.52,46.69,45.91
46.22,46.64,46.94,45.89
46.87,48.05,48.56,46.87
