BH,Biglari Holdings Inc.,NASDAQ
326.94,314.25,334.99,310.46
314.74,299.50,315.00,296.17
298.18,289.74,298.18,288.73
288.02,293.01,294.50,288.02
290.85,293.61,294.95,287.76
294.99,290.51,294.99,286.83
294.81,297.49,302.64,290.85
300.00,304.22,307.82,298.85
303.00,308.56,314.00,302.42
310.00,304.42,310.72,301.89
306.40,308.88,311.53,302.46
307.75,303.83,311.79,302.53
302.92,300.59,306.92,300.44
302.50,304.35,305.50,300.35
305.50,307.59,314.00,305.50
306.50,313.57,318.90,305.91
312.40,318.90,319.98,312.39
320.00,317.03,323.85,312.59
318.00,321.24,321.24,316.25
321.88,318.62,336.00,311.04
319.10,341.05,343.90,318.80
340.37,341.40,343.00,334.21
339.09,326.80,341.95,325.02
322.16,324.92,326.31,318.00
326.22,326.65,333.01,326.08
329.18,338.08,340.00,327.30
337.39,343.43,343.43,337.39
342.00,343.87,344.00,338.75
342.00,345.00,345.00,340.00
345.00,343.28,357.87,342.80
344.52,347.35,357.77,344.52
347.89,350.92,355.65,347.00
350.92,348.26,353.94,345.32
349.81,347.98,352.03,345.10
348.42,347.51,352.55,345.21
349.60,348.88,351.81,346.40
346.01,346.26,348.35,345.01
346.26,342.08,346.50,342.08
344.00,349.23,352.91,342.09
350.00,353.90,353.90,347.51
353.50,351.43,353.50,348.10
352.99,350.18,355.84,348.55
350.18,353.00,354.39,350.18
356.99,353.00,356.99,351.15
352.62,358.03,360.23,352.62
359.16,363.95,365.49,358.86
364.00,362.58,364.99,360.00
362.29,375.89,381.70,360.04
381.85,384.00,385.13,377.23
386.50,383.50,388.11,380.28
385.00,384.95,387.92,383.00
386.00,390.18,396.90,385.45
394.18,390.26,394.89,390.26
386.95,385.25,390.14,384.06
383.80,386.47,387.93,383.80
384.45,384.30,385.97,383.50
387.00,382.60,387.70,382.55
382.23,380.53,382.80,379.01
383.49,382.00,383.64,381.03
381.72,382.91,383.25,380.88
380.20,381.27,387.94,380.20
381.34,382.10,386.12,381.34
384.00,391.11,391.75,383.06
388.00,390.00,391.41,388.00
388.84,395.30,397.74,386.40
393.00,402.05,405.94,391.03
401.45,407.00,418.00,393.75
405.75,411.25,413.60,405.75
413.00,397.07,414.00,397.07
398.87,405.74,407.00,398.87
408.10,410.29,411.25,408.00
409.41,409.30,410.30,406.00
408.96,413.92,415.04,406.05
415.06,402.18,415.06,392.90
401.95,399.38,401.95,391.25
398.86,408.56,410.91,397.86
408.42,410.21,414.00,405.00
411.69,408.60,418.00,405.00
406.72,401.00,408.96,399.52
402.90,390.65,402.90,390.01
391.38,402.10,403.38,390.00
400.00,391.25,404.27,391.25
390.50,371.90,390.50,345.00
366.50,352.20,367.99,342.70
345.00,322.40,349.00,310.14
310.58,319.74,329.00,310.58
320.05,320.10,333.00,319.00
327.00,325.87,334.99,321.00
324.10,338.99,349.99,324.10
340.00,337.66,340.00,331.00
333.88,326.40,333.88,321.01
323.00,320.95,325.49,318.00
321.38,306.69,322.50,290.11
308.00,307.40,315.55,303.01
306.46,307.00,309.94,290.10
292.25,286.33,301.85,285.51
294.70,295.10,297.61,280.00
290.10,273.73,293.29,264.87
270.00,291.58,294.00,254.01
294.40,296.01,303.86,293.00
300.00,300.25,303.72,299.00
304.05,304.10,310.77,304.05
302.84,294.69,302.84,294.43
297.00,296.50,298.27,291.04
286.10,296.95,299.99,286.10
290.00,285.20,293.96,284.88
284.93,289.86,295.07,281.00
290.10,295.13,299.03,287.50
295.81,307.19,310.55,295.00
315.05,315.30,324.58,306.87
339.98,308.82,339.98,306.08
307.54,320.80,325.00,307.54
321.67,320.82,325.00,313.50
314.64,321.00,325.00,314.64
320.57,322.82,339.50,316.73
312.32,324.55,326.59,312.32
328.11,316.57,328.11,312.16
317.01,309.78,319.20,308.50
304.01,316.44,317.00,296.52
313.75,309.98,317.04,309.01
312.58,320.61,321.36,303.34
319.42,313.73,320.00,312.00
308.17,290.38,308.17,285.00
291.40,286.90,296.99,284.68
286.54,273.21,288.35,270.00
274.48,280.00,280.08,270.58
283.20,266.29,294.92,262.17
260.50,268.04,269.00,260.50
269.64,276.98,278.50,265.97
275.95,285.00,319.96,273.21
283.01,283.49,286.98,278.38
286.10,287.39,288.95,282.01
287.09,299.15,302.88,286.25
300.77,296.23,307.86,290.24
294.30,277.05,296.21,268.56
276.50,284.61,299.99,276.49
282.59,287.86,288.00,278.61
291.00,284.72,294.55,279.00
298.00,294.00,298.00,287.00
293.49,298.85,299.30,289.50
298.54,304.00,304.92,292.47
305.00,298.24,307.36,296.93
298.24,296.64,304.97,294.27
298.50,299.00,305.00,293.00
296.00,290.50,302.04,288.40
302.00,292.30,302.00,277.86
292.88,286.81,292.88,281.11
288.00,286.97,290.00,283.52
276.00,283.00,287.29,276.00
280.19,277.85,280.19,271.50
278.24,283.97,286.24,272.00
272.55,279.60,285.65,272.55
275.83,272.17,279.81,270.50
261.31,270.99,279.41,261.31
272.05,264.00,272.05,258.92
264.78,283.04,294.98,264.78
288.33,287.72,300.00,283.00
288.25,286.02,292.23,284.42
294.64,291.71,295.00,280.80
292.00,289.85,292.00,285.00
290.91,286.31,291.02,284.01
289.79,272.58,289.79,272.58
269.17,293.54,294.00,265.15
293.05,286.56,298.44,286.01
284.31,291.00,292.99,278.29
292.44,286.98,293.01,284.10
286.01,290.40,292.87,285.74
291.99,298.80,298.96,286.00
298.05,321.00,324.00,298.05
315.97,317.00,326.00,313.93
314.50,314.60,323.00,306.51
314.31,319.67,323.99,310.33
322.48,317.67,324.96,315.50
317.30,322.62,323.93,315.01
323.00,324.69,325.87,319.41
322.50,327.38,334.76,318.72
325.88,333.42,333.88,324.01
330.95,327.74,332.00,323.98
333.00,330.59,334.16,324.00
330.59,331.48,336.37,327.55
330.11,330.29,336.79,327.35
329.10,327.02,332.29,325.10
325.00,325.36,332.99,322.91
328.78,331.80,331.80,325.00
331.89,329.00,333.32,325.59
328.47,326.77,328.99,320.48
326.94,328.28,328.28,323.05
329.00,328.65,332.57,322.71
330.13,326.87,330.13,320.00
327.60,329.00,329.87,324.65
330.20,336.68,337.00,330.00
335.00,336.31,337.95,332.52
337.20,337.90,339.00,332.01
338.69,342.95,345.19,336.36
341.33,338.99,342.22,338.99
337.10,346.74,349.00,334.17
346.55,348.99,350.00,340.00
349.00,359.47,360.00,347.00
365.00,365.25,366.94,361.00
367.40,368.86,371.84,362.14
365.11,366.63,371.00,364.62
369.00,369.20,372.00,366.68
369.17,361.57,371.74,355.00
364.00,366.90,372.00,362.01
378.75,365.97,378.75,360.05
364.00,358.99,368.00,355.35
356.14,347.32,356.14,341.90
348.35,332.47,348.35,332.47
330.87,333.39,334.48,316.79
335.00,325.82,335.00,323.01
328.85,344.68,344.88,326.00
345.53,353.57,357.52,343.02
358.00,366.00,366.86,355.00
364.70,365.40,366.46,358.00
363.62,359.60,363.62,354.28
358.98,363.53,369.99,358.98
363.55,370.00,370.00,361.01
366.50,368.65,370.00,364.02
365.49,359.63,368.99,359.60
359.97,361.39,367.50,353.32
359.27,345.09,359.27,344.00
345.30,350.75,351.72,339.02
354.91,364.05,368.00,354.22
364.05,362.68,364.05,357.96
362.60,367.55,369.57,350.00
363.00,362.99,370.00,354.01
367.10,368.85,371.01,364.32
368.80,369.86,373.35,366.60
367.27,389.77,389.77,362.76
385.86,388.30,394.90,380.82
399.99,389.50,399.99,388.48
389.00,376.93,392.59,370.02
374.95,399.91,400.00,371.21
400.43,407.81,411.36,400.05
410.75,411.58,413.99,408.06
410.66,412.03,419.98,409.73
413.47,413.65,414.94,412.00
413.55,423.48,423.70,410.80
425.00,419.71,438.00,419.15
423.00,422.92,425.76,417.30
420.90,424.87,429.95,420.68
425.16,427.58,430.00,425.00
426.56,434.00,434.00,426.01
434.95,444.71,447.00,431.04
448.00,432.40,448.00,427.05
434.00,425.35,436.28,423.46
424.15,423.44,428.49,422.10
422.00,427.49,429.56,418.02
426.95,425.90,428.00,421.10
425.00,422.09,427.93,421.10
420.64,420.25,424.21,413.01
418.30,410.21,423.00,410.21
415.17,415.00,421.00,407.28
414.58,420.50,422.19,410.95
421.57,426.92,430.00,418.00
427.00,428.50,430.94,424.01
428.42,418.99,429.94,407.07
417.91,419.45,424.99,413.91
420.24,440.89,441.98,420.24
444.13,441.86,445.00,435.00
440.31,440.69,442.97,438.00
439.00,449.00,450.00,439.00
446.35,438.30,446.35,431.12
436.27,423.01,436.27,419.53
419.00,430.45,436.00,418.01
435.30,421.58,435.30,420.45
423.05,421.15,429.00,420.41
421.98,431.99,433.99,419.00
434.53,436.97,438.98,428.03
434.45,439.00,446.94,427.00
437.06,426.12,440.00,419.00
426.22,430.00,438.00,425.01
434.50,438.15,442.75,430.90
435.28,444.44,449.00,435.28
446.39,457.35,458.90,443.00
457.35,458.31,464.77,452.35
456.59,456.40,461.00,446.34
454.90,459.77,460.00,445.00
457.91,439.49,460.27,432.00
440.07,427.97,444.05,427.64
427.17,427.90,433.18,422.09
428.19,436.10,440.00,428.11
434.15,431.52,437.28,427.96
430.44,439.00,439.99,430.44
439.00,438.04,444.84,434.90
441.50,438.41,444.00,431.00
435.50,423.98,437.00,422.69
423.14,405.41,424.00,400.08
406.52,406.50,410.52,401.60
407.43,419.10,438.90,403.44
419.95,427.76,427.76,419.15
427.97,421.94,435.00,417.19
425.42,412.71,427.24,410.00
414.66,410.01,415.00,400.08
411.32,400.00,411.32,394.02
403.04,397.95,407.05,394.00
396.90,402.00,403.62,391.93
402.08,410.99,415.00,398.08
407.47,401.64,410.99,400.50
401.19,407.76,410.99,399.00
405.45,401.21,407.00,399.79
391.13,394.97,408.01,386.01
394.55,398.46,403.57,390.11
403.69,391.45,407.68,391.29
394.43,399.16,399.16,386.46
403.50,408.01,408.01,397.76
409.87,406.50,414.99,403.99
404.70,405.01,408.17,399.20
407.95,416.55,417.37,405.10
417.08,415.49,420.99,411.38
414.90,403.02,414.90,400.47
401.81,400.99,402.75,397.04
401.51,409.41,411.73,397.52
407.91,423.55,423.55,405.85
424.88,408.81,429.06,408.00
408.38,419.92,422.94,407.90
417.67,420.25,422.17,411.01
419.63,412.90,424.00,412.63
412.30,410.84,413.58,409.01
412.34,407.65,413.51,405.16
