IYW,iShares U.S. Technology ETF,NASDAQ
57.96,58.49,58.64,57.96
58.54,58.40,58.64,58.07
58.45,57.99,58.58,57.87
57.97,57.77,57.97,57.50
57.64,58.21,58.23,57.47
58.30,57.93,58.47,57.64
57.54,57.23,57.63,56.93
57.28,57.76,57.91,56.88
57.60,58.20,58.34,57.59
58.19,57.41,58.34,57.20
57.54,58.28,58.29,57.46
57.81,57.43,57.85,56.83
57.51,56.86,57.93,56.62
56.61,54.65,56.67,54.54
55.12,55.07,55.42,54.80
54.96,55.00,55.76,54.75
54.94,55.34,55.54,54.51
55.25,53.80,55.27,53.41
54.34,52.49,54.34,52.22
52.74,53.32,53.35,52.71
53.35,53.79,53.94,53.06
53.59,53.99,54.15,53.53
53.70,52.46,53.76,52.46
52.64,53.04,53.16,52.10
53.11,52.76,53.49,52.75
53.40,53.41,53.84,52.95
53.45,53.21,53.62,52.89
53.12,53.93,54.08,52.91
53.41,54.03,54.17,53.18
54.35,54.82,54.93,54.26
55.04,55.08,55.17,54.81
55.03,55.57,55.66,54.91
55.39,55.53,55.72,55.22
55.79,55.38,55.79,55.24
55.24,54.59,55.28,54.30
54.86,55.11,55.36,54.79
54.42,55.02,55.11,53.97
55.07,55.07,55.20,54.72
55.33,55.79,55.90,55.23
56.08,55.74,56.26,55.64
55.87,55.82,56.12,55.68
55.86,56.05,56.11,55.48
56.51,56.73,56.88,56.29
56.81,56.88,57.03,56.77
56.80,57.14,57.50,56.73
57.18,57.50,57.64,57.11
57.39,57.71,57.75,57.24
57.91,57.74,57.95,57.55
57.53,57.54,57.69,57.11
57.64,58.02,58.09,57.52
58.00,58.27,58.62,58.00
58.37,58.32,58.44,58.13
57.82,57.82,58.50,57.61
57.54,58.33,58.53,57.44
58.42,58.94,58.96,58.24
58.79,58.58,58.81,58.50
58.99,58.57,59.41,58.55
58.76,58.46,58.87,58.19
58.71,58.50,58.85,58.38
58.68,58.77,58.89,58.33
58.56,58.39,58.80,58.32
58.73,58.44,59.07,57.93
58.57,59.15,59.20,58.45
58.93,59.25,59.40,58.75
59.06,59.10,59.40,58.81
58.89,59.13,59.21,58.57
59.20,59.59,59.64,59.03
59.62,59.84,59.99,59.58
59.73,60.01,60.11,59.54
60.62,61.08,61.15,60.53
61.01,61.38,61.45,61.00
61.10,60.57,61.33,60.22
60.32,60.60,60.75,59.84
60.86,60.91,61.03,60.41
61.28,61.15,61.43,60.81
60.57,61.40,61.42,60.10
61.45,61.52,61.62,61.04
61.60,61.46,61.77,61.40
61.19,60.30,61.51,60.11
60.61,60.40,60.61,59.78
60.59,60.95,61.04,60.45
60.97,59.56,60.97,59.56
59.78,60.39,60.67,59.78
59.70,58.63,59.78,58.23
58.10,58.31,58.74,57.78
58.00,56.36,59.40,38.00
56.00,55.03,56.56,53.68
