FCSC,Fibrocell Science Inc - Common Stock,NASDAQ
1.15,1.10,1.15,1.05
1.10,1.10,1.10,1.10
1.10,1.09,1.10,1.09
1.09,1.09,1.09,1.09
1.09,1.01,1.09,1.01
1.05,1.05,1.05,1.05
1.01,1.01,1.01,1.01
0.95,0.95,0.98,0.95
0.95,0.95,0.95,0.95
0.95,0.85,0.95,0.80
0.85,0.85,0.85,0.85
1.01,0.95,1.05,0.95
1.05,0.85,1.05,0.85
1.05,1.05,1.05,1.05
0.95,1.05,1.05,0.95
0.93,0.88,0.93,0.88
0.90,0.88,0.90,0.88
1.01,0.80,1.01,0.75
0.78,1.01,1.01,0.78
1.01,1.08,1.15,1.01
1.02,0.95,1.02,0.90
1.10,1.00,1.10,0.95
0.95,0.95,0.95,0.95
0.95,1.00,1.05,0.95
0.87,0.87,0.87,0.87
1.00,1.00,1.00,1.00
1.00,0.90,1.15,0.90
1.09,0.95,1.09,0.95
1.07,1.01,1.07,1.01
1.02,1.02,1.02,1.02
0.92,1.03,1.03,0.92
0.95,1.02,1.02,0.95
0.98,1.01,1.02,0.98
0.98,0.98,0.98,0.91
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.95,0.95,0.95,0.95
0.93,1.03,1.11,0.93
1.03,1.00,1.10,0.95
1.00,1.13,1.15,1.00
1.13,1.09,1.16,1.09
1.09,1.09,1.18,1.09
1.12,1.12,1.14,1.11
1.12,1.07,1.12,1.02
1.09,1.06,1.09,1.03
1.06,1.00,1.06,1.00
1.05,1.05,1.10,1.05
1.05,1.07,1.10,1.04
1.07,1.05,1.10,1.05
1.04,1.04,1.09,1.01
1.02,1.02,1.05,1.02
1.05,1.05,1.05,1.04
1.00,1.01,1.05,1.00
1.05,1.05,1.05,1.05
1.02,1.02,1.02,1.02
1.05,1.05,1.05,1.01
1.01,1.00,1.01,1.00
1.04,1.04,1.04,1.04
1.00,1.04,1.04,1.00
1.00,1.00,1.00,1.00
1.00,1.04,1.04,0.92
1.04,0.95,1.04,0.95
0.90,0.90,0.95,0.90
1.01,1.01,1.01,1.01
0.90,0.85,0.90,0.81
0.85,0.82,0.90,0.80
0.85,0.83,0.87,0.83
0.83,0.83,0.93,0.83
0.83,0.85,0.86,0.83
0.86,0.85,0.92,0.85
0.85,0.85,0.90,0.82
0.86,0.86,0.92,0.86
0.90,0.87,0.92,0.87
0.86,0.86,0.86,0.82
0.81,0.81,0.83,0.81
0.80,0.78,0.82,0.78
0.81,0.80,0.86,0.80
0.80,0.77,0.80,0.77
0.75,0.75,0.78,0.68
0.70,0.70,0.73,0.60
0.69,0.82,0.85,0.69
0.71,0.71,0.77,0.71
0.75,0.75,0.75,0.75
0.75,0.85,0.88,0.70
0.88,0.90,0.99,0.85
0.90,0.84,0.90,0.78
0.84,0.97,0.97,0.84
0.97,0.99,1.01,0.94
0.95,0.95,0.95,0.89
0.95,0.96,0.98,0.95
0.95,0.94,0.95,0.93
0.95,1.00,1.00,0.90
0.99,0.99,0.99,0.99
0.98,0.99,1.01,0.98
1.00,1.00,1.00,1.00
0.96,0.93,0.96,0.91
0.93,0.93,0.93,0.93
0.88,0.90,0.90,0.88
0.90,0.90,0.90,0.90
0.88,0.90,0.90,0.88
0.88,0.88,0.90,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.89,0.85
0.80,0.88,0.88,0.80
0.88,0.85,0.88,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.80,0.80,0.80,0.80
0.78,0.83,0.83,0.75
0.83,0.90,0.95,0.83
0.90,0.93,0.93,0.80
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.75,0.75,0.85,0.75
0.85,0.80,0.85,0.65
0.65,0.65,0.65,0.65
0.80,0.75,0.80,0.65
0.75,0.75,0.75,0.75
0.65,0.80,0.80,0.65
0.80,0.80,0.80,0.80
0.70,0.70,0.70,0.70
0.65,0.79,0.82,0.65
0.79,0.79,0.79,0.79
0.79,0.78,0.79,0.78
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.79,0.85,0.79
0.83,0.81,0.83,0.81
0.81,0.81,0.81,0.81
0.84,0.85,0.85,0.70
0.85,0.85,0.85,0.85
0.85,0.82,0.85,0.82
0.80,0.79,0.80,0.79
0.79,0.79,0.79,0.79
0.70,0.75,0.75,0.70
0.75,0.75,0.75,0.75
0.73,0.75,0.79,0.73
0.65,0.80,0.80,0.60
0.81,0.81,0.81,0.73
0.80,0.70,0.80,0.70
0.77,0.75,0.80,0.75
0.77,0.78,0.78,0.77
0.78,0.75,0.78,0.75
0.73,0.73,0.73,0.73
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.74
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.73,0.70,0.74,0.69
0.65,0.70,0.70,0.65
0.70,0.70,0.74,0.70
0.70,0.70,0.72,0.70
0.70,0.70,0.70,0.70
0.67,0.64,0.67,0.64
0.61,0.55,0.65,0.51
0.74,0.74,0.74,0.74
0.72,0.72,0.72,0.72
0.72,0.67,0.72,0.67
0.67,0.74,0.74,0.65
0.73,0.74,0.75,0.73
0.74,0.70,0.74,0.70
0.70,0.59,0.70,0.59
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.60,0.61,0.70,0.60
0.70,0.61,0.70,0.58
0.65,0.60,0.65,0.52
0.67,0.66,0.67,0.66
0.67,0.67,0.67,0.67
0.67,0.67,0.67,0.67
0.60,0.58,0.60,0.58
0.65,0.62,0.65,0.53
0.55,0.64,0.64,0.55
0.64,0.53,0.64,0.53
0.62,0.58,0.62,0.54
0.58,0.58,0.58,0.58
0.56,0.59,0.59,0.56
0.65,0.65,0.65,0.65
0.63,0.55,0.63,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.60,0.59,0.60,0.59
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.55,0.55,0.55,0.51
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
