SYN,Synthetic Biologics,NASDAQ
0.66,0.70,0.78,0.57
0.76,0.85,0.88,0.71
0.92,0.91,1.20,0.89
0.92,1.06,1.10,0.88
1.37,1.30,1.83,1.22
1.40,1.30,1.45,1.28
1.27,1.19,1.30,1.10
1.15,1.28,1.38,1.13
1.25,1.13,1.27,1.13
1.13,1.10,1.14,1.01
1.05,1.10,1.11,1.05
1.07,1.04,1.09,1.04
1.03,1.05,1.07,1.00
1.03,1.01,1.05,0.99
1.01,0.98,1.05,0.96
0.98,0.93,0.98,0.91
0.96,0.88,0.96,0.87
0.91,0.89,0.91,0.85
0.90,0.89,0.92,0.87
0.90,0.88,0.90,0.86
0.90,0.88,0.90,0.84
0.88,0.82,0.88,0.80
0.80,0.84,0.85,0.79
0.79,0.82,0.82,0.79
0.82,0.79,0.82,0.79
0.82,0.79,0.82,0.79
0.80,0.75,0.81,0.74
0.75,0.74,0.76,0.72
0.73,0.75,0.75,0.70
0.80,1.05,1.10,0.75
1.11,1.02,1.25,0.97
1.02,0.99,1.08,0.93
1.00,1.01,1.01,0.96
1.04,1.01,1.08,0.98
1.07,1.01,1.07,0.98
1.03,0.93,1.06,0.87
0.93,0.88,0.94,0.87
0.88,0.91,0.93,0.88
0.90,0.83,0.90,0.77
0.82,0.80,0.84,0.77
0.78,0.87,0.87,0.78
0.84,0.91,0.96,0.84
0.91,0.88,0.94,0.87
0.92,0.89,0.92,0.88
0.89,1.01,1.07,0.89
1.05,1.14,1.17,1.00
1.25,1.10,1.25,1.07
1.10,1.08,1.18,1.08
1.11,1.03,1.11,1.01
1.04,1.11,1.15,1.03
1.12,1.10,1.17,1.08
1.12,1.11,1.15,1.09
1.17,1.17,1.19,1.09
1.15,1.15,1.17,1.10
1.17,1.16,1.39,1.10
1.19,1.15,1.21,1.09
1.17,1.29,1.34,1.16
1.30,1.56,1.58,1.30
1.58,1.90,1.98,1.45
2.00,2.33,2.58,1.91
2.20,1.93,2.20,1.75
1.91,1.51,1.91,1.47
1.54,1.49,1.56,1.33
1.51,1.55,1.74,1.51
1.58,1.48,1.60,1.46
1.50,1.53,1.60,1.46
1.55,1.61,1.70,1.55
1.65,1.63,1.68,1.60
1.64,1.52,1.64,1.50
2.55,1.89,2.70,1.72
1.91,1.81,1.97,1.75
1.76,1.75,1.89,1.72
1.80,1.91,1.95,1.80
1.97,1.95,2.00,1.87
1.97,1.89,1.97,1.85
1.94,1.88,1.94,1.81
1.74,1.81,1.88,1.74
1.80,1.78,1.88,1.75
1.79,1.75,1.82,1.74
1.76,1.66,1.82,1.66
1.66,1.67,1.71,1.65
1.66,1.62,1.71,1.62
1.65,1.73,1.75,1.60
1.69,1.62,1.73,1.61
1.58,1.68,1.70,1.55
1.70,1.65,1.72,1.51
1.76,1.65,1.84,1.60
1.71,1.63,1.74,1.60
1.62,1.60,1.66,1.60
1.57,1.60,1.64,1.56
1.60,1.60,1.63,1.57
1.55,1.61,1.62,1.55
1.60,1.57,1.61,1.52
1.57,1.43,1.57,1.42
1.45,1.40,1.46,1.34
1.34,1.15,1.34,1.13
1.12,1.22,1.33,1.12
1.26,1.32,1.36,1.21
1.24,1.22,1.24,1.10
1.27,1.21,1.29,1.20
1.28,1.28,1.30,1.20
1.30,1.27,1.33,1.25
1.25,1.26,1.31,1.24
1.27,1.22,1.30,1.21
1.30,1.27,1.30,1.23
1.22,1.22,1.28,1.20
1.21,1.16,1.22,1.14
1.14,1.13,1.16,1.10
1.15,1.12,1.15,1.10
1.11,1.14,1.15,1.11
1.14,1.14,1.15,1.09
1.14,1.05,1.14,1.03
1.04,1.05,1.09,1.04
1.07,1.38,1.43,1.05
1.40,1.30,1.44,1.25
1.24,1.31,1.31,1.21
1.29,1.20,1.31,1.20
1.16,1.13,1.22,1.10
1.24,1.22,1.25,1.15
1.20,1.22,1.26,1.19
1.26,1.24,1.26,1.18
1.24,1.19,1.24,1.17
1.20,1.12,1.20,1.06
1.12,1.10,1.16,1.10
1.11,1.14,1.17,1.05
1.19,1.08,1.19,1.07
1.12,1.08,1.15,1.05
1.10,1.05,1.11,1.05
1.06,1.02,1.07,0.91
0.97,1.02,1.03,0.97
1.04,1.00,1.04,0.99
1.04,1.02,1.05,1.00
1.05,0.98,1.05,0.98
1.00,0.98,1.00,0.98
0.98,0.97,0.99,0.96
0.92,0.90,0.96,0.86
0.92,0.93,0.94,0.90
0.96,0.90,0.96,0.89
0.94,0.93,0.94,0.90
0.97,0.95,0.97,0.90
0.96,0.93,0.96,0.92
0.95,0.94,0.98,0.93
1.00,0.95,1.01,0.92
0.97,0.92,0.97,0.92
0.95,0.91,0.95,0.91
0.92,0.93,0.95,0.92
0.93,0.91,0.93,0.90
0.90,0.88,0.92,0.88
0.90,0.88,0.92,0.87
0.89,0.90,0.92,0.89
0.91,0.89,0.93,0.89
0.89,0.90,0.90,0.88
0.87,0.85,0.87,0.81
