JBHT,J.B. Hunt Transport Services,NASDAQ
32.56,33.06,33.11,32.24
33.05,33.15,33.15,32.46
32.97,32.95,33.30,32.85
32.88,33.08,33.26,32.62
33.12,34.04,34.14,33.12
34.04,34.54,34.90,33.98
34.40,33.71,34.46,33.51
34.21,33.86,34.21,33.54
33.67,34.70,34.82,33.67
34.47,34.02,34.83,33.69
34.09,33.90,34.29,33.76
33.69,33.82,33.92,32.92
33.74,32.92,34.11,32.69
32.95,32.23,33.08,32.12
32.36,32.40,32.65,32.18
32.24,32.39,32.76,31.98
32.23,32.83,32.99,32.14
32.82,30.96,32.82,30.02
31.08,30.66,31.30,30.48
30.83,30.87,31.09,30.46
30.86,30.66,30.94,30.32
30.40,31.17,31.20,30.20
30.90,30.29,31.10,30.26
30.41,30.49,30.71,29.45
30.48,30.43,30.78,30.01
30.79,30.68,31.10,30.39
30.49,31.45,31.45,30.30
31.47,31.57,31.81,31.17
31.29,31.68,31.69,31.00
31.88,32.09,32.09,31.60
32.29,32.66,32.66,32.26
32.68,32.35,32.68,32.10
32.20,32.95,32.98,32.20
33.19,33.40,33.78,33.15
33.40,33.45,33.74,32.95
33.68,34.21,34.35,33.40
33.83,34.72,34.81,33.44
34.75,35.48,35.50,34.73
35.46,34.93,35.82,34.82
34.96,35.10,35.34,34.88
34.06,34.60,34.85,34.06
34.52,34.30,34.67,33.96
34.41,34.98,35.12,34.38
35.02,35.27,35.55,34.79
35.21,36.15,36.21,35.17
36.21,35.78,36.71,35.63
35.64,35.62,35.82,35.21
35.63,35.41,35.76,35.11
35.46,35.69,35.74,35.25
35.75,36.54,36.55,35.70
36.57,36.02,36.93,35.90
35.93,36.35,36.42,35.73
36.49,35.91,36.72,35.83
35.85,36.26,36.30,35.52
36.42,36.54,36.56,36.02
36.52,36.38,36.69,36.21
36.78,35.76,36.94,35.73
35.97,35.64,36.21,35.35
35.70,35.64,36.09,35.53
35.82,35.69,35.88,35.31
35.67,35.88,36.17,35.48
36.14,35.61,36.53,35.22
35.75,35.67,35.90,35.52
35.51,35.88,35.99,35.43
35.71,35.07,35.90,34.87
34.87,35.98,36.10,34.56
36.10,36.10,36.13,35.76
36.10,36.04,36.22,35.93
35.93,36.23,36.23,35.56
36.26,37.05,37.07,35.98
38.07,37.69,39.65,37.59
37.71,36.95,37.90,36.62
36.86,37.04,37.45,36.71
37.12,36.59,37.36,36.26
36.48,36.67,36.89,36.28
36.48,36.95,36.98,36.07
37.00,37.46,37.51,36.71
37.24,37.39,37.81,37.24
37.41,36.68,37.93,36.61
36.92,36.85,37.27,36.67
37.15,37.66,37.93,37.15
37.55,36.80,37.90,36.78
37.12,37.70,37.72,36.96
37.23,36.20,37.23,35.76
36.08,36.15,36.85,35.87
35.99,34.88,36.32,31.51
34.64,34.04,35.15,33.70
35.33,35.11,35.87,34.51
35.81,36.17,36.72,35.13
36.21,35.60,36.59,35.59
35.38,35.32,35.88,34.81
35.17,35.07,35.46,34.73
35.21,35.81,35.95,34.78
36.03,35.45,36.38,35.27
35.57,35.28,35.84,34.75
34.58,33.19,34.68,33.16
32.32,33.68,34.03,32.05
33.53,33.70,34.42,33.37
32.96,33.53,33.64,32.45
33.64,33.81,34.49,33.64
34.13,34.77,34.81,34.04
35.17,34.53,35.34,34.33
34.16,33.49,34.25,33.46
33.59,34.35,34.35,33.51
34.50,34.50,34.62,34.08
33.70,33.28,33.74,33.15
33.24,32.48,33.32,32.38
32.52,32.48,32.83,31.59
32.65,32.20,33.23,32.08
32.70,33.66,33.69,32.70
33.39,33.74,34.00,33.24
34.94,34.90,35.38,34.54
35.48,35.82,35.88,35.34
35.59,35.22,35.78,35.07
35.33,35.12,35.48,34.57
35.18,35.00,35.47,34.76
35.36,34.56,35.37,34.45
34.65,33.07,34.80,33.02
33.06,33.45,33.77,32.72
33.25,33.42,33.95,33.14
33.28,33.55,33.75,33.22
33.53,33.70,33.95,33.22
33.01,33.08,33.42,32.90
32.99,32.67,33.56,32.66
32.71,33.04,33.17,31.72
33.18,32.71,33.24,32.25
33.01,32.28,33.46,32.03
32.29,33.50,33.55,32.26
33.56,34.03,34.07,33.47
34.11,34.31,34.47,33.88
34.24,34.37,35.04,34.16
34.67,35.17,35.32,34.65
35.19,35.01,35.19,34.50
35.34,34.78,35.34,34.18
34.85,35.10,35.83,34.64
35.19,35.20,35.63,34.84
34.80,35.40,35.40,34.33
35.44,34.50,35.54,34.32
34.90,35.20,35.70,34.87
35.08,35.50,35.73,34.89
35.70,36.12,36.15,35.50
36.19,35.73,36.63,35.66
35.76,35.50,36.03,35.33
35.77,35.57,35.89,35.08
35.37,35.49,35.78,34.93
35.96,36.09,36.35,35.72
35.93,35.53,36.21,34.94
35.60,36.41,36.48,35.55
36.01,35.82,36.34,35.73
35.56,35.22,35.62,34.76
35.29,35.64,35.75,35.24
35.26,35.03,35.37,34.52
34.50,33.62,34.50,33.36
33.27,33.68,33.88,32.64
33.49,33.08,33.73,33.05
32.98,33.06,33.17,32.76
33.92,33.97,34.53,33.61
33.84,34.12,34.60,33.46
33.99,33.66,34.12,33.06
33.48,33.73,33.82,33.02
33.98,33.53,34.33,33.45
33.21,32.68,33.25,32.37
32.43,32.66,32.79,32.05
32.75,32.64,33.31,32.56
32.81,33.62,33.87,32.57
33.41,32.79,33.65,32.79
32.69,32.75,33.03,32.21
