CPA,Copa Holdings,NASDAQ
54.79,54.57,55.17,54.18
54.55,56.68,56.75,54.55
56.74,57.56,57.77,56.25
57.75,57.62,58.37,57.10
57.27,56.61,57.75,56.36
56.52,55.38,56.59,55.14
55.03,55.05,55.66,54.47
54.98,55.45,55.74,54.67
55.58,54.64,56.02,54.36
54.47,52.92,54.48,52.10
52.66,52.62,53.60,51.73
52.74,51.65,52.74,51.39
51.75,52.25,52.62,50.33
51.55,51.63,52.65,51.16
52.70,52.31,53.90,51.51
51.95,52.21,53.22,50.93
51.99,52.79,53.45,51.55
52.81,51.88,53.02,51.15
52.11,51.98,53.45,51.74
52.25,51.61,52.42,51.38
51.79,52.04,52.64,51.79
51.95,51.64,53.11,51.35
51.11,49.84,51.40,49.81
49.49,49.93,50.01,48.66
49.02,50.84,51.40,47.76
51.55,51.15,53.15,50.93
50.92,50.67,51.10,49.84
53.49,54.99,55.85,52.90
54.97,55.00,55.60,54.17
55.55,55.08,55.59,54.67
55.45,55.19,55.68,54.99
55.50,54.99,55.54,54.81
54.60,55.33,55.40,54.56
55.73,55.50,56.33,55.14
55.63,55.03,55.90,54.38
54.83,55.14,55.83,54.65
54.55,54.45,54.89,54.01
54.68,54.39,54.75,54.00
54.76,54.48,54.97,54.22
54.16,54.36,54.57,53.87
54.74,54.55,55.01,54.49
54.27,54.10,54.41,53.50
54.30,55.04,55.04,54.01
55.25,54.13,55.61,53.95
54.13,56.54,57.11,54.13
56.84,57.49,58.38,56.82
57.47,57.75,57.85,56.90
57.52,59.48,59.59,57.38
59.64,58.96,59.80,58.79
58.95,58.37,59.12,57.97
58.34,58.16,58.34,57.70
57.05,57.04,58.00,55.40
56.76,57.12,57.20,56.25
56.80,58.04,58.55,56.28
58.03,58.28,58.40,57.35
58.17,57.37,58.65,57.08
57.27,58.10,58.38,56.46
58.45,58.43,59.83,57.90
58.69,58.52,59.19,58.26
58.72,59.87,60.50,58.72
59.87,60.80,61.74,59.68
61.20,61.90,62.12,61.03
62.25,60.66,62.25,60.44
60.48,59.76,61.14,59.73
59.17,60.28,60.31,59.17
60.36,59.93,60.74,59.83
60.00,62.03,62.17,59.84
62.37,62.63,63.08,61.15
62.46,60.98,62.66,60.77
61.25,60.50,61.50,60.18
60.50,59.57,60.67,58.00
59.21,58.21,59.40,57.78
58.19,58.17,58.60,57.19
58.22,57.80,59.14,57.41
58.10,57.56,58.10,56.78
57.40,57.82,58.15,56.10
57.86,58.76,58.97,57.85
59.07,58.58,59.07,58.12
58.62,56.67,58.66,56.35
56.70,56.86,56.98,56.11
57.03,57.35,57.96,56.93
57.22,56.68,58.39,56.62
56.87,58.64,58.84,56.87
57.67,56.04,58.21,55.57
55.66,54.80,55.97,53.67
51.27,52.07,53.29,50.20
51.98,51.87,53.30,51.19
54.64,52.89,54.64,52.33
52.58,53.71,54.40,52.11
54.07,54.83,55.19,53.71
54.55,53.63,55.48,53.45
53.31,52.68,53.31,52.20
52.80,52.68,54.23,52.08
53.21,51.26,53.48,51.11
51.23,51.20,51.83,50.00
50.00,47.80,50.69,47.78
47.06,49.22,49.71,47.06
49.00,49.51,49.99,48.99
47.65,48.15,48.90,46.36
48.00,48.61,49.26,47.43
49.74,51.47,51.48,49.63
51.29,51.00,51.56,50.87
50.71,50.58,51.58,50.13
50.86,51.19,51.27,50.48
50.97,50.94,52.33,50.83
49.74,48.89,50.10,48.81
47.38,47.86,53.48,46.49
47.58,47.88,48.05,46.96
48.00,47.34,48.88,47.06
48.28,47.54,48.82,47.42
47.34,47.76,48.66,47.31
48.41,49.13,50.00,48.20
49.36,50.58,50.90,49.18
50.80,49.90,51.71,49.58
50.63,50.27,50.65,49.34
49.96,50.47,50.93,49.61
51.14,50.54,51.46,50.12
50.70,48.23,50.93,48.15
47.97,47.25,48.33,47.02
46.60,46.54,47.40,46.51
46.46,46.00,46.74,44.51
46.13,45.82,46.86,45.77
45.08,43.82,46.20,43.56
43.81,44.22,45.36,43.75
43.94,44.39,44.85,42.60
44.21,43.85,45.00,43.59
44.63,44.60,45.00,44.20
44.48,46.65,46.72,44.48
47.51,46.80,47.51,46.37
46.69,47.37,47.41,46.39
47.41,47.01,48.43,46.92
47.65,47.02,47.65,46.92
46.97,47.69,47.75,46.82
47.52,48.01,48.02,46.81
47.85,45.76,47.90,45.72
45.76,46.26,46.53,44.94
45.66,45.95,46.26,45.56
46.32,46.58,46.98,45.76
47.33,48.59,49.01,47.22
48.56,49.66,50.05,48.27
49.75,50.34,50.38,49.53
50.68,49.66,50.90,49.44
49.36,50.08,50.34,49.34
50.33,50.49,50.63,49.46
49.93,51.65,51.66,49.74
52.20,53.86,53.94,52.12
53.79,52.57,53.87,52.45
52.90,53.07,53.50,52.25
53.11,53.41,53.49,52.63
53.00,53.66,53.82,52.56
54.00,55.42,55.95,53.38
54.99,54.69,55.17,54.32
53.75,52.60,53.79,52.42
50.30,50.86,53.11,49.50
50.84,49.79,50.84,49.01
50.00,50.85,51.45,49.81
51.22,53.47,53.69,51.16
53.52,53.37,53.67,53.10
52.96,52.44,53.36,52.21
52.27,52.41,52.58,51.67
52.35,50.57,52.98,50.51
50.00,49.36,50.16,48.89
48.97,47.95,49.07,47.18
48.01,47.50,48.31,47.35
48.05,48.46,48.56,47.44
48.50,48.17,48.94,48.07
47.76,48.78,49.01,47.76
49.30,50.41,50.53,49.30
50.46,51.63,52.14,50.34
52.17,51.51,52.43,51.25
51.03,51.27,51.67,50.56
51.54,50.81,51.54,50.66
51.47,50.24,51.48,50.05
50.25,50.27,50.50,50.16
51.00,50.85,51.25,50.42
50.81,50.43,50.81,50.26
50.29,50.81,50.96,50.25
50.68,50.60,50.74,50.12
50.78,50.25,50.99,50.09
50.40,50.66,50.99,50.33
50.49,50.48,51.00,50.25
50.56,51.01,51.15,50.08
50.65,50.64,51.43,50.42
51.17,50.50,51.77,50.18
50.65,51.53,51.68,50.34
51.69,51.94,52.22,51.46
51.57,52.72,52.76,51.57
53.03,53.91,54.04,53.03
54.42,54.01,54.95,53.84
52.80,52.56,53.99,52.35
52.90,53.12,53.49,52.90
53.17,52.83,53.34,52.39
52.98,52.56,53.25,52.15
52.56,52.59,52.89,52.09
52.40,50.31,52.40,50.31
50.10,49.00,50.23,48.74
49.40,48.57,49.40,48.00
48.47,48.60,48.97,48.04
49.00,49.18,49.19,48.53
49.21,48.50,49.47,47.71
48.12,47.78,48.76,47.50
48.04,47.63,48.49,47.59
47.88,47.19,48.03,46.97
47.35,47.79,48.06,47.13
48.21,48.05,48.30,47.65
47.95,48.19,48.56,47.80
47.85,48.47,48.55,47.01
49.01,50.22,50.39,48.75
50.10,50.73,50.80,48.31
50.99,49.50,51.31,49.04
49.90,50.80,50.85,49.51
50.69,50.58,51.19,50.14
51.43,51.78,52.70,51.23
52.56,51.86,52.56,51.67
51.73,50.67,51.89,50.29
51.26,50.72,51.35,50.58
50.27,50.66,51.05,49.87
50.09,51.15,51.22,50.09
51.49,54.26,54.37,51.19
54.30,54.56,55.00,54.20
54.20,53.67,54.31,53.27
53.89,54.02,54.10,53.50
54.43,54.85,55.00,54.28
55.12,56.28,56.50,54.99
56.11,56.22,56.47,55.25
55.69,55.00,55.72,54.92
55.59,56.40,56.62,55.10
56.18,56.01,56.59,55.77
56.00,55.77,56.04,54.81
55.50,55.77,55.85,54.91
56.95,56.90,57.15,55.62
57.22,57.21,57.84,56.84
57.08,57.89,58.08,56.72
57.78,58.32,58.50,57.65
58.54,57.29,58.64,56.90
57.31,56.26,57.52,56.08
56.63,56.66,56.76,56.00
56.80,57.09,57.17,56.33
57.61,56.39,57.61,56.24
56.82,56.85,57.02,56.24
56.68,56.15,56.88,56.12
56.34,57.34,57.37,56.25
57.69,58.80,58.98,56.92
58.82,58.07,58.82,57.72
58.29,58.74,58.80,57.88
59.06,58.20,59.06,57.68
58.48,57.97,58.56,57.72
57.60,58.20,58.21,57.02
58.25,58.17,58.59,58.02
58.34,58.85,58.99,58.29
58.73,58.82,59.00,58.71
59.02,58.84,59.02,58.23
58.82,58.28,59.20,57.95
58.25,57.58,58.27,56.50
57.40,58.39,58.55,57.31
58.50,57.65,58.60,57.35
57.61,58.15,58.26,57.45
57.72,58.18,58.29,57.71
58.13,58.50,58.76,57.86
58.83,59.26,59.60,58.65
59.21,59.15,59.79,58.70
59.05,59.83,59.83,58.82
59.73,59.59,59.76,59.00
59.68,59.46,59.92,58.91
59.12,58.70,59.38,58.09
58.98,58.18,58.99,57.83
58.27,59.01,59.21,57.75
58.84,58.42,59.14,57.96
58.59,59.01,59.51,58.59
59.12,58.90,59.27,58.76
59.06,56.53,59.06,56.31
56.74,56.25,56.98,55.88
56.76,57.54,57.60,56.49
57.48,57.35,57.67,57.14
57.28,56.70,57.71,56.40
56.74,56.97,57.05,56.50
57.12,57.25,57.68,57.06
57.79,57.54,57.79,57.13
57.66,57.41,57.79,56.98
57.37,56.76,57.50,56.01
57.96,57.60,58.17,57.04
57.50,57.88,58.05,57.49
57.76,58.02,58.12,57.73
58.13,58.49,58.49,57.80
58.30,58.14,58.50,58.01
58.42,56.69,58.42,56.52
55.60,52.82,55.69,52.72
52.70,51.96,52.71,50.95
51.59,52.24,52.40,51.43
52.87,53.11,53.80,51.79
53.23,53.33,53.62,52.69
53.33,52.15,53.49,51.54
52.31,52.41,52.98,51.98
53.12,55.01,55.24,53.06
54.73,53.65,55.06,53.16
53.75,53.44,54.12,53.17
53.54,54.07,54.51,53.22
54.07,53.52,54.11,53.06
52.74,52.84,53.33,52.02
53.00,53.10,53.49,52.74
52.75,52.15,53.32,52.03
51.00,51.39,52.22,51.00
