SIRI,Sirius XM Holdings Inc. - Common Stock,NASDAQ
0.61,0.65,0.66,0.61
0.66,0.69,0.69,0.65
0.70,0.69,0.71,0.65
0.69,0.67,0.70,0.66
0.67,0.67,0.67,0.65
0.68,0.69,0.69,0.66
0.68,0.68,0.69,0.67
0.68,0.67,0.68,0.67
0.67,0.68,0.68,0.66
0.68,0.67,0.68,0.66
0.66,0.67,0.67,0.65
0.72,0.73,0.74,0.71
0.73,0.70,0.73,0.70
0.70,0.69,0.70,0.67
0.70,0.68,0.71,0.68
0.72,0.71,0.73,0.69
0.72,0.74,0.74,0.71
0.75,0.82,0.82,0.75
0.85,0.84,0.88,0.81
0.86,0.88,0.89,0.84
0.92,0.91,0.95,0.90
0.92,0.86,0.94,0.85
0.83,0.85,0.87,0.82
0.85,0.86,0.87,0.82
0.87,0.84,0.90,0.83
0.85,0.86,0.87,0.84
0.88,0.85,0.88,0.85
0.86,0.88,0.89,0.85
0.88,0.89,0.90,0.87
0.91,0.96,0.98,0.91
1.00,1.05,1.15,0.98
1.10,1.13,1.18,1.07
1.14,1.08,1.15,1.07
1.13,1.09,1.14,1.09
1.11,1.12,1.12,1.04
1.13,1.10,1.14,1.09
1.09,1.07,1.10,1.05
1.09,1.02,1.09,0.98
0.96,0.89,1.01,0.89
0.85,0.89,0.95,0.82
0.92,0.95,0.98,0.88
0.97,0.93,0.99,0.93
0.95,0.94,0.96,0.93
0.95,0.90,0.97,0.90
0.90,0.91,0.91,0.87
0.92,0.93,0.94,0.91
0.94,0.91,0.94,0.90
0.91,0.91,0.93,0.89
0.92,0.92,0.95,0.89
0.92,0.91,0.93,0.90
0.91,0.89,0.91,0.88
0.88,0.86,0.90,0.86
0.87,0.83,0.87,0.82
0.82,0.86,0.90,0.79
0.88,0.87,0.89,0.85
0.89,0.88,0.90,0.86
0.89,0.87,0.92,0.87
0.88,0.86,0.89,0.85
0.87,0.84,0.87,0.84
0.84,0.84,0.86,0.82
0.84,0.87,0.87,0.82
0.88,0.84,0.90,0.84
0.86,0.86,0.88,0.85
0.86,0.87,0.88,0.86
0.88,0.95,0.96,0.87
0.97,0.98,1.02,0.97
1.00,0.99,1.02,0.98
1.00,0.97,1.03,0.97
0.97,0.96,0.99,0.94
1.01,1.07,1.09,1.00
1.10,1.11,1.18,1.10
1.10,1.08,1.13,1.03
1.07,1.08,1.08,1.07
1.09,1.13,1.15,1.09
1.15,1.10,1.15,1.09
1.08,1.09,1.10,1.05
1.10,1.12,1.12,1.09
1.12,1.20,1.20,1.10
1.22,1.15,1.22,1.13
1.17,1.16,1.18,1.14
1.19,1.20,1.20,1.18
1.20,1.18,1.20,1.15
1.19,1.23,1.25,1.16
1.16,1.18,1.19,1.11
1.13,1.12,1.14,1.09
1.10,1.02,1.11,0.86
1.03,1.01,1.06,0.95
1.08,1.08,1.09,1.04
1.06,1.05,1.10,1.04
1.06,1.07,1.07,1.05
1.07,1.06,1.07,1.05
1.04,1.07,1.07,1.02
1.10,1.09,1.13,1.07
1.11,1.09,1.12,1.06
1.07,1.05,1.07,1.02
1.01,0.97,1.01,0.90
0.92,1.03,1.04,0.91
1.04,1.01,1.04,1.00
0.95,0.99,1.01,0.93
1.02,0.88,1.03,0.88
0.98,1.00,1.03,0.97
1.00,1.03,1.03,0.99
1.02,1.01,1.03,1.00
1.01,1.00,1.02,0.98
1.02,1.01,1.02,0.99
1.00,0.98,1.00,0.97
0.98,0.97,0.99,0.94
0.97,0.95,0.99,0.92
0.95,0.96,0.98,0.95
0.97,1.01,1.01,0.97
1.01,1.01,1.03,1.00
1.03,1.00,1.06,0.98
1.00,1.01,1.02,0.97
0.99,1.01,1.03,0.99
1.02,1.04,1.04,1.02
1.03,1.04,1.05,1.02
1.05,1.08,1.08,1.04
1.08,1.07,1.09,1.06
1.07,1.06,1.07,1.00
1.06,1.07,1.07,1.04
1.07,1.09,1.10,1.03
1.05,1.05,1.06,1.04
1.02,0.96,1.02,0.95
0.98,0.95,0.98,0.94
0.95,0.93,0.95,0.90
0.93,0.96,0.98,0.92
0.95,0.94,0.97,0.92
0.99,1.00,1.01,0.97
1.01,1.01,1.02,0.99
1.01,1.00,1.01,0.98
0.99,0.96,1.00,0.94
0.99,0.97,0.99,0.96
0.98,0.97,0.98,0.95
0.97,0.97,0.98,0.95
0.96,0.95,0.97,0.95
0.95,0.92,0.96,0.91
0.92,0.97,0.97,0.92
