MARK,Remark Media,NASDAQ
0.31,0.28,0.32,0.26
0.28,0.28,0.30,0.28
0.28,0.32,0.34,0.28
0.32,0.31,0.33,0.30
0.30,0.30,0.31,0.30
0.32,0.31,0.32,0.30
0.30,0.30,0.31,0.29
0.31,0.30,0.35,0.28
0.32,0.28,0.32,0.28
0.27,0.33,0.36,0.27
0.37,0.30,0.37,0.29
0.29,0.28,0.30,0.28
0.30,0.30,0.31,0.29
0.31,0.28,0.31,0.28
0.28,0.28,0.29,0.27
0.27,0.27,0.28,0.27
0.27,0.28,0.28,0.27
0.28,0.26,0.28,0.26
0.22,0.26,0.26,0.22
0.25,0.25,0.26,0.25
0.26,0.25,0.26,0.23
0.25,0.23,0.25,0.22
0.25,0.23,0.25,0.23
0.25,0.25,0.25,0.22
0.25,0.26,0.26,0.24
0.28,0.25,0.28,0.24
0.25,0.27,0.27,0.24
0.27,0.25,0.27,0.24
0.26,0.26,0.26,0.26
0.24,0.23,0.25,0.23
1.80,2.29,2.78,1.80
2.40,2.25,2.50,2.16
2.14,2.36,2.36,2.07
2.45,2.07,2.45,2.06
2.07,2.06,2.07,1.90
1.84,1.85,2.00,1.84
2.00,1.95,2.00,1.90
1.90,2.20,2.20,1.90
2.25,2.00,2.31,2.00
2.00,2.00,2.00,2.00
2.00,1.94,2.00,1.90
1.95,1.84,1.95,1.84
1.92,1.92,1.94,1.92
1.91,1.90,1.91,1.90
1.90,1.90,1.90,1.87
1.85,1.85,1.86,1.85
1.86,1.81,1.86,1.81
1.84,1.83,1.86,1.83
1.82,1.70,1.84,1.70
1.70,1.70,1.75,1.70
1.94,1.76,2.17,1.75
1.70,1.70,1.70,1.70
1.75,1.75,1.75,1.55
1.72,1.51,1.72,1.35
1.50,1.45,1.56,1.40
1.50,1.49,1.51,1.32
1.49,1.44,1.49,1.44
1.33,1.36,1.43,1.32
1.35,1.37,1.43,1.31
1.42,1.60,1.81,1.37
1.47,1.54,1.54,1.45
1.54,1.54,1.54,1.54
1.55,1.60,1.60,1.55
1.59,1.90,2.17,1.59
2.14,1.91,2.17,1.89
1.91,1.91,1.91,1.91
1.86,1.90,1.94,1.85
1.91,1.99,1.99,1.90
2.19,2.14,2.19,2.05
2.15,2.14,2.27,2.12
2.13,2.10,2.13,2.02
2.43,2.17,2.43,2.17
2.45,2.18,2.45,2.18
2.20,2.40,2.40,2.18
2.45,2.24,2.45,2.18
2.21,2.21,2.21,2.19
2.21,2.27,2.38,2.21
2.22,2.18,2.22,2.18
2.19,2.19,2.20,2.18
2.43,2.26,2.43,2.11
2.46,2.33,2.46,2.26
2.45,2.39,2.45,2.25
2.34,2.40,2.43,2.34
2.34,2.25,2.34,2.25
2.30,2.30,2.30,2.30
2.26,2.01,2.29,2.00
2.01,2.07,2.11,2.00
2.18,2.30,2.40,2.09
2.25,2.17,2.35,2.15
2.19,2.18,2.39,2.18
2.17,2.18,2.39,2.15
2.15,2.15,2.16,2.15
2.18,2.18,2.18,2.01
2.06,2.17,2.35,2.06
2.17,2.18,2.18,2.04
2.01,2.16,2.17,2.00
2.02,2.04,2.06,2.00
2.04,2.04,2.04,2.04
2.05,2.05,2.25,2.05
2.24,2.00,2.24,2.00
2.01,2.10,2.10,2.01
2.24,2.16,2.24,2.15
2.11,2.02,2.13,2.02
2.03,2.15,2.15,2.00
2.03,2.10,2.14,2.00
2.03,2.37,2.37,2.01
2.16,1.89,2.25,1.89
1.99,1.95,1.99,1.95
1.66,1.88,1.93,1.66
1.80,1.93,1.97,1.80
2.00,2.05,2.05,2.00
2.08,2.10,2.11,2.08
2.10,2.10,2.10,2.10
2.01,2.01,2.02,2.00
2.01,2.01,2.01,2.01
2.00,2.09,2.09,2.00
2.00,2.00,2.00,1.97
2.02,2.02,2.02,2.02
2.05,2.12,2.12,2.05
2.05,2.05,2.05,2.05
2.05,2.11,2.11,1.79
2.08,2.12,2.12,2.00
2.00,2.00,2.00,2.00
2.05,2.03,2.05,2.03
2.05,1.95,2.05,1.90
1.95,2.01,2.01,1.95
1.99,2.01,2.01,1.99
1.99,1.99,2.01,1.67
1.99,1.99,1.99,1.99
2.00,1.77,2.25,1.77
1.95,2.00,2.21,1.86
2.02,2.05,2.05,2.00
2.50,4.11,4.90,2.50
4.01,3.71,4.02,3.52
3.58,3.51,3.86,3.26
3.49,3.80,4.17,3.36
3.77,4.36,4.60,3.74
4.50,4.39,4.65,4.24
4.10,4.41,4.51,4.10
4.34,4.40,4.40,4.01
4.43,4.13,4.49,4.00
4.30,4.62,4.95,4.11
4.52,6.60,6.82,4.52
7.67,6.91,8.00,6.62
6.66,5.91,6.66,5.40
6.70,5.75,6.70,5.60
6.13,6.18,6.25,5.73
6.26,5.84,6.27,5.43
5.69,5.75,5.89,5.45
5.58,5.69,5.69,5.45
5.69,5.83,5.83,5.63
5.62,6.73,6.93,5.62
6.70,6.60,7.18,6.28
6.36,5.54,6.50,5.45
5.30,5.30,5.62,5.28
5.04,5.86,5.86,5.01
5.79,6.10,6.30,5.79
6.01,6.22,6.29,6.00
6.10,5.61,6.10,5.30
5.64,5.75,5.75,5.43
6.17,6.23,6.29,5.78
6.11,7.49,7.90,6.11
7.37,6.73,7.47,6.02
7.38,6.20,7.38,6.20
6.19,6.15,6.25,5.91
6.15,6.30,6.42,6.10
6.43,6.14,6.43,5.94
6.00,5.88,6.15,5.72
5.94,5.64,6.08,5.55
5.85,5.97,6.02,5.77
5.95,5.98,6.06,5.85
5.93,5.99,5.99,5.88
6.01,5.89,6.01,5.80
5.60,5.92,5.95,5.60
5.68,5.76,5.94,5.61
5.85,5.71,5.85,5.64
5.61,5.58,5.73,5.58
5.70,5.57,5.70,5.57
5.55,6.18,6.19,5.55
6.10,6.14,6.25,6.00
5.66,6.06,6.25,5.66
6.17,6.21,6.21,5.90
6.01,6.04,6.05,5.98
6.05,6.12,6.17,6.01
6.22,6.16,6.38,6.04
6.21,6.15,6.22,6.15
6.15,6.17,6.19,5.89
6.12,6.27,6.29,6.00
6.30,7.03,7.25,6.30
7.00,7.12,7.30,7.00
7.20,7.38,7.74,7.20
7.45,7.29,7.45,7.14
7.30,6.58,7.31,6.46
6.58,6.64,7.24,6.58
6.84,6.34,6.84,6.34
6.41,6.49,6.60,6.41
6.49,6.99,7.39,6.49
7.08,7.09,7.21,6.93
7.00,6.90,7.19,6.89
6.90,6.67,6.90,6.25
6.40,6.21,6.59,6.14
6.37,6.49,6.72,6.22
6.59,6.42,6.69,6.39
6.69,6.58,6.85,6.58
6.70,6.45,6.95,6.45
6.45,6.25,6.45,6.00
6.22,6.55,6.96,6.22
6.67,6.56,6.67,6.50
6.55,6.41,6.55,6.30
6.26,6.20,6.37,6.20
6.26,6.03,6.26,5.96
5.95,6.07,6.07,5.95
5.96,6.07,6.12,5.96
6.09,6.16,6.22,6.09
6.08,6.01,6.15,5.96
5.96,5.68,6.00,5.54
5.70,4.97,5.70,4.86
4.68,4.87,4.99,4.48
4.80,4.78,4.89,4.60
4.75,4.22,4.75,3.93
4.22,4.15,4.22,4.11
4.27,4.29,4.30,4.25
4.25,4.25,4.30,4.20
4.22,4.00,4.26,4.00
4.24,4.05,4.24,4.05
4.24,4.22,4.24,4.01
4.06,4.06,4.19,4.06
4.05,4.00,4.06,4.00
4.09,4.07,4.45,4.00
4.00,4.04,4.40,4.00
4.18,4.18,4.18,4.18
4.13,4.09,4.19,4.05
4.13,4.11,4.14,4.11
4.10,4.13,4.20,4.10
4.11,4.10,4.25,4.10
4.11,4.15,4.17,4.11
4.15,4.15,4.19,4.15
4.24,4.16,4.25,4.15
4.24,4.22,4.25,4.11
4.22,4.25,4.25,4.14
4.25,4.10,4.25,4.10
4.11,4.02,4.21,4.01
4.04,3.91,4.04,3.73
4.00,3.76,4.01,3.76
3.82,4.21,4.21,3.77
4.03,4.01,4.03,3.77
4.03,4.18,4.44,4.03
4.14,4.09,4.14,4.06
4.16,4.11,4.19,3.92
4.35,4.25,4.35,4.10
4.21,4.14,4.21,4.10
4.10,4.17,4.17,4.08
4.12,4.12,4.12,4.12
4.25,4.20,4.25,4.18
4.18,4.20,4.20,4.18
4.20,4.20,4.20,4.20
4.15,4.15,4.15,4.15
4.19,4.16,4.21,4.16
4.11,4.11,4.11,4.11
4.22,4.22,4.22,4.18
4.22,4.22,4.22,4.22
4.10,4.01,4.22,4.00
4.00,4.00,4.00,4.00
4.02,4.01,4.02,4.01
4.03,3.29,4.03,3.23
3.36,3.80,3.97,3.36
3.80,3.65,3.80,3.65
3.65,3.69,3.69,3.65
3.34,3.30,3.34,3.30
3.25,3.43,4.01,3.25
3.54,3.57,3.57,3.54
3.95,3.87,4.00,3.85
3.55,3.61,3.69,3.50
3.51,3.52,3.52,3.51
3.60,3.60,4.00,3.60
3.64,3.76,3.94,3.50
3.80,3.75,3.80,3.75
3.70,3.48,3.70,3.44
3.48,3.31,3.48,3.30
3.31,3.31,3.31,3.31
3.25,3.26,3.26,3.25
3.27,3.04,3.27,3.04
3.09,3.00,3.09,3.00
3.00,3.30,3.41,2.67
3.52,3.30,3.52,3.09
3.12,3.13,3.27,3.08
3.28,3.00,3.28,2.81
2.98,2.80,2.98,2.80
2.84,2.89,2.89,2.84
2.88,2.88,2.88,2.88
2.88,3.20,3.35,2.88
2.96,3.20,3.23,2.95
3.20,3.20,3.20,3.20
3.31,3.30,3.31,3.26
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.00,3.30,3.00
3.03,2.90,3.03,2.85
2.88,2.81,2.89,2.81
2.70,3.04,3.04,2.52
3.04,3.04,3.04,3.04
3.01,2.84,3.01,2.84
2.67,3.00,3.06,2.59
3.00,3.00,3.00,3.00
3.00,3.00,3.00,2.98
2.86,2.86,2.86,2.86
2.86,3.00,3.00,2.61
2.99,2.94,2.99,2.94
3.03,3.05,3.05,3.03
3.05,3.05,3.05,3.05
3.17,3.17,3.17,3.17
3.17,3.17,3.17,3.17
3.04,3.05,3.05,2.81
2.69,2.84,2.86,2.68
3.13,3.15,3.15,2.77
3.01,3.36,3.36,3.01
3.21,3.16,3.21,2.83
3.03,2.94,3.10,2.77
2.93,3.20,3.20,2.93
3.13,4.00,4.00,3.13
4.00,3.95,4.00,3.58
3.91,4.79,4.79,3.91
4.06,4.67,4.77,4.06
4.77,4.59,4.77,4.32
4.77,4.32,4.77,4.25
4.26,4.51,4.51,4.26
4.42,4.42,4.42,4.41
4.77,4.44,4.77,4.44
4.57,4.60,4.60,4.35
4.24,4.43,4.75,4.24
4.47,4.39,4.52,4.11
4.38,4.50,4.50,4.38
4.14,4.48,4.50,4.14
4.28,4.29,4.40,4.28
4.31,4.31,4.31,4.30
4.30,4.30,4.30,4.30
4.34,4.45,4.45,4.34
4.45,4.44,4.45,4.28
4.47,4.24,4.47,4.24
4.45,4.50,4.50,4.45
4.35,4.50,4.54,4.31
4.30,4.44,4.44,4.30
4.25,4.40,4.50,4.25
4.40,4.40,4.40,4.40
4.43,4.60,4.77,4.40
4.60,5.85,5.90,4.60
5.65,5.93,6.12,5.61
5.86,5.68,6.41,5.30
5.59,5.64,6.12,5.45
5.74,5.70,6.03,5.68
5.56,5.54,5.65,5.40
6.29,5.76,6.29,5.30
5.76,5.99,6.19,5.76
6.00,5.37,6.00,5.37
5.25,5.50,5.92,5.25
5.46,4.82,5.46,4.80
4.93,4.98,5.28,4.93
4.71,4.97,4.98,4.71
4.98,5.80,6.10,4.98
5.75,5.64,5.75,5.29
5.32,5.45,5.75,5.25
5.33,5.73,5.73,5.33
5.75,5.70,5.75,5.70
5.82,5.84,6.20,5.80
6.25,5.93,6.25,5.64
5.47,5.77,6.08,5.45
6.09,5.85,6.09,5.54
5.45,5.75,5.76,5.41
5.74,5.82,6.00,5.23
5.97,5.73,6.04,5.38
5.76,5.78,5.83,5.62
6.04,5.54,6.04,5.25
5.96,5.64,5.96,5.39
5.75,5.70,5.75,5.33
5.62,5.94,5.94,5.62
5.94,5.89,5.94,5.50
5.77,5.60,5.88,5.60
5.68,5.86,5.90,5.60
5.87,5.94,5.94,5.85
5.92,5.91,5.92,5.60
5.58,5.79,5.87,5.58
5.70,5.91,5.99,5.49
5.81,5.82,5.83,5.65
5.89,5.83,5.89,5.76
5.89,5.75,5.89,5.36
5.66,5.31,5.70,5.28
5.72,5.69,5.72,5.45
5.62,5.68,5.68,5.50
5.67,5.67,5.74,5.56
5.69,5.58,5.70,5.25
5.29,5.08,5.60,5.06
4.94,5.49,5.60,4.94
5.41,5.33,5.41,5.33
5.07,5.13,5.41,5.01
5.30,5.33,5.33,5.07
5.35,5.23,5.35,4.97
4.99,5.18,5.28,4.91
5.30,5.28,5.35,5.26
4.61,5.34,5.34,4.30
4.38,5.19,5.24,3.81
4.98,4.54,4.98,4.28
4.02,4.25,4.80,4.02
4.23,4.99,5.19,3.81
5.29,4.98,5.29,4.10
5.16,4.98,5.16,4.60
4.98,5.00,5.00,4.89
5.00,5.00,5.00,5.00
4.89,4.68,4.89,4.56
4.79,4.79,4.79,4.79
4.80,4.37,4.80,4.07
4.37,4.77,4.80,3.95
4.77,4.77,4.77,4.77
4.56,4.49,4.71,4.35
4.70,4.71,4.71,4.49
4.71,4.71,4.71,4.71
4.67,4.60,4.67,4.60
4.22,4.52,4.74,4.22
4.57,4.64,4.64,4.15
4.64,4.80,4.80,4.64
4.64,4.58,4.64,4.58
4.21,4.70,4.70,4.21
4.15,4.14,4.15,3.91
3.82,4.00,4.00,3.81
4.00,4.00,4.00,4.00
3.83,4.00,4.05,3.63
4.00,4.00,4.00,4.00
4.09,3.83,4.09,3.56
3.62,3.97,3.97,3.62
3.97,3.97,3.97,3.97
3.62,3.25,3.89,2.85
3.15,3.17,3.20,2.62
3.18,2.96,3.18,2.95
2.86,2.79,2.86,2.65
2.45,2.94,3.09,2.41
3.07,3.06,3.11,2.55
3.20,3.15,3.20,2.75
3.15,3.15,3.15,3.15
2.73,2.86,3.00,2.73
2.58,2.77,2.98,2.51
2.28,3.00,3.00,2.00
2.70,3.00,3.00,2.60
3.40,2.96,3.40,2.78
2.96,2.98,3.10,2.71
2.77,3.00,3.00,2.77
2.88,3.00,3.03,2.83
2.81,2.99,3.00,2.80
2.97,2.97,2.97,2.97
3.07,3.00,3.07,3.00
3.00,3.00,3.00,3.00
3.00,3.10,3.10,3.00
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.05,3.05,3.05,3.05
3.07,3.07,3.07,3.07
3.09,2.96,3.09,2.59
3.10,2.93,3.10,2.93
2.82,2.82,2.84,2.61
2.85,2.99,3.74,2.61
2.86,3.13,3.13,2.79
3.64,3.18,3.64,2.82
3.45,3.18,3.45,3.05
3.47,3.31,3.48,3.28
3.44,3.00,3.49,2.96
3.00,3.04,3.04,2.98
3.04,3.04,3.04,3.04
2.60,2.94,2.94,2.56
2.85,2.82,2.88,2.80
3.02,3.02,3.02,3.02
3.02,3.02,3.02,3.02
3.02,3.02,3.02,3.02
3.06,3.43,3.43,3.06
3.01,3.00,3.33,2.97
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
2.76,3.00,3.00,2.75
3.00,3.00,3.00,3.00
2.62,2.90,2.90,2.62
2.75,2.74,2.92,2.60
2.50,2.62,2.62,2.50
2.95,2.56,2.95,2.27
2.46,2.49,2.53,2.39
2.50,2.48,2.50,2.40
2.48,2.48,2.48,2.48
