KOF,Coca Cola Femsa S.A.B. de C.V.  Common Stock,NASDAQ
66.23,66.67,67.18,66.22
66.76,65.62,66.98,65.53
65.54,65.84,66.19,65.29
66.12,66.05,66.12,65.71
65.95,64.81,65.95,64.68
62.93,60.66,63.02,59.24
59.97,59.92,61.00,59.55
60.07,61.67,62.00,59.55
61.25,61.78,62.16,61.25
61.19,61.71,61.94,61.09
61.75,60.69,61.82,60.05
59.37,58.60,59.90,58.13
58.26,58.03,58.89,57.15
57.47,58.53,58.92,57.31
59.16,58.28,59.28,57.99
58.12,57.67,59.04,57.32
57.16,58.77,59.14,56.51
59.64,61.60,61.73,59.38
62.10,61.91,62.84,61.00
62.73,61.52,62.80,61.00
62.04,62.64,62.96,61.82
62.80,62.43,62.82,62.13
62.62,59.20,62.62,59.00
58.81,59.20,59.31,58.16
59.20,59.18,60.22,58.74
59.78,61.16,61.97,59.67
60.38,59.17,60.90,58.21
59.03,59.85,60.46,58.84
59.06,59.40,59.44,58.60
59.59,59.68,60.35,59.06
59.91,61.12,61.37,59.86
61.01,62.75,62.79,60.89
62.33,62.48,63.25,62.15
62.65,63.80,64.33,62.32
62.84,62.81,63.99,62.80
63.27,63.16,63.40,62.84
62.84,63.87,63.87,62.40
64.10,64.21,64.69,63.63
64.78,66.16,66.44,64.71
67.27,67.45,67.66,66.96
67.50,68.13,68.36,67.50
68.65,68.96,69.49,68.24
69.62,69.67,69.93,69.18
69.51,68.10,70.23,68.02
68.14,66.15,68.14,66.07
65.62,65.49,66.15,63.96
64.88,65.60,65.74,64.88
65.50,66.01,66.62,65.50
65.52,63.84,65.75,63.61
64.00,64.08,64.24,62.82
64.46,64.05,64.46,63.80
64.15,63.69,64.40,63.57
63.16,63.16,64.23,62.68
62.96,64.00,64.14,62.71
63.73,65.46,65.66,63.70
65.55,65.98,66.20,65.06
65.81,65.04,66.38,64.43
65.04,64.83,65.04,63.91
65.54,65.38,66.30,65.01
65.77,67.36,67.49,65.77
67.36,66.45,67.98,66.44
62.01,67.66,68.02,62.01
67.53,68.45,68.65,67.40
67.92,67.67,68.48,67.46
66.91,67.34,67.77,66.89
66.85,65.41,66.85,64.60
65.38,66.82,66.95,65.24
66.99,65.87,66.99,65.32
65.74,69.54,69.82,65.74
69.78,70.25,70.42,69.44
69.72,70.38,70.55,69.72
69.84,67.63,70.38,67.40
67.65,68.46,68.47,67.43
68.90,70.01,70.04,68.61
69.48,68.12,69.48,67.85
68.82,68.51,68.82,67.51
68.51,69.28,70.01,68.51
69.28,70.99,71.33,69.24
70.98,66.84,70.98,66.76
67.10,68.34,69.65,66.96
69.30,70.26,70.47,68.48
69.76,70.00,70.89,69.76
70.29,69.76,70.51,69.76
68.86,66.51,68.86,65.96
65.60,65.13,66.04,64.46
64.41,63.59,65.69,61.56
63.59,63.33,64.21,62.05
66.70,68.03,68.20,65.96
66.93,68.52,69.50,66.93
68.72,68.79,69.20,68.09
68.29,68.80,69.32,68.28
68.31,67.84,68.31,67.07
67.79,68.89,69.00,65.44
69.85,67.12,70.00,66.77
66.19,65.99,67.20,65.59
64.52,63.75,65.33,63.62
63.10,65.31,65.36,62.76
