FFBCW,First Financial Bancorp. - Warrant 12/23/2018,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
7.00,7.05,7.15,6.70
6.76,6.70,6.76,6.70
6.50,6.50,6.50,6.50
6.45,6.30,6.45,6.20
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.59,6.70,6.72,6.59
6.70,6.68,6.70,6.68
6.70,6.70,6.70,6.65
6.74,6.74,6.75,6.74
6.74,6.74,6.74,6.74
6.71,6.70,6.71,6.70
6.70,6.70,6.70,6.70
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.74,7.00,7.00,6.74
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.50,6.30,6.55,6.30
6.10,6.30,6.30,6.10
6.35,6.35,6.35,6.35
6.35,6.35,6.35,6.35
6.35,6.35,6.35,6.35
6.93,7.98,7.98,6.43
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
8.00,8.45,8.45,8.00
8.45,8.45,8.45,8.45
8.70,8.02,8.70,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
8.02,8.02,8.02,8.02
7.00,7.00,8.93,5.00
6.30,6.30,6.30,6.30
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.99,7.00,7.00,6.99
6.85,7.50,7.50,6.85
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.01,6.92,7.01,6.92
7.07,7.10,7.10,7.07
7.00,7.36,7.40,7.00
7.36,7.36,7.36,7.36
7.45,7.81,7.85,7.45
7.81,7.81,7.81,7.81
7.55,7.01,7.55,7.01
7.01,7.01,7.01,7.01
7.15,7.77,7.77,7.15
7.77,7.77,7.77,7.77
7.03,7.21,7.23,7.02
7.20,7.65,7.65,7.16
7.64,7.65,7.65,7.64
7.99,7.50,8.50,7.49
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
7.28,6.77,7.28,6.73
7.47,6.98,7.47,6.98
6.73,7.00,7.00,6.73
7.00,7.00,7.00,6.99
7.00,7.00,7.00,6.99
7.00,7.00,7.00,7.00
7.00,6.79,7.00,6.79
6.75,6.75,6.75,6.75
6.77,6.80,6.95,6.77
7.05,6.95,7.08,6.90
7.15,7.00,7.22,7.00
6.87,6.81,6.90,6.81
6.50,6.73,6.84,6.50
6.70,7.00,7.01,6.69
6.85,6.85,6.85,6.85
6.80,7.00,7.00,6.69
6.67,6.70,6.75,6.65
6.50,6.72,6.72,6.50
6.72,6.72,6.72,6.72
6.72,6.72,6.72,6.72
6.72,6.72,6.72,6.72
6.72,6.72,6.72,6.72
6.30,6.34,6.34,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
7.00,7.00,7.00,7.00
7.01,7.00,7.01,7.00
6.92,6.92,6.92,6.92
7.21,7.21,7.21,7.21
7.40,7.40,7.40,7.40
7.40,7.40,7.40,7.40
7.40,7.51,7.60,7.39
7.51,7.51,7.51,7.51
8.07,7.96,8.07,7.93
7.60,7.65,7.65,7.60
7.83,7.17,7.83,7.17
7.17,7.17,7.17,7.17
7.17,7.17,7.17,7.17
7.69,7.98,7.98,7.66
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
8.08,8.08,8.08,8.08
8.08,8.08,8.08,8.08
8.01,8.01,8.01,8.01
8.01,8.01,8.01,8.01
8.09,7.45,8.09,7.32
7.45,7.45,7.45,7.45
7.45,7.45,7.45,7.45
7.68,7.21,7.75,7.19
7.00,6.91,7.10,6.85
6.91,6.91,6.91,6.91
6.95,6.95,6.96,6.95
6.95,6.95,6.95,6.95
7.39,7.39,7.39,7.39
7.70,7.82,7.82,7.63
7.82,7.82,7.82,7.82
7.82,7.82,7.82,7.82
7.40,7.40,7.40,7.40
7.41,7.40,7.41,7.40
7.29,7.24,7.30,7.24
7.24,7.24,7.24,7.24
7.00,6.80,7.03,6.79
6.69,6.70,6.72,6.69
6.71,6.70,6.71,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
7.19,7.21,7.21,7.19
7.21,7.21,7.21,7.21
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.69,6.69,6.69,6.69
6.50,6.50,6.50,6.30
6.50,6.50,6.50,6.50
6.24,6.24,6.24,6.24
6.00,5.90,6.00,5.90
5.92,5.80,5.92,5.80
5.80,5.80,5.80,5.80
6.10,6.10,6.10,6.10
6.28,6.30,6.30,6.28
6.32,6.33,6.33,6.32
6.00,5.75,6.00,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
6.18,6.20,6.20,6.18
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
5.80,5.78,5.80,5.78
5.90,5.85,5.90,5.80
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
6.04,6.05,6.05,6.04
6.05,6.05,6.05,6.05
6.05,6.05,6.05,6.05
6.05,6.05,6.05,6.05
5.92,5.99,5.99,5.92
5.97,5.81,5.97,5.81
6.12,6.12,6.12,6.12
6.09,5.85,6.09,5.85
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.13,6.13,6.13,6.13
6.03,5.79,6.04,5.69
5.79,5.79,5.79,5.79
5.79,5.79,5.79,5.79
5.79,5.79,5.79,5.79
5.00,5.00,5.02,5.00
5.07,5.74,5.74,5.07
5.70,5.70,5.70,5.70
