EWM,iShares MSCI Malaysia Index Fund,NASDAQ
55.96,55.84,56.04,55.68
55.52,54.84,55.60,54.64
55.00,55.52,55.64,55.00
55.96,55.64,56.08,55.32
55.88,55.76,55.88,55.44
56.00,55.84,56.16,55.84
55.88,55.92,56.16,55.88
55.88,55.96,56.04,55.56
56.12,55.96,56.12,55.68
56.20,56.28,56.40,56.04
56.52,56.28,56.72,56.16
56.76,56.68,57.00,56.52
56.76,57.00,57.00,56.40
57.20,57.60,57.60,57.08
57.40,57.36,57.64,57.16
57.08,56.84,57.08,56.76
57.32,56.88,57.36,56.72
57.36,57.40,57.44,56.96
56.64,56.52,56.64,56.28
55.80,55.68,56.08,55.24
55.68,55.44,55.84,55.36
55.20,54.60,55.56,54.36
54.52,54.72,54.85,54.28
55.60,55.84,56.00,55.60
55.84,56.04,56.10,55.68
55.80,56.08,56.08,55.52
55.08,54.92,55.08,54.52
nan,55.64,nan,nan
54.76,54.80,54.88,54.56
54.64,54.96,55.20,54.48
54.48,54.48,54.76,54.08
55.12,55.40,55.44,55.08
55.64,56.04,56.16,55.64
55.92,55.84,55.92,55.56
55.48,55.76,55.84,55.48
56.04,55.84,56.16,55.72
56.00,56.12,56.24,55.88
56.32,56.52,56.60,56.24
56.32,56.40,56.48,55.96
56.40,56.36,56.68,56.20
56.60,56.60,56.76,56.44
56.44,56.24,56.64,56.24
56.08,56.13,56.16,55.68
56.04,56.08,56.08,55.88
55.96,55.91,55.96,55.52
55.40,55.68,55.68,55.32
55.84,55.72,55.92,55.72
nan,55.92,nan,nan
55.72,56.56,56.60,55.72
56.76,56.56,56.76,56.40
56.84,57.00,57.08,56.76
56.96,57.04,57.08,56.76
57.04,57.52,57.52,57.00
57.76,58.20,58.36,57.76
58.80,58.44,58.84,58.08
58.96,59.28,59.36,58.88
59.12,58.89,59.16,58.80
59.16,59.09,59.40,58.88
58.80,58.64,58.84,58.48
58.80,58.92,59.08,58.76
59.20,59.63,59.80,59.16
59.80,59.64,59.92,59.56
nan,59.56,nan,nan
59.40,59.64,59.79,59.40
59.52,59.04,59.55,58.96
59.08,58.96,59.08,58.40
59.08,58.60,59.08,58.40
58.44,58.56,58.64,58.28
57.76,57.64,57.84,57.48
57.56,57.51,57.64,57.36
58.12,57.84,58.12,57.72
57.72,56.72,57.76,56.48
57.24,56.84,57.48,56.83
57.32,57.72,57.88,57.32
57.80,57.64,57.92,57.64
57.80,57.68,57.84,57.52
57.72,58.20,58.20,57.64
58.04,58.32,58.36,58.04
58.32,58.12,58.36,58.00
57.92,57.72,58.00,57.48
56.64,56.88,56.92,56.48
56.24,56.64,56.76,56.00
56.56,56.60,56.74,56.52
56.52,56.60,56.68,56.40
56.72,56.92,57.04,56.56
56.72,57.08,57.12,56.68
nan,57.64,nan,nan
56.92,56.60,57.24,56.44
56.36,56.60,56.72,56.08
55.84,56.00,56.12,55.60
56.24,56.36,56.38,55.98
56.48,56.28,56.48,55.96
56.52,56.24,56.76,55.98
56.36,56.68,56.88,56.36
57.20,57.38,57.48,57.20
57.56,57.32,57.68,57.00
57.24,57.00,57.40,56.68
57.24,57.52,57.78,57.12
57.64,57.76,57.84,57.56
57.28,57.08,57.32,56.88
56.48,57.04,57.20,56.28
56.64,56.60,56.80,56.36
55.40,56.08,56.20,55.20
56.08,55.44,56.28,55.12
56.40,56.16,56.52,56.00
56.76,56.60,57.04,56.60
57.08,57.40,57.60,57.08
57.44,57.32,57.44,57.28
57.40,57.84,57.96,57.40
58.00,58.16,58.32,57.78
58.04,57.92,58.04,57.76
57.76,57.68,58.00,57.66
57.88,58.28,58.44,57.78
58.68,58.80,58.92,58.60
58.92,59.08,59.36,58.92
59.64,59.76,60.06,59.56
59.84,59.84,59.90,59.64
59.52,59.64,60.00,59.52
59.64,59.68,59.90,59.64
59.88,60.00,60.04,59.60
59.92,59.72,59.98,59.62
59.56,59.12,59.56,59.00
58.64,58.52,58.64,58.24
59.08,58.92,59.16,58.76
58.52,58.80,58.88,58.44
58.80,58.68,58.88,58.48
58.44,58.36,58.58,57.92
58.76,58.96,58.96,58.56
59.36,59.44,59.60,59.20
nan,59.40,nan,nan
59.20,59.34,59.40,59.16
59.44,59.96,59.98,59.44
60.00,60.20,60.28,59.56
60.00,60.00,60.36,60.00
60.28,60.04,60.52,60.04
60.52,60.08,60.76,60.04
60.00,59.56,60.04,59.28
59.64,59.00,59.64,58.60
58.52,58.12,58.52,57.80
58.88,58.64,59.32,58.44
58.80,58.96,59.08,58.68
59.20,59.40,59.44,59.12
59.60,59.08,59.68,58.76
59.04,59.56,59.68,58.88
59.36,58.60,59.40,58.32
58.36,58.24,58.72,58.14
58.08,58.24,58.28,57.80
58.72,59.16,59.28,58.60
59.52,59.40,59.52,59.00
59.12,59.08,59.32,58.76
57.88,58.12,58.32,57.84
58.32,58.32,58.68,58.24
58.32,58.60,58.84,58.28
58.68,59.04,59.30,58.68
nan,59.76,nan,nan
60.20,60.32,60.32,60.00
60.08,59.36,60.24,59.32
59.96,60.04,60.16,59.76
59.80,60.00,60.20,59.80
59.96,59.68,60.12,59.64
60.12,60.04,60.30,59.96
59.76,59.64,60.10,59.64
60.00,60.08,60.24,59.80
59.88,59.76,60.12,59.56
59.48,59.40,59.64,59.24
59.76,59.84,60.12,59.76
59.64,59.36,59.72,59.08
59.24,59.44,59.72,59.04
60.40,60.36,60.56,60.20
60.08,60.16,60.24,59.92
60.32,60.70,60.72,60.16
60.00,59.64,60.18,59.64
59.04,59.56,59.56,58.80
59.56,59.00,59.60,58.88
58.92,59.40,59.52,58.92
59.88,60.40,60.40,59.72
60.08,60.56,60.58,60.00
60.72,61.12,61.16,60.64
nan,61.84,nan,nan
61.20,61.56,61.76,61.08
61.48,61.32,61.52,61.24
61.76,61.84,61.92,61.66
61.36,61.60,61.60,61.28
60.84,60.28,61.08,60.24
60.40,60.12,60.64,60.04
60.60,60.80,61.16,60.40
61.00,60.56,61.32,60.44
60.88,60.88,61.04,60.64
60.20,59.40,60.20,59.10
59.56,59.60,59.80,59.48
59.80,59.72,60.00,59.68
60.56,60.68,60.80,60.24
60.68,60.76,60.80,60.46
60.32,60.68,60.68,60.32
60.76,60.76,60.84,60.52
60.56,60.36,60.68,60.08
60.32,60.48,60.72,60.28
60.00,60.28,60.44,59.84
61.00,60.60,61.24,60.28
60.52,60.00,60.72,59.96
60.12,60.20,60.28,59.40
59.56,58.28,59.56,58.24
58.60,58.24,58.76,56.88
56.44,54.60,56.92,54.42
56.08,56.80,57.00,54.96
56.00,55.08,56.16,55.00
55.92,57.00,57.58,55.88
57.24,57.28,57.48,56.84
57.80,58.28,58.32,57.76
57.92,58.00,58.40,57.68
58.68,58.36,58.92,58.24
58.12,57.32,58.12,56.88
57.24,57.28,58.12,57.12
57.88,57.16,57.92,56.92
57.32,58.36,58.46,57.12
57.12,57.28,57.44,56.66
56.80,55.96,56.90,55.72
55.40,55.92,56.00,54.76
56.00,56.56,56.56,56.00
56.20,56.28,56.52,55.92
56.84,56.88,57.20,56.60
56.96,56.40,57.32,56.40
56.84,56.44,57.26,56.44
55.52,56.32,56.46,55.48
56.56,56.96,57.08,56.28
56.44,56.24,56.92,56.24
55.84,55.48,56.00,55.16
54.52,54.96,55.34,54.38
54.56,54.56,54.68,54.16
54.00,53.92,54.16,52.96
53.36,53.60,53.74,52.92
54.00,53.72,54.08,53.44
52.12,51.92,52.12,51.48
51.84,51.40,52.08,51.32
51.60,50.32,51.72,50.32
49.24,48.40,49.60,47.88
48.20,48.76,49.00,48.20
48.04,48.28,48.40,47.52
49.88,50.04,50.52,49.76
49.76,48.96,50.16,48.96
50.00,49.80,50.20,49.08
49.28,48.84,49.48,48.54
48.52,48.08,49.26,48.02
48.16,49.08,49.18,47.80
49.32,50.04,50.32,48.92
50.20,50.84,50.92,49.80
51.16,50.88,51.28,50.60
51.72,52.20,52.24,51.32
51.88,52.08,52.28,51.62
52.68,53.04,53.64,52.68
53.00,53.08,53.24,52.72
53.44,53.76,53.78,53.28
53.96,53.40,54.24,53.28
53.00,54.12,54.40,52.48
54.00,53.64,54.28,53.48
53.44,53.24,53.48,52.32
53.28,53.68,53.96,53.24
53.68,54.08,54.34,53.60
53.88,53.44,54.00,53.32
53.96,53.60,54.00,53.12
55.60,56.28,56.72,55.36
55.88,56.28,56.44,55.84
56.36,55.52,56.36,55.52
53.68,53.84,54.16,53.28
54.20,54.24,54.44,53.84
54.52,55.00,55.00,54.12
54.72,54.56,54.76,54.04
54.08,54.56,54.76,53.94
54.76,55.52,55.56,54.56
54.20,53.52,54.34,53.48
54.16,54.16,54.36,53.88
54.12,54.48,54.64,54.12
54.32,54.08,54.40,53.76
54.04,54.20,54.52,53.92
53.76,53.72,54.20,53.64
53.64,52.80,53.68,52.52
53.28,53.20,53.36,52.96
52.12,51.88,52.24,51.40
51.92,52.00,52.32,51.68
nan,51.44,nan,nan
51.88,51.84,52.44,51.76
53.48,53.12,53.56,52.96
53.12,53.00,53.36,52.76
55.36,56.16,56.24,55.28
55.20,55.36,55.60,55.08
55.40,55.08,55.60,55.00
55.60,55.52,55.88,55.36
54.84,54.88,55.12,54.54
54.64,54.92,55.12,54.44
54.28,53.52,54.48,53.48
53.72,54.12,54.50,53.72
53.56,53.20,53.56,52.80
53.52,53.00,53.72,52.88
52.80,52.52,53.00,52.38
53.40,53.00,53.60,53.00
53.32,53.28,53.76,53.28
53.40,53.04,53.72,52.92
51.76,52.40,52.68,51.60
