CAPR,Capricor Therapeutics,NASDAQ
0.65,0.66,0.68,0.65
0.68,0.70,0.70,0.68
0.73,0.75,0.80,0.70
0.80,0.77,0.80,0.76
0.80,0.71,0.80,0.71
0.70,0.66,0.70,0.62
0.62,0.74,0.74,0.62
0.74,0.68,0.74,0.66
0.65,0.70,0.71,0.65
0.72,0.70,0.72,0.68
0.71,0.66,0.71,0.64
0.67,0.68,0.68,0.67
0.66,0.63,0.66,0.62
0.64,0.63,0.67,0.63
0.62,0.64,0.64,0.60
0.67,0.62,0.67,0.60
0.63,0.61,0.63,0.61
0.60,0.61,0.64,0.60
0.66,0.64,0.66,0.62
0.65,0.61,0.65,0.61
0.62,0.62,0.62,0.62
0.66,0.75,0.75,0.65
0.79,0.70,0.79,0.70
0.74,0.72,0.74,0.68
0.77,0.75,0.77,0.75
0.77,0.74,0.77,0.74
0.73,0.72,0.73,0.72
0.70,0.70,0.71,0.69
0.75,0.68,0.75,0.68
0.70,0.67,0.70,0.67
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.67
0.73,0.67,0.73,0.65
0.67,0.68,0.71,0.67
0.75,0.71,0.75,0.71
0.71,0.70,0.71,0.70
0.75,0.75,0.75,0.75
0.75,0.72,0.76,0.71
0.75,0.70,0.75,0.67
0.68,0.68,0.70,0.67
0.71,0.70,0.71,0.68
0.71,0.68,0.71,0.67
0.71,0.68,0.71,0.68
0.71,0.69,0.71,0.67
0.70,0.69,0.70,0.67
0.69,0.68,0.70,0.67
0.70,0.69,0.70,0.68
0.68,0.59,0.68,0.51
0.56,0.56,0.63,0.56
0.60,0.57,0.60,0.56
0.60,0.65,0.67,0.60
0.67,0.64,0.67,0.60
0.65,0.61,0.65,0.58
0.60,0.58,0.60,0.58
0.56,0.50,0.56,0.44
0.45,0.52,0.53,0.45
0.56,0.53,0.56,0.52
0.53,0.50,0.53,0.50
0.48,0.49,0.52,0.43
0.50,0.49,0.52,0.48
0.47,0.52,0.52,0.47
0.52,0.50,0.52,0.47
0.50,0.49,0.50,0.49
0.50,0.50,0.50,0.50
0.49,0.49,0.49,0.49
0.52,0.50,0.52,0.48
0.52,0.49,0.52,0.46
0.49,0.49,0.55,0.48
0.48,0.47,0.48,0.47
0.47,0.46,0.50,0.46
0.46,0.44,0.46,0.41
0.44,0.48,0.48,0.42
0.50,0.59,0.65,0.50
0.60,0.60,0.62,0.58
0.62,0.60,0.65,0.60
0.64,0.67,0.67,0.64
0.64,0.63,0.64,0.63
0.64,0.60,0.64,0.59
0.60,0.59,0.60,0.58
0.58,0.61,0.61,0.58
0.62,0.58,0.62,0.58
0.58,0.60,0.60,0.58
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.59,0.58,0.60,0.58
0.58,0.55,0.58,0.55
0.56,0.57,0.57,0.55
0.59,0.58,0.60,0.58
0.56,0.56,0.56,0.56
0.58,0.56,0.58,0.56
0.57,0.54,0.57,0.53
0.53,0.56,0.56,0.53
0.55,0.55,0.55,0.54
0.56,0.58,0.58,0.56
0.58,0.56,0.60,0.56
0.56,0.51,0.57,0.51
0.53,0.57,0.57,0.51
0.55,0.52,0.55,0.52
0.58,0.53,0.58,0.52
0.52,0.54,0.57,0.52
0.53,0.55,0.55,0.53
0.53,0.54,0.54,0.53
0.55,0.60,0.64,0.55
0.61,0.61,0.64,0.60
0.61,0.60,0.61,0.57
0.57,0.57,0.58,0.57
0.57,0.55,0.57,0.55
0.54,0.56,0.57,0.54
0.55,0.58,0.58,0.54
0.58,0.63,0.68,0.54
0.62,0.60,0.62,0.58
0.62,0.60,0.62,0.58
0.62,0.61,0.64,0.58
0.61,0.60,0.63,0.59
0.61,0.65,0.65,0.58
0.66,0.59,0.66,0.59
0.59,0.55,0.59,0.54
0.60,0.56,0.62,0.56
0.67,0.60,0.67,0.58
0.60,0.63,0.65,0.60
0.64,0.63,0.64,0.60
0.65,0.62,0.65,0.62
0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.61
0.65,0.64,0.65,0.64
0.65,0.65,0.65,0.65
0.62,0.61,0.63,0.61
0.60,0.62,0.65,0.60
0.64,0.64,0.64,0.64
0.61,0.60,0.61,0.59
0.60,0.60,0.64,0.60
0.60,0.60,0.61,0.60
0.60,0.60,0.61,0.60
0.60,0.55,0.62,0.55
0.58,0.58,0.58,0.58
0.59,0.59,0.59,0.59
0.61,0.60,0.61,0.60
0.60,0.59,0.62,0.59
0.60,0.58,0.60,0.58
0.57,0.58,0.58,0.57
0.60,0.62,0.62,0.60
0.85,0.82,0.96,0.75
0.82,0.86,0.86,0.78
0.93,0.86,0.93,0.84
0.87,0.82,0.90,0.82
0.86,0.85,0.86,0.84
0.83,0.75,0.83,0.75
0.80,0.75,0.80,0.75
0.79,0.72,0.79,0.68
0.74,0.68,0.74,0.68
0.72,0.70,0.72,0.70
0.69,0.70,0.70,0.69
0.70,0.69,0.71,0.69
0.68,0.69,0.69,0.67
0.68,0.66,0.69,0.65
0.67,0.63,0.67,0.62
0.65,0.69,0.70,0.65
0.70,0.69,0.70,0.66
0.67,0.74,0.74,0.67
0.75,0.80,0.82,0.75
0.83,0.76,0.83,0.76
0.77,0.79,0.79,0.77
0.80,0.82,0.82,0.76
0.85,0.82,0.85,0.82
0.78,0.77,0.81,0.77
0.78,0.79,0.79,0.78
0.82,0.80,0.82,0.80
0.80,0.70,0.80,0.70
0.70,0.72,0.75,0.70
0.72,0.71,0.72,0.70
0.65,0.66,0.71,0.56
0.59,0.65,0.66,0.56
0.64,0.57,0.68,0.53
0.55,0.56,0.56,0.55
0.56,0.58,0.59,0.56
0.58,0.58,0.58,0.54
0.58,0.57,0.60,0.54
0.60,0.60,0.60,0.56
0.58,0.59,0.59,0.57
0.61,0.64,0.64,0.60
0.65,0.78,1.02,0.64
0.66,0.66,0.88,0.65
0.66,0.58,0.67,0.58
0.58,0.58,0.64,0.54
0.56,0.62,0.62,0.56
0.64,0.64,0.64,0.62
0.62,0.60,0.64,0.58
0.58,0.60,0.61,0.57
0.60,0.62,0.62,0.58
0.59,0.60,0.60,0.58
0.57,0.62,0.64,0.57
0.60,0.59,0.68,0.58
0.66,0.64,0.66,0.64
0.66,0.66,0.66,0.59
0.66,0.63,0.66,0.62
0.63,0.66,0.66,0.63
0.66,0.65,0.66,0.63
0.61,0.64,0.64,0.61
0.64,0.68,0.68,0.64
0.69,0.71,0.73,0.69
0.71,0.71,0.71,0.69
0.71,0.73,0.75,0.56
0.73,0.70,0.75,0.68
0.75,0.76,0.77,0.72
0.78,0.78,0.85,0.77
0.80,0.79,0.80,0.78
0.80,0.80,0.82,0.77
0.74,0.80,0.80,0.74
0.82,0.80,0.82,0.74
0.82,0.80,0.82,0.72
0.80,0.75,0.80,0.75
0.79,0.79,0.79,0.79
0.80,0.78,0.80,0.74
0.78,0.78,0.78,0.78
0.79,0.79,0.79,0.75
0.76,0.72,0.79,0.71
0.80,0.71,0.80,0.70
0.68,0.78,0.78,0.68
0.68,0.73,0.79,0.68
0.71,0.72,0.72,0.71
0.72,0.72,0.78,0.72
0.74,0.74,0.74,0.74
0.74,0.71,0.74,0.71
0.70,0.70,0.77,0.70
0.70,0.70,0.72,0.70
0.72,0.69,0.72,0.69
0.72,0.69,0.72,0.69
0.68,0.78,0.78,0.68
0.76,0.70,0.76,0.70
0.70,0.68,0.70,0.59
0.62,0.63,0.65,0.59
0.62,0.63,0.63,0.62
0.63,0.64,0.74,0.63
0.64,0.72,0.72,0.64
0.72,0.66,0.72,0.64
0.69,0.66,0.69,0.66
0.73,0.69,0.73,0.66
0.70,0.62,0.70,0.62
0.70,0.66,0.70,0.62
0.66,0.66,0.66,0.66
0.66,0.62,0.66,0.61
0.61,0.61,0.61,0.61
N/A,N/A,N/A,N/A
0.66,0.62,0.67,0.62
0.60,0.61,0.61,0.60
0.63,0.62,0.66,0.62
0.63,0.63,0.63,0.63
0.63,0.65,0.65,0.63
0.60,0.62,0.62,0.60
0.61,0.62,0.62,0.61
0.61,0.65,0.65,0.60
0.65,0.73,0.73,0.65
0.73,0.71,0.73,0.71
0.62,0.63,0.70,0.62
0.61,0.66,0.66,0.61
0.65,0.65,0.65,0.65
0.70,0.65,0.70,0.65
0.62,0.63,0.65,0.62
0.62,0.63,0.63,0.62
0.61,0.64,0.64,0.61
0.63,0.64,0.64,0.63
0.64,0.62,0.64,0.62
0.62,0.62,0.63,0.62
0.63,0.62,0.63,0.62
0.63,0.63,0.63,0.62
0.62,0.64,0.64,0.62
0.64,0.64,0.64,0.64
0.63,0.63,0.63,0.63
N/A,N/A,N/A,N/A
0.64,0.62,0.64,0.61
0.62,0.63,0.63,0.59
0.63,0.62,0.63,0.62
0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.59
0.59,0.61,0.62,0.59
0.56,0.56,0.58,0.56
0.56,0.55,0.60,0.51
0.55,0.53,0.55,0.53
0.51,0.50,0.51,0.48
0.50,0.50,0.50,0.45
0.52,0.62,0.62,0.50
0.60,0.62,0.62,0.60
0.57,0.57,0.57,0.57
0.60,0.62,0.62,0.53
0.53,0.55,0.56,0.53
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.56,0.60,0.60,0.56
0.60,0.58,0.60,0.58
N/A,N/A,N/A,N/A
0.58,0.58,0.59,0.58
0.52,0.60,0.60,0.52
0.56,0.60,0.60,0.56
0.60,0.62,0.62,0.58
0.58,0.58,0.58,0.58
0.59,0.59,0.62,0.59
0.62,0.60,0.62,0.60
0.63,0.61,0.63,0.60
0.62,0.60,0.63,0.60
0.62,0.60,0.62,0.60
0.62,0.60,0.62,0.60
0.62,0.58,0.62,0.58
0.60,0.57,0.60,0.57
0.57,0.58,0.60,0.57
0.58,0.57,0.58,0.57
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.60,0.60,0.60,0.60
0.60,0.58,0.60,0.56
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.56
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.56,0.55,0.56,0.55
0.56,0.56,0.56,0.56
0.56,0.55,0.60,0.55
0.58,0.58,0.59,0.51
0.58,0.58,0.58,0.58
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.60,0.56,0.60,0.56
0.59,0.56,0.60,0.56
0.56,0.52,0.56,0.51
0.51,0.50,0.51,0.50
0.50,0.50,0.50,0.50
0.51,0.51,0.51,0.51
N/A,N/A,N/A,N/A
0.53,0.54,0.55,0.53
0.55,0.54,0.55,0.54
0.55,0.55,0.55,0.55
0.50,0.48,0.51,0.46
0.50,0.54,0.54,0.50
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.50,0.50,0.50,0.50
0.49,0.54,0.54,0.49
0.54,0.58,0.58,0.54
0.58,0.55,0.58,0.54
0.55,0.52,0.55,0.52
0.52,0.52,0.53,0.49
0.52,0.50,0.52,0.50
0.51,0.52,0.52,0.50
0.53,0.53,0.53,0.53
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.49,0.50,0.50,0.49
0.49,0.56,0.56,0.49
0.50,0.55,0.55,0.50
0.55,0.54,0.55,0.52
N/A,N/A,N/A,N/A
0.54,0.53,0.54,0.53
0.51,0.50,0.51,0.50
0.51,0.50,0.51,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.48,0.52,0.52,0.48
0.53,0.55,0.55,0.52
0.51,0.54,0.54,0.51
0.47,0.50,0.53,0.46
0.51,0.53,0.54,0.51
0.54,0.53,0.57,0.53
0.51,0.55,0.55,0.51
0.56,0.54,0.58,0.54
0.53,0.54,0.54,0.50
0.54,0.54,0.54,0.50
0.54,0.50,0.54,0.49
0.45,0.54,0.54,0.45
0.54,0.58,0.58,0.52
0.59,0.56,0.59,0.54
0.56,0.54,0.56,0.53
0.51,0.53,0.53,0.51
0.53,0.56,0.56,0.53
0.52,0.52,0.56,0.52
0.52,0.56,0.58,0.52
0.58,0.58,0.58,0.56
0.52,0.55,0.55,0.52
0.58,0.52,0.58,0.52
0.52,0.52,0.52,0.52
0.53,0.53,0.53,0.52
0.55,0.58,0.58,0.55
0.53,0.53,0.53,0.53
0.55,0.56,0.56,0.55
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.56,0.54,0.56,0.54
0.55,0.54,0.56,0.53
0.54,0.53,0.54,0.53
0.53,0.50,0.53,0.50
0.55,0.55,0.55,0.50
0.49,0.54,0.54,0.49
0.51,0.50,0.54,0.50
0.51,0.50,0.51,0.44
0.51,0.50,0.51,0.50
0.49,0.50,0.50,0.49
0.50,0.34,0.50,0.32
0.34,0.34,0.36,0.32
0.34,0.32,0.34,0.32
0.34,0.34,0.34,0.30
0.34,0.32,0.34,0.32
0.29,0.30,0.33,0.28
0.32,0.30,0.32,0.29
0.31,0.29,0.31,0.29
0.29,0.32,0.32,0.29
0.32,0.32,0.34,0.32
0.32,0.29,0.33,0.28
0.29,0.30,0.32,0.29
0.31,0.30,0.32,0.29
0.30,0.30,0.30,0.29
0.30,0.29,0.30,0.26
0.26,0.26,0.28,0.26
0.26,0.26,0.32,0.26
0.32,0.32,0.32,0.26
0.32,0.28,0.32,0.27
0.27,0.27,0.30,0.27
0.27,0.28,0.30,0.27
0.31,0.31,0.31,0.31
N/A,N/A,N/A,N/A
0.30,0.28,0.30,0.28
0.28,0.26,0.30,0.26
0.29,0.29,0.29,0.29
0.25,0.25,0.29,0.25
0.25,0.25,0.25,0.25
0.25,0.24,0.28,0.24
0.24,0.22,0.25,0.21
0.22,0.20,0.23,0.20
0.20,0.22,0.22,0.20
0.22,0.22,0.22,0.22
0.22,0.25,0.25,0.22
0.31,0.25,0.31,0.20
0.15,0.25,0.25,0.15
0.25,0.20,0.25,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.22,0.15
N/A,N/A,N/A,N/A
0.21,0.20,0.22,0.17
0.20,0.20,0.20,0.19
0.22,0.20,0.22,0.20
0.20,0.20,0.22,0.20
0.20,0.20,0.20,0.20
0.20,0.18,0.20,0.18
0.22,0.19,0.22,0.19
0.20,0.20,0.20,0.20
0.20,0.19,0.20,0.19
0.20,0.17,0.20,0.17
0.20,0.20,0.20,0.17
0.20,0.18,0.20,0.17
0.18,0.15,0.18,0.15
0.18,0.16,0.18,0.16
0.16,0.15,0.16,0.15
0.15,0.15,0.15,0.13
0.16,0.14,0.16,0.13
0.14,0.13,0.14,0.12
0.13,0.10,0.13,0.10
0.11,0.12,0.13,0.10
0.10,0.10,0.11,0.07
0.11,0.10,0.12,0.09
0.10,0.10,0.11,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.11,0.11,0.10
0.11,0.11,0.11,0.10
0.11,0.11,0.11,0.11
0.11,0.11,0.12,0.09
0.11,0.10,0.11,0.10
0.11,0.10,0.11,0.10
0.10,0.11,0.11,0.10
0.11,0.11,0.11,0.11
0.14,0.11,0.14,0.11
0.11,0.12,0.14,0.11
0.12,0.12,0.12,0.12
0.15,0.14,0.15,0.14
0.14,0.14,0.14,0.14
0.14,0.12,0.14,0.12
0.12,0.12,0.12,0.12
N/A,N/A,N/A,N/A
0.15,0.15,0.15,0.12
0.15,0.13,0.15,0.13
0.15,0.14,0.15,0.14
0.13,0.13,0.14,0.13
0.14,0.14,0.15,0.14
0.15,0.14,0.15,0.14
0.15,0.13,0.15,0.13
0.12,0.14,0.14,0.12
0.14,0.14,0.14,0.14
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.14,0.11,0.14,0.11
0.12,0.12,0.12,0.12
0.11,0.11,0.12,0.11
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.11
0.12,0.12,0.12,0.11
0.10,0.13,0.14,0.10
0.12,0.10,0.12,0.10
0.13,0.12,0.13,0.12
0.10,0.13,0.13,0.10
0.12,0.12,0.13,0.12
0.14,0.14,0.14,0.14
0.12,0.12,0.12,0.12
0.11,0.12,0.12,0.11
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.12,0.12,0.12,0.12
0.11,0.12,0.12,0.11
0.12,0.12,0.12,0.12
0.11,0.11,0.11,0.11
N/A,N/A,N/A,N/A
0.11,0.11,0.12,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.10,0.12,0.10
0.11,0.11,0.12,0.11
0.12,0.11,0.12,0.11
0.11,0.11,0.11,0.09
0.10,0.10,0.10,0.10
0.09,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.09,0.10,0.10,0.09
N/A,N/A,N/A,N/A
0.10,0.10,0.10,0.10
0.09,0.10,0.10,0.09
0.09,0.10,0.10,0.09
0.09,0.09,0.09,0.09
0.09,0.08,0.09,0.08
0.08,0.08,0.08,0.08
N/A,N/A,N/A,N/A
0.08,0.08,0.09,0.08
0.08,0.09,0.09,0.08
0.08,0.08,0.09,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.07,0.08,0.07
0.08,0.08,0.08,0.08
0.09,0.08,0.09,0.07
0.08,0.04,0.08,0.03
0.04,0.03,0.04,0.03
0.04,0.04,0.04,0.03
0.04,0.05,0.05,0.03
0.05,0.03,0.05,0.03
0.04,0.03,0.04,0.03
0.04,0.04,0.04,0.04
0.04,0.05,0.05,0.04
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
N/A,N/A,N/A,N/A
0.05,0.08,0.08,0.05
0.08,0.08,0.09,0.07
0.07,0.05,0.07,0.05
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
N/A,N/A,N/A,N/A
0.05,0.05,0.05,0.05
0.06,0.04,0.06,0.04
0.04,0.05,0.05,0.04
N/A,N/A,N/A,N/A
0.05,0.04,0.05,0.04
0.04,0.04,0.04,0.04
0.05,0.04,0.05,0.04
0.04,0.04,0.04,0.04
0.05,0.05,0.05,0.05
0.04,0.04,0.04,0.04
0.04,0.04,0.04,0.02
0.03,0.03,0.03,0.03
0.03,0.04,0.04,0.03
0.04,0.03,0.04,0.03
0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.02
0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.03
0.03,0.05,0.05,0.02
0.04,0.04,0.04,0.04
0.05,0.05,0.05,0.05
0.05,0.06,0.06,0.04
0.06,0.05,0.06,0.05
0.08,0.08,0.08,0.07
0.08,0.08,0.08,0.06
0.06,0.09,0.19,0.06
0.12,0.11,0.15,0.10
0.12,0.12,0.13,0.12
0.11,0.18,0.20,0.11
0.18,0.14,0.18,0.12
0.16,0.16,0.17,0.14
0.14,0.16,0.16,0.14
0.14,0.12,0.14,0.12
0.12,0.12,0.14,0.11
0.11,0.12,0.13,0.11
0.11,0.11,0.11,0.11
N/A,N/A,N/A,N/A
0.11,0.12,0.12,0.11
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.11
0.12,0.12,0.12,0.12
0.12,0.12,0.14,0.12
0.12,0.12,0.14,0.12
0.12,0.12,0.12,0.12
0.12,0.13,0.14,0.12
0.13,0.14,0.15,0.13
0.15,0.15,0.15,0.14
0.15,0.14,0.15,0.14
0.14,0.14,0.14,0.10
0.14,0.14,0.14,0.13
0.12,0.13,0.13,0.11
0.13,0.11,0.13,0.11
0.10,0.08,0.10,0.08
0.07,0.10,0.10,0.07
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.07
N/A,N/A,N/A,N/A
0.07,0.08,0.08,0.07
0.08,0.08,0.08,0.08
0.06,0.08,0.08,0.06
0.07,0.08,0.08,0.07
0.07,0.09,0.09,0.07
0.08,0.09,0.09,0.08
0.08,0.08,0.09,0.08
0.08,0.08,0.08,0.08
0.09,0.10,0.10,0.09
0.10,0.09,0.10,0.09
0.10,0.11,0.11,0.09
0.10,0.09,0.10,0.09
0.09,0.10,0.10,0.09
0.10,0.09,0.10,0.09
0.09,0.09,0.09,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.09
0.09,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.08,0.09,0.10,0.08
0.11,0.10,0.11,0.10
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
N/A,N/A,N/A,N/A
0.10,0.09,0.10,0.09
0.09,0.09,0.09,0.08
0.08,0.09,0.09,0.08
N/A,N/A,N/A,N/A
0.09,0.09,0.09,0.09
0.10,0.10,0.10,0.09
0.10,0.09,0.10,0.09
0.10,0.10,0.10,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.06,0.06,0.08,0.06
0.09,0.09,0.09,0.09
N/A,N/A,N/A,N/A
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
N/A,N/A,N/A,N/A
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
0.05,0.05,0.05,0.05
0.06,0.06,0.06,0.06
0.06,0.08,0.08,0.06
0.08,0.08,0.08,0.08
