CAPR,Capricor Therapeutics,NASDAQ
1.11,1.11,1.11,1.11
1.14,1.18,1.18,1.14
1.35,1.29,1.35,1.29
1.16,1.16,1.16,1.16
1.10,1.10,1.23,0.92
1.10,1.08,1.12,1.08
1.25,1.03,1.49,1.03
1.26,1.19,1.28,1.10
1.19,1.19,1.19,1.19
1.18,1.13,1.28,1.13
1.20,1.20,1.22,1.20
1.20,1.11,1.25,1.07
1.11,1.11,1.11,1.11
1.07,1.19,1.21,1.07
1.17,1.25,1.25,1.17
1.20,1.13,1.20,1.10
1.13,1.13,1.13,1.13
1.19,1.13,1.20,1.13
1.13,1.17,1.17,1.13
1.22,1.22,1.22,1.22
1.21,1.23,1.23,1.21
1.24,1.25,1.25,1.24
1.17,1.10,1.17,0.99
1.19,1.22,1.23,1.00
1.23,1.06,1.25,1.03
1.07,1.25,1.25,1.07
1.21,1.20,1.21,1.19
1.16,1.16,1.16,1.16
1.25,1.25,1.25,1.25
1.21,1.16,1.21,1.16
1.25,1.25,1.25,1.25
1.20,1.20,1.20,1.20
1.19,1.19,1.19,1.19
1.20,1.20,1.20,1.20
1.13,1.13,1.13,1.13
1.15,1.15,1.15,1.15
1.20,1.20,1.20,1.20
1.13,1.13,1.13,1.13
1.18,1.13,1.18,1.13
1.19,1.20,1.20,1.19
N/A,N/A,N/A,N/A
1.02,1.01,1.02,1.01
1.02,1.06,1.07,1.01
1.01,1.20,1.20,1.01
1.14,1.19,1.19,1.14
1.19,1.06,1.14,1.01
1.11,1.15,1.15,1.11
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.14
1.21,1.21,1.21,1.21
1.20,1.15,1.20,1.14
1.17,1.18,1.18,1.17
1.18,1.18,1.18,1.18
1.17,1.12,1.18,1.06
N/A,N/A,N/A,N/A
1.09,1.10,1.10,1.09
1.05,1.05,1.05,1.05
1.10,1.05,1.10,1.05
1.10,1.10,1.10,1.10
1.05,1.02,1.05,1.02
1.03,0.98,1.03,0.98
N/A,N/A,N/A,N/A
0.92,0.92,0.92,0.92
0.90,0.88,0.90,0.87
0.85,0.90,0.90,0.85
0.97,0.96,0.97,0.96
0.97,0.97,0.97,0.95
0.97,0.90,0.97,0.90
0.95,0.97,0.97,0.95
1.02,1.07,1.07,1.02
1.09,1.05,1.06,1.05
1.02,1.02,1.02,1.02
1.05,1.00,1.05,0.92
1.00,0.91,1.00,0.89
0.91,0.85,1.03,0.85
0.72,0.71,0.73,0.68
0.70,0.70,0.71,0.70
0.71,0.72,0.72,0.70
0.72,0.70,0.72,0.70
0.71,0.69,0.71,0.69
0.68,0.66,0.68,0.66
0.66,0.68,0.69,0.66
0.69,0.65,0.70,0.65
0.64,0.64,0.65,0.63
0.66,0.63,0.66,0.62
0.63,0.54,0.63,0.54
0.60,0.54,0.65,0.54
0.63,0.62,0.63,0.56
0.63,0.63,0.63,0.63
0.60,0.59,0.63,0.58
0.62,0.56,0.62,0.56
0.62,0.62,0.62,0.62
0.60,0.55,0.60,0.55
0.57,0.57,0.57,0.57
0.57,0.55,0.57,0.55
0.54,0.54,0.54,0.54
0.50,0.49,0.50,0.49
0.48,0.45,0.48,0.45
0.47,0.47,0.47,0.47
0.47,0.48,0.49,0.47
0.49,0.48,0.50,0.48
0.52,0.50,0.52,0.50
0.46,0.45,0.46,0.45
0.43,0.50,0.50,0.43
0.50,0.50,0.50,0.50
0.52,0.52,0.52,0.52
0.50,0.45,0.50,0.44
0.45,0.48,0.48,0.40
0.40,0.43,0.43,0.40
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.43,0.44,0.44,0.43
0.41,0.44,0.44,0.40
0.41,0.40,0.41,0.40
0.43,0.43,0.43,0.42
0.43,0.40,0.43,0.40
0.43,0.37,0.42,0.37
0.36,0.35,0.36,0.30
0.32,0.33,0.35,0.30
0.33,0.33,0.33,0.33
0.32,0.33,0.33,0.32
0.33,0.33,0.33,0.33
0.30,0.33,0.33,0.30
0.33,0.31,0.33,0.31
0.34,0.30,0.34,0.30
0.32,0.32,0.32,0.32
0.33,0.33,0.33,0.33
0.33,0.29,0.33,0.29
0.32,0.30,0.33,0.30
0.31,0.33,0.33,0.31
0.33,0.37,0.41,0.33
0.40,0.35,0.40,0.35
0.35,0.34,0.35,0.31
0.33,0.31,0.33,0.31
0.33,0.33,0.33,0.33
0.33,0.33,0.33,0.33
0.33,0.32,0.33,0.32
0.33,0.31,0.33,0.31
0.34,0.33,0.34,0.33
0.33,0.32,0.33,0.32
0.33,0.37,0.37,0.33
0.37,0.36,0.38,0.35
0.33,0.34,0.35,0.33
0.34,0.33,0.34,0.33
0.35,0.35,0.35,0.35
0.38,0.41,0.41,0.37
0.39,0.41,0.42,0.37
0.42,0.42,0.42,0.42
0.42,0.40,0.42,0.40
0.42,0.41,0.42,0.41
0.44,0.43,0.46,0.42
0.42,0.41,0.42,0.41
0.40,0.39,0.40,0.39
0.42,0.38,0.42,0.38
0.38,0.38,0.38,0.38
0.39,0.40,0.42,0.39
0.44,0.45,0.45,0.42
0.45,0.44,0.45,0.42
0.40,0.41,0.41,0.40
0.42,0.53,0.65,0.41
0.50,0.47,0.56,0.47
0.48,0.48,0.50,0.41
0.49,0.46,0.50,0.45
0.52,0.49,0.52,0.49
0.51,0.51,0.51,0.51
0.54,0.56,0.56,0.54
0.57,0.55,0.69,0.49
0.62,0.61,0.64,0.61
0.60,0.60,0.62,0.60
0.63,0.63,0.63,0.60
0.66,0.62,0.66,0.59
0.65,0.65,0.65,0.64
