VBFC,Village Bank and Trust Financial Corp. - Common Stock,NASDAQ
2.33,2.49,2.51,2.20
2.48,2.49,2.49,2.25
2.34,2.34,2.34,2.34
2.11,2.60,2.60,2.11
2.56,2.60,2.60,2.40
2.50,2.60,2.60,2.50
2.59,2.33,2.90,2.33
2.60,2.40,2.60,2.35
2.41,2.25,2.46,2.20
2.40,2.20,2.40,2.14
2.20,2.20,2.20,2.20
2.35,2.35,2.35,2.35
2.19,2.30,2.35,2.19
2.16,2.33,2.35,2.14
2.35,2.31,2.35,2.30
2.25,2.18,2.25,2.18
2.20,2.17,2.20,2.14
2.34,2.34,2.34,2.34
2.16,2.16,2.16,2.16
2.20,2.20,2.25,2.20
2.20,2.25,2.29,2.20
2.25,2.25,2.25,2.25
2.20,2.20,2.20,2.20
2.20,2.10,2.20,2.05
2.30,2.10,2.30,2.10
2.11,2.10,2.16,2.02
2.10,2.10,2.10,2.10
2.09,2.02,2.10,2.01
2.10,2.31,2.31,2.00
2.31,2.21,2.42,2.21
2.26,2.32,2.32,2.26
2.32,2.35,2.35,2.32
2.36,2.36,2.36,2.36
2.48,2.80,2.85,2.35
2.84,3.10,3.42,2.84
3.25,4.00,4.20,3.25
4.02,4.02,4.25,3.80
3.75,3.50,4.02,3.50
3.85,3.89,4.00,3.57
4.38,4.03,4.38,4.00
3.99,4.08,4.10,3.94
4.10,4.15,4.15,3.99
4.39,4.78,4.78,4.30
4.94,5.00,5.00,4.70
4.99,5.00,5.00,4.99
4.70,4.86,5.05,4.04
4.50,4.32,4.81,4.32
4.25,4.07,4.26,4.07
4.07,3.85,4.07,3.79
3.74,3.52,4.38,3.50
3.60,3.20,3.70,3.12
3.30,3.50,3.54,3.30
3.49,3.49,3.49,3.49
3.13,3.30,3.39,3.12
3.30,3.30,3.30,3.30
3.03,3.15,3.15,3.03
3.20,3.12,3.26,3.12
3.03,3.04,3.20,3.01
3.04,3.04,3.04,3.04
3.05,3.38,3.40,3.05
3.52,3.47,4.10,3.20
3.75,2.99,3.97,2.65
2.99,2.82,3.20,2.73
2.94,3.06,3.18,2.80
3.10,3.10,3.10,3.08
3.00,3.03,3.04,2.91
3.12,3.14,3.20,3.05
3.19,3.40,3.42,3.16
3.34,3.44,3.82,3.32
3.23,3.35,3.35,3.20
3.40,3.60,3.75,3.40
3.62,3.53,3.62,3.53
3.45,3.44,3.46,3.26
3.37,3.37,3.37,3.37
3.37,3.53,3.85,3.37
3.65,3.60,3.65,3.60
3.83,3.75,3.85,3.75
3.50,3.73,3.89,3.50
3.73,3.73,3.73,3.73
3.79,3.74,3.79,3.74
3.74,3.74,3.74,3.74
3.78,3.85,3.89,3.72
3.81,3.81,3.81,3.81
4.00,3.98,4.00,3.98
3.80,4.05,4.09,3.80
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
3.99,4.00,4.00,3.99
3.93,4.11,4.11,3.92
4.11,3.92,4.11,3.92
3.92,3.92,3.92,3.92
3.93,3.58,3.93,3.52
3.56,3.65,4.00,3.56
3.65,3.65,3.68,3.65
3.68,3.92,3.92,3.43
3.55,3.92,3.93,3.55
3.92,3.92,3.92,3.92
3.90,3.87,3.91,3.87
3.95,4.00,4.00,3.79
4.11,4.09,4.11,4.09
4.01,4.04,4.04,4.00
4.49,4.05,4.49,4.04
4.20,4.24,4.40,4.00
4.24,4.24,4.24,4.24
3.75,3.75,3.75,3.75
3.75,3.78,4.23,3.75
3.78,3.78,3.78,3.78
3.77,3.52,3.77,3.32
3.45,3.15,3.87,3.01
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.24,3.11,3.25,3.10
3.10,3.10,3.10,3.10
3.01,3.14,3.16,3.01
3.01,3.14,3.14,3.01
3.01,2.99,3.10,2.90
