UAMY,United States Antimony Corporation Common Stock,NASDAQ
0.50,0.45,0.52,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.52,0.45,0.52,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.42,0.42,0.42,0.42
0.41,0.38,0.41,0.38
0.40,0.40,0.40,0.40
0.41,0.40,0.50,0.40
0.45,0.50,0.50,0.45
0.45,0.40,0.45,0.39
0.41,0.39,0.41,0.39
0.38,0.39,0.39,0.38
0.40,0.39,0.40,0.39
0.39,0.38,0.39,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.40,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.40,0.45,0.45,0.40
0.38,0.38,0.38,0.38
0.45,0.38,0.45,0.38
0.38,0.45,0.45,0.38
0.39,0.39,0.39,0.38
0.45,0.50,0.50,0.45
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.39,0.39,0.39,0.39
0.39,0.38,0.39,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.39,0.39,0.39,0.39
0.40,0.40,0.40,0.40
0.38,0.38,0.38,0.38
0.39,0.39,0.39,0.39
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.35
0.35,0.35,0.35,0.32
0.32,0.35,0.35,0.32
0.35,0.35,0.35,0.35
0.35,0.36,0.36,0.35
0.35,0.44,0.44,0.35
0.38,0.38,0.38,0.38
0.42,0.38,0.42,0.38
0.38,0.38,0.38,0.38
0.36,0.36,0.36,0.36
0.42,0.36,0.42,0.36
0.36,0.35,0.36,0.35
0.35,0.35,0.35,0.35
0.42,0.34,0.42,0.32
0.32,0.32,0.32,0.32
0.32,0.40,0.40,0.32
0.32,0.32,0.32,0.32
0.32,0.43,0.43,0.32
0.43,0.43,0.43,0.43
0.43,0.43,0.43,0.43
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.44,0.40,0.44,0.40
0.44,0.45,0.45,0.44
0.45,0.45,0.45,0.45
0.45,0.50,0.50,0.45
0.50,0.49,0.50,0.49
0.49,0.49,0.49,0.49
0.46,0.46,0.46,0.46
0.50,0.50,0.50,0.49
0.50,0.50,0.51,0.46
0.50,0.53,0.53,0.50
0.50,0.53,0.53,0.50
0.53,0.53,0.53,0.53
0.50,0.52,0.52,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.53,0.55,0.55,0.53
0.55,0.59,0.59,0.55
0.59,0.60,0.60,0.58
0.53,0.51,0.53,0.51
0.55,0.53,0.55,0.53
0.53,0.51,0.53,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.50,0.51,0.50
0.45,0.44,0.45,0.44
0.44,0.44,0.44,0.44
0.45,0.41,0.45,0.41
0.44,0.44,0.44,0.44
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.49,0.42,0.49,0.42
0.49,0.50,0.50,0.49
0.42,0.41,0.54,0.41
0.41,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.41,0.41,0.41,0.41
0.40,0.45,0.45,0.40
0.45,0.45,0.45,0.45
0.45,0.41,0.45,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.41,0.41,0.41,0.41
0.41,0.45,0.45,0.40
0.50,0.45,0.50,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.40,0.45,0.45,0.40
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
