XTNT,Xtant Medical Holdings,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.50,3.50,3.50,2.50
3.50,3.50,3.50,3.50
3.25,3.25,3.25,3.25
3.25,3.20,3.35,3.20
3.02,3.02,3.02,3.02
3.02,3.02,3.02,3.02
3.25,3.25,3.25,3.25
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.00,2.90,3.00,2.80
2.90,2.90,3.30,2.90
2.90,2.90,2.90,2.90
2.85,3.45,3.45,2.85
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.05,3.05,3.00
3.05,3.10,3.10,3.05
2.90,2.90,2.90,2.90
2.90,2.85,2.90,2.85
2.85,2.85,2.85,2.85
3.05,3.00,3.05,3.00
3.00,3.00,3.00,3.00
3.45,4.30,4.30,3.45
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.25
4.30,4.35,4.36,4.30
4.50,4.70,4.70,4.50
4.80,4.90,4.90,4.77
4.90,4.95,4.95,4.90
4.95,4.90,4.95,4.90
4.95,5.10,5.10,4.95
5.10,5.00,5.10,5.00
5.20,5.00,5.20,5.00
5.00,5.15,5.15,5.00
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.30,5.35,5.15
5.40,5.40,5.40,5.40
5.40,5.40,5.40,5.40
5.50,5.55,5.60,5.50
5.55,5.55,5.55,5.55
5.60,5.65,5.65,5.60
6.00,6.25,6.25,5.80
6.25,6.38,6.38,6.25
6.50,6.56,6.56,6.49
6.56,6.48,6.66,6.48
6.50,6.50,6.50,6.50
6.66,7.20,7.24,6.66
7.24,7.05,7.24,6.85
7.05,6.90,7.05,6.90
7.10,7.28,7.28,6.89
7.28,7.40,7.40,7.25
7.44,7.47,7.47,7.44
7.47,7.51,7.51,7.47
7.51,7.63,7.63,7.51
7.63,7.66,7.66,7.63
7.68,7.35,7.68,7.25
7.45,7.45,7.45,7.40
7.45,7.45,7.45,7.45
7.45,7.45,7.45,7.45
7.20,7.50,7.50,7.20
7.48,7.48,7.48,7.48
7.50,7.55,7.55,7.50
7.55,7.78,7.78,7.55
7.78,7.78,7.88,7.78
7.80,7.30,7.80,7.30
7.25,7.49,7.49,7.25
7.45,7.45,7.45,7.45
7.45,7.45,7.45,7.45
7.45,7.50,7.50,7.45
7.55,7.55,7.55,7.45
7.50,7.50,7.50,7.50
7.00,7.00,7.00,7.00
7.45,7.20,7.45,7.00
7.10,7.45,7.45,7.10
7.15,7.25,7.25,7.15
7.20,7.15,7.20,7.15
7.15,7.15,7.15,7.15
7.10,7.00,7.10,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.25,7.25,7.25,7.25
6.90,7.00,7.00,6.90
6.90,6.90,6.90,6.90
7.00,7.00,7.00,7.00
7.00,6.80,7.00,6.80
6.90,6.85,7.00,6.85
6.80,6.80,6.80,6.80
6.74,6.75,6.75,6.74
6.25,5.86,6.50,5.86
6.40,6.75,7.00,6.40
6.75,6.75,6.75,6.75
7.00,6.90,7.00,6.90
7.50,7.40,7.55,7.40
7.40,7.40,7.40,7.40
7.00,6.80,7.00,6.80
6.60,7.10,7.10,6.60
7.10,7.10,7.10,7.10
7.10,7.10,7.10,7.10
7.10,7.10,7.10,7.10
7.10,6.60,7.10,6.00
6.70,6.70,6.70,6.69
7.00,6.40,7.00,6.00
6.34,6.40,6.40,6.34
6.40,6.40,6.40,6.40
5.95,5.95,5.95,5.95
5.95,6.61,7.00,5.95
6.61,6.61,6.61,6.61
6.61,6.61,6.61,6.61
6.61,6.61,6.61,6.61
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.95,6.95,6.95,6.95
6.95,7.00,7.00,6.95
7.25,7.35,7.40,7.25
7.35,7.45,7.45,7.25
7.45,7.45,7.45,7.45
8.00,8.25,8.25,7.75
8.25,8.50,8.50,8.25
8.20,8.60,8.60,8.20
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.40
8.60,8.95,9.00,8.50
8.75,8.60,8.95,8.60
8.95,8.75,8.95,8.75
8.55,8.55,8.55,8.55
8.85,8.75,8.85,8.75
8.75,8.49,8.90,8.40
8.25,8.45,8.50,7.25
7.75,8.00,8.15,7.00
7.67,7.50,8.00,6.95
7.50,7.40,7.50,6.70
7.00,6.93,7.11,6.50
7.00,6.00,7.00,6.00
6.95,6.45,6.95,5.51
5.80,6.33,6.40,5.80
6.30,6.00,6.30,5.56
5.67,5.68,5.85,5.67
5.85,5.80,5.85,5.68
5.70,5.30,5.70,5.05
5.55,5.15,5.65,5.15
5.20,5.60,5.75,5.20
5.50,5.05,5.75,5.05
5.15,5.18,5.64,5.15
5.22,5.05,5.45,5.05
5.05,5.60,5.85,5.00
5.85,5.60,5.85,5.60
5.85,5.50,5.85,5.50
5.50,4.75,5.50,4.75
5.00,5.43,5.74,5.00
5.00,4.45,5.00,4.00
4.50,4.35,4.50,4.20
4.40,4.25,4.40,4.19
4.45,4.40,4.50,4.40
4.40,4.65,4.65,4.40
4.70,4.70,4.80,4.67
4.75,4.71,4.85,4.70
4.71,4.75,4.80,4.65
4.80,4.63,4.84,4.50
4.65,4.75,4.75,4.50
4.90,4.75,4.90,4.60
4.85,4.50,4.85,4.50
4.45,4.45,4.50,4.25
4.26,4.16,4.35,4.15
4.35,4.50,4.50,4.00
4.55,4.70,4.90,4.55
4.80,4.10,4.80,3.90
4.20,4.25,4.29,3.30
4.20,4.00,4.20,3.98
4.15,4.00,4.15,3.95
4.05,4.22,4.22,4.00
3.50,4.10,4.17,3.50
4.05,4.05,4.05,3.95
4.05,4.10,4.15,3.95
4.04,3.65,4.05,3.65
3.85,3.85,3.85,3.70
3.97,3.79,4.00,3.72
3.85,3.61,3.85,3.60
3.61,3.71,3.78,3.55
3.73,3.68,3.73,3.58
3.74,3.75,3.75,3.62
3.96,3.54,3.97,3.51
3.51,3.39,3.70,3.16
3.35,3.10,3.35,3.00
3.79,3.78,4.00,3.10
3.51,3.73,4.00,3.51
3.77,3.65,3.80,3.53
3.69,3.58,3.69,3.50
3.59,3.45,3.59,3.43
3.50,3.40,3.66,3.32
3.40,3.19,3.41,3.12
3.14,3.09,3.28,2.98
3.11,2.95,3.65,2.60
3.10,3.01,3.11,3.00
3.01,3.20,3.20,3.01
3.18,3.25,3.25,3.10
3.25,3.24,3.26,3.13
3.25,3.30,3.30,3.22
3.27,3.54,3.55,3.21
3.58,3.73,3.80,3.53
3.80,3.83,3.92,3.77
3.74,3.73,3.84,3.73
3.75,3.65,3.75,3.42
3.65,3.52,3.65,3.30
3.50,3.49,3.59,3.35
3.45,3.40,3.45,3.25
3.40,3.50,3.50,3.31
3.50,3.98,4.08,3.49
4.09,4.00,4.20,3.95
4.03,4.00,4.05,3.77
4.90,4.27,4.90,4.00
4.90,4.25,4.90,4.06
4.10,4.40,4.50,4.05
4.50,4.01,4.52,3.95
4.14,3.72,4.14,3.61
3.73,3.53,3.75,3.35
3.53,3.45,3.61,3.35
3.45,3.35,3.48,3.31
3.34,3.35,3.39,3.18
3.77,3.27,3.77,3.20
3.29,3.18,3.36,3.15
2.85,3.14,3.20,2.85
3.05,3.06,3.16,2.95
3.08,3.24,3.27,2.96
3.15,3.69,3.69,3.15
3.68,3.50,3.68,3.44
3.61,3.44,3.63,3.35
3.44,3.42,3.48,3.33
3.41,3.28,3.68,3.25
3.33,3.40,3.50,3.30
