BIO,Bio-Rad Laboratories,NASDAQ
92.78,91.17,92.78,90.64
91.38,91.61,91.67,90.85
90.90,89.22,91.42,89.02
89.31,90.27,90.71,89.31
90.47,91.03,91.62,90.11
91.02,91.31,91.51,90.78
91.49,91.99,92.61,91.38
91.77,91.00,91.90,91.00
90.86,90.32,91.05,90.01
90.74,91.20,91.48,90.17
91.02,90.62,91.74,90.42
90.89,90.46,91.77,89.81
91.00,92.53,92.98,91.00
94.24,94.08,94.24,92.51
95.01,97.12,97.27,94.93
96.70,97.60,97.83,96.21
97.11,96.83,97.61,96.59
97.18,96.38,97.50,96.09
96.51,97.22,97.47,95.44
96.67,96.48,96.99,95.96
96.11,95.01,96.12,94.71
95.33,95.18,95.78,94.51
94.68,93.61,95.23,93.32
93.88,94.10,94.93,93.82
95.06,95.08,95.44,94.29
95.08,95.36,95.42,94.58
95.07,94.62,95.07,94.03
93.86,93.25,93.98,93.04
93.26,95.10,95.24,93.26
94.58,94.31,95.00,94.31
94.09,94.02,94.34,93.20
93.58,93.35,93.97,93.03
94.44,94.20,95.00,93.45
94.30,96.23,96.38,94.07
96.15,96.77,96.99,95.81
96.47,96.52,96.98,95.53
97.41,97.72,98.41,97.32
98.44,98.75,99.32,98.08
99.01,99.03,99.41,98.58
99.38,102.07,102.34,99.38
101.52,102.09,102.25,100.05
102.69,103.57,103.94,102.40
103.27,103.71,104.27,103.27
105.38,105.25,105.56,103.55
105.27,103.61,105.47,103.49
104.03,103.45,104.73,103.35
103.53,103.89,104.24,103.50
103.90,104.59,105.55,103.90
104.57,104.42,105.25,104.42
104.46,104.80,105.47,104.12
104.89,104.70,105.60,104.28
104.86,105.12,105.41,104.71
105.18,104.42,105.38,104.26
104.51,103.85,105.00,103.85
104.30,105.32,106.50,104.30
105.74,105.30,106.68,105.00
105.26,106.10,106.86,104.51
105.99,105.51,106.63,105.15
105.63,105.08,105.86,104.46
104.77,107.17,107.44,104.77
107.30,107.97,108.26,107.30
108.65,108.35,108.65,108.01
108.72,108.51,108.80,108.13
108.51,109.36,109.40,108.00
108.96,112.06,112.10,108.96
111.70,110.39,111.87,110.17
110.00,110.30,110.71,108.88
110.84,109.99,110.84,109.51
109.73,109.58,110.14,109.24
109.10,110.05,110.24,108.91
110.66,110.00,110.94,109.75
110.10,110.03,110.26,108.75
109.75,108.02,110.00,107.76
108.02,108.88,109.82,108.02
109.68,109.12,109.83,108.47
108.95,108.21,109.46,108.16
108.34,107.40,108.34,107.00
107.53,107.48,108.13,107.29
107.68,108.38,108.61,107.07
108.53,108.44,108.89,107.96
108.48,108.45,109.65,108.25
108.25,108.35,108.83,108.03
108.04,109.19,109.41,107.89
109.31,109.27,109.31,107.88
109.03,109.37,110.27,108.79
109.67,108.83,109.67,108.54
108.72,108.89,109.64,108.03
109.09,109.90,109.94,108.16
108.88,110.36,110.90,108.82
110.11,108.91,110.36,108.36
109.23,109.60,110.00,108.15
111.12,113.47,113.51,109.88
114.16,114.16,114.99,113.33
113.59,112.00,114.61,111.60
111.45,113.29,113.55,111.45
113.86,117.20,117.45,113.86
117.00,116.38,117.00,115.00
116.89,115.94,116.89,113.88
115.77,117.16,118.43,115.58
116.88,116.97,117.38,115.99
115.88,114.89,116.13,114.56
115.45,115.90,116.53,113.99
115.05,115.60,115.70,114.76
113.88,114.55,114.90,112.12
114.21,114.80,116.02,113.36
116.58,115.14,116.58,114.80
115.90,116.91,117.13,115.55
117.23,118.68,119.27,116.49
118.95,118.26,119.06,117.99
117.88,117.21,117.88,116.31
117.73,118.75,118.92,116.21
118.97,118.47,119.08,118.18
119.01,118.65,119.21,118.21
118.79,119.26,119.44,118.27
119.50,119.58,119.83,118.99
119.41,120.14,120.18,119.16
120.48,123.36,123.58,120.23
122.88,123.19,123.37,120.53
122.93,124.10,124.50,122.39
124.38,123.74,124.85,123.26
123.53,123.27,124.43,123.18
123.85,122.61,123.85,121.78
122.82,124.47,125.43,122.67
124.11,123.99,124.80,123.72
124.30,123.59,124.38,123.33
122.32,123.67,124.18,122.24
123.75,124.07,124.43,123.40
122.20,120.70,122.33,119.77
119.64,118.54,119.68,115.98
119.89,120.12,120.14,119.03
120.71,120.91,121.28,120.26
120.61,120.72,121.18,119.63
121.20,121.80,123.26,120.90
121.68,123.43,123.49,121.68
122.98,124.15,124.50,122.98
124.12,125.12,126.26,123.96
125.12,125.02,125.70,124.58
124.73,126.20,126.89,124.58
125.80,123.74,126.88,123.25
123.37,122.80,123.89,122.13
123.10,123.06,124.12,122.57
123.26,123.97,124.34,122.76
124.77,124.34,124.78,124.22
124.48,124.25,124.93,123.19
123.48,124.85,125.00,123.29
124.31,124.32,124.85,123.60
124.69,126.34,126.98,123.71
125.98,125.09,126.32,124.39
125.08,125.17,125.29,124.12
125.49,125.07,126.73,124.02
124.54,124.12,124.87,123.42
122.70,122.58,122.83,120.36
123.00,121.76,123.00,121.52
121.64,123.17,123.62,121.51
122.71,123.22,123.64,122.18
123.71,123.61,124.02,123.00
124.62,124.43,124.62,123.20
124.40,122.87,124.60,122.78
123.10,123.34,123.37,121.59
122.21,122.08,123.98,121.55
121.85,120.22,121.93,120.00
120.38,120.38,120.68,120.01
120.25,119.51,120.67,119.22
119.84,120.24,121.16,119.01
119.84,117.58,120.04,117.44
117.30,117.35,118.43,117.24
117.57,117.98,118.80,117.53
117.37,117.18,118.52,117.18
117.12,117.47,118.52,116.52
118.17,117.23,118.50,117.23
117.21,117.61,117.96,116.79
118.01,118.05,118.89,117.54
117.83,117.73,118.73,117.71
117.11,117.79,118.17,115.77
118.00,117.59,118.00,117.02
117.37,117.11,118.73,116.25
117.32,119.74,120.19,117.23
119.97,119.70,120.52,118.92
119.81,119.36,120.36,119.27
119.69,121.54,121.81,119.69
121.76,121.44,122.04,120.08
121.49,121.76,121.99,120.97
122.36,121.48,122.38,120.96
120.99,121.63,121.80,120.17
120.37,118.94,120.37,118.70
118.36,119.04,119.70,118.09
119.25,119.36,120.65,119.24
119.68,118.34,120.00,116.95
118.77,118.37,118.77,117.79
118.00,116.98,118.29,116.26
117.37,116.98,118.04,116.86
117.18,116.35,117.18,116.03
116.69,118.28,118.84,116.69
118.41,117.36,118.41,117.08
116.23,116.18,117.26,116.01
116.10,113.90,116.13,113.56
113.71,110.33,113.76,110.00
110.66,108.53,110.82,108.26
107.62,109.00,109.65,106.77
109.60,107.69,109.71,107.39
106.50,103.65,107.29,103.16
101.25,102.08,102.61,97.49
101.13,100.60,101.29,99.42
101.54,100.69,103.22,99.59
98.01,97.12,99.58,96.15
98.69,100.54,100.73,95.09
98.93,94.00,99.41,93.21
94.45,97.83,99.08,93.67
98.27,101.47,101.72,96.60
102.21,101.51,103.18,100.88
100.68,101.09,101.90,99.79
101.36,101.61,102.85,100.86
99.90,96.75,100.35,96.14
95.56,96.83,98.39,95.55
98.68,95.45,98.68,94.96
95.44,99.14,99.15,94.52
98.75,99.70,100.90,98.00
100.10,97.34,100.50,96.99
96.51,98.81,99.33,95.05
99.99,101.12,102.22,99.94
100.34,99.90,101.50,98.80
100.70,100.34,102.25,99.73
100.40,100.27,101.99,99.74
98.75,97.34,100.30,97.04
94.50,96.20,96.62,94.43
96.20,99.07,99.45,96.20
98.15,96.49,99.10,96.34
94.85,92.23,95.25,91.59
91.33,91.72,92.33,90.46
92.54,93.41,93.95,91.91
94.23,97.19,98.24,93.66
98.67,97.60,98.67,95.93
98.18,98.22,98.41,97.06
96.34,94.96,96.74,94.43
95.87,92.50,95.94,92.38
92.67,89.50,93.01,88.78
84.46,87.54,88.20,84.02
87.19,90.19,90.22,87.05
90.62,90.61,90.75,88.39
91.77,95.98,96.96,91.00
95.97,90.32,96.06,90.20
91.80,91.03,91.80,88.88
89.71,90.77,92.73,89.57
90.04,88.92,91.30,88.76
88.26,92.47,92.76,87.98
92.45,93.92,94.65,92.15
93.50,94.69,94.99,92.83
94.56,91.93,94.56,91.77
93.41,93.71,94.73,92.65
93.23,93.40,94.15,92.74
93.84,94.28,95.96,93.73
93.97,94.65,95.07,93.15
95.37,94.88,95.37,93.86
94.26,91.80,94.43,91.31
92.10,94.42,94.72,90.66
93.97,94.10,94.66,93.53
94.30,95.06,95.55,93.75
96.22,98.56,98.56,95.71
98.61,101.35,101.56,98.19
100.85,98.29,101.38,98.11
99.64,98.74,99.72,97.12
101.77,100.70,103.22,100.18
102.35,102.02,103.19,101.84
101.00,99.55,101.01,99.44
95.78,95.19,97.37,94.41
94.87,95.91,96.99,94.40
96.98,98.77,98.80,95.92
97.54,98.04,98.11,96.42
97.62,100.33,100.49,97.62
100.48,102.55,102.68,99.82
100.74,98.20,100.80,97.55
99.85,98.82,100.22,98.19
99.96,101.06,101.50,99.47
100.16,99.45,100.84,99.05
98.96,99.18,99.35,97.42
98.28,96.71,98.56,96.71
96.89,95.41,96.89,94.85
96.07,95.51,96.28,94.93
93.78,93.25,94.59,92.96
93.19,92.54,93.44,92.14
92.01,90.53,92.12,89.94
90.30,90.03,91.00,89.67
94.33,92.32,94.33,91.39
92.50,91.94,92.52,91.13
96.49,94.30,98.71,93.85
93.47,93.20,95.72,92.99
94.43,92.40,94.44,91.94
93.88,93.74,94.90,92.77
93.58,93.30,93.65,92.23
92.99,91.77,93.89,91.41
91.05,89.99,91.83,89.54
90.44,90.91,91.44,90.44
90.17,90.48,90.66,89.07
91.13,90.33,91.48,89.63
89.64,89.31,90.28,88.86
90.47,91.31,91.71,89.99
91.64,97.07,97.84,90.70
97.05,95.13,99.02,95.12
96.98,96.36,97.69,95.91
96.00,96.77,96.85,95.11
96.86,95.98,96.93,95.83
96.12,95.73,96.19,95.54
95.74,95.66,97.29,95.42
96.00,94.30,96.00,94.27
94.38,95.62,96.41,94.38
95.67,96.04,96.77,95.43
97.99,98.08,98.49,97.51
97.47,97.96,98.06,96.59
97.59,98.44,99.25,97.30
98.25,97.50,98.69,97.13
97.96,96.64,97.96,96.24
97.43,98.70,98.85,97.16
98.28,101.34,101.61,98.06
101.79,100.04,101.79,99.58
99.27,98.14,99.27,97.83
98.51,98.98,100.41,98.51
