RIC,Richmont Mines,NASDAQ
3.85,4.22,4.33,3.83
4.23,4.37,4.53,4.23
4.37,4.42,4.49,4.35
4.47,4.39,4.53,4.33
4.42,4.53,4.57,4.41
5.25,4.87,5.25,4.71
4.86,4.58,4.86,4.47
4.66,4.71,4.76,4.56
4.86,4.66,4.86,4.64
4.66,4.55,4.66,4.50
4.51,4.57,4.60,4.51
4.50,4.29,4.52,4.25
4.20,4.10,4.28,4.00
4.14,4.04,4.19,4.03
4.04,4.06,4.10,4.04
4.01,3.95,4.10,3.90
3.91,3.81,4.00,3.75
3.88,3.90,3.90,3.80
3.86,3.80,3.90,3.75
3.81,4.05,4.05,3.81
4.06,4.04,4.13,4.00
4.08,4.00,4.08,3.84
3.92,3.63,3.96,3.60
3.59,3.87,3.90,3.55
3.89,3.94,4.04,3.50
4.02,3.99,4.07,3.98
3.95,3.98,4.03,3.83
3.98,4.02,4.12,3.98
3.59,4.04,4.10,3.59
4.14,4.22,4.27,4.08
4.23,4.18,4.26,4.15
4.26,4.26,4.34,4.21
4.33,4.18,4.33,4.17
4.20,4.21,4.25,4.18
4.25,4.07,4.26,3.94
4.11,3.99,4.11,3.80
3.83,3.80,3.85,3.66
3.86,3.89,3.95,3.77
3.88,3.97,4.00,3.87
4.03,4.12,4.17,4.01
4.13,4.18,4.21,4.10
4.20,4.17,4.20,4.15
4.20,4.11,4.21,4.11
4.15,4.20,4.26,4.12
4.15,4.07,4.20,4.05
4.12,4.10,4.25,4.08
4.11,4.10,4.20,4.05
4.14,4.16,4.18,4.11
4.09,4.20,4.20,4.08
4.25,4.29,4.29,4.17
4.30,4.25,4.36,4.24
4.29,4.24,4.30,4.16
4.15,4.15,4.31,4.13
4.14,4.13,4.15,4.10
4.11,4.13,4.17,4.11
4.06,3.96,4.11,3.89
3.93,3.99,4.06,3.93
3.98,4.03,4.03,3.94
4.03,4.04,4.07,3.99
3.97,4.00,4.04,3.94
3.96,3.97,4.01,3.86
3.94,4.04,4.12,3.94
4.00,4.10,4.13,3.98
4.10,4.13,4.20,4.10
4.12,4.16,4.21,4.12
4.15,4.17,4.19,4.07
4.20,4.41,4.45,4.16
4.50,4.62,4.70,4.43
4.62,4.50,4.62,4.41
4.56,4.46,4.60,4.42
4.48,4.38,4.60,4.36
4.37,4.29,4.40,4.13
4.29,4.27,4.30,4.16
4.30,4.37,4.38,4.29
4.38,4.37,4.38,4.22
4.29,4.53,4.59,4.24
4.58,4.57,4.60,4.44
4.57,4.45,4.57,4.42
4.44,4.46,4.48,4.44
4.43,4.54,4.55,4.35
4.63,4.61,4.70,4.56
4.66,4.56,4.80,4.56
4.54,4.65,4.66,4.54
4.52,4.48,4.61,4.26
4.40,4.45,4.54,4.25
4.42,4.50,4.51,4.32
4.41,4.30,4.54,4.30
4.26,4.26,4.38,4.15
4.25,4.48,4.50,4.25
4.45,4.59,4.64,4.45
4.70,4.63,4.70,4.50
4.64,4.58,4.72,4.52
4.55,4.34,4.60,4.18
4.39,4.26,4.43,4.20
4.23,4.30,4.45,4.23
4.26,4.54,4.72,4.04
4.51,4.62,4.78,4.50
4.66,4.72,4.82,4.61
4.65,4.77,4.85,4.64
4.94,5.00,5.19,4.93
5.01,5.06,5.11,5.01
5.09,5.00,5.10,4.98
4.95,5.02,5.08,4.95
4.82,4.81,4.85,4.32
4.81,4.75,4.81,4.53
4.70,4.56,4.73,4.52
4.56,4.68,4.73,4.52
4.71,4.75,4.79,4.65
4.80,4.65,4.88,4.64
4.71,4.74,4.75,4.68
4.74,4.74,4.75,4.68
4.79,4.68,4.80,4.62
4.70,4.79,4.80,4.69
4.79,4.80,4.84,4.76
4.80,4.71,4.90,4.63
4.81,4.85,4.89,4.77
4.90,4.76,5.00,4.70
4.70,4.54,4.78,4.51
4.42,4.54,4.54,4.42
4.53,4.42,4.53,4.42
4.50,4.52,4.66,4.44
4.52,4.57,4.65,4.52
