ZROZ,PIMCO 25  Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,NASDAQ
68.69,68.65,68.69,68.65
68.80,69.43,69.43,68.80
67.60,67.60,67.60,67.60
67.50,67.63,67.63,67.50
67.34,67.17,67.34,66.56
66.70,66.61,66.77,66.58
67.67,68.07,68.09,67.67
68.07,68.07,68.07,68.07
67.21,68.22,68.22,67.09
69.15,69.25,69.35,69.15
68.96,68.96,68.96,68.96
69.86,70.21,70.21,69.84
70.35,70.76,70.96,70.35
70.68,70.67,70.91,70.30
69.67,69.89,69.89,69.67
70.38,69.64,70.38,69.64
69.97,69.62,69.97,69.62
68.96,68.96,68.96,68.96
70.01,70.01,70.01,70.01
70.13,69.52,70.13,69.40
69.62,69.76,69.83,69.62
69.15,68.35,69.15,68.35
69.80,70.26,70.26,69.80
69.69,69.69,69.69,69.69
70.32,70.33,70.33,70.32
70.30,69.22,70.32,69.22
69.59,68.33,69.59,67.92
67.88,67.51,67.97,67.10
67.76,67.76,67.76,67.76
67.84,68.04,68.04,67.84
66.81,66.99,66.99,66.81
66.00,65.99,66.29,65.15
66.28,66.71,66.71,66.26
66.03,66.31,66.31,66.03
66.55,67.96,68.07,66.55
68.02,68.23,68.38,68.02
68.72,68.96,69.01,68.71
69.28,69.85,70.25,69.28
69.22,69.22,69.22,69.22
68.68,68.68,68.68,68.68
68.36,68.66,68.66,68.36
69.79,69.79,69.79,69.79
67.97,68.16,68.21,67.97
67.20,67.18,67.40,67.18
67.25,66.55,67.25,66.52
66.47,66.71,66.71,66.43
67.39,67.39,67.39,67.39
67.85,68.17,68.29,67.85
67.80,68.26,68.26,67.80
68.47,69.02,69.02,68.47
69.22,68.99,69.23,68.98
69.45,68.94,69.45,68.90
69.19,69.19,69.20,69.19
69.19,69.19,69.19,69.19
68.80,68.80,68.80,68.80
67.73,66.50,67.73,66.44
66.29,65.45,66.29,65.40
65.45,65.45,65.45,65.45
65.35,65.71,65.71,65.35
65.71,65.71,65.71,65.71
65.59,65.68,65.68,65.59
65.64,65.49,65.64,65.34
64.46,64.18,64.46,63.99
63.92,63.55,64.21,63.55
64.87,65.58,65.67,64.87
65.85,65.10,65.85,65.10
65.10,65.10,65.10,65.10
66.44,66.44,66.44,66.44
66.44,66.44,66.44,66.44
66.00,66.00,66.00,66.00
65.39,66.50,66.50,65.39
66.50,66.50,66.50,66.50
66.50,66.50,66.50,66.50
66.67,66.66,66.68,66.66
67.50,67.50,67.50,67.50
67.64,67.64,67.64,67.64
67.02,67.02,67.02,67.02
67.02,67.02,67.02,67.02
