OSIS,OSI Systems,NASDAQ
25.96,26.43,26.51,25.46
26.10,25.78,26.52,25.77
25.80,25.53,26.19,25.49
25.72,26.43,26.54,25.61
26.55,27.13,27.34,26.45
27.40,27.58,27.59,27.06
27.29,28.15,28.43,26.88
28.27,28.56,28.79,28.16
28.62,28.75,28.89,28.51
28.52,28.69,28.89,28.52
28.76,28.92,29.00,28.57
29.00,29.29,29.50,28.64
29.53,29.46,29.89,29.34
29.50,29.25,29.84,29.05
29.14,29.55,29.74,28.69
29.50,29.34,29.69,29.17
29.46,30.06,30.14,28.94
30.10,29.44,30.43,29.38
29.08,28.36,29.26,27.93
28.45,27.77,28.85,27.60
27.94,26.91,27.94,26.60
27.10,26.10,27.45,25.95
26.30,25.39,26.32,25.26
25.44,26.16,26.29,25.31
26.29,26.46,26.59,25.89
26.36,26.75,26.79,26.20
26.70,26.57,26.87,26.46
26.79,27.36,27.47,26.42
27.21,27.80,28.00,27.21
27.75,28.03,28.32,27.26
27.82,27.25,28.01,26.94
27.39,27.24,27.39,26.91
26.96,27.90,27.94,26.67
28.07,27.13,28.09,26.95
27.44,27.70,28.14,27.02
27.54,28.08,28.30,27.43
28.22,28.95,29.03,28.05
29.10,29.05,29.15,28.84
28.88,28.57,29.20,28.47
28.81,28.08,29.25,27.95
27.71,27.79,28.36,27.71
28.11,28.03,28.37,27.81
27.96,27.90,28.41,27.86
27.93,28.13,28.23,27.93
27.93,28.09,28.29,27.93
27.76,28.32,28.52,27.69
28.49,28.37,28.80,28.25
28.08,28.03,28.50,27.65
27.65,27.12,27.82,26.70
26.76,27.58,27.62,26.01
27.44,27.64,28.18,27.44
27.48,27.67,27.80,27.20
27.81,28.10,28.44,27.69
28.11,28.10,28.52,27.98
28.10,27.67,28.37,27.67
27.53,27.56,27.88,27.21
27.75,27.41,28.28,27.27
27.07,26.92,27.29,26.80
26.83,29.23,29.30,26.52
29.30,29.54,29.95,29.09
29.84,29.65,29.87,29.16
29.44,29.22,29.94,29.15
29.18,29.58,29.72,28.69
29.76,31.14,31.33,29.70
31.00,31.54,31.85,30.99
31.75,31.72,31.80,31.37
31.50,31.32,31.79,31.29
31.42,31.90,31.98,31.31
31.98,32.28,32.42,31.73
32.45,32.22,32.45,32.01
32.30,32.45,32.74,32.05
32.43,32.37,32.61,32.15
31.98,32.96,33.09,31.98
32.94,34.33,35.24,32.86
34.78,34.28,34.82,33.82
34.30,34.83,35.11,33.95
34.83,34.35,34.83,34.33
34.36,33.94,34.76,33.87
33.82,33.78,34.08,33.66
34.22,34.76,34.79,33.67
35.00,35.00,35.46,34.79
34.87,35.96,36.01,34.82
35.78,36.22,36.25,35.67
36.25,36.32,36.70,36.10
36.65,35.28,36.65,35.20
35.13,35.45,35.94,34.97
35.84,36.80,36.84,35.74
35.73,34.64,35.76,34.49
34.85,34.96,35.22,34.39
34.95,35.37,35.55,34.51
35.45,35.18,35.79,35.17
35.26,35.50,35.65,34.90
35.66,35.82,36.00,35.47
35.69,35.37,35.87,35.20
35.78,34.92,35.78,34.91
34.87,35.74,36.04,34.80
35.38,34.46,35.76,34.22
34.68,34.99,35.49,34.42
35.21,34.58,35.83,34.26
34.76,35.19,35.56,34.63
35.28,35.46,35.87,35.18
35.06,34.99,35.31,34.25
35.21,35.82,35.88,34.29
36.00,35.74,36.00,35.28
35.60,36.00,36.24,35.60
36.85,37.00,38.98,36.55
37.19,37.15,37.41,36.85
37.15,37.20,37.37,36.89
37.50,37.35,37.65,36.97
37.56,37.46,37.85,37.28
37.30,37.39,37.68,37.17
37.40,35.93,37.47,35.64
36.07,37.28,37.29,35.92
36.87,36.82,37.18,36.49
36.48,36.22,36.81,35.90
36.48,36.12,36.51,35.89
36.01,35.35,36.13,35.05
35.36,35.73,36.23,35.05
36.08,35.68,36.52,35.50
35.51,35.22,35.51,34.76
35.00,35.88,35.96,34.84
35.45,35.25,35.99,35.00
35.44,35.62,35.85,35.39
35.37,35.86,36.12,35.37
35.58,35.09,35.66,34.71
34.76,34.87,35.19,34.20
35.22,34.38,35.51,34.30
34.27,33.23,34.30,32.65
33.03,34.53,34.75,33.03
34.44,34.70,34.96,34.12
34.96,35.50,35.62,34.74
35.66,35.50,36.11,35.26
35.60,35.01,35.70,34.43
35.14,35.42,35.54,34.79
35.49,35.10,35.64,34.95
35.01,35.19,35.42,34.81
35.20,35.66,36.27,34.96
35.83,36.27,36.33,35.40
36.21,36.26,36.27,35.46
36.30,36.19,36.50,36.08
36.21,36.57,36.84,36.01
36.55,36.45,37.04,36.18
36.37,36.56,36.99,36.00
36.52,36.98,37.09,36.26
36.99,36.79,37.37,36.27
36.96,37.02,37.14,36.38
36.94,36.57,37.05,36.57
36.62,36.36,37.07,36.36
36.49,36.37,37.39,36.12
36.38,36.00,36.39,35.22
35.83,36.83,36.98,35.32
36.77,36.57,37.34,36.09
36.70,36.18,36.70,35.67
35.95,36.33,36.37,35.76
36.35,36.21,36.71,36.10
36.28,35.09,36.89,34.47
