REED,Reeds,NASDAQ
1.44,1.42,1.54,1.39
1.51,1.45,1.55,1.45
1.45,1.56,1.57,1.45
1.56,1.55,1.57,1.45
1.55,1.41,1.55,1.39
1.55,1.50,1.55,1.49
1.50,1.45,1.50,1.45
1.49,1.41,1.49,1.40
1.49,1.46,1.55,1.36
1.49,1.41,1.49,1.40
1.42,1.40,1.42,1.40
1.42,1.40,1.42,1.40
1.40,1.45,1.45,1.40
1.45,1.43,1.45,1.40
1.45,1.40,1.45,1.37
1.38,1.40,1.40,1.38
1.40,1.35,1.40,1.35
1.31,1.42,1.42,1.30
1.41,1.41,1.41,1.41
1.31,1.35,1.43,1.27
1.46,1.46,1.46,1.36
1.46,1.49,1.50,1.40
1.49,1.45,1.50,1.40
1.50,1.51,1.55,1.42
1.53,1.48,1.54,1.44
1.48,1.45,1.48,1.42
1.42,1.43,1.49,1.36
1.43,1.40,1.50,1.37
1.45,1.42,1.45,1.42
1.47,1.92,2.00,1.40
1.84,2.10,2.44,1.69
2.29,1.80,2.39,1.80
1.88,1.71,1.88,1.61
1.85,1.65,1.85,1.56
1.70,1.76,1.85,1.68
1.90,1.77,1.90,1.75
1.82,1.72,1.82,1.71
1.82,1.65,1.82,1.65
1.70,1.64,1.70,1.58
1.75,1.61,1.75,1.58
1.60,1.63,1.70,1.60
1.67,1.71,1.71,1.58
1.70,1.67,1.70,1.62
1.70,1.58,1.70,1.58
1.70,1.79,1.79,1.63
1.79,1.74,1.85,1.74
1.80,1.80,1.84,1.75
1.80,1.78,1.83,1.75
1.78,1.69,1.82,1.68
1.76,1.70,1.77,1.68
1.70,1.69,1.70,1.65
1.65,1.65,1.70,1.64
1.69,1.69,1.69,1.61
1.70,1.65,1.70,1.64
1.67,1.72,1.75,1.62
1.75,1.77,1.77,1.66
1.75,1.71,1.78,1.70
1.71,1.73,1.74,1.68
1.73,1.68,1.73,1.61
1.66,1.71,1.72,1.66
1.70,1.66,1.70,1.62
1.63,1.66,1.68,1.63
1.70,1.65,1.70,1.65
